observation_date,FRAPROINDMISMEI
1956-01-01,27.50179
1956-02-01,26.97164
1956-03-01,27.89941
1956-04-01,28.33016
1956-05-01,28.79404
1956-06-01,28.92658
1956-07-01,29.35733
1956-08-01,29.35733
1956-09-01,29.58928
1956-10-01,29.95376
1956-11-01,30.02003
1956-12-01,30.08630
1957-01-01,30.48391
1957-02-01,30.64959
1957-03-01,30.91467
1957-04-01,30.61645
1957-05-01,31.17974
1957-06-01,31.14661
1957-07-01,31.90871
1957-08-01,31.90871
1957-09-01,32.24005
1957-10-01,31.87557
1957-11-01,32.53827
1957-12-01,32.93588
1958-01-01,33.26723
1958-02-01,33.39977
1958-03-01,33.30036
1958-04-01,33.00215
1958-05-01,32.77021
1958-06-01,33.00215
1958-07-01,32.73707
1958-08-01,32.73707
1958-09-01,32.53827
1958-10-01,32.60453
1958-11-01,32.17378
1958-12-01,31.90871
1959-01-01,31.74303
1959-02-01,31.97498
1959-03-01,32.10751
1959-04-01,32.96902
1959-05-01,32.73707
1959-06-01,33.06842
1959-07-01,33.03529
1959-08-01,33.03529
1959-09-01,33.66484
1959-10-01,34.19500
1959-11-01,34.42694
1959-12-01,34.69202
1960-01-01,34.89083
1960-02-01,35.15591
1960-03-01,35.15591
1960-04-01,35.55352
1960-05-01,35.45412
1960-06-01,35.98427
1960-07-01,36.28249
1960-08-01,36.28249
1960-09-01,37.17712
1960-10-01,36.91204
1960-11-01,37.30966
1960-12-01,37.27653
1961-01-01,37.44220
1961-02-01,37.74041
1961-03-01,38.07176
1961-04-01,37.80668
1961-05-01,37.90609
1961-06-01,38.13803
1961-07-01,38.56878
1961-08-01,38.56878
1961-09-01,38.70132
1961-10-01,38.56878
1961-11-01,38.76759
1961-12-01,39.89417
1962-01-01,39.56282
1962-02-01,39.89417
1962-03-01,40.19238
1962-04-01,40.02670
1962-05-01,40.32492
1962-06-01,40.05984
1962-07-01,40.68940
1962-08-01,40.68940
1962-09-01,40.98761
1962-10-01,41.12015
1962-11-01,41.31896
1962-12-01,40.95448
1963-01-01,41.05526
1963-02-01,40.44522
1963-03-01,36.35800
1963-04-01,41.42128
1963-05-01,43.12938
1963-06-01,43.12938
1963-07-01,44.28844
1963-08-01,44.28844
1963-09-01,43.80041
1963-10-01,44.04443
1963-11-01,44.04443
1963-12-01,44.65446
1964-01-01,45.56951
1964-02-01,45.32550
1964-03-01,45.38650
1964-04-01,45.81352
1964-05-01,45.69152
1964-06-01,45.26449
1964-07-01,44.47145
1964-08-01,44.47145
1964-09-01,45.38650
1964-10-01,45.44750
1964-11-01,45.38650
1964-12-01,44.53245
1965-01-01,44.59346
1965-02-01,45.02048
1965-03-01,45.02048
1965-04-01,45.26449
1965-05-01,45.50851
1965-06-01,46.05754
1965-07-01,45.99653
1965-08-01,45.99653
1965-09-01,46.48456
1965-10-01,47.39961
1965-11-01,47.39961
1965-12-01,47.58262
1966-01-01,46.85058
1966-02-01,47.94864
1966-03-01,48.19265
1966-04-01,47.76563
1966-05-01,48.49767
1966-06-01,49.16870
1966-07-01,49.47372
1966-08-01,49.47372
