observation_date,FRAPROINDMISMEI
1966-09-01,49.59573
1966-10-01,48.98569
1966-11-01,49.53473
1966-12-01,49.53473
1967-01-01,49.29071
1967-02-01,48.98569
1967-03-01,49.29071
1967-04-01,48.74168
1967-05-01,48.98569
1967-06-01,50.26677
1967-07-01,49.83974
1967-08-01,49.83974
1967-09-01,50.75480
1967-10-01,50.08376
1967-11-01,50.69379
1967-12-01,51.48684
1968-01-01,51.42583
1968-02-01,51.73085
1968-03-01,52.70690
1968-04-01,52.58490
1968-05-01,35.99198
1968-06-01,45.26449
1968-07-01,54.84202
1968-08-01,54.84202
1968-09-01,53.25593
1968-10-01,55.63506
1968-11-01,56.79412
1968-12-01,56.73312
1969-01-01,56.36710
1969-02-01,55.75707
1969-03-01,55.75707
1969-04-01,57.58717
1969-05-01,58.92924
1969-06-01,58.19720
1969-07-01,58.44122
1969-08-01,58.44122
1969-09-01,57.70918
1969-10-01,59.66129
1969-11-01,58.25821
1969-12-01,58.38021
1970-01-01,60.02731
1970-02-01,60.69834
1970-03-01,60.57634
1970-04-01,61.43038
1970-05-01,60.69834
1970-06-01,60.82035
1970-07-01,60.51533
1970-08-01,60.51533
1970-09-01,61.18637
1970-10-01,61.73540
1970-11-01,61.36938
1970-12-01,61.97941
1971-01-01,61.79640
1971-02-01,62.83346
1971-03-01,63.26048
1971-04-01,63.07747
1971-05-01,61.97941
1971-06-01,63.19948
1971-07-01,63.56550
1971-08-01,63.56550
1971-09-01,65.39560
1971-10-01,65.27359
1971-11-01,66.00563
1971-12-01,65.94463
1972-01-01,66.55466
1972-02-01,65.88363
1972-03-01,67.04269
1972-04-01,67.46971
1972-05-01,68.14075
1972-06-01,67.59172
1972-07-01,68.50677
1972-08-01,68.50677
1972-09-01,69.66583
1972-10-01,70.27587
1972-11-01,70.64189
1972-12-01,72.04497
1973-01-01,71.55694
1973-02-01,72.28898
1973-03-01,72.71600
1973-04-01,71.19092
1973-05-01,75.21714
1973-06-01,73.81406
1973-07-01,74.91212
1973-08-01,74.91212
1973-09-01,73.75306
1973-10-01,74.91212
1973-11-01,75.27814
1973-12-01,73.26503
1974-01-01,76.43721
1974-02-01,76.74223
1974-03-01,75.15614
1974-04-01,76.37621
1974-05-01,77.41326
1974-06-01,76.07119
1974-07-01,78.20631
1974-08-01,78.20631
1974-09-01,74.54610
1974-10-01,74.66811
1974-11-01,71.73995
1974-12-01,70.51988
1975-01-01,69.72684
1975-02-01,69.48283
1975-03-01,68.44577
1975-04-01,68.62878
1975-05-01,66.67667
1975-06-01,68.32376
1975-07-01,67.53072
1975-08-01,67.53072
1975-09-01,68.01875
1975-10-01,70.09286
1975-11-01,68.87280
1975-12-01,72.41099
1976-01-01,72.59399
1976-02-01,72.71600
1976-03-01,73.50905
1976-04-01,74.42410
1976-05-01,74.42410
1976-06-01,74.60711
1976-07-01,75.70517
1976-08-01,75.70517
1976-09-01,78.38931
1976-10-01,75.88818
1976-11-01,77.84029
1976-12-01,77.59628
1977-01-01,78.38931
1977-02-01,77.53527
1977-03-01,78.02329
1977-04-01,76.01019
1977-05-01,75.33915
1977-06-01,78.14530
1977-07-01,75.94918
1977-08-01,75.94918
1977-09-01,76.37621
1977-10-01,75.46115
1977-11-01,76.80323
1977-12-01,74.72911
1978-01-01,76.49821
1978-02-01,76.31520
1978-03-01,77.47427
1978-04-01,80.09741
1978-05-01,78.69433
1978-06-01,77.23026
1978-07-01,77.16925
1978-08-01,77.16925
1978-09-01,78.51132
1978-10-01,79.67039
1978-11-01,80.15841
1978-12-01,80.34142
1979-01-01,79.48737
1979-02-01,79.67039
1979-03-01,80.76845
1979-04-01,79.36537
1979-05-01,81.68349
1979-06-01,82.29353
1979-07-01,84.12363
1979-08-01,84.12363
1979-09-01,82.90356
1979-10-01,82.17152
1979-11-01,82.53754
1979-12-01,82.41553
1980-01-01,81.92765
1980-02-01,81.68358
1980-03-01,82.25308
1980-04-01,82.25308
1980-05-01,80.21913
1980-06-01,80.62592
1980-07-01,81.35815
1980-08-01,81.35815
1980-09-01,79.81234
1980-10-01,79.48691
1980-11-01,78.99876
1980-12-01,80.30049
1981-01-01,79.97506
1981-02-01,80.70728
1981-03-01,79.16148
1981-04-01,79.08012
1981-05-01,80.05641
1981-06-01,80.46320
1981-07-01,79.48691
1981-08-01,79.48691
1981-09-01,80.54456
1981-10-01,79.97506
1981-11-01,79.97506
1981-12-01,81.52086
1982-01-01,80.13777
1982-02-01,79.48691
1982-03-01,80.54456
1982-04-01,80.46320
1982-05-01,80.21913
1982-06-01,80.38185
1982-07-01,78.02246
1982-08-01,78.02246
1982-09-01,78.59196
1982-10-01,79.16148
1982-11-01,78.67332
1982-12-01,78.99876
1983-01-01,79.16148
1983-02-01,78.83604
1983-03-01,79.64963
1983-04-01,79.16148
1983-05-01,79.81234
1983-06-01,79.81234
1983-07-01,78.59196
1983-08-01,78.59196
1983-09-01,79.40555
1983-10-01,78.67332
1983-11-01,80.62592
1983-12-01,81.03271
1984-01-01,81.35815
1984-02-01,81.11407
1984-03-01,80.95135
1984-04-01,79.64963
1984-05-01,81.76494
1984-06-01,79.81234
1984-07-01,81.19543
1984-08-01,81.19543
1984-09-01,81.03271
1984-10-01,81.35815
1984-11-01,80.13777
1984-12-01,80.13777
1985-01-01,80.76293
1985-02-01,82.14114
1985-03-01,82.50866
1985-04-01,81.58985
1985-05-01,82.41678
1985-06-01,81.22233
1985-07-01,81.40609
1985-08-01,81.40609
1985-09-01,81.58985
1985-10-01,82.41678
1985-11-01,83.33558
1985-12-01,82.50866
1986-01-01,82.87618
1986-02-01,82.04926
1986-03-01,81.77361
1986-04-01,83.88686
1986-05-01,81.31421
1986-06-01,81.95737
1986-07-01,82.04926
1986-08-01,82.04926
1986-09-01,82.78430
1986-10-01,83.51934
1986-11-01,82.32490
1986-12-01,82.87618
1987-01-01,80.67105
1987-02-01,82.60054
1987-03-01,83.51934
1987-04-01,82.69242
1987-05-01,83.42746
1987-06-01,83.88686
1987-07-01,82.87618
1987-08-01,82.87618
1987-09-01,84.07063
1987-10-01,84.62191
1987-11-01,84.62191
1987-12-01,85.81635
1988-01-01,85.72447
1988-02-01,87.01080
1988-03-01,87.10268
1988-04-01,85.81635
1988-05-01,86.91892
1988-06-01,87.47020
1988-07-01,86.82704
1988-08-01,86.82704
1988-09-01,88.57277
1988-10-01,86.55140
1988-11-01,88.84841
1988-12-01,89.95097
1989-01-01,89.49158
1989-02-01,89.30782
1989-03-01,89.39970
1989-04-01,91.05354
1989-05-01,90.04285
1989-06-01,91.23730
1989-07-01,90.22662
1989-08-01,90.22662
1989-09-01,90.13474
1989-10-01,90.96166
1989-11-01,91.97234
1989-12-01,92.24799
1990-01-01,91.27951
1990-02-01,92.77011
1990-03-01,92.30920
1990-04-01,92.77011
1990-05-01,93.04469
1990-06-01,91.67178
1990-07-01,91.71100
1990-08-01,91.23048
1990-09-01,91.92674
1990-10-01,91.57371
1990-11-01,90.54402
1990-12-01,91.64236
1991-01-01,92.89760
1991-02-01,92.53475
1991-03-01,91.37758
1991-04-01,91.32854
1991-05-01,91.44622
1991-06-01,91.80907
1991-07-01,90.25963
1991-08-01,91.25009
1991-09-01,91.55409
1991-10-01,91.15202
1991-11-01,92.61320
1991-12-01,91.77965
1992-01-01,92.01501
1992-02-01,91.27951
1992-03-01,92.17191
1992-04-01,91.52467
1992-05-01,91.54429
1992-06-01,90.45576
1992-07-01,90.11253
1992-08-01,90.39692
1992-09-01,89.12207
1992-10-01,90.02427
1992-11-01,88.85729
1992-12-01,87.70012
1993-01-01,87.58244
1993-02-01,87.71973
1993-03-01,87.33727
1993-04-01,86.71946
1993-05-01,86.62139
1993-06-01,85.92513
1993-07-01,87.10191
1993-08-01,86.52333
1993-09-01,87.07249
1993-10-01,87.48437
1993-11-01,86.86655
1993-12-01,86.07223
1994-01-01,87.64127
1994-02-01,87.37650
1994-03-01,87.38631
1994-04-01,89.77911
1994-05-01,89.68104
1994-06-01,90.15176
1994-07-01,91.01473
1994-08-01,91.51487
1994-09-01,91.20106
1994-10-01,92.07384
1994-11-01,92.83875
1994-12-01,92.75050
1995-01-01,93.49580
1995-02-01,92.86817
1995-03-01,93.63309
1995-04-01,93.60367
1995-05-01,93.19180
1995-06-01,93.81941
1995-07-01,94.25090
1995-08-01,93.65270
1995-09-01,93.78999
1995-10-01,91.98559
1995-11-01,91.97578
1995-12-01,93.92728
1996-01-01,93.06431
1996-02-01,93.35851
1996-03-01,94.01554
1996-04-01,93.07411
1996-05-01,94.88833
1996-06-01,94.18226
1996-07-01,92.47591
1996-08-01,94.45684
1996-09-01,94.63335
1996-10-01,93.66251
1996-11-01,94.83929
1996-12-01,94.96678
1997-01-01,94.15283
1997-02-01,94.92755
1997-03-01,95.30020
1997-04-01,98.66386
1997-05-01,96.85944
1997-06-01,97.57533
1997-07-01,97.77146
1997-08-01,101.50780
1997-09-01,99.14438
1997-10-01,101.55680
1997-11-01,99.28167
1997-12-01,101.19390
1998-01-01,101.21360
1998-02-01,101.90000
1998-03-01,100.71340
1998-04-01,102.03730
1998-05-01,103.31220
1998-06-01,102.66490
1998-07-01,103.24350
1998-08-01,100.62520
1998-09-01,102.50800
1998-10-01,102.48840
1998-11-01,103.12580
1998-12-01,102.40020
1999-01-01,102.68450
1999-02-01,102.36090
1999-03-01,102.25310
1999-04-01,103.12580
1999-05-01,103.47890
1999-06-01,104.90080
1999-07-01,105.15580
1999-08-01,103.17490
1999-09-01,105.99920
1999-10-01,107.34270
1999-11-01,107.40150
1999-12-01,106.45030
2000-01-01,107.25440
2000-02-01,107.54860
2000-03-01,108.26450
2000-04-01,108.90190
2000-05-01,110.23560
2000-06-01,108.80380
2000-07-01,110.09830
2000-08-01,109.10780
2000-09-01,109.36280
2000-10-01,110.65730
2000-11-01,110.46120
2000-12-01,111.37320
2001-01-01,110.95150
2001-02-01,111.65760
2001-03-01,112.14790
2001-04-01,110.29440
2001-05-01,111.12800
2001-06-01,111.18680
2001-07-01,109.65700
2001-08-01,112.35380
2001-09-01,110.73570
2001-10-01,110.01990
2001-11-01,108.76460
2001-12-01,109.42170
2002-01-01,109.41180
2002-02-01,109.83350
2002-03-01,110.31410
2002-04-01,111.01030
2002-05-01,110.01990
2002-06-01,109.90220
2002-07-01,108.75480
2002-08-01,110.72590
2002-09-01,109.39220
2002-10-01,108.49980
2002-11-01,109.54910
2002-12-01,106.97980
2003-01-01,109.21570
2003-02-01,110.17680
2003-03-01,109.34320
2003-04-01,109.35300
2003-05-01,106.80330
2003-06-01,106.48950
2003-07-01,108.41160
2003-08-01,107.93110
2003-09-01,107.54860
2003-10-01,110.15720
2003-11-01,107.99970
2003-12-01,108.67640
2004-01-01,109.34320
2004-02-01,110.47100
2004-03-01,110.11790
2004-04-01,110.13750
2004-05-01,109.51970
2004-06-01,110.60830
2004-07-01,111.04950
2004-08-01,107.11710
2004-09-01,110.85340
2004-10-01,111.70660
2004-11-01,109.85310
2004-12-01,110.08850
2005-01-01,111.84390
2005-02-01,110.61810
2005-03-01,108.19580
2005-04-01,111.02010
2005-05-01,109.82370
2005-06-01,109.70600
2005-07-01,109.39220
2005-08-01,108.75480
2005-09-01,111.51050
2005-10-01,108.24490
2005-11-01,112.59900
2005-12-01,111.24570
2006-01-01,110.53960
2006-02-01,109.80410
2006-03-01,111.77520
2006-04-01,111.22610
2006-05-01,113.00110
2006-06-01,112.78530
2006-07-01,111.31430
2006-08-01,110.54940
2006-09-01,112.27540
2006-10-01,111.32410
2006-11-01,110.62790
2006-12-01,112.51070
2007-01-01,111.31430
2007-02-01,112.31460
2007-03-01,113.17760
2007-04-01,111.30450
2007-05-01,114.00130
2007-06-01,113.55020
2007-07-01,113.66790
2007-08-01,114.36420
2007-09-01,111.73600
2007-10-01,114.26610
2007-11-01,112.26560
2007-12-01,112.47150
2008-01-01,113.48160
2008-02-01,114.48180
2008-03-01,113.21680
2008-04-01,115.59980
2008-05-01,110.22580
2008-06-01,109.85310
2008-07-01,110.68670
2008-08-01,109.25490
2008-09-01,108.74500
2008-10-01,106.74450
2008-11-01,101.43910
2008-12-01,100.07600
2009-01-01,96.35931
2009-02-01,95.02562
2009-03-01,93.29967
2009-04-01,93.26044
2009-05-01,94.37839
2009-06-01,95.61401
2009-07-01,95.25117
2009-08-01,96.79080
2009-09-01,97.31055
2009-10-01,96.68293
2009-11-01,97.62436
2009-12-01,97.30074
2010-01-01,98.35004
2010-02-01,97.69301
2010-03-01,99.61509
2010-04-01,99.25225
2010-05-01,100.01720
2010-06-01,99.63470
2010-07-01,100.34080
2010-08-01,99.16399
2010-09-01,100.50750
2010-10-01,100.29170
2010-11-01,101.59600
2010-12-01,102.92970
2011-01-01,104.14570
2011-02-01,104.50860
2011-03-01,103.17490
2011-04-01,101.44890
2011-05-01,104.76350
2011-06-01,101.91960
2011-07-01,103.02780
2011-08-01,102.14520
2011-09-01,101.44890
2011-10-01,101.65490
2011-11-01,103.72400
2011-12-01,101.68430
2012-01-01,101.17430
2012-02-01,102.17460
2012-03-01,101.38030
2012-04-01,101.59600
2012-05-01,100.09560
2012-06-01,99.24244
2012-07-01,99.85045
2012-08-01,101.88040
2012-09-01,99.84064
2012-10-01,98.41869
2012-11-01,98.51675
2012-12-01,98.98747
2013-01-01,98.82076
2013-02-01,100.39960
2013-03-01,100.56630
2013-04-01,101.88040
2013-05-01,101.48810
2013-06-01,100.02700
2013-07-01,99.39935
2013-08-01,98.64424
2013-09-01,99.61509
2013-10-01,99.17380
2013-11-01,100.62520
2013-12-01,99.60529
2014-01-01,98.26179
2014-02-01,100.13480
2014-03-01,99.47780
2014-04-01,99.45819
2014-05-01,97.90875
2014-06-01,99.30128
2014-07-01,100.09560
2014-08-01,98.50695
2014-09-01,99.75239
2014-10-01,98.13430
2014-11-01,96.74177
2014-12-01,100.17410
2015-01-01,99.80141
2015-02-01,100.80170
2015-03-01,100.62520
2015-04-01,99.58567
2015-05-01,100.33100
2015-06-01,100.55650
2015-07-01,99.64451
2015-08-01,100.58590
2015-09-01,101.62540
2015-10-01,101.69410
2015-11-01,99.43858
2015-12-01,99.78181
2016-01-01,101.34100
2016-02-01,101.25280
2016-03-01,100.47810
2016-04-01,101.92940
2016-05-01,100.18390
2016-06-01,99.57587
2016-07-01,99.57587
2016-08-01,101.36070
2016-09-01,100.40940
2016-10-01,100.02700
2016-11-01,102.11580
2016-12-01,101.40970
2017-01-01,101.42930
2017-02-01,100.75270
2017-03-01,102.41980
2017-04-01,101.44890
2017-05-01,103.68480
2017-06-01,102.55710
2017-07-01,102.62570
2017-08-01,102.99840
2017-09-01,104.13590
2017-10-01,104.61640
2017-11-01,104.81260
2017-12-01,106.20510
2018-01-01,102.47860
2018-02-01,104.14570
2018-03-01,104.83220
2018-04-01,103.75350
2018-05-01,102.46880
2018-06-01,104.57720
2018-07-01,104.06730
2018-08-01,104.35170
2018-09-01,103.23370
2018-10-01,104.72430
2018-11-01,103.41020
2018-12-01,104.65570
2019-01-01,105.17540
2019-02-01,105.39120
2019-03-01,105.08720
2019-04-01,105.20480
2019-05-01,106.78370
2019-06-01,103.79270
2019-07-01,104.76350
2019-08-01,103.24350
2019-09-01,104.51840
2019-10-01,104.36150
2019-11-01,103.52790
2019-12-01,101.44890
2020-01-01,102.38050
2020-02-01,104.17510
2020-03-01,85.98396
2020-04-01,68.45963
2020-05-01,81.37488
2020-06-01,91.54429
2020-07-01,95.20214
2020-08-01,95.89841
2020-09-01,97.46745
2020-10-01,99.88968
2020-11-01,98.10488
2020-12-01,97.38900
2021-01-01,100.34080
2021-02-01,96.49660
2021-03-01,98.36966
2021-04-01,98.01662
2021-05-01,97.73223
2021-06-01,97.81068
2021-07-01,98.16372
2021-08-01,98.29121
2021-09-01,96.95751
2021-10-01,99.04631
2021-11-01,97.71262
2021-12-01,97.84991
2022-01-01,99.79161
2022-02-01,98.26179
2022-03-01,98.17353
2022-04-01,97.44784
2022-05-01,97.40862
2022-06-01,98.81095
2022-07-01,97.43803
2022-08-01,99.83083
2022-09-01,98.95805
2022-10-01,95.28059
2022-11-01,97.42823
2022-12-01,98.57560
2023-01-01,97.31055
2023-02-01,98.97767
2023-03-01,97.41842
2023-04-01,98.03623
2023-05-01,99.24244
2023-06-01,98.70308
2023-07-01,98.56579
2023-08-01,98.94824
2023-09-01,98.76192
2023-10-01,98.18333
2023-11-01,98.72269
2023-12-01,99.08554
2024-01-01,98.16372
2024-02-01,98.40888
2024-03-01,98.08527
