observation_date,ULQELP01EZQ661S
1995-01-01,86.0578485537862
1995-04-01,86.4078398040049
1995-07-01,86.6078348041299
1995-10-01,86.7078323041924
1996-01-01,86.7978300542486
1996-04-01,87.2178195545111
1996-07-01,87.4278143046424
1996-10-01,87.7278068048299
1997-01-01,87.7578060548486
1997-04-01,88.5677858053549
1997-07-01,88.9977750556236
1997-10-01,89.6777580560486
1998-01-01,89.7477563060924
1998-04-01,89.6677583060424
1998-07-01,89.6377590560236
1998-10-01,89.3877653058674
1999-01-01,89.8977525561861
1999-04-01,89.9977500562486
1999-07-01,90.5777355566111
1999-10-01,91.1777205569861
2000-01-01,91.6477088072798
2000-04-01,91.9177020574486
2000-07-01,91.9977000574986
2000-10-01,92.1876953076173
2001-01-01,92.8876778080548
2001-04-01,92.8876778080548
2001-07-01,92.8276793080173
2001-10-01,92.6676833079173
2002-01-01,92.5276868078298
2002-04-01,92.8976775580610
2002-07-01,93.1476713082173
2002-10-01,93.2776680582986
2003-01-01,92.9276768080798
2003-04-01,92.8676783080423
2003-07-01,93.2876678083048
2003-10-01,93.7376565585860
2004-01-01,94.0876478088048
2004-04-01,94.4376390590235
2004-07-01,94.4476388090298
2004-10-01,94.5476363090923
2005-01-01,94.5976350591235
2005-04-01,94.8976275593110
2005-07-01,95.3876153096173
2005-10-01,95.5476113097172
2006-01-01,95.9476013099672
2006-04-01,96.4775880602985
2006-07-01,96.6575835604110
2006-10-01,97.3275668108297
2007-01-01,97.4475638109047
2007-04-01,97.6375590610235
2007-07-01,97.6575585610360
2007-10-01,97.8275543111422
2008-01-01,97.9075523111922
2008-04-01,97.5675608109797
2008-07-01,97.2275693107672
2008-10-01,95.8276043098923
2009-01-01,93.5976600584985
2009-04-01,94.1976450588735
2009-07-01,94.9276268093298
2009-10-01,95.5776105597360
2010-01-01,95.9976000599985
2010-04-01,96.9975750606235
2010-07-01,97.3775655608610
2010-10-01,97.7975550611235
2011-01-01,98.5875353116172
2011-04-01,98.4675383115422
2011-07-01,98.7275318117047
2011-10-01,98.4775380615484
2012-01-01,98.2475438114047
2012-04-01,98.0775480612985
2012-07-01,98.1575460613485
2012-10-01,97.9675508112297
2013-01-01,97.8375540611485
2013-04-01,98.4375390615235
2013-07-01,98.6375340616485
2013-10-01,98.7675308117297
2014-01-01,98.9775255618610
2014-04-01,98.9075273118172
2014-07-01,99.1075223119422
2014-10-01,99.3075173120672
2015-01-01,99.8375040623984
2015-04-01,100.0074998125050
2015-07-01,100.0074998125050
2015-10-01,100.1474963125920
2016-01-01,100.3874903127420
2016-04-01,100.1874953126170
2016-07-01,100.3374915627110
2016-10-01,100.7874803129920
2017-01-01,101.0674733131670
2017-04-01,101.4574635634110
2017-07-01,101.7474563135920
2017-10-01,102.2274443138920
2018-01-01,101.7474563135920
2018-04-01,101.8074548136300
2018-07-01,101.4974625634360
2018-10-01,101.9174520636980
2019-01-01,102.0374490637730
2019-04-01,102.0574485637860
2019-07-01,102.0674483137920
2019-10-01,101.9474513137170
2020-01-01,98.6475338116547
2020-04-01,90.1877453063674
2020-07-01,99.9575010624734
2020-10-01,99.3275168120797
2021-01-01,99.8875028124297
2021-04-01,101.1974700632480
2021-07-01,102.0974475638110
2021-10-01,101.9674508137300
2022-01-01,102.1674458138550
2022-04-01,102.5874353141170
2022-07-01,102.7274318142050
2022-10-01,102.2674433139170
2023-01-01,101.8074548136300
2023-04-01,101.7974550636230
2023-07-01,101.4274643133920
