observation_date,NAEXKP04EZQ657S
1995-04-01,0.74963144052277197
1995-07-01,0.30534714305812399
1995-10-01,0.64159692370082699
1996-01-01,-2.06993865648485986
1996-04-01,3.71541769345064976
1996-07-01,0.66919083850246797
1996-10-01,0.09023472548373861
1997-01-01,-0.80188780909029400
1997-04-01,1.82792627891650006
1997-07-01,0.55456597661965201
1997-10-01,2.09456896205472010
1998-01-01,2.02779975651615985
1998-04-01,0.34698710368231500
1998-07-01,1.65458557881753010
1998-10-01,0.76864574211291703
1999-01-01,1.97502819128929996
1999-04-01,1.50531606480662994
1999-07-01,1.68442648996158995
1999-10-01,0.86710345645888998
2000-01-01,1.64966139678617996
2000-04-01,0.95618202183446499
2000-07-01,1.16070972573363007
2000-10-01,0.09208799397775499
2001-01-01,0.84795300171069599
2001-04-01,-0.23105715573409699
2001-07-01,-0.70422700044942499
2001-10-01,-0.32764104885332301
2002-01-01,-0.19665651873627901
2002-04-01,-1.10484721692305010
2002-07-01,0.45008754888990299
2002-10-01,0.62492831073997801
2003-01-01,-0.13026801825576900
2003-04-01,0.29297640746956399
2003-07-01,0.77680199502732505
2003-10-01,1.01150367732075996
2004-01-01,-0.00963591664136360
2004-04-01,0.70457016679431905
2004-07-01,0.20155234724961599
2004-10-01,0.35694594415852599
2005-01-01,0.34269238007835501
2005-04-01,1.72664513306224010
2005-07-01,1.20319914129046990
2005-10-01,0.76892297794657505
2006-01-01,1.23072666573227996
2006-04-01,2.35235473271342022
2006-07-01,0.73493460637816199
2006-10-01,2.27185608185888999
2007-01-01,1.37147364380101999
2007-04-01,0.46419436112087897
2007-07-01,0.40926805158633800
2007-10-01,1.73479741431445000
2008-01-01,-0.25560472036015702
2008-04-01,-1.47196946994920008
2008-07-01,-1.43036900915319998
2008-10-01,-2.97622870237393000
2009-01-01,-5.93233172648116991
2009-04-01,-2.32198247150680981
2009-07-01,-0.78271277133581196
2009-10-01,0.06211019045770530
2010-01-01,-1.13510610817583002
2010-04-01,2.21940928611524990
2010-07-01,-0.14735523767112299
2010-10-01,-0.06227052022536860
2011-01-01,1.52367870180484011
2011-04-01,-0.08482162071654110
2011-07-01,0.01869581359931780
2011-10-01,-0.51714226577072397
2012-01-01,-1.36100828302647003
2012-04-01,-0.48553853350301701
2012-07-01,-1.25614295836921008
2012-10-01,-1.24411943309286999
2013-01-01,-1.80681693957731992
2013-04-01,1.04096516217928992
2013-07-01,0.55061166244741599
2013-10-01,1.03628813522267005
2014-01-01,0.15341027396366599
2014-04-01,-0.64144777909382800
2014-07-01,0.68015365535790095
2014-10-01,0.29125594679214900
2015-01-01,-0.00999394631781950
2015-04-01,7.79508617297172002
2015-07-01,-4.72037372325844018
2015-10-01,2.85433228954671980
2016-01-01,0.65373893727129395
2016-04-01,1.16163083232579001
2016-07-01,0.64570786112436296
2016-10-01,1.55699458158931003
2017-01-01,-1.17510210552882000
2017-04-01,7.48123806178279960
2017-07-01,-4.19023029810383019
2017-10-01,0.75943040951109497
2018-01-01,0.13459348613054900
2018-04-01,1.91198685232228005
2018-07-01,0.50941402898273702
2018-10-01,4.38682247853667029
2019-01-01,-2.25957038564650992
2019-04-01,6.98324975224076017
2019-07-01,-4.85854873214807981
2019-10-01,9.11951803444928899
2020-01-01,-4.76230956590002030
2020-04-01,-18.85479319981930146
2020-07-01,14.95426767550650027
2020-10-01,3.83836253992895982
2021-01-01,-2.21788737556263005
2021-04-01,1.87229860178597995
2021-07-01,-0.70553338728866599
2021-10-01,3.35458524910574019
2022-01-01,-0.63108012382679002
2022-04-01,0.95637175312462297
2022-07-01,3.99134576201859037
2022-10-01,-3.53450366394779003
2023-01-01,0.64795566275846395
