observation_date,DEUPIEAMP01GPM
1995-02-01,0.1983712850
1995-03-01,0.0000000000
1995-04-01,0.3021777498
1995-05-01,0.0000000000
1995-06-01,0.1038853033
1995-07-01,0.0000000000
1995-08-01,0.1971772694
1995-09-01,0.0000000000
1995-10-01,-0.1035732828
1995-11-01,-0.1969932661
1995-12-01,0.0000000000
1996-01-01,0.1038853033
1996-02-01,0.0933997636
1996-03-01,-0.0933126099
1996-04-01,0.1971772694
1996-05-01,-0.1035732828
1996-06-01,-0.0933126099
1996-07-01,-0.1037774937
1996-08-01,-0.0934967802
1996-09-01,0.1975668021
1996-10-01,0.1971772694
1996-11-01,-0.1035732828
1996-12-01,0.1036806683
1997-01-01,0.1967892217
1997-02-01,0.1033698501
1997-03-01,-0.1032631071
1997-04-01,0.2067397121
1997-05-01,0.2888384627
1997-06-01,0.1028594867
1997-07-01,0.1027538066
1997-08-01,0.1950318144
1997-09-01,0.1024485243
1997-10-01,0.0000000000
1997-11-01,0.0000000000
1997-12-01,-0.1023436747
1998-01-01,0.1024485243
1998-02-01,-0.1023436747
1998-03-01,0.0000000000
1998-04-01,0.0000000000
1998-05-01,-0.1024485124
1998-06-01,-0.0922982264
1998-07-01,0.0000000000
1998-08-01,-0.2976801459
1998-09-01,-0.1029548075
1998-10-01,-0.2988766341
1998-11-01,-0.0930328722
1998-12-01,-0.3000517431
1999-01-01,-0.1971772453
1999-02-01,-0.1039825236
1999-03-01,0.1040907598
1999-04-01,0.3951336283
1999-05-01,-0.1035732828
1999-06-01,0.2073613245
1999-07-01,0.3000517311
1999-08-01,0.1959975296
1999-09-01,0.2985689263
1999-10-01,0.1950318144
1999-11-01,0.1946521926
1999-12-01,0.1942740339
2000-01-01,0.6225124857
2000-02-01,0.3042596487
2000-03-01,0.2022244549
2000-04-01,0.2018163680
2000-05-01,0.4028197214
2000-06-01,0.2006018145
2000-07-01,0.3003002907
2000-08-01,0.1996008075
2000-09-01,0.5976095542
2000-10-01,0.0990099055
2000-11-01,0.0000000000
2000-12-01,-0.2967358956
2001-01-01,0.0000000000
2001-02-01,0.1984126844
2001-03-01,0.1980197995
2001-04-01,0.1976284675
2001-05-01,0.1972386448
2001-06-01,0.0000000000
2001-07-01,-0.2952755697
2001-08-01,-0.0987166991
2001-09-01,0.0988142452
2001-10-01,-0.2961500628
2001-11-01,-0.1980197880
2001-12-01,-0.1984127074
2002-01-01,0.2982107376
2002-02-01,0.0000000000
2002-03-01,0.2973240738
2002-04-01,0.1976284675
2002-05-01,0.0000000000
2002-06-01,-0.0986193224
2002-07-01,0.0000000000
2002-08-01,0.0987166761
2002-09-01,0.0986193224
2002-10-01,0.0985221605
2002-11-01,-0.2952755697
2002-12-01,0.0987166761
2003-01-01,0.2958579902
2003-02-01,0.2949852413
2003-03-01,0.0980392201
2003-04-01,-0.2938295695
2003-05-01,-0.2946954947
2003-06-01,-0.0985221605
2003-07-01,-0.0986193224
2003-08-01,0.0000000000
2003-09-01,0.0987166761
2003-10-01,0.0000000000
2003-11-01,0.0000000000
2003-12-01,-0.0986193224
2004-01-01,0.0000000000
2004-02-01,0.0987166761
2004-03-01,0.4930966465
