observation_date,DEUPIEAMP01GPM
2004-04-01,0.4906771340
2004-05-01,0.2929687406
2004-06-01,-0.0973709766
2004-07-01,0.3898635542
2004-08-01,0.1941747548
2004-09-01,0.1937984472
2004-10-01,0.4835589937
2004-11-01,-0.1924927791
2004-12-01,0.0000000000
2005-01-01,0.1928640284
2005-02-01,0.2012072419
2005-03-01,0.2008032225
2005-04-01,0.0000000000
2005-05-01,-0.2004008112
2005-06-01,0.3012048281
2005-07-01,0.0000000000
2005-08-01,0.2002001987
2005-09-01,0.3996003965
2005-10-01,0.1990049736
2005-11-01,-0.1986097304
2005-12-01,0.0000000000
2006-01-01,0.0995024868
2006-02-01,0.2982107333
2006-03-01,0.1982160540
2006-04-01,0.5934718166
2006-05-01,0.2949852376
2006-06-01,0.0000000000
2006-07-01,0.4901960856
2006-08-01,0.0000000000
2006-09-01,-0.2926829246
2006-10-01,0.3913894295
2006-11-01,-0.0974658862
2006-12-01,0.0000000000
2007-01-01,0.0975609749
2007-02-01,0.1949317724
2007-03-01,0.2918288024
2007-04-01,0.3879728389
2007-05-01,0.1932367135
2007-06-01,0.1928640294
2007-07-01,0.0962463900
2007-08-01,0.0000000000
2007-09-01,0.0961538454
2007-10-01,0.1921229572
2007-11-01,0.2876318397
2007-12-01,-0.1912045981
2008-01-01,0.4789272101
2008-02-01,0.4766444302
2008-03-01,0.3795066279
2008-04-01,0.2835538731
2008-05-01,0.5655042475
2008-06-01,0.4686035682
2008-07-01,0.6529850696
2008-08-01,-0.2780352260
2008-09-01,0.0000000000
2008-10-01,-0.7434944182
2008-11-01,-1.2172284552
2008-12-01,-1.2322274997
2009-01-01,-0.2879078673
2009-02-01,-0.2887391701
2009-03-01,-0.3861003832
2009-04-01,0.0000000000
2009-05-01,-0.0968992241
2009-06-01,0.1939864195
2009-07-01,-0.1936108407
2009-08-01,0.3879728389
2009-09-01,-0.0966183568
2009-10-01,0.0000000000
2009-11-01,0.0967117981
2009-12-01,0.0966183568
2010-01-01,0.4826254790
2010-02-01,0.2038736049
2010-03-01,0.5086469992
2010-04-01,0.6072874476
2010-05-01,0.6036217286
2010-06-01,0.3000000043
2010-07-01,0.0000000000
2010-08-01,0.2991026858
2010-09-01,0.1988071634
2010-10-01,0.0000000000
2010-11-01,0.1984126944
2010-12-01,0.5940594042
2011-01-01,0.6889763742
2011-02-01,0.3910068449
2011-03-01,0.4868549175
2011-04-01,0.2906976786
2011-05-01,0.0966183555
2011-06-01,0.0965250946
2011-07-01,0.1928640370
2011-08-01,-0.0962463989
2011-09-01,0.0963391218
2011-10-01,-0.0962463989
2011-11-01,0.0963391218
2011-12-01,0.0000000000
2012-01-01,0.4812319540
2012-02-01,0.3831417546
2012-03-01,0.2862595461
2012-04-01,0.1902949533
2012-05-01,-0.0949667597
2012-06-01,-0.1901140646
2012-07-01,0.0000000000
2012-08-01,0.2857142799
2012-09-01,0.1899335293
2012-10-01,-0.0947867279
2012-11-01,-0.0948766683
2012-12-01,-0.1899335194
2013-01-01,0.0000000000
2013-02-01,0.0951474767
2013-03-01,0.0000000000
2013-04-01,-0.1901140646
2013-05-01,-0.0952380933
2013-06-01,-0.0953288927
2013-07-01,0.0000000000
2013-08-01,0.0000000000
2013-09-01,0.0000000000
2013-10-01,-0.0954198454
2013-11-01,-0.0955109818
2013-12-01,-0.0956022925
2014-01-01,0.0956937779
2014-02-01,0.0956022925
2014-03-01,-0.0955109818
2014-04-01,0.0000000000
2014-05-01,0.0956022925
2014-06-01,0.0955109818
2014-07-01,0.0954198554
2014-08-01,-0.0953288927
2014-09-01,0.0000000000
2014-10-01,-0.0954198454
2014-11-01,-0.1910219636
2014-12-01,-0.4784688998
2015-01-01,0.0961538442
2015-02-01,0.4020100503
2015-03-01,0.4004004004
2015-04-01,0.2991026919
2015-05-01,-0.0994035785
2015-06-01,-0.0995024876
2015-07-01,0.0996015936
2015-08-01,-0.3980099502
2015-09-01,-0.2997002997
2015-10-01,-0.2004008016
2015-11-01,0.1004016064
2015-12-01,-0.4012036108
2016-01-01,-0.2014098691
2016-02-01,-0.3027245207
2016-03-01,0.1012145749
2016-04-01,0.0000000000
2016-05-01,0.2022244692
2016-06-01,0.2018163471
2016-07-01,0.1007049345
2016-08-01,-0.1006036217
2016-09-01,0.1007049345
2016-10-01,0.2012072435
2016-11-01,0.3012048193
2016-12-01,0.5005005005
2017-01-01,0.3984063745
2017-02-01,0.2976190476
2017-03-01,0.0989119683
2017-04-01,0.2964426877
2017-05-01,-0.1970443350
2017-06-01,-0.0987166831
2017-07-01,0.0000000000
2017-08-01,-0.0988142292
2017-09-01,0.1978239367
2017-10-01,0.0987166831
2017-11-01,0.0986193294
2017-12-01,0.0985221675
2018-01-01,0.3937007874
2018-02-01,-0.0980392157
2018-03-01,0.0981354269
2018-04-01,0.2941176471
2018-05-01,0.3910068426
2018-06-01,0.2921129503
2018-07-01,0.0000000000
2018-08-01,0.1941747573
2018-09-01,0.0000000000
2018-10-01,0.1937984496
2018-11-01,0.0000000000
2018-12-01,-0.3868471954
2019-01-01,0.1941747573
2019-02-01,0.0968992248
2019-03-01,0.1936108422
2019-04-01,0.2898550725
2019-05-01,0.0000000000
2019-06-01,-0.0963391137
2019-07-01,0.0964320154
2019-08-01,-0.0963391137
2019-09-01,0.0964320154
2019-10-01,-0.0963391137
2019-11-01,0.0000000000
2019-12-01,0.0964320154
2020-01-01,0.2890173410
2020-02-01,0.0000000000
2020-03-01,-0.5763688761
2020-04-01,-0.3864734300
2020-05-01,-0.2909796314
2020-06-01,0.0000000000
2020-07-01,0.0972762646
2020-08-01,-0.0971817298
2020-09-01,0.0000000000
2020-10-01,0.0000000000
2020-11-01,0.1945525292
2020-12-01,0.0970873786
2021-01-01,0.7759456838
2021-02-01,0.5774783446
2021-03-01,0.7655502392
2021-04-01,0.7597340931
2021-05-01,0.7540056550
2021-06-01,0.7483629560
2021-07-01,1.1142061281
2021-08-01,0.6427915519
2021-09-01,0.5474452555
2021-10-01,0.9981851180
2021-11-01,0.6289308176
2021-12-01,0.4464285714
2022-01-01,2.4000000000
2022-02-01,1.0416666667
2022-03-01,2.5773195876
2022-04-01,2.0938023451
2022-05-01,1.0664479081
2022-06-01,0.5681818182
2022-07-01,0.6456820016
2022-08-01,0.3207698476
2022-09-01,0.5595523581
2022-10-01,0.4769475358
2022-11-01,-0.4746835443
2022-12-01,-0.4769475358
