observation_date,ULQELP01FRQ661S
1960-01-01,27.1051580971508
1960-04-01,27.7621580480875
1960-07-01,28.2175750724555
1960-10-01,28.5134990079002
1961-01-01,28.9154195995687
1961-04-01,29.1103279246647
1961-07-01,29.4007228991879
1961-10-01,29.9367332458164
1962-01-01,30.5798858892200
1962-04-01,31.0475562864410
1962-07-01,31.6301394120025
1962-10-01,31.9293010272660
1963-01-01,31.6905594984684
1963-04-01,32.9239162676226
1963-07-01,33.8890935268569
1963-10-01,33.7984384919286
1964-01-01,34.4018423892483
1964-04-01,34.7106672335097
1964-07-01,34.9758581159044
1964-10-01,35.4474137289081
1965-01-01,35.6665797474161
1965-04-01,36.2545922129815
1965-07-01,36.7346156039730
1965-10-01,37.2115507465218
1966-01-01,37.4572159290858
1966-04-01,37.9407260521899
1966-07-01,38.3460835655123
1966-10-01,38.5683378324630
1967-01-01,39.1541586378433
1967-04-01,39.5866628511855
1967-07-01,40.0970706220156
1967-10-01,40.5589630060213
1968-01-01,41.6644563275596
1968-04-01,39.5848198642117
1968-07-01,42.5841566379534
1968-10-01,42.9919050532959
1969-01-01,43.1964766073897
1969-04-01,43.8882940689940
1969-07-01,44.2934025300226
1969-10-01,44.7844340323982
1970-01-01,45.3156625749865
1970-04-01,45.9330632112155
1970-07-01,46.3063427891018
1970-10-01,46.8548057504182
1971-01-01,47.5730227551609
1971-04-01,48.0366585052230
1971-07-01,48.6502237361281
1971-10-01,49.0621064195470
1972-01-01,49.5476089610011
1972-04-01,49.8767066619745
1972-07-01,50.4622286046023
1972-10-01,51.0867023259741
1973-01-01,51.7738874149144
1973-04-01,52.4054840318876
1973-07-01,53.0326475180320
1973-10-01,53.4260007107952
1974-01-01,54.1401332579203
1974-04-01,54.4387469581375
1974-07-01,54.9703241739371
1974-10-01,54.1450146828780
1975-01-01,54.0234273530647
1975-04-01,54.0019092348839
1975-07-01,54.0417576018854
1975-10-01,55.0701941437346
1976-01-01,55.4143346032510
1976-04-01,55.9998067354200
1976-07-01,56.4573656095144
1976-10-01,56.6949116873019
1977-01-01,57.2229523605301
1977-04-01,57.2950779048028
1977-07-01,57.7148306407044
1977-10-01,58.0956315978622
1978-01-01,58.5674860736184
1978-04-01,59.1135083224560
1978-07-01,59.5162756919233
1978-10-01,60.0857586668330
1979-01-01,60.4995341476845
1979-04-01,60.6987261722331
1979-07-01,61.3519405283047
1979-10-01,61.4244147457886
1980-01-01,64.8516233602086
1980-04-01,64.2967348497131
1980-07-01,64.3728950411447
1980-10-01,64.2437863320599
1981-01-01,64.4252458332928
1981-04-01,64.9377954538492
1981-07-01,65.5341760764849
1981-10-01,65.8852900002266
1982-01-01,66.3201353051302
1982-04-01,66.6872383861312
1982-07-01,66.5505584873161
1982-10-01,66.9515326802684
1983-01-01,67.2707679104089
1983-04-01,67.3700899651601
1983-07-01,67.5116512889328
1983-10-01,67.9587499666892
1984-01-01,68.3337231001731
1984-04-01,68.7820172289396
1984-07-01,69.3315262098898
1984-10-01,69.3514005829318
1985-01-01,69.6022460532060
1985-04-01,70.2028605648356
1985-07-01,70.5418705471006
1985-10-01,70.8083565014229
1986-01-01,70.9665047079600
1986-04-01,71.6033812335610
1986-07-01,71.8108417942624
1986-10-01,71.7723383096472
1987-01-01,71.6908483991292
1987-04-01,72.5525195250772
1987-07-01,72.8624401994311
1987-10-01,73.8386255700496
1988-01-01,74.6135766873106
1988-04-01,75.0314864362385
1988-07-01,75.7274879763779
1988-10-01,75.9849084272074
1989-01-01,76.4114851959581
1989-04-01,77.0251500477807
1989-07-01,77.7403784249982
1989-10-01,78.4555569917571
1990-01-01,78.5106971695954
1990-04-01,78.8835782638116
1990-07-01,79.2633332013356
1990-10-01,79.0555737778817
1991-01-01,79.0908395826780
1991-04-01,79.3645978639781
1991-07-01,79.7243788075426
1991-10-01,80.2773745206054
1992-01-01,81.0886872727554
1992-04-01,81.3171180365912
1992-07-01,81.3118381279636
1992-10-01,81.5165591134336
1993-01-01,81.3127845266798
1993-04-01,81.4873701846050
1993-07-01,81.6635995876690
1993-10-01,81.9114066199594
1994-01-01,82.3330023428349
1994-04-01,82.9354598414384
1994-07-01,83.3510783092637
1994-10-01,83.8324465826414
1995-01-01,83.9430756115292
1995-04-01,84.2942393457296
1995-07-01,84.2762577701202
1995-10-01,84.0876753732858
1996-01-01,84.5877225686954
1996-04-01,84.6387782889161
1996-07-01,84.9315641654594
1996-10-01,85.0939960714491
1997-01-01,85.1322505037705
1997-04-01,85.8056380956366
