observation_date,BSCICP03DEM665S
1982-03-01,97.56675
1982-04-01,97.35566
1982-05-01,97.09843
1982-06-01,96.78675
1982-07-01,96.45963
1982-08-01,96.27966
1982-09-01,96.31050
1982-10-01,96.57921
1982-11-01,97.04536
1982-12-01,97.64656
1983-01-01,98.18544
1983-02-01,98.63111
1983-03-01,98.89455
1983-04-01,98.97137
1983-05-01,98.99264
1983-06-01,99.03036
1983-07-01,99.15508
1983-08-01,99.31929
1983-09-01,99.46809
1983-10-01,99.61040
1983-11-01,99.74893
1983-12-01,99.85567
1984-01-01,99.92986
1984-02-01,99.93004
1984-03-01,99.89649
1984-04-01,99.91219
1984-05-01,99.97980
1984-06-01,100.04480
1984-07-01,100.04570
1984-08-01,100.00530
1984-09-01,99.99114
1984-10-01,99.99925
1984-11-01,100.04730
1984-12-01,100.16660
1985-01-01,100.23590
1985-02-01,100.25440
1985-03-01,100.27620
1985-04-01,100.32050
1985-05-01,100.35030
1985-06-01,100.31040
1985-07-01,100.29780
1985-08-01,100.36600
1985-09-01,100.46690
1985-10-01,100.57140
1985-11-01,100.61500
1985-12-01,100.59360
1986-01-01,100.52000
1986-02-01,100.39790
1986-03-01,100.28420
1986-04-01,100.23450
1986-05-01,100.21610
1986-06-01,100.22910
1986-07-01,100.20660
1986-08-01,100.10780
1986-09-01,99.98775
1986-10-01,99.88398
1986-11-01,99.83080
1986-12-01,99.72765
1987-01-01,99.55708
1987-02-01,99.45252
1987-03-01,99.46877
1987-04-01,99.52171
1987-05-01,99.56046
1987-06-01,99.62029
1987-07-01,99.73679
1987-08-01,99.87430
1987-09-01,99.96239
1987-10-01,99.98199
1987-11-01,99.92435
1987-12-01,99.85388
1988-01-01,99.89511
1988-02-01,100.05600
1988-03-01,100.25750
1988-04-01,100.43120
1988-05-01,100.58890
1988-06-01,100.75470
1988-07-01,100.86610
1988-08-01,100.97310
1988-09-01,101.05620
1988-10-01,101.10800
1988-11-01,101.13170
1988-12-01,101.13720
1989-01-01,101.16410
1989-02-01,101.22900
1989-03-01,101.32220
1989-04-01,101.41370
1989-05-01,101.52460
1989-06-01,101.57640
1989-07-01,101.56310
1989-08-01,101.54640
1989-09-01,101.56270
1989-10-01,101.62850
1989-11-01,101.68870
1989-12-01,101.69150
1990-01-01,101.68200
1990-02-01,101.71630
1990-03-01,101.82470
1990-04-01,101.89410
1990-05-01,101.91330
1990-06-01,101.96230
1990-07-01,102.08710
1990-08-01,102.20370
1990-09-01,102.30280
1990-10-01,102.27420
1990-11-01,102.09070
1990-12-01,101.67120
1991-01-01,101.06490
1991-02-01,100.58770
1991-03-01,100.25190
1991-04-01,100.06700
1991-05-01,99.97483
1991-06-01,99.90567
1991-07-01,99.78754
1991-08-01,99.65089
1991-09-01,99.54651
1991-10-01,99.49401
1991-11-01,99.43313
1991-12-01,99.35862
1992-01-01,99.27522
1992-02-01,99.15444
1992-03-01,99.04157
1992-04-01,98.92924
1992-05-01,98.83497
1992-06-01,98.71347
1992-07-01,98.46851
1992-08-01,98.02734
1992-09-01,97.50323
1992-10-01,96.98939
1992-11-01,96.67109
1992-12-01,96.58632
1993-01-01,96.57920
1993-02-01,96.54955
1993-03-01,96.54236
1993-04-01,96.54208
1993-05-01,96.59749
1993-06-01,96.70431
1993-07-01,96.79683
1993-08-01,96.95890
1993-09-01,97.14307
1993-10-01,97.36162
1993-11-01,97.57300
1993-12-01,97.75754
1994-01-01,97.98848
1994-02-01,98.25923
1994-03-01,98.54668
1994-04-01,98.83465
1994-05-01,99.07358
1994-06-01,99.28101
1994-07-01,99.47913
1994-08-01,99.72281
1994-09-01,100.01910
1994-10-01,100.30710
1994-11-01,100.51510
1994-12-01,100.63690
1995-01-01,100.66550
1995-02-01,100.62410
1995-03-01,100.49030
1995-04-01,100.29660
1995-05-01,100.14630
1995-06-01,99.98380
1995-07-01,99.80348
1995-08-01,99.64750
1995-09-01,99.51540
1995-10-01,99.43773
1995-11-01,99.31390
1995-12-01,99.08402
1996-01-01,98.78206
1996-02-01,98.48333
1996-03-01,98.27687
1996-04-01,98.21110
1996-05-01,98.24135
1996-06-01,98.31919
1996-07-01,98.45633
1996-08-01,98.61145
1996-09-01,98.77669
1996-10-01,98.92844
1996-11-01,99.02692
1996-12-01,99.14684
1997-01-01,99.32007
1997-02-01,99.47463
1997-03-01,99.60271
1997-04-01,99.71208
1997-05-01,99.81563
1997-06-01,99.98684
1997-07-01,100.17380
1997-08-01,100.33410
1997-09-01,100.48310
1997-10-01,100.59250
1997-11-01,100.67690
1997-12-01,100.76640
1998-01-01,100.81090
1998-02-01,100.80210
1998-03-01,100.78830
1998-04-01,100.69440
1998-05-01,100.57120
1998-06-01,100.45410
1998-07-01,100.30950
1998-08-01,100.11690
1998-09-01,99.87212
1998-10-01,99.61498
1998-11-01,99.42716
1998-12-01,99.26552
1999-01-01,99.07931
1999-02-01,98.90122
1999-03-01,98.79822
1999-04-01,98.76712
1999-05-01,98.81411
1999-06-01,98.95049
1999-07-01,99.12219
1999-08-01,99.32049
1999-09-01,99.51629
1999-10-01,99.72073
1999-11-01,99.94234
1999-12-01,100.15930
2000-01-01,100.32110
2000-02-01,100.48520
2000-03-01,100.63120
2000-04-01,100.73230
2000-05-01,100.80950
2000-06-01,100.85350
2000-07-01,100.91330
2000-08-01,100.96860
2000-09-01,100.97700
2000-10-01,100.97090
2000-11-01,100.90840
2000-12-01,100.78500
2001-01-01,100.59010
2001-02-01,100.28980
2001-03-01,99.93867
2001-04-01,99.59215
2001-05-01,99.33964
2001-06-01,99.15683
2001-07-01,99.02876
2001-08-01,98.79123
2001-09-01,98.47081
2001-10-01,98.23988
2001-11-01,98.20737
2001-12-01,98.32023
2002-01-01,98.43122
2002-02-01,98.62151
2002-03-01,98.83073
2002-04-01,98.98454
2002-05-01,99.07952
2002-06-01,99.08831
2002-07-01,99.04113
2002-08-01,98.96990
2002-09-01,98.93194
2002-10-01,98.93987
2002-11-01,98.94083
2002-12-01,98.89082
2003-01-01,98.84803
2003-02-01,98.83441
2003-03-01,98.77262
2003-04-01,98.69971
2003-05-01,98.64056
2003-06-01,98.63381
2003-07-01,98.70850
2003-08-01,98.91445
2003-09-01,99.15336
2003-10-01,99.36130
2003-11-01,99.51690
2003-12-01,99.59824
2004-01-01,99.68614
2004-02-01,99.75335
2004-03-01,99.81205
2004-04-01,99.89373
2004-05-01,99.94339
2004-06-01,99.98504
2004-07-01,100.07200
2004-08-01,100.15120
2004-09-01,100.19960
2004-10-01,100.21590
2004-11-01,100.20740
2004-12-01,100.18510
2005-01-01,100.10220
2005-02-01,99.93462
2005-03-01,99.74081
2005-04-01,99.61726
2005-05-01,99.57466
2005-06-01,99.61428
2005-07-01,99.74709
2005-08-01,99.90701
2005-09-01,100.07710
2005-10-01,100.22380
2005-11-01,100.32670
2005-12-01,100.46750
2006-01-01,100.65630
2006-02-01,100.84410
2006-03-01,101.02780
2006-04-01,101.21580
2006-05-01,101.33820
2006-06-01,101.43520
2006-07-01,101.52370
2006-08-01,101.64070
2006-09-01,101.82580
2006-10-01,102.01600
2006-11-01,102.14300
2006-12-01,102.15500
2007-01-01,102.07780
2007-02-01,101.96770
2007-03-01,101.90600
2007-04-01,101.89740
2007-05-01,101.92010
2007-06-01,101.93430
2007-07-01,101.89480
2007-08-01,101.83070
2007-09-01,101.75610
2007-10-01,101.69790
2007-11-01,101.66550
2007-12-01,101.61410
2008-01-01,101.53620
2008-02-01,101.47790
2008-03-01,101.40440
2008-04-01,101.27080
2008-05-01,101.09510
2008-06-01,100.82130
2008-07-01,100.48340
2008-08-01,100.05520
2008-09-01,99.47070
2008-10-01,98.61656
2008-11-01,97.62268
2008-12-01,96.79815
2009-01-01,96.30700
2009-02-01,96.02764
2009-03-01,95.97345
2009-04-01,96.12480
2009-05-01,96.40097
2009-06-01,96.77942
2009-07-01,97.23147
2009-08-01,97.70875
2009-09-01,98.09125
2009-10-01,98.40447
2009-11-01,98.62522
2009-12-01,98.83916
2010-01-01,99.10242
2010-02-01,99.42784
2010-03-01,99.82755
2010-04-01,100.27010
2010-05-01,100.66930
2010-06-01,101.01790
2010-07-01,101.30670
2010-08-01,101.50510
2010-09-01,101.63740
2010-10-01,101.73710
2010-11-01,101.82100
2010-12-01,101.89510
2011-01-01,101.95290
2011-02-01,102.04310
2011-03-01,102.10550
2011-04-01,102.12770
2011-05-01,102.08340
2011-06-01,101.94480
2011-07-01,101.71560
2011-08-01,101.41650
2011-09-01,101.12580
2011-10-01,100.90230
2011-11-01,100.76960
2011-12-01,100.75180
2012-01-01,100.78210
2012-02-01,100.76810
2012-03-01,100.67870
2012-04-01,100.57060
2012-05-01,100.38260
2012-06-01,100.15000
2012-07-01,99.87511
2012-08-01,99.63003
2012-09-01,99.41967
2012-10-01,99.32098
2012-11-01,99.42257
2012-12-01,99.60561
2013-01-01,99.79536
2013-02-01,99.93114
2013-03-01,99.96481
2013-04-01,99.97224
2013-05-01,100.00190
2013-06-01,100.10280
2013-07-01,100.24750
2013-08-01,100.47890
2013-09-01,100.68240
2013-10-01,100.84960
2013-11-01,100.92120
2013-12-01,100.92620
2014-01-01,100.93370
2014-02-01,100.95370
2014-03-01,100.96490
2014-04-01,100.94230
2014-05-01,100.89210
2014-06-01,100.78110
2014-07-01,100.64520
2014-08-01,100.45370
2014-09-01,100.26810
2014-10-01,100.18690
2014-11-01,100.23720
2014-12-01,100.33730
2015-01-01,100.48280
2015-02-01,100.63410
2015-03-01,100.75940
2015-04-01,100.80110
2015-05-01,100.78590
2015-06-01,100.74780
2015-07-01,100.70790
2015-08-01,100.64190
2015-09-01,100.57900
2015-10-01,100.51480
2015-11-01,100.48590
2015-12-01,100.44600
2016-01-01,100.40040
2016-02-01,100.38720
2016-03-01,100.42860
2016-04-01,100.50930
2016-05-01,100.59340
2016-06-01,100.64980
2016-07-01,100.66220
2016-08-01,100.65530
2016-09-01,100.72930
2016-10-01,100.83160
2016-11-01,100.92970
2016-12-01,101.05010
2017-01-01,101.16880
2017-02-01,101.32590
2017-03-01,101.51860
2017-04-01,101.72120
2017-05-01,101.89200
2017-06-01,102.04150
2017-07-01,102.14430
2017-08-01,102.18920
2017-09-01,102.26470
2017-10-01,102.36170
2017-11-01,102.43860
2017-12-01,102.48920
2018-01-01,102.46600
2018-02-01,102.35930
2018-03-01,102.26660
2018-04-01,102.25320
2018-05-01,102.24390
2018-06-01,102.20210
2018-07-01,102.10270
2018-08-01,101.98670
2018-09-01,101.85970
2018-10-01,101.70270
2018-11-01,101.53970
2018-12-01,101.32400
2019-01-01,101.10180
2019-02-01,100.86230
2019-03-01,100.59550
2019-04-01,100.34350
2019-05-01,100.12600
2019-06-01,99.83890
2019-07-01,99.56603
2019-08-01,99.37222
2019-09-01,99.18749
2019-10-01,99.13051
2019-11-01,99.17538
2019-12-01,99.29102
2020-01-01,99.37282
2020-02-01,99.11510
2020-03-01,98.41200
2020-04-01,97.65041
2020-05-01,97.63629
2020-06-01,98.16725
2020-07-01,98.88219
2020-08-01,99.51897
2020-09-01,99.97619
2020-10-01,100.30020
2020-11-01,100.49850
2020-12-01,100.74570
2021-01-01,101.11390
2021-02-01,101.63230
2021-03-01,102.16560
2021-04-01,102.57860
2021-05-01,102.89680
2021-06-01,103.18820
2021-07-01,103.40930
2021-08-01,103.52620
2021-09-01,103.54030
2021-10-01,103.46560
2021-11-01,103.43240
2021-12-01,103.46760
2022-01-01,103.42200
2022-02-01,103.24120
2022-03-01,102.92880
2022-04-01,102.72720
2022-05-01,102.59430
2022-06-01,102.44050
2022-07-01,102.14360
2022-08-01,101.78560
2022-09-01,101.46660
2022-10-01,101.28610
2022-11-01,101.22690
2022-12-01,101.21790
2023-01-01,101.20470
2023-02-01,101.08810
2023-03-01,100.87900
2023-04-01,100.60240
2023-05-01,100.22460
2023-06-01,99.78844
2023-07-01,99.37885
2023-08-01,99.13577
2023-09-01,99.07503
2023-10-01,99.04901
2023-11-01,99.03104
2023-12-01,99.01190
2024-01-01,98.94724
