observation_date,ULQELP01ITQ659S
1982-01-01,1.32098814702477996
1982-04-01,0.18153281076677200
1982-07-01,-0.13877421316124100
1982-10-01,-0.86533444093218204
1983-01-01,-0.25373642922311601
1983-04-01,-0.46890635380513901
1983-07-01,1.16011286590367990
1983-10-01,3.72403875404455986
1984-01-01,3.19474265185314010
1984-04-01,4.68779715908986017
1984-07-01,3.85909182651135030
1984-10-01,1.19997724824653007
1985-01-01,1.89703319919338997
1985-04-01,1.52934297866486002
1985-07-01,1.52245027657437992
1985-10-01,2.54942082568565986
1986-01-01,2.09865513148689020
1986-04-01,2.40876996559520018
1986-07-01,2.46214521785090978
1986-10-01,2.10067481930598987
1987-01-01,2.38783831986512984
1987-04-01,3.17084031297045987
1987-07-01,2.32446588281232014
1987-10-01,3.00557768924302993
1988-01-01,3.84831958187547984
1988-04-01,2.24989929382362996
1988-07-01,3.11783988986279992
1988-10-01,3.55529426325884979
1989-01-01,2.66414164776790985
1989-04-01,3.16286346920430983
1989-07-01,3.18706638518674001
1989-10-01,2.09271348209469998
1990-01-01,1.92572462490489005
1990-04-01,1.12709908761244004
1990-07-01,-0.25281919292632199
1990-10-01,-1.33537693705906002
1991-01-01,-1.29174809605155994
1991-04-01,-1.15283924909389990
1991-07-01,0.10452996771115999
1991-10-01,1.01255091637771000
1992-01-01,1.21518853258312998
1992-04-01,0.95655767101712497
1992-07-01,1.47683080886270002
1992-10-01,1.56670090178231991
1993-01-01,1.28078256707487004
1993-04-01,2.35008560579325021
1993-07-01,1.55663719986849003
1993-10-01,2.32296962715308997
1994-01-01,3.51863980269905019
1994-04-01,3.73185343916942003
1994-07-01,4.21151381955784920
1994-10-01,4.49815436690771975
1995-01-01,4.41153911500587981
1995-04-01,3.84386620694391024
1995-07-01,2.53438748774361988
1995-10-01,1.90694660899301005
1996-01-01,1.25375228304209996
1996-04-01,0.73588200639622903
1996-07-01,0.85566132960937402
1996-10-01,0.00786550567919910
1997-01-01,-0.29721873700284202
1997-04-01,1.13123760224970993
1997-07-01,1.90929677259526009
1997-10-01,3.79868219447824940
1998-01-01,2.25452255306886018
1998-04-01,1.41397753538670989
1998-07-01,0.57982741560518403
1998-10-01,-1.81052414163148989
1999-01-01,-0.12301052492822701
1999-04-01,-0.67922730893160799
1999-07-01,0.28662545054718402
1999-10-01,2.38191051287387001
2000-01-01,2.61860105003448984
2000-04-01,2.60597116766349979
2000-07-01,1.90028348676843994
2000-10-01,1.34911054957104004
2001-01-01,0.83564409566501496
2001-04-01,0.69170481562217401
2001-07-01,-0.59215387784175200
2001-10-01,-1.77031515972830999
2002-01-01,-2.58489503846171020
2002-04-01,-1.67270137247293005
2002-07-01,-0.92312160196140802
2002-10-01,-0.43434761492967300
2003-01-01,-0.38150405150529598
2003-04-01,-1.85062878095547001
2003-07-01,-1.43915590865070997
2003-10-01,-1.15264879978415991
2004-01-01,0.09064262220041761
2004-04-01,1.12938292084664993
2004-07-01,0.69619873090857898
2004-10-01,0.36149693006822903
2005-01-01,-0.71995625926123397
2005-04-01,-0.20933441709742101
2005-07-01,1.70969200326239990
2005-10-01,1.10988156834646001
2006-01-01,0.38425270829745201
2006-04-01,-0.32298107113563401
2006-07-01,-0.79496529425889695
2006-10-01,0.44765969776794101
2007-01-01,1.36625863104940004
2007-04-01,0.84345990626708300
2007-07-01,-0.26461638223641298
2007-10-01,-1.58895207875272004
2008-01-01,-0.11972988221425200
2008-04-01,-0.52764535024501802
2008-07-01,-1.36886489866708994
2008-10-01,-2.75766516735725009
2009-01-01,-5.83363343755644959
2009-04-01,-4.92503583470520034
2009-07-01,-3.40350851091710993
2009-10-01,-0.68313217328212905
2010-01-01,1.49000695173755004
2010-04-01,2.76460213665695997
2010-07-01,2.87796931461407013
2010-10-01,2.13048789884520007
2011-01-01,2.15656236610261987
2011-04-01,0.99810183350369397
2011-07-01,0.04117043812830450
2011-10-01,-0.75658796508533399
2012-01-01,-2.17314613507139986
2012-04-01,-3.29120154758585004
2012-07-01,-3.07241058180105986
2012-10-01,-2.48060162104349979
2013-01-01,-1.48486270511423002
2013-04-01,0.00842363529691980
2013-07-01,0.60628805630342797
2013-10-01,0.59269309387579405
2014-01-01,0.78205902464994403
2014-04-01,0.26787276636761198
2014-07-01,-0.38666578524259099
2014-10-01,-0.61114808406170795
2015-01-01,-0.32742082893370000
2015-04-01,0.12074129594868800
2015-07-01,-0.27623769240203500
2015-10-01,0.40670343445070201
2016-01-01,0.15947060743641600
2016-04-01,-0.68044092761186203
2016-07-01,0.54099339578078198
2016-10-01,0.26391183495196002
2017-01-01,0.19862091196152001
2017-04-01,0.98154815588644295
2017-07-01,0.20317707963974799
2017-10-01,0.91593900598268196
2018-01-01,0.48510073099232998
2018-04-01,-0.53363496846676695
2018-07-01,-0.16944274392266800
2018-10-01,-0.36077711789583500
2019-01-01,-0.15695695365796400
2019-04-01,0.33233492679569898
2019-07-01,0.18503147366462000
2019-10-01,-0.52719065474303906
2020-01-01,-6.11603129927352018
2020-04-01,-14.36231380994209950
2020-07-01,-3.55952322685759981
2020-10-01,-4.24040947021037962
2021-01-01,3.72961485215959998
2021-04-01,15.81898081927380062
2021-07-01,4.66390372336976977
2021-10-01,6.06218480132839055
2022-01-01,4.18225980514100026
2022-04-01,2.75379027079016980
2022-07-01,1.32041852394945991
2022-10-01,0.34244781512008499
2023-01-01,-0.03968007287653870
2023-04-01,-0.61769263072533998
2023-07-01,-1.04547456888300005
