observation_date,ULQELP01EZQ657S
1995-04-01,0.40669300488031002
1995-07-01,0.23145469274389599
1995-10-01,0.11546010853250201
1996-01-01,0.10379425671779401
1996-04-01,0.48387096774193900
1996-07-01,0.24077046548956799
1996-10-01,0.34313164817568398
1997-01-01,0.03419582810897460
1997-04-01,0.92297174111210201
1997-07-01,0.48549170147907300
1997-10-01,0.76404494382022403
1998-01-01,0.07805530776092420
1998-04-01,-0.08913649025069410
1998-07-01,-0.03345600535296460
1998-10-01,-0.27889335118250203
1999-01-01,0.57053361673565495
1999-04-01,0.11123470522803100
1999-07-01,0.64444444444444304
1999-10-01,0.66239788032678404
2000-01-01,0.51546391752578302
2000-04-01,0.29459901800325800
2000-07-01,0.08703220191471830
2000-10-01,0.20652173913042199
2001-01-01,0.75930144267275401
2001-04-01,0.00000000000000000
2001-07-01,-0.06459252879750969
2001-10-01,-0.17235807389852001
2002-01-01,-0.15107370238481099
2002-04-01,0.39987031233113302
2002-07-01,0.26910656620022200
2002-10-01,0.13955984970478100
2003-01-01,-0.37521440823327101
2003-04-01,-0.06456472613796060
2003-07-01,0.45224507375902101
2003-10-01,0.48236681316324898
2004-01-01,0.37337315980371899
2004-04-01,0.37198427037941900
2004-07-01,0.01058873358745240
2004-10-01,0.10587612493382800
2005-01-01,0.05288207297725490
2005-04-01,0.31712473572939898
2005-07-01,0.51633298208639500
2005-10-01,0.16773246671559600
2006-01-01,0.41862899005756199
2006-04-01,0.55237102657635795
2006-07-01,0.18656716417909100
2006-10-01,0.69315125181046799
2007-01-01,0.12329189355800101
2007-04-01,0.19497178040020399
2007-07-01,0.02048340843916660
2007-10-01,0.17407331558467801
2008-01-01,0.08177450679750380
2008-04-01,-0.34725768562966502
2008-07-01,-0.34846776673157098
2008-10-01,-1.43988480921525008
2009-01-01,-2.32703746217261997
2009-04-01,0.64102564102565396
2009-07-01,0.77494692144374200
2009-10-01,0.68471505319708803
2010-01-01,0.43942247332077000
2010-04-01,1.04166666666667007
2010-07-01,0.39175257731958602
2010-10-01,0.43130006161429801
2011-01-01,0.80777096114520597
2011-04-01,-0.12171619839740599
2011-07-01,0.26403980907890301
2011-10-01,-0.25321584118303098
2012-01-01,-0.23354995938260800
2012-04-01,-0.17302798982189099
2012-07-01,0.08156606851550680
2012-10-01,-0.19356153219233799
2013-01-01,-0.13269368173931201
2013-04-01,0.61324611610793200
2013-07-01,0.20316944331572601
2013-10-01,0.13179237631792701
2014-01-01,0.21261516654853699
2014-04-01,-0.07072135785006750
2014-07-01,0.20220402386007499
2014-10-01,0.20179598425992501
2015-01-01,0.53368240861946803
2015-04-01,0.17027243589743299
2015-07-01,0.00000000000000000
2015-10-01,0.13998600139985401
2016-01-01,0.23964053919121800
2016-04-01,-0.19922303018228901
2016-07-01,0.14971554047310701
2016-10-01,0.44847518437312700
2017-01-01,0.27780533783112099
2017-04-01,0.38587117839122498
2017-07-01,0.28582692686773098
2017-10-01,0.47174447174445999
2018-01-01,-0.46952949232122398
2018-04-01,0.05896805896806560
2018-07-01,-0.30448875356055599
2018-10-01,0.41379310344827902
2019-01-01,0.11773940345368100
2019-04-01,0.01960015680125660
2019-07-01,0.00979815794629630
2019-10-01,-0.11756637601645099
2020-01-01,-3.23688082393330001
2020-04-01,-8.57577293461732992
2020-07-01,10.83268655061539931
2020-10-01,-0.63025210084034100
2021-01-01,0.56377730796336201
2021-04-01,1.31144258684551995
2021-07-01,0.88932806324109803
2021-10-01,-0.12732615083249901
2022-01-01,0.19613611846621601
2022-04-01,0.41107957326025502
2022-07-01,0.13646554245052500
2022-10-01,-0.44777572276842897
2023-01-01,-0.44978977217168797
2023-04-01,-0.00982221785680400
2023-07-01,-0.36345776031432803
