observation_date,PIEAMP01USM661N
1960-01-01,17.1804333063864
1960-02-01,17.1286849905686
1960-03-01,17.2839299380221
1960-04-01,17.2839299380221
1960-05-01,17.2321816222043
1960-06-01,17.2321816222043
1960-07-01,17.3356782538399
1960-08-01,17.2839299380221
1960-09-01,17.2839299380221
1960-10-01,17.4391748854756
1960-11-01,17.4391748854756
1960-12-01,17.3874265696578
1961-01-01,17.4391748854756
1961-02-01,17.4391748854756
1961-03-01,17.3874265696578
1961-04-01,17.2321816222043
1961-05-01,17.1804333063864
1961-06-01,17.1804333063864
1961-07-01,17.2321816222043
1961-08-01,17.2839299380221
1961-09-01,17.2321816222043
1961-10-01,17.2321816222043
1961-11-01,17.2839299380221
1961-12-01,17.2839299380221
1962-01-01,17.3874265696578
1962-02-01,17.3874265696578
1962-03-01,17.3356782538399
1962-04-01,17.2839299380221
1962-05-01,17.2321816222043
1962-06-01,17.2321816222043
1962-07-01,17.2839299380221
1962-08-01,17.3356782538399
1962-09-01,17.4909232012935
1962-10-01,17.3874265696578
1962-11-01,17.3874265696578
1962-12-01,17.3356782538399
1963-01-01,17.3356782538399
1963-02-01,17.2839299380221
1963-03-01,17.2321816222043
1963-04-01,17.1804333063864
1963-05-01,17.2321816222043
1963-06-01,17.2839299380221
1963-07-01,17.3356782538399
1963-08-01,17.2839299380221
1963-09-01,17.2839299380221
1963-10-01,17.3356782538399
1963-11-01,17.3356782538399
1963-12-01,17.2839299380221
1964-01-01,17.3874265696578
1964-02-01,17.3356782538399
1964-03-01,17.2839299380221
1964-04-01,17.2839299380221
1964-05-01,17.2839299380221
1964-06-01,17.3356782538399
1964-07-01,17.3874265696578
1964-08-01,17.3874265696578
1964-09-01,17.3874265696578
1964-10-01,17.3874265696578
1964-11-01,17.3874265696578
1964-12-01,17.3874265696578
1965-01-01,17.4391748854756
1965-02-01,17.4391748854756
1965-03-01,17.4391748854756
1965-04-01,17.5426715171113
1965-05-01,17.5944198329291
1965-06-01,17.6979159256265
1965-07-01,17.6979159256265
1965-08-01,17.6979159256265
1965-09-01,17.7496642414444
1965-10-01,17.8014125572622
1965-11-01,17.8531608730800
1965-12-01,17.9566575047157
1966-01-01,18.0084058205336
1966-02-01,18.1119024521692
1966-03-01,18.1119024521692
1966-04-01,18.1119024521692
1966-05-01,18.1119024521692
1966-06-01,18.1119024521692
1966-07-01,18.2153990838049
1966-08-01,18.3188957154406
1966-09-01,18.4223923470763
1966-10-01,18.3706440312584
1966-11-01,18.3706440312584
1966-12-01,18.3188957154406
1967-01-01,18.3706440312584
1967-02-01,18.3188957154406
1967-03-01,18.2671473996227
1967-04-01,18.2153990838049
1967-05-01,18.3188957154406
1967-06-01,18.4741406628941
1967-07-01,18.5258889787119
1967-08-01,18.4741406628941
1967-09-01,18.5258889787119
1967-10-01,18.5258889787119
1967-11-01,18.5258889787119
1967-12-01,18.6293856103476
1968-01-01,18.6811339261655
1968-02-01,18.7846305578011
1968-03-01,18.7846305578011
1968-04-01,18.7846305578011
1968-05-01,18.8881266504985
1968-06-01,18.9916232821342
1968-07-01,19.0433715979520
1968-08-01,18.9916232821342
1968-09-01,19.0951199137699
1968-10-01,19.0951199137699
1968-11-01,19.1986165454056
1968-12-01,19.1986165454056
1969-01-01,19.3021131770412
1969-02-01,19.3021131770412
1969-03-01,19.4056098086769
1969-04-01,19.4056098086769
1969-05-01,19.5608547561304
1969-06-01,19.6643513877661
1969-07-01,19.7678480194018
1969-08-01,19.7160997035839
1969-09-01,19.7678480194018
1969-10-01,19.8713446510375
1969-11-01,20.0265890595527
1969-12-01,20.1300856911884
1970-01-01,20.2335823228240
