observation_date,CANWSCNDW01IXOBSAM
1967-10-01,88.84412
1967-11-01,77.42869
1967-12-01,71.59184
1968-01-01,88.94743
1968-02-01,98.81326
1968-03-01,98.76160
1968-04-01,101.55090
1968-05-01,107.33610
1968-06-01,104.13360
1968-07-01,99.07153
1968-08-01,98.76160
1968-09-01,82.49074
1968-10-01,105.68320
1968-11-01,115.18740
1968-12-01,111.98490
1969-01-01,129.54710
1969-02-01,157.18180
1969-03-01,128.25580
1969-04-01,127.48100
1969-05-01,114.30930
1969-06-01,114.51590
1969-07-01,102.53230
1969-08-01,111.93330
1969-09-01,98.03846
1969-10-01,94.06113
1969-11-01,82.69735
1969-12-01,91.73672
1970-01-01,88.63750
1970-02-01,83.36884
1970-03-01,87.65609
1970-04-01,83.11058
1970-05-01,65.03183
1970-06-01,76.44727
1970-07-01,95.92066
1970-08-01,95.97231
1970-09-01,99.48476
1970-10-01,133.36950
1970-11-01,124.27850
1970-12-01,127.22270
1971-01-01,103.61700
1971-02-01,110.02210
1971-03-01,104.39180
1971-04-01,131.45830
1971-05-01,111.52000
1971-06-01,119.11310
1971-07-01,121.59250
1971-08-01,124.48510
1971-09-01,125.10490
1971-10-01,123.14210
1971-11-01,129.96040
1971-12-01,129.49550
1972-01-01,113.12130
1972-02-01,149.64040
1972-03-01,135.12570
1972-04-01,120.45610
1972-05-01,141.78900
1972-06-01,136.36540
1972-07-01,126.96440
1972-08-01,129.18550
1972-09-01,134.71250
1972-10-01,128.66900
1972-11-01,120.76600
1972-12-01,114.20600
1973-01-01,136.83030
1973-02-01,131.35500
1973-03-01,135.38400
1973-04-01,149.89860
1973-05-01,137.34680
1973-06-01,140.03280
1973-07-01,146.64450
1973-08-01,136.31380
1973-09-01,135.02240
1973-10-01,139.92950
1973-11-01,133.42110
1973-12-01,136.10710
1974-01-01,147.98740
1974-02-01,141.37580
1974-03-01,141.89230
1974-04-01,126.80950
1974-05-01,131.56160
1974-06-01,125.67310
1974-07-01,108.21420
1974-08-01,106.92290
1974-09-01,100.98270
1974-10-01,91.63342
1974-11-01,92.20161
1974-12-01,91.73672
1975-01-01,90.85861
1975-02-01,84.29861
1975-03-01,77.22207
1975-04-01,97.72854
1975-05-01,108.78240
1975-06-01,104.44350
1975-07-01,123.50370
1975-08-01,126.70620
1975-09-01,132.18150
1975-10-01,148.19410
1975-11-01,137.96670
1975-12-01,161.72730
1976-01-01,143.18370
1976-02-01,160.48760
1976-03-01,143.49360
1976-04-01,139.77450
1976-05-01,145.92130
1976-06-01,143.49360
1976-07-01,140.13610
1976-08-01,125.98300
1976-09-01,138.58650
1976-10-01,122.62550
1976-11-01,155.06400
1976-12-01,143.13200
1977-01-01,119.47470
1977-02-01,120.04290
1977-03-01,114.41260
1977-04-01,127.79090
1977-05-01,133.31780
1977-06-01,137.70840
1977-07-01,134.60920
1977-08-01,129.59880
1977-09-01,132.74960
1977-10-01,117.92510
1977-11-01,119.99120
1977-12-01,136.31380
1978-01-01,137.60510
1978-02-01,145.55970
1978-03-01,150.62180
1978-04-01,105.32160
1978-05-01,103.25550
1978-06-01,104.90840
1978-07-01,112.60480
1978-08-01,112.86300
1978-09-01,106.19970
1978-10-01,110.22870
1978-11-01,121.33420
1978-12-01,99.69137
1979-01-01,112.91470
1979-02-01,94.31940
1979-03-01,95.09420
1979-04-01,96.95373
1979-05-01,106.30300
1979-06-01,98.29672
1979-07-01,93.18302
1979-08-01,105.06330
1979-09-01,96.69547
1979-10-01,112.39810
1979-11-01,107.38770
1979-12-01,101.86080
1980-01-01,90.49704
1980-02-01,76.91215
1980-03-01,69.62900
1980-04-01,75.77577
1980-05-01,65.34175
1980-06-01,76.80885
1980-07-01,82.80066
1980-08-01,83.05892
1980-09-01,89.72224
1980-10-01,102.17070
1980-11-01,88.17262
1980-12-01,82.90396
1981-01-01,85.84821
1981-02-01,86.05483
1981-03-01,91.22018
1981-04-01,112.91470
1981-05-01,106.35470
1981-06-01,106.61290
1981-07-01,96.74712
1981-08-01,93.13137
1981-09-01,98.50334
1981-10-01,65.54837
1981-11-01,67.76947
1981-12-01,93.64790
1982-01-01,81.45766
1982-02-01,83.78207
1982-03-01,74.58774
1982-04-01,61.77766
1982-05-01,50.72380
1982-06-01,55.37262
1982-07-01,54.75277
1982-08-01,46.84978
1982-09-01,48.08946
1982-10-01,67.87278
1982-11-01,78.15183
1982-12-01,77.48034
1983-01-01,86.72633
1983-02-01,83.83372
1983-03-01,88.32758
1983-04-01,90.60034
1983-05-01,128.10080
1983-06-01,100.67280
1983-07-01,73.91624
1983-08-01,68.54427
1983-09-01,72.57325
1983-10-01,68.49262
1983-11-01,72.36664
1983-12-01,72.57325
1984-01-01,80.68286
1984-02-01,82.33578
1984-03-01,68.02774
1984-04-01,63.68884
1984-05-01,65.80663
1984-06-01,69.47404
1984-07-01,67.45955
1984-08-01,78.15183
1984-09-01,71.07529
1984-10-01,63.63718
1984-11-01,61.10616
1984-12-01,67.09798
1985-01-01,70.30049
1985-02-01,72.41829
1985-03-01,71.79845
1985-04-01,80.32128
1985-05-01,81.25105
1985-06-01,79.75310
1985-07-01,86.51971
1985-08-01,88.84412
1985-09-01,95.97231
1985-10-01,100.25960
1985-11-01,102.58400
1985-12-01,98.45168
1986-01-01,90.23877
1986-02-01,100.41450
1986-03-01,89.46397
1986-04-01,106.66460
1986-05-01,99.84633
1986-06-01,104.13360
1986-07-01,103.51370
1986-08-01,98.70995
1986-09-01,117.15030
1986-10-01,110.74520
1986-11-01,106.56130
1986-12-01,110.79690
1987-01-01,132.28480
1987-02-01,119.11310
1987-03-01,135.12570
1987-04-01,123.34870
1987-05-01,133.00790
1987-06-01,135.43560
1987-07-01,135.84890
1987-08-01,134.45420
1987-09-01,121.79910
1987-10-01,117.66680
1987-11-01,123.14210
1987-12-01,113.79280
1988-01-01,111.10680
1988-02-01,111.15850
1988-03-01,112.34650
1988-04-01,116.06560
1988-05-01,122.00570
1988-06-01,112.65640
1988-07-01,107.23280
1988-08-01,120.04290
1988-09-01,113.37960
1988-10-01,114.77420
1988-11-01,121.69580
1988-12-01,116.22050
1989-01-01,125.62150
1989-02-01,120.04290
1989-03-01,115.34240
1989-04-01,111.57170
1989-05-01,105.16660
1989-06-01,102.73890
1989-07-01,101.75750
1989-08-01,102.99720
1989-09-01,117.56350
1989-10-01,108.42080
1989-11-01,108.52410
1989-12-01,114.20600
1990-01-01,142.78490
1990-02-01,132.17780
1990-03-01,131.55800
1990-04-01,111.49890
1990-05-01,110.59600
1990-06-01,95.46559
1990-07-01,87.96085
1990-08-01,85.04139
1990-09-01,74.36718
1990-10-01,75.72050
1990-11-01,74.12544
1990-12-01,73.55984
1991-01-01,61.40937
1991-02-01,60.91298
1991-03-01,60.98529
1991-04-01,69.16309
1991-05-01,78.44678
1991-06-01,81.82647
1991-07-01,92.93353
1991-08-01,91.72588
1991-09-01,88.74236
1991-10-01,99.09787
1991-11-01,89.45776
1991-12-01,85.57807
1992-01-01,89.64372
1992-02-01,89.78319
1992-03-01,91.46399
1992-04-01,86.73097
1992-05-01,87.50320
1992-06-01,87.95206
1992-07-01,94.39068
1992-08-01,83.68652
1992-09-01,90.01098
1992-10-01,84.88901
1992-11-01,88.05124
1992-12-01,86.86734
1993-01-01,74.12337
1993-02-01,77.11308
1993-03-01,79.83936
1993-04-01,84.98663
1993-05-01,75.77784
1993-06-01,76.91628
1993-07-01,89.69899
1993-08-01,83.29343
1993-09-01,80.33833
1993-10-01,83.77484
1993-11-01,84.57806
1993-12-01,83.47060
1994-01-01,77.49067
1994-02-01,74.16883
1994-03-01,78.43128
1994-04-01,82.90396
1994-05-01,83.38589
1994-06-01,87.31466
1994-07-01,84.73405
1994-08-01,78.07900
1994-09-01,80.01136
1994-10-01,77.41267
1994-11-01,74.39610
1994-12-01,64.58813
1995-01-01,70.63469
1995-02-01,63.52148
1995-03-01,51.09518
1995-04-01,59.25438
1995-05-01,50.36325
1995-06-01,57.86697
1995-07-01,54.23882
1995-08-01,56.17324
1995-09-01,57.92585
1995-10-01,57.15363
1995-11-01,59.18103
1995-12-01,61.67177
1996-01-01,53.16081
1996-02-01,53.39015
1996-03-01,57.18927
1996-04-01,54.76517
1996-05-01,66.32937
1996-06-01,71.85114
1996-07-01,67.57990
1996-08-01,67.03599
1996-09-01,70.52261
1996-10-01,61.00182
1996-11-01,72.41829
1996-12-01,70.93325
1997-01-01,69.51794
1997-02-01,76.78302
1997-03-01,73.80003
1997-04-01,73.98133
1997-05-01,77.57848
1997-06-01,74.63629
1997-07-01,79.91219
1997-08-01,79.76911
1997-09-01,78.91631
1997-10-01,75.67505
1997-11-01,76.52475
1997-12-01,76.69469
1998-01-01,67.80511
1998-02-01,73.49216
1998-03-01,74.64611
1998-04-01,74.98909
1998-05-01,72.49990
1998-06-01,67.77050
1998-07-01,64.37635
1998-08-01,73.36045
1998-09-01,71.98698
1998-10-01,71.29327
1998-11-01,67.81441
1998-12-01,73.32584
1999-01-01,67.79478
1999-02-01,72.04639
1999-03-01,73.27470
1999-04-01,75.44312
1999-05-01,78.39202
1999-06-01,79.06921
1999-07-01,75.16988
1999-08-01,78.54079
1999-09-01,80.88741
1999-10-01,79.02168
1999-11-01,85.48664
1999-12-01,83.43393
2000-01-01,70.86559
2000-02-01,77.43076
2000-03-01,79.75362
2000-04-01,80.97315
2000-05-01,74.56398
2000-06-01,68.31958
2000-07-01,86.07962
2000-08-01,77.35637
2000-09-01,85.22631
2000-10-01,85.72321
2000-11-01,81.05322
2000-12-01,74.63062
2001-01-01,83.55376
2001-02-01,75.32897
2001-03-01,77.94315
2001-04-01,85.61423
2001-05-01,82.44063
2001-06-01,91.12927
2001-07-01,76.91525
2001-08-01,86.38180
2001-09-01,81.74124
2001-10-01,87.69070
2001-11-01,89.93401
2001-12-01,91.65614
2002-01-01,110.74420
2002-02-01,94.91393
2002-03-01,105.35570
2002-04-01,99.19447
2002-05-01,109.02670
2002-06-01,105.91200
2002-07-01,102.55450
2002-08-01,111.73590
2002-09-01,102.79110
2002-10-01,116.18230
2002-11-01,112.72250
2002-12-01,102.04880
2003-01-01,97.70322
2003-02-01,124.18550
2003-03-01,102.10260
2003-04-01,108.53700
2003-05-01,101.02710
2003-06-01,107.67550
2003-07-01,116.66160
2003-08-01,123.95720
2003-09-01,120.83210
2003-10-01,131.01620
2003-11-01,111.87700
2003-12-01,111.74630
2004-01-01,100.12580
2004-02-01,112.27420
2004-03-01,126.29040
2004-04-01,124.93600
2004-05-01,120.21900
2004-06-01,120.59920
2004-07-01,115.85020
2004-08-01,138.13820
2004-09-01,123.51500
2004-10-01,123.61320
2004-11-01,127.29040
2004-12-01,118.33930
2005-01-01,95.70268
2005-02-01,109.66620
2005-03-01,110.09440
2005-04-01,129.76050
2005-05-01,115.39870
2005-06-01,122.44630
2005-07-01,129.05020
2005-08-01,108.16820
2005-09-01,119.92050
2005-10-01,113.13320
2005-11-01,121.79390
2005-12-01,120.54700
2006-01-01,115.50870
2006-02-01,122.98450
2006-03-01,128.75680
2006-04-01,120.68130
2006-05-01,114.11820
2006-06-01,124.89310
2006-07-01,124.99440
2006-08-01,109.06290
2006-09-01,105.44400
2006-10-01,119.37090
2006-11-01,121.25210
2006-12-01,108.97710
2007-01-01,126.48250
2007-02-01,102.00440
2007-03-01,114.02110
2007-04-01,116.80260
2007-05-01,122.29240
2007-06-01,118.25260
2007-07-01,115.33830
2007-08-01,119.63330
2007-09-01,149.09490
2007-10-01,120.52640
2007-11-01,120.55060
2007-12-01,90.58382
2008-01-01,104.67540
2008-02-01,121.04600
2008-03-01,122.60490
2008-04-01,115.34390
2008-05-01,118.30420
2008-06-01,115.64460
2008-07-01,100.60360
2008-08-01,113.18950
2008-09-01,118.50410
2008-10-01,113.52210
2008-11-01,87.59824
2008-12-01,77.63789
2009-01-01,68.34489
2009-02-01,59.77453
2009-03-01,72.90280
2009-04-01,57.73886
2009-05-01,66.04269
2009-06-01,73.72461
2009-07-01,71.05825
2009-08-01,85.42672
2009-09-01,86.05896
2009-10-01,96.96819
2009-11-01,89.68918
2009-12-01,89.43917
2010-01-01,98.72700
2010-02-01,104.71930
2010-03-01,101.36960
2010-04-01,106.89500
2010-05-01,103.49620
2010-06-01,98.71202
2010-07-01,101.29210
2010-08-01,99.39798
2010-09-01,96.42532
2010-10-01,89.92988
2010-11-01,100.26160
2010-12-01,86.17002
2011-01-01,87.89215
2011-02-01,92.68611
2011-03-01,95.60041
2011-04-01,97.05756
2011-05-01,99.49509
2011-06-01,101.42590
2011-07-01,108.44300
2011-08-01,99.08186
2011-09-01,108.14760
2011-10-01,109.83610
2011-11-01,95.62624
2011-12-01,103.40470
2012-01-01,104.87170
2012-02-01,106.93470
2012-03-01,110.46680
2012-04-01,130.81470
2012-05-01,110.02000
2012-06-01,114.39150
2012-07-01,109.73540
2012-08-01,119.68750
2012-09-01,115.62960
2012-10-01,106.36290
2012-11-01,102.98480
2012-12-01,103.30970
2013-01-01,84.94067
2013-02-01,95.46507
2013-03-01,94.00431
2013-04-01,92.62051
2013-05-01,100.79930
2013-06-01,98.97855
2013-07-01,101.90730
2013-08-01,96.91964
2013-09-01,100.63200
2013-10-01,103.27820
2013-11-01,100.12530
2013-12-01,95.82820
2014-01-01,95.65723
2014-02-01,99.04880
2014-03-01,84.06410
2014-04-01,102.43930
2014-05-01,101.06380
2014-06-01,100.73170
2014-07-01,104.64550
2014-08-01,101.17330
2014-09-01,99.03227
2014-10-01,92.84159
2014-11-01,99.89282
2014-12-01,91.57970
2015-01-01,96.65156
2015-02-01,76.03249
2015-03-01,99.48321
2015-04-01,93.91392
2015-05-01,103.08810
2015-06-01,104.27360
2015-07-01,99.27969
2015-08-01,111.82790
2015-09-01,115.93900
2015-10-01,101.15570
2015-11-01,109.89910
2015-12-01,88.45569
2016-01-01,91.53992
2016-02-01,110.24260
2016-03-01,103.91250
2016-04-01,98.72028
2016-05-01,99.16553
2016-06-01,112.64090
2016-07-01,102.88920
2016-08-01,96.91809
2016-09-01,111.34230
2016-10-01,100.29680
2016-11-01,95.96508
2016-12-01,104.69820
2017-01-01,106.69920
2017-02-01,107.79370
2017-03-01,126.84150
2017-04-01,109.94560
2017-05-01,102.52400
2017-06-01,108.01330
2017-07-01,118.51810
2017-08-01,117.39510
2017-09-01,112.89710
2017-10-01,113.90490
2017-11-01,128.27180
2017-12-01,110.69820
2018-01-01,111.96430
2018-02-01,118.50980
2018-03-01,114.27110
2018-04-01,109.48280
2018-05-01,101.36800
2018-06-01,124.94940
2018-07-01,104.10930
2018-08-01,101.81740
2018-09-01,99.94861
2018-10-01,110.39040
2018-11-01,115.94420
2018-12-01,111.05000
2019-01-01,103.55710
2019-02-01,84.22009
2019-03-01,99.48269
2019-04-01,118.50200
2019-05-01,101.54110
2019-06-01,125.32390
2019-07-01,113.49530
2019-08-01,116.50720
2019-09-01,116.65850
2019-10-01,105.76220
2019-11-01,104.22400
2019-12-01,103.07730
2020-01-01,103.34950
2020-02-01,108.26020
2020-03-01,97.68566
2020-04-01,83.16430
2020-05-01,99.45944
2020-06-01,110.10830
2020-07-01,126.47430
2020-08-01,136.17430
2020-09-01,110.78450
2020-10-01,117.50770
2020-11-01,134.26520
2020-12-01,124.18600
2021-01-01,150.46170
2021-02-01,134.77550
2021-03-01,165.21030
2021-04-01,140.67540
2021-05-01,146.22710
2021-06-01,146.57680
2021-07-01,141.77460
2021-08-01,134.10810
2021-09-01,129.50270
2021-10-01,122.20610
2021-11-01,157.64980
2021-12-01,127.67680
2022-01-01,118.53670
2022-02-01,126.22010
2022-03-01,125.60290
2022-04-01,135.90050
2022-05-01,145.50600
2022-06-01,141.27660
2022-07-01,143.28800
2022-08-01,137.59680
2022-09-01,152.55570
2022-10-01,135.83030
2022-11-01,135.48930
2022-12-01,129.53470
2023-01-01,108.19820
2023-02-01,124.36470
2023-03-01,110.22820
2023-04-01,134.94800
2023-05-01,101.41350
2023-06-01,145.17750
2023-07-01,130.76930
2023-08-01,127.74390
2023-09-01,137.54360
2023-10-01,140.58140
2023-11-01,108.82270
2023-12-01,128.10390
2024-01-01,118.99220
2024-02-01,134.28070
2024-03-01,125.13950
2024-04-01,124.08680
