observation_date,CANWSCNDW01IXOBSAM
1956-01-01,72.83152
1956-02-01,84.60853
1956-03-01,68.23435
1956-04-01,67.82112
1956-05-01,72.05672
1956-06-01,70.66207
1956-07-01,72.16002
1956-08-01,66.32317
1956-09-01,66.32317
1956-10-01,57.54206
1956-11-01,49.12254
1956-12-01,45.04190
1957-01-01,35.64096
1957-02-01,41.58112
1957-03-01,49.69072
1957-04-01,59.14333
1957-05-01,60.69293
1957-06-01,66.47813
1957-07-01,62.91404
1957-08-01,65.08349
1957-09-01,63.58553
1957-10-01,65.08349
1957-11-01,71.17860
1957-12-01,75.93073
1958-01-01,79.49483
1958-02-01,91.53011
1958-03-01,91.47845
1958-04-01,93.80286
1958-05-01,90.44538
1958-06-01,81.81924
1958-07-01,77.11877
1958-08-01,81.87090
1958-09-01,82.43908
1958-10-01,86.15813
1958-11-01,84.14365
1958-12-01,86.31310
1959-01-01,77.17042
1959-02-01,77.27373
1959-03-01,71.43687
1959-04-01,70.97199
1959-05-01,70.50711
1959-06-01,68.07939
1959-07-01,73.50301
1959-08-01,72.31499
1959-09-01,72.00506
1959-10-01,75.05262
1959-11-01,79.28822
1959-12-01,72.36664
1960-01-01,60.95120
1960-02-01,46.84978
1960-03-01,43.64726
1960-04-01,47.46962
1960-05-01,48.65765
1960-06-01,54.80443
1960-07-01,62.96569
1960-08-01,53.71970
1960-09-01,59.55655
1960-10-01,61.93262
1960-11-01,58.36852
1960-12-01,66.32317
1961-01-01,64.51530
1961-02-01,75.00097
1961-03-01,72.62491
1961-04-01,66.78806
1961-05-01,62.60411
1961-06-01,67.04632
1961-07-01,61.10616
1961-08-01,68.23435
1961-09-01,67.30459
1961-10-01,60.69293
1961-11-01,62.34585
1961-12-01,56.14742
1962-01-01,64.61861
1962-02-01,62.44915
1962-03-01,65.85829
1962-04-01,71.90176
1962-05-01,65.54837
1962-06-01,70.86868
1962-07-01,68.18270
1962-08-01,67.71782
1962-09-01,66.16821
1962-10-01,69.93892
1962-11-01,63.37892
1962-12-01,62.34585
1963-01-01,63.53388
1963-02-01,68.95750
1963-03-01,71.90176
1963-04-01,69.52569
1963-05-01,78.61671
1963-06-01,71.85010
1963-07-01,80.26963
1963-08-01,77.68695
1963-09-01,79.95971
1963-10-01,78.46175
1963-11-01,75.10428
1963-12-01,94.88759
1964-01-01,90.08381
1964-02-01,93.13137
1964-03-01,77.37703
1964-04-01,77.17042
1964-05-01,75.77577
1964-06-01,76.34396
1964-07-01,87.13956
1964-08-01,84.45357
1964-09-01,83.93703
1964-10-01,94.16444
1964-11-01,105.06330
1964-12-01,85.64160
1965-01-01,75.20758
1965-02-01,84.04034
1965-03-01,86.46806
1965-04-01,87.55278
1965-05-01,87.29452
1965-06-01,89.98050
1965-07-01,84.81515
1965-08-01,104.13360
1965-09-01,81.14774
1965-10-01,80.73451
1965-11-01,84.91845
1965-12-01,83.78207
1966-01-01,86.67467
1966-02-01,81.45766
1966-03-01,79.54648
1966-04-01,63.17230
1966-05-01,66.47813
1966-06-01,62.39750
1966-07-01,64.25703
1966-08-01,61.82931
1966-09-01,72.00506
1966-10-01,77.68695
1966-11-01,69.21577
1966-12-01,67.14963
1967-01-01,62.13923
1967-02-01,57.80033
1967-03-01,63.48222
1967-04-01,77.94522
1967-05-01,101.13770
1967-06-01,98.40003
1967-07-01,94.57767
1967-08-01,93.28633
1967-09-01,93.59625
