observation_date,CSCICP03EZM665S
1973-01-01,104.65080
1973-02-01,104.11350
1973-03-01,103.49580
1973-04-01,102.86770
1973-05-01,102.41020
1973-06-01,102.19550
1973-07-01,102.12580
1973-08-01,102.07980
1973-09-01,101.96810
1973-10-01,101.65170
1973-11-01,101.02240
1973-12-01,100.19430
1974-01-01,99.44183
1974-02-01,99.14985
1974-03-01,99.15986
1974-04-01,99.31516
1974-05-01,99.38078
1974-06-01,99.25977
1974-07-01,99.01053
1974-08-01,98.73698
1974-09-01,98.49198
1974-10-01,98.33371
1974-11-01,98.38496
1974-12-01,98.59246
1975-01-01,98.90618
1975-02-01,99.22247
1975-03-01,99.49062
1975-04-01,99.72512
1975-05-01,99.89349
1975-06-01,99.93549
1975-07-01,99.94007
1975-08-01,99.92213
1975-09-01,99.93370
1975-10-01,100.08530
1975-11-01,100.46090
1975-12-01,100.99230
1976-01-01,101.48660
1976-02-01,101.73080
1976-03-01,101.75160
1976-04-01,101.66930
1976-05-01,101.58220
1976-06-01,101.52640
1976-07-01,101.48290
1976-08-01,101.44650
1976-09-01,101.42560
1976-10-01,101.41650
1976-11-01,101.46820
1976-12-01,101.54430
1977-01-01,101.58330
1977-02-01,101.45130
1977-03-01,101.14480
1977-04-01,100.74510
1977-05-01,100.49390
1977-06-01,100.52270
1977-07-01,100.73400
1977-08-01,100.96490
1977-09-01,101.21040
1977-10-01,101.45890
1977-11-01,101.65970
1977-12-01,101.82300
1978-01-01,101.91570
1978-02-01,101.94830
1978-03-01,101.94970
1978-04-01,101.95990
1978-05-01,102.03270
1978-06-01,102.17010
1978-07-01,102.35040
1978-08-01,102.57510
1978-09-01,102.81770
1978-10-01,102.96940
1978-11-01,103.01560
1978-12-01,102.94930
1979-01-01,102.81600
1979-02-01,102.66620
1979-03-01,102.51940
1979-04-01,102.32600
1979-05-01,102.09980
1979-06-01,101.87400
1979-07-01,101.68190
1979-08-01,101.49060
1979-09-01,101.27090
1979-10-01,101.01840
1979-11-01,100.70040
1979-12-01,100.29330
1980-01-01,99.83591
1980-02-01,99.57602
1980-03-01,99.45848
1980-04-01,99.39816
1980-05-01,99.35693
1980-06-01,99.26076
1980-07-01,99.17733
1980-08-01,99.11564
1980-09-01,98.98100
1980-10-01,98.72369
1980-11-01,98.41058
1980-12-01,98.16212
1981-01-01,97.92256
1981-02-01,97.65386
1981-03-01,97.42783
1981-04-01,97.31071
1981-05-01,97.24835
1981-06-01,97.12654
1981-07-01,96.98964
1981-08-01,96.83118
1981-09-01,96.84052
1981-10-01,96.96968
1981-11-01,97.13265
1981-12-01,97.37280
1982-01-01,97.66614
1982-02-01,97.91515
1982-03-01,98.14971
1982-04-01,98.32859
1982-05-01,98.38264
1982-06-01,98.17227
1982-07-01,97.71330
1982-08-01,97.26672
1982-09-01,96.88879
1982-10-01,96.66814
1982-11-01,96.62244
1982-12-01,96.75863
1983-01-01,97.16027
1983-02-01,97.69500
1983-03-01,98.18433
1983-04-01,98.35277
1983-05-01,98.30188
1983-06-01,98.24715
