observation_date,CSCICP03O9M665S
1980-01-01,98.1750175009189
1980-02-01,97.9461206302586
1980-03-01,97.6239921698798
1980-04-01,97.4111580887424
1980-05-01,97.3888463730522
1980-06-01,97.5400660032128
1980-07-01,97.7775052498201
1980-08-01,98.0712807632388
1980-09-01,98.3029635614249
1980-10-01,98.3666989251339
1980-11-01,98.2329026198263
1980-12-01,97.9885704502194
1981-01-01,97.8575159335901
1981-02-01,97.7227052105512
1981-03-01,97.6732095539936
1981-04-01,97.7575203478837
1981-05-01,97.8615398522414
1981-06-01,97.8470621910746
1981-07-01,97.8025701330431
1981-08-01,97.7439921641258
1981-09-01,97.6362503835253
1981-10-01,97.4868175639917
1981-11-01,97.3863555884344
1981-12-01,97.4566385185355
1982-01-01,97.6317431521880
1982-02-01,97.6949442080468
1982-03-01,97.7411063081804
1982-04-01,98.0178521881465
1982-05-01,98.0674912510402
1982-06-01,98.0051676159619
1982-07-01,97.8799449331231
1982-08-01,97.8140016776506
1982-09-01,97.8292913665358
1982-10-01,97.8918967096955
1982-11-01,97.9424663996149
1982-12-01,98.0160934296471
1983-01-01,98.2019634434772
1983-02-01,98.5436187422182
1983-03-01,98.9840697585204
1983-04-01,99.3507823200471
1983-05-01,99.5501460729669
1983-06-01,99.6125819859127
1983-07-01,99.6152681196797
1983-08-01,99.5843139347817
1983-09-01,99.5511819890789
1983-10-01,99.5819531712495
1983-11-01,99.7285734049269
1983-12-01,99.9407151331334
1984-01-01,100.1163438837490
1984-02-01,100.1494850573610
1984-03-01,100.0995826505460
1984-04-01,99.9813547573805
1984-05-01,99.8882202889954
1984-06-01,99.8397300640447
1984-07-01,99.8903392604761
1984-08-01,99.9826336670389
1984-09-01,100.0378054330250
1984-10-01,99.9982485522258
1984-11-01,99.9660724705225
1984-12-01,99.9717637844368
1985-01-01,100.0213158813070
1985-02-01,99.9970565140282
1985-03-01,99.9509288003984
1985-04-01,99.9132410939319
1985-05-01,99.8763545688784
1985-06-01,99.8824047134591
1985-07-01,99.8829860237539
1985-08-01,99.8932313077950
1985-09-01,99.9390845947342
1985-10-01,100.0145730793540
1985-11-01,100.1142770442350
1985-12-01,100.2379604637490
1986-01-01,100.3512040043940
1986-02-01,100.4057998793970
