observation_date,NZLSLRTCR03GYSAM
1962-01-01,36.5291218634
1962-02-01,19.8307305384
1962-03-01,13.0342276993
1962-04-01,12.5545143681
1962-05-01,19.5950224651
1962-06-01,27.9496913095
1962-07-01,11.5519026831
1962-08-01,0.3027416069
1962-09-01,4.4182399361
1962-10-01,-6.9357793610
1962-11-01,15.1078411903
1962-12-01,28.2258576509
1963-01-01,6.5100255101
1963-02-01,14.8058788914
1963-03-01,5.6727834414
1963-04-01,18.5366874758
1963-05-01,13.4020785185
1963-06-01,-6.2728881480
1963-07-01,14.6694523203
1963-08-01,51.1894565196
1963-09-01,43.1359449415
1963-10-01,79.3262505418
1963-11-01,65.8166821572
1963-12-01,94.7356740402
1964-01-01,-4.5752506784
1964-02-01,22.7431340574
1964-03-01,48.3957318177
1964-04-01,45.3540112109
1964-05-01,33.9985378778
1964-06-01,59.1532214529
1964-07-01,34.8537654172
1964-08-01,16.6285076875
1964-09-01,12.9338655808
1964-10-01,-13.2675199739
1964-11-01,-8.0093020862
1964-12-01,-24.4949966409
1965-01-01,53.5733351108
1965-02-01,9.3902126422
1965-03-01,-1.4127068028
1965-04-01,1.8532450955
1965-05-01,3.7740970740
1965-06-01,13.0741822507
1965-07-01,5.8261420361
1965-08-01,-14.5434353248
1965-09-01,-5.1515843326
1965-10-01,8.4790094616
1965-11-01,-7.9232065489
1965-12-01,1.5785788915
1966-01-01,2.3912041557
1966-02-01,9.6206228677
1966-03-01,12.2595709639
1966-04-01,-7.5677368190
1966-05-01,-3.9829743828
1966-06-01,-18.3274839602
1966-07-01,-17.1734790558
1966-08-01,0.1575096453
1966-09-01,-2.5419506852
1966-10-01,-13.1686044707
1966-11-01,-3.1356958663
1966-12-01,-9.7614899410
1967-01-01,-9.3079874472
1967-02-01,-2.2735496813
1967-03-01,-3.4079148506
1967-04-01,-0.6083573909
1967-05-01,-8.3888808507
1967-06-01,14.4670757808
1967-07-01,-29.7019696532
1967-08-01,-17.3245373079
1967-09-01,-18.1697693041
1967-10-01,-18.3049069300
1967-11-01,-18.5446642737
1967-12-01,-18.8026919994
1968-01-01,-13.3916734595
1968-02-01,-24.3441663329
1968-03-01,-27.0452612168
1968-04-01,-33.7861220070
1968-05-01,-19.9613038992
1968-06-01,-33.3396089563
1968-07-01,14.4785937741
1968-08-01,-4.0160445804
1968-09-01,-7.4609653759
1968-10-01,-1.6561965599
1968-11-01,1.2351510987
1968-12-01,-4.4817718404
1969-01-01,10.7094135556
1969-02-01,14.4301962489
1969-03-01,8.2725171593
1969-04-01,31.0243103481
1969-05-01,13.4568264116
1969-06-01,11.1177210572
1969-07-01,19.2871121354
1969-08-01,19.5425936156
1969-09-01,14.8060165183
1969-10-01,19.8111018672
1969-11-01,11.7986111835
1969-12-01,21.4045531507
1970-01-01,2.0986299469
1970-02-01,4.5106837404
1970-03-01,10.1272020822
1970-04-01,29.9182706586
1970-05-01,32.2809792863
1970-06-01,31.0999196504
1970-07-01,19.0594990200
1970-08-01,30.2392089498
1970-09-01,40.4324613973
1970-10-01,27.8670524317
1970-11-01,25.5433358086
1970-12-01,34.4739539504
1971-01-01,15.6697932387
1971-02-01,4.5913050379
1971-03-01,18.4109228379
1971-04-01,4.9044992846
1971-05-01,-5.7355933435
1971-06-01,4.3426638627
1971-07-01,6.8746664767
1971-08-01,-3.4292268123
1971-09-01,-7.1491223299
1971-10-01,9.0334308710
1971-11-01,16.8200719224
1971-12-01,14.7764184140
1972-01-01,31.6951040081
1972-02-01,39.8305159080
1972-03-01,28.8158666581
1972-04-01,7.2834285195
1972-05-01,21.1667818732
1972-06-01,16.0323078289
1972-07-01,18.8985104843
1972-08-01,15.2375602962
1972-09-01,32.7160490128
1972-10-01,16.6233021401
1972-11-01,22.2791701602
1972-12-01,13.9736430121
1973-01-01,37.6191060113
1973-02-01,33.8492374538
1973-03-01,14.0003893711
1973-04-01,20.5685845569
1973-05-01,14.7275748900
1973-06-01,10.4882649755
1973-07-01,8.7354600725
1973-08-01,16.7952626766
1973-09-01,-0.4048810878
1973-10-01,7.7612363372
1973-11-01,3.6525782335
1973-12-01,11.5075028020
1974-01-01,-16.3513468932
1974-02-01,-3.6173532486
1974-03-01,-1.0510066734
1974-04-01,9.1905683646
1974-05-01,17.5806194358
1974-06-01,32.6885531577
1974-07-01,4.2425662365
1974-08-01,7.1920703099
1974-09-01,-5.9517830506
1974-10-01,-27.3575459288
1974-11-01,-24.0843170093
1974-12-01,-25.1801421883
1975-01-01,-19.5333484967
1975-02-01,-31.6511560353
1975-03-01,-23.7511815814
1975-04-01,-27.6417839910
1975-05-01,-30.6821106624
1975-06-01,-37.5410113809
1975-07-01,-23.7460916715
1975-08-01,18.2906566722
1975-09-01,10.6169139268
1975-10-01,13.1533578484
1975-11-01,-4.8147679858
1975-12-01,-14.7036130443
1976-01-01,-16.1703818692
1976-02-01,-13.1125910110
1976-03-01,-4.5354428546
1976-04-01,-11.0259903563
1976-05-01,-16.7054472056
1976-06-01,-19.6924725644
1976-07-01,-15.3946563048
1976-08-01,-51.1865584671
1976-09-01,-32.6025562989
1976-10-01,-12.0584595479
1976-11-01,13.4439728405
1976-12-01,74.1462911997
1977-01-01,38.0422078504
1977-02-01,-11.1392738136
1977-03-01,-21.8915248567
1977-04-01,-18.7643492244
1977-05-01,-9.2545950087
1977-06-01,2.0213158860
1977-07-01,-22.5087372883
1977-08-01,-1.8154364832
1977-09-01,8.9423770946
1977-10-01,-17.3586934531
1977-11-01,-33.6763199864
1977-12-01,-55.1144665723
1978-01-01,-44.5634453436
1978-02-01,2.4068110798
1978-03-01,5.9792905591
1978-04-01,26.3489058025
1978-05-01,11.4667197301
1978-06-01,3.0048608655
1978-07-01,36.0973767905
1978-08-01,24.2869922711
1978-09-01,0.8689828992
1978-10-01,13.0468990122
1978-11-01,26.0408737499
1978-12-01,23.9679616887
1979-01-01,36.5762642553
1979-02-01,9.8631476489
1979-03-01,12.1367106733
1979-04-01,-10.3075942336
1979-05-01,-1.3134121135
1979-06-01,12.3699835095
1979-07-01,-10.6598797933
1979-08-01,-1.5504151492
1979-09-01,-1.3865007334
1979-10-01,10.9455921045
1979-11-01,8.4984023998
1979-12-01,14.2489566195
1980-01-01,4.3849797861
1980-02-01,8.7243170165
1980-03-01,6.3548309907
1980-04-01,12.7695731580
1980-05-01,24.1312881826
1980-06-01,2.4161341748
1980-07-01,37.7445475770
1980-08-01,9.0851803892
1980-09-01,8.5969543200
1980-10-01,7.1027360263
1980-11-01,1.8106680880
1980-12-01,5.9460096027
1981-01-01,7.6286541307
1981-02-01,22.1098957756
1981-03-01,13.5037133653
1981-04-01,40.7825923606
1981-05-01,8.1230995875
1981-06-01,22.8954230671
1981-07-01,11.4883951305
1981-08-01,15.3349972261
1981-09-01,19.7833830140
1981-10-01,17.4332897959
1981-11-01,17.0287354030
1981-12-01,13.6470122862
1982-01-01,19.3359757520
1982-02-01,4.6928847125
1982-03-01,18.0707133315
1982-04-01,-3.4464341265
1982-05-01,11.2851972105
1982-06-01,8.6391091105
1982-07-01,-11.7050869924
1982-08-01,-16.0712732981
1982-09-01,-27.5213595876
1982-10-01,-25.9048758151
1982-11-01,-26.6863828457
1982-12-01,-22.8973156746
1983-01-01,-18.2679125856
1983-02-01,-15.4279064545
1983-03-01,4.7442131343
1983-04-01,-23.9015074466
1983-05-01,-34.9234032476
1983-06-01,-42.2174546943
1983-07-01,-27.1120082366
1983-08-01,-13.7933358841
1983-09-01,16.2172290596
1983-10-01,7.3927505018
1983-11-01,21.6384415486
1983-12-01,18.4584865405
1984-01-01,12.3152080456
1984-02-01,26.3378163319
1984-03-01,-6.7395146826
1984-04-01,13.3169700103
1984-05-01,46.4315453259
1984-06-01,54.5579807618
1984-07-01,109.6089119886
1984-08-01,72.8778496400
1984-09-01,28.5388603125
1984-10-01,24.3441901908
1984-11-01,9.7664685302
1984-12-01,-2.7446551983
1985-01-01,-14.9963861938
1985-02-01,-25.3377214310
1985-03-01,-19.8034654327
1985-04-01,1.3459312193
1985-05-01,6.1529495059
1985-06-01,-3.2350522954
1985-07-01,-24.7557115345
1985-08-01,-23.3773623755
1985-09-01,-18.8566572830
1985-10-01,-15.7452656178
1985-11-01,-8.6969773008
1985-12-01,-6.0916838700
1986-01-01,10.9506959050
1986-02-01,15.0458668139
1986-03-01,10.3255334816
