observation_date,NZLSLRTCR03GYSAM
1986-04-01,-7.2294470187
1986-05-01,-21.8667212623
1986-06-01,-22.6752308056
1986-07-01,-9.4580771414
1986-08-01,3.5993729750
1986-09-01,20.5389262376
1986-10-01,-21.1748594348
1986-11-01,-17.4926382783
1986-12-01,-15.2541488779
1987-01-01,-3.2608419905
1987-02-01,-4.0374779745
1987-03-01,-0.7604421145
1987-04-01,14.6067624793
1987-05-01,17.6675320625
1987-06-01,36.7409784725
1987-07-01,3.4749990144
1987-08-01,9.9429552180
1987-09-01,4.4268164633
1987-10-01,37.5398581812
1987-11-01,27.0634902239
1987-12-01,19.8207280854
1988-01-01,8.7629582345
1988-02-01,-2.2130054689
1988-03-01,-7.0513842271
1988-04-01,-19.0830285213
1988-05-01,-16.5632225702
1988-06-01,-13.1767962354
1988-07-01,-7.6328051530
1988-08-01,-14.8477438634
1988-09-01,-11.8844932777
1988-10-01,21.5027459915
1988-11-01,17.4988256114
1988-12-01,49.9018656753
1989-01-01,36.0756104561
1989-02-01,71.6946043077
1989-03-01,78.4415173226
1989-04-01,109.0685469219
1989-05-01,104.7399965472
1989-06-01,99.5388341270
1989-07-01,38.2796133574
1989-08-01,32.4118947823
1989-09-01,35.8821296862
1989-10-01,6.8606947294
1989-11-01,31.9487659201
1989-12-01,34.1735940751
1990-01-01,19.9480922469
1990-02-01,3.6586474023
1990-03-01,5.9006948153
1990-04-01,1.1772081493
1990-05-01,0.7606143428
1990-06-01,-6.2785223347
1990-07-01,35.6540046385
1990-08-01,35.0560027557
1990-09-01,16.6045519627
1990-10-01,85.3468291881
1990-11-01,1.5604312080
1990-12-01,40.5554376863
1991-01-01,-40.5155030327
1991-02-01,-35.2490378706
1991-03-01,-21.6248756723
1991-04-01,-36.7858534420
1991-05-01,-31.9941191709
1991-06-01,-30.0930073645
1991-07-01,-31.7603942752
1991-08-01,-25.4156706134
1991-09-01,-26.1686124800
1991-10-01,-51.9805832056
1991-11-01,-29.4060086815
1991-12-01,-53.8501556853
1992-01-01,14.6484038866
1992-02-01,6.6926625080
1992-03-01,-28.0664242068
1992-04-01,-11.4436383013
1992-05-01,-15.9348394934
1992-06-01,-14.7494569327
1992-07-01,-13.0858142193
1992-08-01,-23.7123640741
1992-09-01,-17.3315918766
1992-10-01,-8.0876620583
1992-11-01,3.1266969286
1992-12-01,-9.8222952506
1993-01-01,-2.8676109718
1993-02-01,1.8616770776
1993-03-01,15.2479119749
1993-04-01,6.9698357222
1993-05-01,-1.9115668323
1993-06-01,5.0109414967
1993-07-01,4.0202201523
1993-08-01,5.4211716277
1993-09-01,11.1081955843
1993-10-01,12.5537678348
1993-11-01,7.1267776265
1993-12-01,14.1370823473
1994-01-01,30.7108338129
1994-02-01,11.8827759362
1994-03-01,38.9138883437
1994-04-01,11.6820134345
1994-05-01,35.1074199404
1994-06-01,29.8354523149
1994-07-01,25.9524472090
1994-08-01,40.9266308561
1994-09-01,29.9281395200
1994-10-01,25.4806644251
1994-11-01,20.7486563662
1994-12-01,21.1128681168
1995-01-01,9.3313485222
1995-02-01,24.4309689969
1995-03-01,2.5978014279
1995-04-01,31.2935258592
1995-05-01,21.6315261632
1995-06-01,16.5779454442
1995-07-01,16.9334743910
1995-08-01,16.5332980680
1995-09-01,14.4144653556
1995-10-01,17.1379041323
1995-11-01,18.6596580617
1995-12-01,38.8115113015
1996-01-01,12.7844108481
1996-02-01,20.5527084560
1996-03-01,26.6519813571
1996-04-01,30.5214969531
1996-05-01,25.7738706636
1996-06-01,22.5500350484
1996-07-01,29.4141453649
1996-08-01,22.3698030260
1996-09-01,18.9058843863
1996-10-01,16.2955829117
1996-11-01,23.4297120379
1996-12-01,-5.0632530701
1997-01-01,13.4470850106
1997-02-01,6.6720690238
1997-03-01,-1.8799544157
1997-04-01,0.4457193736
1997-05-01,-7.4416265390
1997-06-01,-13.4866461623
1997-07-01,-13.3456650447
1997-08-01,-23.3073883880
1997-09-01,-20.3465738157
1997-10-01,-24.1364229240
1997-11-01,-29.1066388006
1997-12-01,-19.1789444042
1998-01-01,-21.2650392279
1998-02-01,-27.6967592669
1998-03-01,-22.6128977948
1998-04-01,-28.6916101087
1998-05-01,-25.8962426301
1998-06-01,-1.5033889118
1998-07-01,-0.2167932438
1998-08-01,21.8095034481
1998-09-01,21.9113623644
1998-10-01,28.4670702573
1998-11-01,33.8687343501
1998-12-01,36.3479426171
1999-01-01,33.2608778830
1999-02-01,43.9200998314
1999-03-01,39.4839431424
1999-04-01,50.1055289320
1999-05-01,55.6177379181
1999-06-01,26.8870168091
1999-07-01,19.7706133568
1999-08-01,10.7741248781
1999-09-01,11.7118742201
1999-10-01,10.1278556801
1999-11-01,6.7511863881
1999-12-01,0.3803360673
2000-01-01,2.5505707158
2000-02-01,0.8724063098
2000-03-01,2.0103346288
2000-04-01,-6.0390698186
2000-05-01,-8.5107320469
2000-06-01,-8.8135166625
2000-07-01,-10.6068543618
2000-08-01,-10.7817991669
2000-09-01,-11.8595238985
2000-10-01,-12.2552539098
2000-11-01,-18.3651863703
2000-12-01,-14.3864555765
2001-01-01,-11.2916198978
2001-02-01,-9.1373188866
2001-03-01,-7.1129373252
2001-04-01,2.0209901489
2001-05-01,3.3477534887
2001-06-01,11.2174966873
2001-07-01,13.4934182803
2001-08-01,14.5611583968
2001-09-01,8.8581106354
2001-10-01,13.1530520486
2001-11-01,28.8112940415
2001-12-01,29.8814566674
2002-01-01,21.0183267552
2002-02-01,22.6011784690
2002-03-01,27.2380207532
2002-04-01,6.0415380506
2002-05-01,1.8666420430
2002-06-01,0.2104271965
2002-07-01,2.2976566751
2002-08-01,1.7497274902
2002-09-01,8.1274427357
2002-10-01,4.9431317031
2002-11-01,1.1372702797
2002-12-01,-0.2371264849
2003-01-01,8.6666716381
2003-02-01,4.1930158098
2003-03-01,-1.4492869444
2003-04-01,10.5856668723
2003-05-01,23.4649565445
2003-06-01,21.9965786655
2003-07-01,19.5199240584
2003-08-01,17.2073026944
2003-09-01,18.0333417036
2003-10-01,17.1382535706
2003-11-01,11.9729428538
2003-12-01,9.3454617015
2004-01-01,3.1291303503
2004-02-01,4.8007773325
2004-03-01,6.9842103000
2004-04-01,9.0984094251
2004-05-01,2.4841571237
2004-06-01,-1.7259176876
2004-07-01,-4.5333965366
2004-08-01,-2.7304910419
2004-09-01,-4.1251286005
2004-10-01,-3.4436523289
2004-11-01,-2.3714577638
2004-12-01,-3.9293081355
2005-01-01,-5.7713166194
2005-02-01,7.8823533966
2005-03-01,-2.5761520613
2005-04-01,0.0080541549
2005-05-01,-2.9278122891
2005-06-01,2.3617411807
2005-07-01,5.6167484610
2005-08-01,8.6228828068
2005-09-01,0.3521963045
2005-10-01,1.1712362460
2005-11-01,0.7938146362
2005-12-01,2.2401801328
2006-01-01,1.7970294840
2006-02-01,-9.5786590712
2006-03-01,-7.1190780568
2006-04-01,-11.2845554226
2006-05-01,-10.1650265030
2006-06-01,-18.3219417548
2006-07-01,-17.0537160760
2006-08-01,-22.1723359316
2006-09-01,-14.9792923626
2006-10-01,-15.6450041622
2006-11-01,-15.4950547417
2006-12-01,-15.3023142936
2007-01-01,-10.6704915472
2007-02-01,-12.3366519896
2007-03-01,-7.5153921401
2007-04-01,-7.3724650458
2007-05-01,-1.3417063029
2007-06-01,2.9582397013
2007-07-01,4.1239264078
2007-08-01,10.8013619448
2007-09-01,2.7502292803
2007-10-01,0.7987985459
2007-11-01,1.8082715970
2007-12-01,1.1628228129
2008-01-01,-0.6295896058
2008-02-01,-3.9965180674
2008-03-01,-4.8273057305
2008-04-01,-8.2854420464
2008-05-01,-17.1131408661
2008-06-01,-15.3536623192
2008-07-01,-29.1555400752
2008-08-01,-25.8231604425
2008-09-01,-21.4279485920
2008-10-01,-19.8696222321
2008-11-01,-30.1602193218
2008-12-01,-28.8041983448
2009-01-01,-35.7531492585
2009-02-01,-40.5103822558
2009-03-01,-38.0527583157
2009-04-01,-37.7944083201
2009-05-01,-30.4093804144
2009-06-01,-32.1417872610
2009-07-01,-15.5942340968
2009-08-01,-18.3741066833
2009-09-01,-16.7440003110
2009-10-01,-13.7432266663
2009-11-01,-1.6382130227
2009-12-01,0.0330776376
2010-01-01,18.1012897921
2010-02-01,32.2687866846
2010-03-01,27.8044741398
2010-04-01,40.7908891939
2010-05-01,31.3392031728
2010-06-01,34.6806142873
2010-07-01,20.4558167875
2010-08-01,14.6790005940
2010-09-01,20.3879322343
2010-10-01,13.8437326475
2010-11-01,18.5279870328
2010-12-01,6.2013118679
2011-01-01,6.1383095994
2011-02-01,3.2311478852
2011-03-01,-0.9992029264
2011-04-01,-7.4551206922
2011-05-01,-6.7504584979
2011-06-01,-10.7623644422
2011-07-01,-2.3949149070
2011-08-01,-1.4322644405
2011-09-01,-11.3205254723
2011-10-01,-8.1659571321
2011-11-01,-8.6528078615
2011-12-01,7.9125711406
2012-01-01,1.0594298605
2012-02-01,-3.8691218050
2012-03-01,2.1637889077
2012-04-01,9.1227863914
2012-05-01,6.3529796806
2012-06-01,14.1459750442
2012-07-01,6.7684252236
2012-08-01,0.4890229810
2012-09-01,15.7933689960
2012-10-01,14.1817405215
2012-11-01,7.6566875877
2012-12-01,6.8318857381
2013-01-01,3.2351735932
2013-02-01,16.7849687365
2013-03-01,20.8048039146
2013-04-01,8.6086953659
2013-05-01,16.0445386643
2013-06-01,18.5735749388
2013-07-01,23.0953167672
2013-08-01,27.1462379573
2013-09-01,12.4225449572
2013-10-01,16.3416170760
2013-11-01,26.9477022348
2013-12-01,16.3180148698
2014-01-01,20.8926354365
2014-02-01,23.5738408232
2014-03-01,20.4674983415
2014-04-01,24.5446974732
2014-05-01,25.6080949323
2014-06-01,20.7919225285
2014-07-01,16.1092420626
2014-08-01,22.7852989643
2014-09-01,26.8620404842
2014-10-01,20.4913134468
2014-11-01,20.2937733613
2014-12-01,17.0050593605
2015-01-01,21.7786529767
2015-02-01,12.2794581834
2015-03-01,8.5303137912
2015-04-01,11.7621303661
2015-05-01,10.2059916695
2015-06-01,7.7267354191
2015-07-01,10.6262100439
2015-08-01,8.1232521088
2015-09-01,4.2427908763
2015-10-01,6.3252364665
2015-11-01,-2.3514265642
2015-12-01,2.6354971941
2016-01-01,2.7009928533
2016-02-01,0.6827463558
2016-03-01,2.2343459578
2016-04-01,7.3665735863
2016-05-01,0.7423140760
2016-06-01,-0.6369795950
2016-07-01,5.1274434441
2016-08-01,3.1838982520
2016-09-01,7.5444086596
2016-10-01,15.7810796489
2016-11-01,9.1980039521
2016-12-01,11.5087196659
2017-01-01,8.8162036971
2017-02-01,14.5250267135
2017-03-01,11.6164498658
2017-04-01,12.4094315268
2017-05-01,10.2489317984
2017-06-01,11.5879787499
2017-07-01,6.4154947093
2017-08-01,5.4286391503
2017-09-01,7.8652031303
2017-10-01,2.7320321196
2017-11-01,12.1694380947
2017-12-01,8.1658504217
2018-01-01,3.4073219365
2018-02-01,-4.3209255765
2018-03-01,-3.5795406861
2018-04-01,-16.2464358601
2018-05-01,-0.0332752572
2018-06-01,-1.4254203933
2018-07-01,-3.7596385261
2018-08-01,-4.7226869675
2018-09-01,-8.5689993893
2018-10-01,-9.1644945634
2018-11-01,-18.1658132765
2018-12-01,-15.9723309270
2019-01-01,-11.3164947429
2019-02-01,-3.8661278262
2019-03-01,-4.3372125757
2019-04-01,1.5930540356
2019-05-01,-12.3556013875
2019-06-01,-7.9967573651
2019-07-01,-8.3315647405
2019-08-01,-2.0311239498
2019-09-01,0.5127768057
2019-10-01,-6.8504012660
2019-11-01,6.3492278453
2019-12-01,2.1015675876
2020-01-01,-2.8365877781
2020-02-01,-3.2515986270
2020-03-01,-33.3826203094
2020-04-01,-92.4547418216
2020-05-01,-19.1090248398
2020-06-01,-9.4104628330
2020-07-01,-2.4208387316
2020-08-01,-20.1226121716
2020-09-01,-20.6924902337
2020-10-01,-16.1546140623
2020-11-01,-17.7033020748
2020-12-01,-27.1098710733
2021-01-01,-1.2496874657
2021-02-01,-1.8547807561
2021-03-01,45.8230718913
2021-04-01,1327.6240190887
