observation_date,JPNB6BLTT02STSAQ
1996-01-01,1.5616550000000000
1996-04-01,1.2117750000000000
1996-07-01,1.3850330000000000
1996-10-01,1.4670430000000001
1997-01-01,1.4803430000000000
1997-04-01,2.1609590000000001
1997-07-01,2.0621090000000000
1997-10-01,2.7660410000000000
1998-01-01,2.7718430000000001
1998-04-01,2.7616679999999998
1998-07-01,2.9816220000000002
1998-10-01,2.7212850000000000
1999-01-01,2.3113999999999999
1999-04-01,2.4809980000000000
1999-07-01,2.5948990000000003
1999-10-01,2.4980790000000002
2000-01-01,2.6031800000000000
2000-04-01,2.8630900000000001
2000-07-01,2.7731499999999998
2000-10-01,2.2715589999999999
2001-01-01,2.1111160000000000
2001-04-01,1.6722390000000000
2001-07-01,1.9048020000000001
2001-10-01,2.2755610000000002
2002-01-01,2.7418720000000003
2002-04-01,2.6807740000000000
2002-07-01,2.4522200000000001
2002-10-01,2.5052360000000000
2003-01-01,2.4401890000000002
2003-04-01,3.1060910000000002
2003-07-01,3.3685250000000000
2003-10-01,3.3658320000000002
2004-01-01,3.7057840000000000
2004-04-01,3.8875950000000001
2004-07-01,3.7171949999999998
2004-10-01,3.5888080000000002
2005-01-01,3.3602580000000000
2005-04-01,3.4778650000000000
2005-07-01,3.3645690000000004
2005-10-01,3.8751869999999999
2006-01-01,3.8084989999999999
2006-04-01,3.5085519999999999
2006-07-01,3.6503440000000000
2006-10-01,4.3746809999999998
2007-01-01,4.5998020000000004
2007-04-01,4.6259470000000000
2007-07-01,4.6064390000000000
2007-10-01,4.7644010000000003
2008-01-01,4.1968290000000001
2008-04-01,2.9736650000000000
2008-07-01,2.2256770000000001
2008-10-01,1.7293289999999999
2009-01-01,1.4829950000000001
2009-04-01,2.8363119999999999
2009-07-01,2.8944920000000001
2009-10-01,3.8098770000000002
2010-01-01,3.8757609999999998
2010-04-01,3.6559210000000002
2010-07-01,3.7564470000000001
2010-10-01,4.0507809999999997
2011-01-01,3.0378639999999999
2011-04-01,1.6222939999999999
2011-07-01,2.0494539999999999
2011-10-01,1.5236369999999999
2012-01-01,1.2778149999999999
2012-04-01,1.0498299999999998
2012-07-01,0.6477960000000000
2012-10-01,1.0458369999999999
2013-01-01,0.7291878000000001
2013-04-01,1.7726590000000000
2013-07-01,0.7796539000000001
2013-10-01,0.2631361000000000
2014-01-01,-0.7257103000000000
2014-04-01,0.8586028000000000
2014-07-01,0.7276161000000000
2014-10-01,2.2789269999999999
2015-01-01,2.7888040000000003
2015-04-01,3.1683889999999999
2015-07-01,2.9019420000000000
2015-10-01,3.4602640000000000
2016-01-01,3.8974799999999998
2016-04-01,3.8125030000000000
2016-07-01,3.7674129999999999
2016-10-01,3.9094630000000001
2017-01-01,4.3620419999999998
2017-04-01,3.7434129999999999
2017-07-01,4.4785309999999994
2017-10-01,4.1026300000000004
2018-01-01,3.7481610000000001
2018-04-01,3.9774669999999999
2018-07-01,3.3791169999999999
2018-10-01,2.9339040000000001
2019-01-01,3.6615850000000001
2019-04-01,3.4383800000000004
2019-07-01,3.0715900000000000
2019-10-01,3.3571900000000001
2020-01-01,3.5927319999999998
2020-04-01,1.1104459999999998
2020-07-01,2.6735620000000000
2020-10-01,4.2258300000000002
2021-01-01,4.3551980000000006
2021-04-01,4.3853429999999998
2021-07-01,3.3737800000000004
2021-10-01,3.3246860000000003
2022-01-01,3.5114770000000002
2022-04-01,1.9060360000000001
2022-07-01,0.3310544000000000
2022-10-01,1.9082349999999999
2023-01-01,2.1917700000000000
2023-04-01,4.0792679999999999
2023-07-01,4.3617629999999998
2023-10-01,4.5669660000000007
2024-01-01,4.3933730000000004
2024-04-01,4.7250290000000001
2024-07-01,4.7300110000000002
2024-10-01,5.2959559999999994
