observation_date,GBRB6BLTT02STSAQ
1955-01-01,-0.60008569999999994
1955-04-01,-0.42662119999999998
1955-07-01,-0.34965039999999997
1955-10-01,-0.94891979999999998
1956-01-01,0.51120719999999997
1956-04-01,1.26091200000000003
1956-07-01,1.26074500000000000
1956-10-01,1.62071499999999991
1957-01-01,0.50185869999999999
1957-04-01,1.04376500000000005
1957-07-01,1.34456799999999999
1957-10-01,1.89973600000000009
1958-01-01,2.24137899999999979
1958-04-01,0.92592589999999997
1958-07-01,2.02609900000000032
1958-10-01,1.17506800000000000
1959-01-01,0.54375530000000005
1959-04-01,1.15150500000000000
1959-07-01,1.19613299999999989
1959-10-01,0.12656229999999999
1960-01-01,-0.26459139999999998
1960-04-01,-1.29549699999999990
1960-07-01,-1.12496200000000002
1960-10-01,-0.70002980000000004
1961-01-01,0.07266386000000000
1961-04-01,-0.36331929999999990
1961-07-01,0.88495580000000007
1961-10-01,0.34105439999999998
1962-01-01,0.64498040000000001
1962-04-01,0.84850140000000007
1962-07-01,0.46064220000000000
1962-10-01,0.44504379999999999
1963-01-01,1.07264099999999996
1963-04-01,0.51612899999999995
1963-07-01,0.43207519999999999
1963-10-01,-0.06161429000000000
1964-01-01,-0.78604759999999996
1964-04-01,-0.61662519999999998
1964-07-01,-1.25319099999999994
1964-10-01,-1.44567399999999990
1965-01-01,0.12196470000000000
1965-04-01,-0.24277199999999999
1965-07-01,-0.36626090000000000
1965-10-01,-0.17962809999999990
1966-01-01,-0.40599629999999998
1966-04-01,0.00000000000000000
1966-07-01,-0.02008839000000000
1966-10-01,1.63021900000000008
1967-01-01,0.51191179999999992
1967-04-01,-0.45135890000000001
1967-07-01,-0.32433469999999998
1967-10-01,-2.53319500000000009
1968-01-01,-1.02730499999999991
1968-04-01,-0.79252000000000000
1968-07-01,-0.26756429999999998
1968-10-01,-0.56387810000000005
1969-01-01,0.23167299999999999
1969-04-01,0.79073939999999998
1969-07-01,1.29973699999999992
1969-10-01,0.95593379999999994
1970-01-01,2.29954599999999987
1970-04-01,1.04325200000000007
1970-07-01,0.53322109999999989
1970-10-01,1.40196399999999999
1971-01-01,1.30788700000000002
1971-04-01,1.61966800000000011
1971-07-01,2.11967700000000026
1971-10-01,1.44565100000000002
1972-01-01,0.67473939999999999
1972-04-01,0.72463769999999994
1972-07-01,-0.97415390000000002
1972-10-01,-0.18585389999999999
1973-01-01,-1.26708600000000016
1973-04-01,-0.67424770000000001
1973-07-01,-1.83383600000000002
1973-10-01,-2.16748800000000008
1974-01-01,-3.67215600000000020
1974-04-01,-4.08811999999999998
1974-07-01,-3.65333100000000011
1974-10-01,-3.63287199999999988
1975-01-01,-1.85350900000000007
1975-04-01,-1.35447399999999996
1975-07-01,-2.57347900000000029
1975-10-01,-0.78342500000000004
1976-01-01,0.28352179999999999
1976-04-01,-1.09837300000000004
1976-07-01,-1.50217099999999992
1976-10-01,-1.04967600000000005
1977-01-01,-1.14622200000000007
1977-04-01,-1.15941300000000003
1977-07-01,0.41151240000000000
1977-10-01,0.48144189999999998
1978-01-01,-0.41458990000000001
1978-04-01,0.85829430000000007
1978-07-01,0.04872159000000000
1978-10-01,0.67067440000000011
1979-01-01,-1.45068299999999994
1979-04-01,-0.37986880000000001
1979-07-01,0.13035739999999990
1979-10-01,-0.72086839999999996
1980-01-01,-0.56998409999999999
1980-04-01,-0.79115909999999989
1980-07-01,1.16175199999999990
1980-10-01,2.19407700000000006
1981-01-01,3.79897000000000018
1981-04-01,1.98362599999999989
1981-07-01,-0.23598420000000001
1981-10-01,0.70770940000000004
1982-01-01,1.11013600000000001
1982-04-01,-0.23546390000000000
1982-07-01,0.13179160000000001
1982-10-01,1.21209199999999995
1983-01-01,1.15949500000000016
1983-04-01,-0.69534580000000001
1983-07-01,0.68143100000000001
1983-10-01,-0.25249460000000001
1984-01-01,0.78112209999999993
1984-04-01,-1.35070000000000001
1984-07-01,-1.16063300000000003
1984-10-01,-0.21232719999999999
1985-01-01,-1.26342899999999991
1985-04-01,0.23835360000000000
1985-07-01,0.06846124000000001
1985-10-01,-0.21246529999999991
1986-01-01,0.19401760000000001
1986-04-01,-1.00473300000000010
1986-07-01,-1.78856799999999994
1986-10-01,-1.18415300000000001
1987-01-01,-0.19130490000000000
1987-04-01,-1.50321600000000011
1987-07-01,-1.72672799999999982
1987-10-01,-2.79474599999999995
1988-01-01,-3.10467200000000032
1988-04-01,-3.12156900000000004
1988-07-01,-3.11929599999999985
1988-10-01,-4.75274000000000019
1989-01-01,-3.92469499999999982
1989-04-01,-4.29651899999999998
1989-07-01,-4.57295500000000033
1989-10-01,-3.52562499999999979
1990-01-01,-3.95814900000000014
1990-04-01,-3.86098799999999986
1990-07-01,-2.25968400000000003
1990-10-01,-2.30412900000000009
1991-01-01,-1.74488400000000010
1991-04-01,-1.00613100000000011
1991-07-01,-1.46040199999999998
1991-10-01,-1.07077199999999984
1992-01-01,-1.20426799999999989
1992-04-01,-1.60372500000000007
1992-07-01,-1.76163200000000009
1992-10-01,-1.51144100000000003
1993-01-01,-1.23430700000000004
1993-04-01,-1.67490299999999981
1993-07-01,-1.27407599999999999
1993-10-01,-1.10805899999999991
1994-01-01,-0.51502530000000002
1994-04-01,-0.89939259999999999
1994-07-01,-0.20118839999999999
1994-10-01,-0.32558029999999999
1995-01-01,0.35225279999999998
1995-04-01,-1.37794900000000009
1995-07-01,-1.14763099999999985
1995-10-01,-0.49030410000000002
1996-01-01,-0.66927700000000001
1996-04-01,-0.50533409999999990
1996-07-01,-0.62067230000000007
1996-10-01,-0.49083500000000002
1997-01-01,-0.31020540000000002
1997-04-01,-0.18305239999999989
