observation_date,ULQELP01CHQ661S
1995-01-01,84.7579134392925
1995-04-01,85.2902939670451
1995-07-01,85.9938748013742
1995-10-01,85.7106519147991
1996-01-01,86.1291737818575
1996-04-01,85.8282409012538
1996-07-01,85.8562328708770
1996-10-01,86.4711759602758
1997-01-01,87.4969235731134
1997-04-01,87.7261755006427
1997-07-01,88.4864913047645
1997-10-01,88.7994004403298
1998-01-01,89.3391281668022
1998-04-01,89.7657290119529
1998-07-01,89.5421369881960
1998-10-01,89.4263642443370
1999-01-01,89.4069130168592
1999-04-01,89.6518767487524
1999-07-01,89.9784958013829
1999-10-01,91.9163305125911
2000-01-01,92.2434719000409
2000-04-01,92.4985562909097
2000-07-01,93.3406897008158
2000-10-01,94.0838604272117
2001-01-01,93.1802850181480
2001-04-01,93.2590302715963
2001-07-01,93.1206905447435
2001-10-01,92.4948415773816
2002-01-01,92.3408230901004
2002-04-01,92.5570101029237
2002-07-01,92.3383680372150
2002-10-01,91.9458433836324
2003-01-01,91.8413034942272
2003-04-01,91.7600860496535
2003-07-01,92.8303669683808
2003-10-01,93.7939619026789
2004-01-01,94.0222519758324
2004-04-01,94.8559541933364
2004-07-01,94.7950416014566
2004-10-01,94.8457857292356
2005-01-01,95.4708294340863
2005-04-01,96.3973206362825
2005-07-01,96.9742966840839
2005-10-01,97.6139063669589
2006-01-01,98.1176854904464
2006-04-01,98.4114200754638
2006-07-01,98.4620880202443
2006-10-01,98.9862863296162
2007-01-01,98.7972511018060
2007-04-01,99.9040880919577
2007-07-01,100.0915280548220
2007-10-01,100.3268267584160
2008-01-01,100.3562613922170
2008-04-01,101.1452861841450
2008-07-01,101.0658473308630
2008-10-01,97.7654517240330
2009-01-01,95.7095528217110
2009-04-01,96.4852073800128
2009-07-01,98.0674792216801
2009-10-01,98.9995726034739
2010-01-01,100.1438206988890
2010-04-01,99.8963529057867
2010-07-01,99.9691990831058
2010-10-01,100.5821655230250
2011-01-01,99.9707481569733
2011-04-01,99.8264383946346
2011-07-01,99.3857647360552
2011-10-01,98.7739693602945
2012-01-01,98.8083216712128
2012-04-01,98.8246414429034
2012-07-01,98.8422673304321
2012-10-01,99.2221930592292
2013-01-01,99.2676331071406
2013-04-01,99.6223132105880
2013-07-01,99.8296757025311
2013-10-01,99.4329814970944
2014-01-01,100.1517181994530
2014-04-01,99.8023820281505
2014-07-01,100.2157965529460
2014-10-01,99.6866404794099
2015-01-01,99.2652538557518
2015-04-01,99.8823951298596
2015-07-01,100.5314940860350
2015-10-01,100.3208569283540
2016-01-01,99.9089367465733
2016-04-01,100.7508443953820
2016-07-01,101.1511046753310
2016-10-01,100.9428568641660
2017-01-01,100.9042935057230
2017-04-01,100.6346434302930
2017-07-01,101.1862395053770
2017-10-01,102.1246305154190
2018-01-01,102.7664558733990
2018-04-01,103.5815266230090
2018-07-01,102.6396580469000
2018-10-01,103.1552177442120
2019-01-01,102.9273836245430
2019-04-01,102.9928083276540
2019-07-01,103.8100992716990
2019-10-01,104.1507192686660
2020-01-01,101.9806727913130
2020-04-01,97.6221647976844
2020-07-01,103.5213369772650
2020-10-01,103.3164876145380
2021-01-01,104.2174948994170
2021-04-01,106.7573411642580
2021-07-01,107.7793397870870
2021-10-01,107.1490661604730
2022-01-01,107.2226287103560
2022-04-01,108.2290204125030
2022-07-01,107.9424737344810
2022-10-01,107.4410852194010
2023-01-01,106.6283288071610
2023-04-01,105.6592637222750
2023-07-01,106.0559714270110
