observation_date,AUSB6BLTT02STSAQ
1959-07-01,-2.61832799999999999
1959-10-01,0.09784735999999999
1960-01-01,-1.56024999999999991
1960-04-01,-3.40338099999999955
1960-07-01,-5.50000000000000000
1960-10-01,-4.29087599999999991
1961-01-01,-3.52861300000000000
1961-04-01,0.04627487000000000
1961-07-01,0.64650200000000002
1961-10-01,2.28990099999999996
1962-01-01,0.62249890000000008
1962-04-01,0.02176752000000000
1962-07-01,-2.81659900000000007
1962-10-01,-1.23379299999999992
1963-01-01,-1.13705599999999984
1963-04-01,-1.12474399999999997
1963-07-01,-0.36893199999999998
1963-10-01,1.97831500000000005
1964-01-01,0.75202109999999989
1964-04-01,-0.81803310000000007
1964-07-01,-2.48836399999999980
1964-10-01,-2.16825700000000010
1965-01-01,-3.16185299999999980
1965-04-01,-3.18524699999999994
1965-07-01,-4.37687899999999974
1965-10-01,-3.64867100000000022
1966-01-01,-2.69205499999999986
1966-04-01,-1.64799999999999991
1966-07-01,-1.86630000000000007
1966-10-01,-1.80570100000000000
1967-01-01,-2.47910100000000000
1967-04-01,-1.86033200000000010
1967-07-01,-2.86157299999999992
1967-10-01,-2.81962700000000011
1968-01-01,-5.11912900000000004
1968-04-01,-3.15985100000000019
1968-07-01,-3.63589500000000010
1968-10-01,-2.31362500000000004
1969-01-01,-2.30592800000000020
1969-04-01,-2.24692800000000004
1969-07-01,-1.35486100000000009
1969-10-01,-1.64205399999999990
1970-01-01,-1.32286499999999996
1970-04-01,-1.79163199999999989
1970-07-01,-1.41989900000000002
1970-10-01,-1.58906900000000006
1971-01-01,-2.03683900000000007
1971-04-01,-1.08643899999999993
1971-07-01,-0.77967350000000002
1971-10-01,-1.32808199999999998
1972-01-01,-0.09893866000000000
1972-04-01,1.20429699999999995
1972-07-01,1.70910999999999991
1972-10-01,2.27441899999999997
1973-01-01,2.04001300000000008
1973-04-01,1.67757500000000004
1973-07-01,0.42031769999999991
1973-10-01,0.43420169999999991
1974-01-01,-1.80668500000000010
1974-04-01,-3.36757999999999980
1974-07-01,-3.08004500000000014
1974-10-01,-2.39134100000000016
1975-01-01,-0.34446359999999998
1975-04-01,0.22835900000000001
1975-07-01,-0.99989689999999998
1975-10-01,-1.74058399999999991
1976-01-01,-1.70867999999999998
1976-04-01,-1.01169099999999990
1976-07-01,-1.15137299999999998
1976-10-01,-1.76000000000000001
1977-01-01,-2.94905099999999987
1977-04-01,-2.79647900000000016
1977-07-01,-3.02256100000000005
1977-10-01,-1.08433700000000011
1978-01-01,-2.88595399999999991
1978-04-01,-2.98125699999999982
1978-07-01,-3.60904900000000017
1978-10-01,-3.53378799999999993
1979-01-01,-1.94483600000000001
1979-04-01,-1.92183499999999996
1979-07-01,-1.70142400000000049
1979-10-01,-0.66946859999999997
1980-01-01,-0.90005840000000004
1980-04-01,-1.71191800000000005
1980-07-01,-3.75677800000000017
1980-10-01,-3.20063500000000012
1981-01-01,-2.85566100000000000
1981-04-01,-4.15624700000000047
1981-07-01,-4.06546500000000055
1981-10-01,-5.33247200000000010
1982-01-01,-5.38996500000000012
1982-04-01,-4.71570900000000037
1982-07-01,-3.36139900000000003
1982-10-01,-3.33100700000000005
1983-01-01,-3.48666500000000035
1983-04-01,-2.92903499999999983
1983-07-01,-3.64713000000000021
1983-10-01,-2.68841799999999997
1984-01-01,-3.95624099999999990
1984-04-01,-3.41281699999999999
1984-07-01,-4.32843000000000000
1984-10-01,-5.10614599999999985
1985-01-01,-4.01355199999999979
1985-04-01,-4.43562100000000026
1985-07-01,-5.52102699999999924
1985-10-01,-5.61229200000000006
1986-01-01,-5.89092899999999986
1986-04-01,-5.50955500000000065
1986-07-01,-4.71691200000000066
1986-10-01,-4.31473200000000023
1987-01-01,-4.01045099999999977
1987-04-01,-3.16521500000000033
1987-07-01,-3.22718100000000030
1987-10-01,-3.24355500000000019
1988-01-01,-2.99969799999999998
1988-04-01,-3.59638400000000003
1988-07-01,-3.91274100000000091
1988-10-01,-4.71207699999999985
1989-01-01,-5.58856999999999982
1989-04-01,-5.89201100000000011
1989-07-01,-6.27146299999999979
1989-10-01,-6.12021399999999982
1990-01-01,-6.17776499999999995
1990-04-01,-4.37110800000000044
1990-07-01,-4.04686799999999991
1990-10-01,-4.86127699999999940
1991-01-01,-3.81767199999999995
1991-04-01,-3.26766399999999990
1991-07-01,-3.10839599999999994
1991-10-01,-2.96197100000000013
1992-01-01,-2.99649700000000019
1992-04-01,-3.21280300000000008
1992-07-01,-3.75258799999999981
1992-10-01,-3.16806000000000010
1993-01-01,-2.86465000000000014
1993-04-01,-3.09488300000000027
1993-07-01,-3.24400699999999986
1993-10-01,-2.94003199999999998
1994-01-01,-2.77879000000000032
1994-04-01,-4.36328600000000044
1994-07-01,-5.50859800000000011
1994-10-01,-5.24402399999999957
1995-01-01,-5.84712700000000041
1995-04-01,-5.01987699999999926
1995-07-01,-4.25304299999999991
1995-10-01,-4.74496900000000021
1996-01-01,-4.01447500000000002
1996-04-01,-2.69682999999999984
1996-07-01,-3.86417300000000097
1996-10-01,-3.42997600000000036
1997-01-01,-2.96815600000000002
1997-04-01,-1.90693700000000010
1997-07-01,-3.12930799999999998
1997-10-01,-3.67645599999999995
1998-01-01,-4.99616300000000013
1998-04-01,-4.18396900000000027
1998-07-01,-5.53500000000000014
1998-10-01,-4.90466200000000008
1999-01-01,-5.61097000000000001
1999-04-01,-5.92212500000000031
1999-07-01,-5.68249800000000072
1999-10-01,-4.72480399999999978
2000-01-01,-4.92531799999999986
2000-04-01,-4.88324099999999994
2000-07-01,-3.16321999999999992
2000-10-01,-3.26230099999999990
2001-01-01,-2.48355099999999984
2001-04-01,-2.08446400000000009
2001-07-01,-1.62193199999999993
2001-10-01,-2.80146199999999990
2002-01-01,-2.60189799999999982
2002-04-01,-3.55433200000000005
2002-07-01,-3.95344799999999985
2002-10-01,-5.02590100000000017
2003-01-01,-4.91758700000000015
2003-04-01,-5.59486400000000028
2003-07-01,-5.37378799999999934
2003-10-01,-5.39949100000000026
2004-01-01,-5.75228699999999993
2004-04-01,-5.51862799999999964
2004-07-01,-6.61185299999999998
2004-10-01,-7.30001600000000028
2005-01-01,-6.51929699999999990
2005-04-01,-5.69322100000000031
2005-07-01,-5.97789000000000037
2005-10-01,-5.64178099999999993
2006-01-01,-5.54039000000000037
2006-04-01,-6.23707499999999992
2006-07-01,-5.69894600000000029
2006-10-01,-6.01674600000000037
2007-01-01,-6.21728500000000039
2007-04-01,-6.60178399999999943
2007-07-01,-6.81215599999999988
2007-10-01,-7.32335300000000000
2008-01-01,-6.81003999999999898
2008-04-01,-5.81618899999999961
2008-07-01,-4.00682200000000055
2008-10-01,-2.92232300000000000
2009-01-01,-1.37868199999999996
2009-04-01,-4.95576600000000056
2009-07-01,-5.28838499999999989
2009-10-01,-6.42624100000000009
2010-01-01,-5.51307900000000028
2010-04-01,-2.89602300000000001
2010-07-01,-2.99226599999999987
2010-10-01,-3.44888500000000020
2011-01-01,-3.34656000000000020
2011-04-01,-3.02950000000000008
2011-07-01,-2.67857399999999979
2011-10-01,-2.87802699999999989
2012-01-01,-4.66644400000000026
2012-04-01,-3.71646000000000010
2012-07-01,-4.26962300000000017
2012-10-01,-4.78061200000000053
2013-01-01,-3.47881600000000013
2013-04-01,-3.57960000000000012
2013-07-01,-3.72479100000000019
2013-10-01,-2.78259000000000034
2014-01-01,-2.65289900000000012
2014-04-01,-3.18418799999999980
2014-07-01,-3.39067600000000002
2014-10-01,-3.11793699999999996
2015-01-01,-3.31714999999999982
2015-04-01,-5.19509199999999982
2015-07-01,-4.97570899999999927
2015-10-01,-5.36075199999999974
2016-01-01,-4.42480700000000038
2016-04-01,-4.42623700000000042
2016-07-01,-3.56862799999999991
2016-10-01,-1.49983500000000003
2017-01-01,-2.26604200000000011
2017-04-01,-2.72454499999999999
2017-07-01,-2.82231300000000029
2017-10-01,-3.51544299999999987
2018-01-01,-3.05460300000000018
2018-04-01,-3.10786000000000007
2018-07-01,-2.38224900000000028
2018-10-01,-1.76181899999999980
2019-01-01,-1.25391699999999995
2019-04-01,0.28629539999999998
2019-07-01,0.95471550000000005
2019-10-01,-0.10199090000000000
2020-01-01,0.66099359999999996
2020-04-01,2.65805600000000020
2020-07-01,1.53615400000000002
2020-10-01,2.13414800000000016
2021-01-01,3.02781199999999995
2021-04-01,2.99359600000000015
2021-07-01,3.53182399999999985
2021-10-01,0.12442539999999989
