observation_date,ULQELP01DEQ661S
1991-01-01,81.1540254199820
1991-04-01,81.1219637703359
1991-07-01,81.6482996771586
1991-10-01,82.7704574147699
1992-01-01,84.1758073745217
1992-04-01,83.7591200275205
1992-07-01,83.9800715739246
1992-10-01,84.0872670182038
1993-01-01,83.6432531050453
1993-04-01,83.9759640316212
1993-07-01,84.6871393420972
1993-10-01,84.7533734617397
1994-01-01,85.6812786779190
1994-04-01,85.9387987606632
1994-07-01,86.3860644781453
1994-10-01,87.2339296686069
1995-01-01,86.8504449552249
1995-04-01,87.4197959578361
1995-07-01,87.5672110871695
1995-10-01,87.4540825262298
1996-01-01,86.8446259369618
1996-04-01,87.8834347953331
1996-07-01,88.3053706686109
1996-10-01,89.0825519019347
1997-01-01,88.7271353942927
1997-04-01,89.7219593204984
1997-07-01,89.8478669019376
1997-10-01,90.5254402344038
1998-01-01,91.1566896175593
1998-04-01,90.2710008083871
1998-07-01,90.1346532235935
1998-10-01,89.4025979064085
1999-01-01,90.2351168624310
1999-04-01,90.1910178318680
1999-07-01,90.3787667446529
1999-10-01,90.5795799239306
2000-01-01,91.0148082604958
2000-04-01,91.4575670912838
2000-07-01,91.2933224483462
2000-10-01,91.0169761300448
2001-01-01,93.1052620469366
2001-04-01,93.1264843488376
2001-07-01,93.1535827182004
2001-10-01,93.0387997304996
2002-01-01,92.5269543201361
2002-04-01,93.1032082757850
2002-07-01,93.8969337767197
2002-10-01,94.1083010577492
2003-01-01,92.9846029917741
2003-04-01,93.4871493827562
2003-07-01,94.1454971352745
2003-10-01,94.4120880406054
2004-01-01,93.9689298654266
2004-04-01,94.2457325773174
2004-07-01,94.1322046719871
2004-10-01,94.1176571263292
2005-01-01,94.3395785091105
2005-04-01,94.8865091766489
2005-07-01,95.4705788725139
2005-10-01,95.6518812258504
2006-01-01,96.9751944379313
2006-04-01,98.0429272400225
2006-07-01,98.2841883011490
2006-10-01,99.4049768579926
2007-01-01,98.9956488576183
2007-04-01,99.4561499891892
2007-07-01,99.6558221844937
2007-10-01,99.9163658747667
2008-01-01,100.0199101703320
2008-04-01,99.6128641379039
2008-07-01,98.6936874491192
2008-10-01,96.8863688356202
2009-01-01,92.2848945702284
2009-04-01,92.6784769917729
2009-07-01,93.3369388426886
2009-10-01,94.0077233205144
2010-01-01,94.7495340506700
2010-04-01,96.5406506917500
2010-07-01,97.0872390640965
2010-10-01,97.6134608725219
2011-01-01,99.2167715516184
2011-04-01,98.9516639254527
2011-07-01,99.5209008296665
2011-10-01,98.9268475240362
2012-01-01,98.8361963473680
2012-04-01,98.7904999392426
2012-07-01,98.8311760178860
2012-10-01,98.0897075829224
2013-01-01,97.5108864133340
2013-04-01,98.4800952493421
2013-07-01,98.7781202631337
2013-10-01,98.8384783153144
2014-01-01,99.5017322989173
2014-04-01,99.3145538781190
2014-07-01,99.6449257875499
2014-10-01,100.3444060123010
2015-01-01,99.6284956183363
2015-04-01,100.0301219768920
2015-07-01,100.0978964248980
2015-10-01,100.2434859798740
2016-01-01,100.8365123999290
2016-04-01,100.9700645739880
2016-07-01,100.8557379798760
2016-10-01,100.8577917510280
2017-01-01,101.7843277864400
2017-04-01,102.3490007547610
2017-07-01,102.6198133007920
2017-10-01,103.2648685900230
2018-01-01,102.2071193976970
2018-04-01,102.6932356194660
2018-07-01,101.4704430954210
2018-10-01,102.0967862474920
2019-01-01,102.5004093280000
2019-04-01,102.2291403883800
2019-07-01,102.1626780719420
2019-10-01,102.3410709161470
2020-01-01,100.4776158911680
2020-04-01,92.4634015128306
2020-07-01,100.7917287789820
2020-10-01,101.4513886630690
2021-01-01,100.2429725370860
2021-04-01,102.2223515337390
2021-07-01,102.3986906067920
2021-10-01,102.0731678792470
2022-01-01,102.6472539653470
2022-04-01,102.2038105441750
2022-07-01,102.4293260264720
2022-10-01,101.7567159742890
2023-01-01,101.4750070313140
2023-04-01,101.4193840626220
2023-07-01,101.2725394252750
