observation_date,LMUNRRTTCHM156S
1987-10-01,0.77804740
1987-11-01,0.76962690
1987-12-01,0.76280180
1988-01-01,0.75909380
1988-02-01,0.75839640
1988-03-01,0.75814300
1988-04-01,0.75590570
1988-05-01,0.75056290
1988-06-01,0.74133470
1988-07-01,0.72803830
1988-08-01,0.71120840
1988-09-01,0.69216880
1988-10-01,0.67231180
1988-11-01,0.65274850
1988-12-01,0.63344840
1989-01-01,0.61506370
1989-02-01,0.59915330
1989-03-01,0.58664750
1989-04-01,0.57686730
1989-05-01,0.56864590
1989-06-01,0.56078020
1989-07-01,0.55338340
1989-08-01,0.54667140
1989-09-01,0.54123680
1989-10-01,0.53695160
1989-11-01,0.53389430
1989-12-01,0.53174760
1990-01-01,0.45196450
1990-02-01,0.44928090
1990-03-01,0.44686850
1990-04-01,0.44640040
1990-05-01,0.44949120
1990-06-01,0.45783480
1990-07-01,0.47274000
1990-08-01,0.49526540
1990-09-01,0.52612300
1990-10-01,0.56470890
1990-11-01,0.60961290
1990-12-01,0.65970390
1991-01-01,0.71477430
1991-02-01,0.77394330
1991-03-01,0.83528610
1991-04-01,0.89748040
1991-05-01,0.96057000
1991-06-01,1.02534200
1991-07-01,1.09351700
1991-08-01,1.16657200
1991-09-01,1.24633700
1991-10-01,1.33596500
1991-11-01,1.43954900
1991-12-01,1.55895000
1992-01-01,1.69174400
1992-02-01,1.83417800
1992-03-01,1.98188600
1992-04-01,2.13200000
1992-05-01,2.28342100
1992-06-01,2.44195400
1992-07-01,2.61218000
1992-08-01,2.79369100
1992-09-01,2.97891700
1992-10-01,3.15554700
1992-11-01,3.31636400
1992-12-01,3.46743700
1993-01-01,3.62325700
1993-02-01,3.79467600
1993-03-01,3.98373000
1993-04-01,4.18527600
1993-05-01,4.38871000
1993-06-01,4.57847500
1993-07-01,4.73991600
1993-08-01,4.86215500
1993-09-01,4.93930100
1993-10-01,4.97674600
1993-11-01,4.98269000
1993-12-01,4.96302900
1994-01-01,4.92511200
1994-02-01,4.87926100
1994-03-01,4.84117100
1994-04-01,4.81714200
1994-05-01,4.79934100
1994-06-01,4.77451200
1994-07-01,4.73226900
1994-08-01,4.67408600
1994-09-01,4.60929300
1994-10-01,4.54334200
1994-11-01,4.47619000
1994-12-01,4.40881300
1995-01-01,4.34804900
1995-02-01,4.29854200
1995-03-01,4.26383500
1995-04-01,4.24475600
1995-05-01,4.22664300
1995-06-01,4.19284700
1995-07-01,4.20610000
1995-08-01,4.21488000
1995-09-01,4.17310500
1995-10-01,4.20847500
1995-11-01,4.22021000
1995-12-01,4.20698400
1996-01-01,4.24246400
1996-02-01,4.29752100
1996-03-01,4.37110500
1996-04-01,4.45021100
1996-05-01,4.52766000
1996-06-01,4.60014000
1996-07-01,4.66676600
1996-08-01,4.73822400
1996-09-01,4.84033000
1996-10-01,4.99978400
1996-11-01,5.07687500
1996-12-01,5.12726500
1997-01-01,5.29784800
1997-02-01,5.33987200
1997-03-01,5.35124800
1997-04-01,5.37303300
1997-05-01,5.37314400
1997-06-01,5.34594600
1997-07-01,5.28498100
1997-08-01,5.24475100
1997-09-01,5.16324300
1997-10-01,4.98863000
1997-11-01,4.87558900
1997-12-01,4.77768000
