date,EUR,GBP,JPY,AUD,CAD,CHF,NZD
2000-01-03 00:00:00+00:00,,,,-1.9999712,,,
2000-01-04 00:00:00+00:00,,,,26.000019,,,
2000-01-05 00:00:00+00:00,,,58.999969,9.9999809,,,-14.000019
2000-01-06 00:00:00+00:00,,3.0999851,59.500008,25.000023,,,
2000-01-07 00:00:00+00:00,38.750004,-1.5000155,57.224998,20.499992,,,
2000-01-10 00:00:00+00:00,,,,15.000011,,,
2000-01-11 00:00:00+00:00,50.625023,,58.0,13.500029,,,
2000-01-12 00:00:00+00:00,,,57.000027,17.500029,,,
2000-01-13 00:00:00+00:00,,-8.2499981,50.589977,18.99999,,,
2000-01-14 00:00:00+00:00,,-5.7499876,56.000004,22.700008,,,
2000-01-17 00:00:00+00:00,,,57.499966,20.999943,,,
2000-01-18 00:00:00+00:00,,,57.750042,10.000023,,,
2000-01-19 00:00:00+00:00,49.999992,,60.0,21.999992,,28.499994,5.0000091
2000-01-20 00:00:00+00:00,,-1.8750005,59.250008,12.000023,,,
2000-01-21 00:00:00+00:00,,,58.875019,14.500059,,,
2000-01-24 00:00:00+00:00,,,61.499981,19.999994,,,
2000-01-25 00:00:00+00:00,,,57.910015,14.50001,,,5.4999423
2000-01-26 00:00:00+00:00,,,57.750011,18.500006,,,
2000-01-27 00:00:00+00:00,,-6.0649891,61.749985,8.4999866,,,
2000-01-28 00:00:00+00:00,,,61.570023,18.151001,,,
2000-01-31 00:00:00+00:00,,1.8499827,66.99498,24.099977,,,2.599962
2000-02-01 00:00:00+00:00,,-4.9499879,62.050014,24.799997,,,-3.7000105
2000-02-02 00:00:00+00:00,52.574978,,70.699989,25.699991,,,
2000-02-03 00:00:00+00:00,,,76.645004,35.299984,,,16.799959
2000-02-04 00:00:00+00:00,,,72.800003,24.700001,,,
2000-02-07 00:00:00+00:00,,,61.624943,19.299969,,,-2.7000105
2000-02-08 00:00:00+00:00,,-0.55000794,67.789978,24.199974,,,
2000-02-09 00:00:00+00:00,,3.2499816,62.84,17.499998,,,
2000-02-10 00:00:00+00:00,,,61.245026,13.301037,,,-0.60000062
2000-02-11 00:00:00+00:00,,,,22.399992,,,
2000-02-14 00:00:00+00:00,,,65.000023,27.000027,,,8.5000057
2000-02-15 00:00:00+00:00,46.574993,,65.099991,23.099976,,26.849985,
2000-02-16 00:00:00+00:00,,4.0500045,65.655006,17.299988,,,
2000-02-17 00:00:00+00:00,,,66.250008,21.250017,,,-4.2499833
2000-02-18 00:00:00+00:00,,,68.200027,24.700005,,,
2000-02-21 00:00:00+00:00,,,66.500053,50.000034,,,
2000-02-22 00:00:00+00:00,46.499973,-5.1000266,65.754974,30.400005,43.899982,,
2000-02-23 00:00:00+00:00,48.349983,-2.6250117,65.349998,24.499975,45.000004,36.999977,
2000-02-24 00:00:00+00:00,47.60006,-7.109962,66.0,31.000027,46.000008,38.000027,
2000-02-25 00:00:00+00:00,41.37495,,68.844955,33.149963,,,
2000-02-28 00:00:00+00:00,,,60.800014,14.79999,,,
2000-02-29 00:00:00+00:00,,,65.000046,23.500034,,,
2000-03-01 00:00:00+00:00,46.249973,-9.7300367,64.774979,15.200981,42.899975,34.64996,
2000-03-02 00:00:00+00:00,46.000019,-10.864973,64.375008,21.500029,40.999996,31.250013,
2000-03-03 00:00:00+00:00,41.250004,-14.000014,61.000004,16.999964,34.999973,24.749983,
2000-03-06 00:00:00+00:00,42.500031,-12.249972,61.854996,13.500025,36.000027,27.750004,
2000-03-07 00:00:00+00:00,,,70.524948,29.399998,,31.899961,
2000-03-08 00:00:00+00:00,,,66.754997,25.900007,,,
2000-03-09 00:00:00+00:00,,,68.224968,28.59996,,,
2000-03-10 00:00:00+00:00,50.299984,-5.7999926,68.199982,25.200008,44.199982,,
2000-03-13 00:00:00+00:00,50.174976,,77.049965,35.299976,,,
2000-03-14 00:00:00+00:00,,,77.499977,49.250004,,,
2000-03-15 00:00:00+00:00,,,75.929993,22.099998,,,
2000-03-16 00:00:00+00:00,55.750011,5.5449691,75.209999,23.899988,,,
2000-03-17 00:00:00+00:00,,,76.600029,26.600008,,,
2000-03-20 00:00:00+00:00,,-2.6749434,,21.700027,,,
2000-03-21 00:00:00+00:00,,-0.74998069,80.125023,34.250019,,,
2000-03-22 00:00:00+00:00,,,78.850006,22.349972,,,
2000-03-23 00:00:00+00:00,57.975044,,76.915024,23.600031,,43.100048,
2000-03-24 00:00:00+00:00,,,75.599983,31.599979,,,
2000-03-27 00:00:00+00:00,60.749989,,79.749992,28.499975,,41.624985,
2000-03-28 00:00:00+00:00,,,83.575012,34.200012,,,19.199997
2000-03-29 00:00:00+00:00,64.050011,4.3050241,86.800049,36.800014,,,
2000-03-30 00:00:00+00:00,,7.1799827,84.449997,45.200027,,,
2000-03-31 00:00:00+00:00,,6.0499544,84.611954,30.799955,,,
2000-04-03 00:00:00+00:00,66.699951,5.4499345,84.699959,36.199951,71.199974,49.699974,
2000-04-04 00:00:00+00:00,74.949997,13.325036,85.025017,33.700035,64.700005,,
2000-04-05 00:00:00+00:00,64.97496,5.3400068,89.099976,34.349976,,,
2000-04-06 00:00:00+00:00,,8.7000036,91.075027,35.700001,,,
2000-04-07 00:00:00+00:00,,5.5750251,89.699997,35.700005,,,
2000-04-10 00:00:00+00:00,72.299995,12.999999,95.300003,43.300018,,51.424999,
2000-04-11 00:00:00+00:00,62.499989,4.5000272,90.999977,31.999996,,,
2000-04-12 00:00:00+00:00,62.200012,3.699981,80.199997,32.199997,66.20002,43.825005,
2000-04-13 00:00:00+00:00,63.900047,3.8000343,85.925056,35.050045,,,20.800022
2000-04-14 00:00:00+00:00,74.999962,15.00001,96.375008,44.249966,,50.624966,25.999975
2000-04-17 00:00:00+00:00,59.0,-4.7500124,78.125015,25.500027,,32.125019,-1.1999953
2000-04-18 00:00:00+00:00,61.0,4.8398972e-05,81.875031,29.750013,,34.875038,7.5000019
2000-04-19 00:00:00+00:00,,4.6500044,85.775009,34.39996,,,19.149975
2000-04-20 00:00:00+00:00,,1.6499972,85.399979,34.650002,,,13.400011
2000-04-21 00:00:00+00:00,,,86.700027,,,,
2000-04-24 00:00:00+00:00,,,87.850037,,,,
2000-04-25 00:00:00+00:00,63.999985,0.49994338,82.999954,41.75,,35.249935,13.499954
2000-04-26 00:00:00+00:00,62.850014,0.47499108,84.725014,30.100014,,39.849991,14.850012
2000-04-27 00:00:00+00:00,60.675007,,80.200043,26.950003,,,6.2000422
2000-04-28 00:00:00+00:00,,-3.9249926,83.45002,28.449987,,,8.4499798
2000-05-01 00:00:00+00:00,,,81.799973,30.799969,,,8.7499847
2000-05-02 00:00:00+00:00,60.249989,-8.2500458,83.374939,31.249947,51.249962,40.49995,16.249945
2000-05-03 00:00:00+00:00,59.250019,-13.875009,86.249977,31.749983,44.750004,43.499973,12.549973
2000-05-04 00:00:00+00:00,64.800026,-5.7000103,90.800011,38.300014,57.799995,44.299984,24.30003
2000-05-05 00:00:00+00:00,66.049988,,92.049988,38.79998,,,22.29998
2000-05-08 00:00:00+00:00,,-6.2999897,90.449982,35.199978,,,21.700003
2000-05-09 00:00:00+00:00,,,87.949997,34.449959,,,27.049974
2000-05-10 00:00:00+00:00,59.825012,-6.5499611,83.950005,31.45001,,38.575027,27.450014
2000-05-11 00:00:00+00:00,67.475014,3.6000168,89.100029,35.600025,,,24.350019
2000-05-12 00:00:00+00:00,69.275024,,93.650017,38.149971,,46.149998,27.649998
2000-05-15 00:00:00+00:00,69.400002,9.6500025,96.650009,36.900009,,,35.900028
2000-05-16 00:00:00+00:00,67.949989,,92.699989,35.700008,,,29.250004
2000-05-17 00:00:00+00:00,70.000015,,96.900024,39.000011,,,26.1
2000-05-18 00:00:00+00:00,68.875015,,96.750031,43.000027,,,32.000031
2000-05-19 00:00:00+00:00,,,97.899994,40.39999,,,30.899994
2000-05-22 00:00:00+00:00,,,96.875031,37.500008,,,
2000-05-23 00:00:00+00:00,,,94.824989,35.199955,,55.199974,
2000-05-24 00:00:00+00:00,,,93.57505,35.950031,,,
2000-05-25 00:00:00+00:00,,,95.099983,38.599983,,,33.650005
2000-05-26 00:00:00+00:00,,,92.5,37.999992,,,29.999977
2000-05-29 00:00:00+00:00,,,92.899971,30.899975,,,20.199965
2000-05-30 00:00:00+00:00,62.500038,17.000048,99.500015,46.000053,65.000031,59.000034,32.800056
2000-05-31 00:00:00+00:00,,18.249952,96.749954,37.999962,,,38.999985
2000-06-01 00:00:00+00:00,,,92.999985,31.999994,,51.374977,32.899994
2000-06-02 00:00:00+00:00,49.624977,5.7499862,91.5,31.99999,57.5,50.374969,
2000-06-05 00:00:00+00:00,,,90.824997,31.450026,,,29.650032
2000-06-06 00:00:00+00:00,50.874973,9.2499628,90.874969,32.999977,50.499989,49.999962,22.499996
2000-06-07 00:00:00+00:00,54.349979,11.099998,95.099983,33.099998,,51.724987,24.500017
2000-06-08 00:00:00+00:00,63.325035,,98.32505,38.95005,,50.950035,34.30003
2000-06-09 00:00:00+00:00,59.250042,,96.875031,35.250027,,,30.750042
2000-06-12 00:00:00+00:00,55.300018,7.3000121,94.800003,32.300011,53.799992,45.300037,
2000-06-13 00:00:00+00:00,48.725002,1.5999711,89.099983,26.800995,56.099987,43.100006,22.000006
2000-06-14 00:00:00+00:00,52.899986,12.549989,92.299942,30.049957,52.049965,45.049961,33.549984
2000-06-15 00:00:00+00:00,48.149948,3.4999416,86.624939,23.499981,,,24.249945
2000-06-16 00:00:00+00:00,47.650028,1.2000341,86.07502,24.700012,,41.20002,20.700031
2000-06-19 00:00:00+00:00,46.299984,2.5999804,81.099991,23.59997,51.10001,41.974976,27.249985
2000-06-20 00:00:00+00:00,50.24995,4.249959,91.749931,30.749987,56.749985,46.249969,26.749949
2000-06-21 00:00:00+00:00,47.274994,-2.8500373,90.899979,30.899958,53.399986,45.712482,18.39996
2000-06-22 00:00:00+00:00,46.750008,-4.50002,91.750008,29.49999,53.5,49.250015,27.5
2000-06-23 00:00:00+00:00,42.150036,-10.099969,87.40004,20.90003,48.900055,42.650063,20.400059
2000-06-26 00:00:00+00:00,47.225025,-6.1999712,89.300049,26.300026,51.300041,46.550045,
2000-06-27 00:00:00+00:00,,,91.100037,26.100023,,,
2000-06-28 00:00:00+00:00,45.999996,-1.0499792,89.950005,26.950027,50.949993,46.700008,
2000-06-29 00:00:00+00:00,,-1.1250579,90.874947,30.999954,,,
2000-06-30 00:00:00+00:00,47.049995,-4.0750408,92.54998,29.299978,,,
2000-07-03 00:00:00+00:00,56.774994,2.9000158,96.900002,34.900017,54.900028,50.649979,
2000-07-04 00:00:00+00:00,55.249996,4.5000162,93.749985,33.500015,55.000004,49.499992,
2000-07-05 00:00:00+00:00,55.150013,-0.84998822,89.524971,29.900013,47.400009,51.025013,30.399992
2000-07-06 00:00:00+00:00,56.000008,-2.5000129,90.0,32.500008,47.500027,50.000023,
2000-07-07 00:00:00+00:00,58.700035,-3.2999616,92.699989,34.199993,48.700031,54.200031,
2000-07-10 00:00:00+00:00,56.450005,,91.699997,35.199963,48.199978,53.949974,
2000-07-11 00:00:00+00:00,59.550034,-2.9499831,89.550056,34.550037,,,
2000-07-12 00:00:00+00:00,51.75,-5.3750129,92.749969,31.999985,46.499981,53.250004,
2000-07-13 00:00:00+00:00,52.350018,,90.400009,34.400009,,,
2000-07-14 00:00:00+00:00,53.599991,-4.2500119,89.749985,32.999985,,,
2000-07-17 00:00:00+00:00,,,90.599998,34.599983,,,
2000-07-18 00:00:00+00:00,52.399971,,90.649971,36.399986,,,
2000-07-19 00:00:00+00:00,,0.049963236,87.54998,37.049969,,55.174995,
2000-07-20 00:00:00+00:00,54.099991,1.3499553,,32.099998,,,
2000-07-21 00:00:00+00:00,57.949997,-0.8500073,91.399963,33.900002,,56.024979,
2000-07-24 00:00:00+00:00,56.300018,3.6750183,90.550003,36.050022,52.800014,55.175018,
2000-07-25 00:00:00+00:00,,,91.050011,34.300022,,,
2000-07-26 00:00:00+00:00,,,92.999992,35.500023,,,
2000-07-27 00:00:00+00:00,51.775055,,93.900024,40.40004,54.900036,56.400017,
2000-07-28 00:00:00+00:00,,,94.599991,39.099964,,,
2000-07-31 00:00:00+00:00,55.250008,,94.750031,38.500011,57.500004,59.500034,
2000-08-01 00:00:00+00:00,55.174995,7.075006,95.449997,42.200012,61.20002,61.387501,
2000-08-02 00:00:00+00:00,53.049995,5.0500002,91.299965,37.299992,58.300011,61.550007,
2000-08-03 00:00:00+00:00,53.349998,3.0000086,93.499977,36.500011,58.499992,60.749992,
2000-08-04 00:00:00+00:00,51.449993,4.7499981,95.249992,31.999977,56.999989,64.250008,
2000-08-07 00:00:00+00:00,48.025013,1.2999887,90.549995,32.800011,54.800018,61.050018,
2000-08-08 00:00:00+00:00,51.599949,,91.124947,37.499981,,,
2000-08-09 00:00:00+00:00,51.099945,4.0999417,91.849953,36.599972,57.099949,59.349972,
2000-08-10 00:00:00+00:00,47.999989,4.8749609,88.749969,32.5,,62.25,
2000-08-11 00:00:00+00:00,46.699944,1.6999707,89.949974,37.949982,,63.074974,
