observation_date,IRSTCI01NZM156N
2009-02-01,3.36
2009-03-01,3.08
2009-04-01,3.01
2009-05-01,2.37
2009-06-01,2.45
2009-07-01,2.43
2009-08-01,2.53
2009-09-01,2.58
2009-10-01,2.49
2009-11-01,2.41
2009-12-01,2.43
2010-01-01,2.42
2010-02-01,2.32
2010-03-01,2.35
2010-04-01,2.28
2010-05-01,2.32
2010-06-01,2.49
2010-07-01,2.68
2010-08-01,2.88
2010-09-01,2.91
2010-10-01,2.94
2010-11-01,2.91
2010-12-01,2.88
2011-01-01,2.92
2011-02-01,2.91
2011-03-01,2.50
2011-04-01,2.50
2011-05-01,2.45
2011-06-01,2.46
2011-07-01,2.40
2011-08-01,2.44
2011-09-01,2.39
2011-10-01,2.33
2011-11-01,2.34
2011-12-01,2.34
2012-01-01,2.40
2012-02-01,2.41
2012-03-01,2.43
2012-04-01,2.45
2012-05-01,2.44
2012-06-01,2.43
2012-07-01,2.50
2012-08-01,2.52
2012-09-01,2.49
2012-10-01,2.48
2012-11-01,2.49
2012-12-01,2.51
2013-01-01,2.45
2013-02-01,2.49
2013-03-01,2.47
2013-04-01,2.42
2013-05-01,2.48
2013-06-01,2.47
2013-07-01,2.43
2013-08-01,2.49
2013-09-01,2.50
2013-10-01,2.50
2013-11-01,2.49
2013-12-01,2.50
2014-01-01,2.52
2014-02-01,2.51
2014-03-01,2.65
2014-04-01,2.79
2014-05-01,3.00
2014-06-01,3.13
2014-07-01,3.28
2014-08-01,3.45
2014-09-01,3.46
2014-10-01,3.42
2014-11-01,3.42
2014-12-01,3.40
2015-01-01,3.42
2015-02-01,3.40
2015-03-01,3.42
2015-04-01,3.44
2015-05-01,3.41
2015-06-01,3.25
2015-07-01,3.07
2015-08-01,2.90
2015-09-01,2.76
2015-10-01,2.68
2015-11-01,2.65
2015-12-01,2.55
2016-01-01,2.39
2016-02-01,2.37
2016-03-01,2.21
2016-04-01,2.17
2016-05-01,2.16
2016-06-01,2.16
2016-07-01,2.11
2016-08-01,2.06
2016-09-01,1.92
