observation_date,GGGDTAUSA188N
2001-01-01,53.331
2002-01-01,55.723
2003-01-01,58.803
2004-01-01,66.277
2005-01-01,65.608
2006-01-01,64.343
2007-01-01,64.739
2008-01-01,73.590
2009-01-01,86.787
2010-01-01,95.347
2011-01-01,99.681
2012-01-01,103.244
2013-01-01,104.522
2014-01-01,104.429
2015-01-01,104.854
2016-01-01,106.780
2017-01-01,105.728
2018-01-01,107.041
2019-01-01,108.197
2020-01-01,132.032
2021-01-01,124.716
2022-01-01,118.806
2023-01-01,118.998
2024-01-01,120.786
