observation_date,USAPIEAMP01GPM
1965-08-01,0.0000000000
1965-09-01,0.2923977614
1965-10-01,0.2915453459
1965-11-01,0.2906977737
1965-12-01,0.5797103984
1966-01-01,0.2881845911
1966-02-01,0.5747128926
1966-03-01,0.0000000000
1966-04-01,0.0000000000
1966-05-01,0.0000000000
1966-06-01,0.0000000000
1966-07-01,0.5714288175
1966-08-01,0.5681821164
1966-09-01,0.5649719917
1966-10-01,-0.2808990223
1966-11-01,0.0000000000
1966-12-01,-0.2816902332
1967-01-01,0.2824859685
1967-02-01,-0.2816902332
1967-03-01,-0.2824860231
1967-04-01,-0.2832862672
1967-05-01,0.5681821164
1967-06-01,0.8474579602
1967-07-01,0.2801121901
1967-08-01,-0.2793297534
1967-09-01,0.2801121901
1967-10-01,0.0000000000
1967-11-01,0.0000000000
1967-12-01,0.5586594528
1968-01-01,0.2777779208
1968-02-01,0.5540168514
1968-03-01,0.0000000000
1968-04-01,0.0000000000
1968-05-01,0.5509615410
1968-06-01,0.5479454470
1968-07-01,0.2724797098
1968-08-01,-0.2717392754
1968-09-01,0.5449593669
1968-10-01,0.0000000000
1968-11-01,0.5420057087
1968-12-01,0.0000000000
1969-01-01,0.5390837914
1969-02-01,0.0000000000
1969-03-01,0.5361932605
1969-04-01,0.0000000000
1969-05-01,0.8000003686
1969-06-01,0.5291007539
1969-07-01,0.5263160119
1969-08-01,-0.2617802401
1969-09-01,0.2624673277
1969-10-01,0.5235604295
1969-11-01,0.7812476344
1969-12-01,0.5167960939
1970-01-01,0.5141390434
1970-02-01,0.0000000000
1970-03-01,0.2557546122
1970-04-01,-0.5102043040
1970-05-01,0.2564103439
1970-06-01,0.2557546122
1970-07-01,0.5102043040
1970-08-01,-0.5076144333
1970-09-01,0.5102043040
1970-10-01,0.2538072412
1970-11-01,0.5063293328
1970-12-01,0.0000000000
1971-01-01,0.7556678556
1971-02-01,0.5000002133
1971-03-01,0.2487563005
1971-04-01,0.0000000000
1971-05-01,0.4962781259
1971-06-01,0.2469137082
1971-07-01,0.0000000000
1971-08-01,0.2463055460
1971-09-01,-0.2457003724
1971-10-01,0.0000000000
1971-11-01,0.2463055460
1971-12-01,0.7371010222
1972-01-01,0.4878025830
1972-02-01,0.4854371063
1972-03-01,0.0000000000
1972-04-01,-0.2415460226
1972-05-01,0.4842617134
1972-06-01,0.4819279676
1972-07-01,0.7194247491
1972-08-01,0.0000000000
1972-09-01,0.2380953636
1972-10-01,-0.4750595864
1972-11-01,0.7159907393
1972-12-01,0.9478677506
1973-01-01,1.1737094407
1973-02-01,1.3921095311
1973-03-01,1.6018313859
1973-04-01,0.6756759880
1973-05-01,0.6711412477
1973-06-01,0.8888892656
1973-07-01,0.2202644310
1973-08-01,3.2967024482
1973-09-01,-0.4255321378
1973-10-01,0.0000000000
1973-11-01,0.4273506522
1973-12-01,1.2765962900
1974-01-01,2.9411755595
1974-02-01,1.8367355440
1974-03-01,0.6012026393
1974-04-01,0.7968110434
1974-05-01,1.1857712690
1974-06-01,0.1953126032
1974-07-01,2.9239758900
1974-08-01,1.7045462190
1974-09-01,0.9310991150
1974-10-01,2.0295192524
1974-11-01,1.6274872001
1974-12-01,0.1779360022
1975-01-01,0.8880998646
1975-02-01,0.0000000000
1975-03-01,-0.3521128254
1975-04-01,0.7067140818
1975-05-01,0.7017546826
1975-06-01,0.8710787376
1975-07-01,1.2089815428
1975-08-01,0.1706485208
1975-09-01,0.8517891372
1975-10-01,1.1824311874
1975-11-01,0.0000000000
1975-12-01,0.1669449972
1976-01-01,0.1666667231
1976-02-01,-0.3327788469
1976-03-01,0.0000000000
1976-04-01,0.6677799564
1976-05-01,0.1658375351
1976-06-01,0.3311259710
1976-07-01,0.3300331456
1976-08-01,-0.1644737390
1976-09-01,0.3294894334
1976-10-01,1.1494257961
1976-11-01,0.3246754623
1976-12-01,0.8090601576
1977-01-01,0.4815411563
1977-02-01,0.9584669000
1977-03-01,0.6329116639
1977-04-01,0.7861638723
1977-05-01,0.7800299182
1977-06-01,0.1547988141
1977-07-01,0.4636787329
1977-08-01,0.0000000000
1977-09-01,0.4615386762
1977-10-01,1.0719759742
1977-11-01,0.3030304321
1977-12-01,0.4531724125
1978-01-01,0.9022544513
1978-02-01,0.7451568210
1978-03-01,0.2958581443
1978-04-01,1.3274342127
1978-05-01,0.8733612966
1978-06-01,0.7215010494
1978-07-01,0.8595992528
1978-08-01,-0.2840910307
1978-09-01,0.7122510317
1978-10-01,1.2729835213
1978-11-01,0.4189946092
1978-12-01,1.1126569492
1979-01-01,1.3755164342
1979-02-01,1.2211660057
1979-03-01,0.6702415887
1979-04-01,1.0652468199
1979-05-01,0.6587604450
1979-06-01,0.3926703401
1979-07-01,1.0430252226
1979-08-01,0.6451615788
1979-09-01,1.5384608791
1979-10-01,1.6414148861
1979-11-01,0.8695643018
1979-12-01,0.9852221254
1980-01-01,1.8292678396
1980-02-01,1.4371263941
1980-03-01,0.9445104385
1980-04-01,0.9356717123
1980-05-01,0.4634996203
1980-06-01,0.6920418415
1980-07-01,1.7182126275
1980-08-01,0.9009012881
1980-09-01,0.0000000000
1980-10-01,1.5624995441
1980-11-01,0.3296704610
1980-12-01,0.4381163099
1981-01-01,1.4176657812
1981-02-01,0.8602154463
1981-03-01,1.0660985582
1981-04-01,0.9493664002
1981-05-01,0.4179730117
1981-06-01,0.3121749618
1981-07-01,0.5186724308
1981-08-01,-0.2063984365
1981-09-01,0.0000000000
1981-10-01,1.1375381949
1981-11-01,0.1022495428
1981-12-01,0.3064352798
1982-01-01,0.8146643011
1982-02-01,0.0000000000
1982-03-01,-0.2020202881
1982-04-01,0.0000000000
1982-05-01,0.2024292362
1982-06-01,0.7070699836
1982-07-01,0.7021066329
1982-08-01,0.1992032729
1982-09-01,-0.3976144848
1982-10-01,0.9980044222
1982-11-01,0.2964428238
1982-12-01,0.1970444188
1983-01-01,-0.4916423028
1983-02-01,0.0000000000
1983-03-01,-0.1976285428
1983-04-01,-0.0990099338
1983-05-01,0.3964322807
1983-06-01,0.2961501851
1983-07-01,0.1968504773
1983-08-01,0.1964627125
1983-09-01,-0.3921560097
1983-10-01,0.8858261305
1983-11-01,-0.2926830625
1983-12-01,0.0978474099
1984-01-01,0.8797657855
1984-02-01,0.3875970652
1984-03-01,0.1930502941
1984-04-01,0.0000000000
1984-05-01,-0.0963391640
1984-06-01,0.0000000000
1984-07-01,0.4821602919
1984-08-01,-0.3838773221
1984-09-01,-0.5780349467
1984-10-01,0.6782948735
1984-11-01,0.2887393044
1984-12-01,-0.1919386610
1985-01-01,0.0961538777
1985-02-01,0.0960615294
1985-03-01,-0.0959693398
1985-04-01,0.2881845696
1985-05-01,0.3831409250
1985-06-01,0.0000000000
1985-07-01,0.2862596747
1985-08-01,-0.4757376068
1985-09-01,-1.2428293768
1985-10-01,1.6456918806
1985-11-01,0.5714288174
1985-12-01,0.2840910398
1986-01-01,-0.3777149865
1986-02-01,-1.3820335669
1986-03-01,-1.6016016080
1986-04-01,-0.4069176056
1986-05-01,0.3064351427
1986-06-01,0.0000000000
1986-07-01,-0.7128309495
1986-08-01,-0.1025641042
1986-09-01,0.2053388122
1986-10-01,0.6147540889
1986-11-01,0.1018329955
1986-12-01,0.0000000000
1987-01-01,0.8138351922
1987-02-01,0.4036327006
1987-03-01,0.0000000000
1987-04-01,0.7035175803
1987-05-01,0.3992016031
1987-06-01,0.2982107403
1987-07-01,0.3964321172
1987-08-01,0.2961500357
1987-09-01,-0.2952755769
1987-10-01,0.6910167743
1987-11-01,0.1960784344
1987-12-01,-0.0978473596
1988-01-01,0.2938295834
1988-02-01,0.1953124849
1988-03-01,0.1949317769
1988-04-01,0.5836575967
1988-05-01,0.4835589838
1988-06-01,0.3849855691
1988-07-01,0.5752636715
1988-08-01,0.1906577546
1988-09-01,0.0000000000
1988-10-01,0.4757374004
1988-11-01,0.4734848559
1988-12-01,0.2827521076
1989-01-01,1.0338345853
1989-02-01,0.3720930291
1989-03-01,0.5560704271
1989-04-01,0.8294931006
1989-05-01,0.6398537407
1989-06-01,0.0000000000
1989-07-01,-0.1816530455
1989-08-01,-0.2729754196
1989-09-01,0.2737226151
1989-10-01,0.8189263095
1989-11-01,0.0000000000
1989-12-01,0.1805054012
1990-01-01,1.5315315389
1990-02-01,-0.4436557301
1990-03-01,0.0891265611
1990-04-01,0.2671415892
1990-05-01,0.4440497405
1990-06-01,0.0000000000
1990-07-01,0.0884173312
1990-08-01,1.2367491031
1990-09-01,1.3961605642
1990-10-01,1.6351118697
1990-11-01,0.0846740064
1990-12-01,-0.8460236862
1991-01-01,-0.2559727003
1991-02-01,-0.5988023887
1991-03-01,-0.7745266743
1991-04-01,0.0867302702
1991-05-01,0.1733102119
1991-06-01,0.0000000000
1991-07-01,-0.1730103673
