observation_date,CHEB6BLTT02STSAQ
1985-01-01,5.5647960000000003
1985-04-01,5.3085209999999998
1985-07-01,4.9243600000000001
1985-10-01,6.1121670000000003
1986-01-01,3.6948040000000000
1986-04-01,4.8151250000000001
1986-07-01,2.6010100000000000
1986-10-01,1.6907720000000002
1987-01-01,1.8699760000000001
1987-04-01,2.3120850000000002
1987-07-01,4.5296310000000002
1987-10-01,4.7273220000000000
1988-01-01,5.0249750000000004
1988-04-01,3.6635650000000002
1988-07-01,4.0477390000000000
1988-10-01,4.0451449999999998
1989-01-01,4.0753180000000002
1989-04-01,4.0196779999999999
1989-07-01,3.5721560000000001
1989-10-01,3.3204480000000003
1990-01-01,2.6356830000000002
1990-04-01,3.1183850000000000
1990-07-01,3.2118620000000000
1990-10-01,2.7702560000000003
1991-01-01,3.5616980000000003
1991-04-01,3.8878059999999999
1991-07-01,4.5971359999999999
1991-10-01,4.6170220000000004
1992-01-01,4.5563849999999997
1992-04-01,4.3492089999999992
1992-07-01,4.9813179999999999
1992-10-01,4.7166280000000000
1993-01-01,6.6397089999999999
1993-04-01,5.9255930000000001
1993-07-01,5.7864769999999996
1993-10-01,7.3860320000000019
1994-01-01,6.3197809999999999
1994-04-01,4.2396279999999997
1994-07-01,5.0643960000000003
1994-10-01,6.0203889999999998
1995-01-01,4.1204580000000002
1995-04-01,4.2477359999999997
1995-07-01,5.2443220000000004
1995-10-01,4.9238460000000002
1996-01-01,5.6236560000000004
1996-04-01,4.3679009999999998
1996-07-01,5.4859650000000002
1996-10-01,5.2147670000000002
1997-01-01,8.2420559999999998
1997-04-01,7.6286129999999996
1997-07-01,8.6809580000000004
1997-10-01,9.3438610000000004
1998-01-01,5.6916160000000007
1998-04-01,11.1985700000000001
1998-07-01,7.9876929999999984
1998-10-01,6.2253290000000003
1999-01-01,2.0356450000000001
1999-04-01,10.1638900000000003
1999-07-01,11.7489100000000004
1999-10-01,10.0616599999999998
2000-01-01,8.5640950000000000
2000-04-01,10.7708399999999997
2000-07-01,9.7699800000000003
2000-10-01,12.6778099999999991
2001-01-01,5.8033780000000004
2001-04-01,6.2167680000000001
2001-07-01,4.2241559999999998
2001-10-01,9.9078959999999991
2002-01-01,3.1754760000000002
2002-04-01,6.3365330000000002
2002-07-01,8.4693660000000008
2002-10-01,9.5027589999999993
2003-01-01,9.1311350000000004
2003-04-01,9.9497160000000004
2003-07-01,10.2413699999999999
2003-10-01,14.0493299999999994
2004-01-01,13.1266999999999996
2004-04-01,12.8056000000000001
2004-07-01,12.6063700000000001
2004-10-01,10.7815499999999993
2005-01-01,13.1297899999999998
2005-04-01,11.9971499999999995
2005-07-01,10.0917100000000008
2005-10-01,10.4430499999999995
2006-01-01,13.2334700000000005
2006-04-01,10.5159000000000002
2006-07-01,12.3300699999999992
2006-10-01,14.5429999999999993
2007-01-01,6.8874570000000004
2007-04-01,10.2451100000000004
2007-07-01,11.8438099999999995
2007-10-01,2.9536250000000002
2008-01-01,1.5403750000000000
2008-04-01,6.3941690000000007
2008-07-01,-2.9311180000000001
2008-10-01,-1.0584760000000000
2009-01-01,-3.0164430000000002
2009-04-01,9.0913979999999999
2009-07-01,7.0061220000000004
2009-10-01,9.3520699999999994
2010-01-01,14.2103300000000008
2010-04-01,12.0302100000000003
2010-07-01,12.7631099999999993
2010-10-01,13.7396299999999982
2011-01-01,7.6817429999999982
2011-04-01,7.6640179999999987
2011-07-01,4.1829820000000000
2011-10-01,5.7748100000000004
2012-01-01,5.5695079999999999
2012-04-01,8.9342609999999993
2012-07-01,9.3309350000000002
2012-10-01,9.9562709999999992
2013-01-01,8.2424479999999996
2013-04-01,11.4202200000000005
2013-07-01,12.9015299999999993
2013-10-01,6.6506789999999993
2014-01-01,6.6147340000000003
2014-04-01,2.7116769999999999
2014-07-01,5.1390330000000004
2014-10-01,12.4428400000000003
2015-01-01,8.3034149999999993
2015-04-01,7.4322210000000020
2015-07-01,10.9800199999999997
2015-10-01,7.9170020000000001
2016-01-01,3.5132300000000001
2016-04-01,7.1006410000000004
2016-07-01,7.6079729999999985
2016-10-01,10.5067699999999995
2017-01-01,3.7764829999999998
2017-04-01,4.9283099999999997
2017-07-01,4.7507099999999998
2017-10-01,6.5119300000000004
2018-01-01,6.5463680000000002
2018-04-01,8.4158890000000000
2018-07-01,4.8846590000000001
2018-10-01,2.2797619999999998
2019-01-01,-0.8882828000000002
2019-04-01,5.1205010000000000
2019-07-01,7.8080229999999986
2019-10-01,1.9141530000000000
2020-01-01,4.4192220000000004
2020-04-01,2.6960639999999998
2020-07-01,7.5532480000000000
2020-10-01,-12.1150400000000005
2021-01-01,10.6034100000000002
2021-04-01,8.0851880000000005
2021-07-01,10.5669799999999992
2021-10-01,0.8274553000000000
2022-01-01,10.5955300000000001
2022-04-01,5.3253019999999998
2022-07-01,12.0192800000000002
2022-10-01,5.6359859999999999
2023-01-01,4.2027330000000003
2023-04-01,4.0054440000000007
2023-07-01,7.2041130000000004
2023-10-01,4.7388839999999997
2024-01-01,9.2738669999999992
2024-04-01,7.4462509999999984
2024-07-01,1.0883940000000001
2024-10-01,4.4423529999999998
