observation_date,JPNPROINDMISMEI
1955-01-01,5.888939
1955-02-01,5.973067
1955-03-01,6.057195
1955-04-01,6.057195
1955-05-01,6.057195
1955-06-01,6.057195
1955-07-01,6.225450
1955-08-01,6.393705
1955-09-01,6.561961
1955-10-01,6.561961
1955-11-01,6.646089
1955-12-01,6.814344
1956-01-01,6.982599
1956-02-01,7.150855
1956-03-01,6.982599
1956-04-01,7.234982
1956-05-01,7.403238
1956-06-01,7.571493
1956-07-01,7.823876
1956-08-01,7.908004
1956-09-01,8.076260
1956-10-01,8.412770
1956-11-01,8.412770
1956-12-01,8.412770
1957-01-01,8.496898
1957-02-01,8.665154
1957-03-01,8.749281
1957-04-01,9.085792
1957-05-01,9.590558
1957-06-01,9.338175
1957-07-01,9.506431
1957-08-01,9.169920
1957-09-01,9.169920
1957-10-01,9.085792
1957-11-01,9.085792
1957-12-01,8.917537
1958-01-01,8.833408
1958-02-01,8.917537
1958-03-01,8.833408
1958-04-01,8.833408
1958-05-01,8.581026
1958-06-01,8.496898
1958-07-01,8.833408
1958-08-01,8.917537
1958-09-01,8.917537
1958-10-01,9.169920
1958-11-01,9.085792
1958-12-01,9.338175
1959-01-01,9.422302
1959-02-01,9.758814
1959-03-01,9.842941
1959-04-01,10.011200
1959-05-01,10.347710
1959-06-01,10.684220
1959-07-01,10.768350
1959-08-01,10.936600
1959-09-01,11.188980
1959-10-01,11.441370
1959-11-01,11.609620
1959-12-01,12.114390
1960-01-01,12.114390
1960-02-01,12.703280
1960-03-01,12.703280
1960-04-01,12.955670
1960-05-01,13.039790
1960-06-01,13.039790
1960-07-01,13.376300
1960-08-01,13.544560
1960-09-01,13.796940
1960-10-01,13.965200
1960-11-01,14.301710
1960-12-01,14.385840
1961-01-01,14.806480
1961-02-01,14.890600
1961-03-01,15.311240
1961-04-01,15.311240
1961-05-01,15.647750
1961-06-01,15.816010
1961-07-01,16.152520
1961-08-01,16.404900
1961-09-01,16.320770
1961-10-01,16.657290
1961-11-01,16.825540
