observation_date,JPNPROINDMISMEI
1961-12-01,17.077920
1962-01-01,17.330310
1962-02-01,17.330310
1962-03-01,17.582690
1962-04-01,17.330310
1962-05-01,17.582690
1962-06-01,17.330310
1962-07-01,16.993800
1962-08-01,17.330310
1962-09-01,17.077920
1962-10-01,16.993800
1962-11-01,17.077920
1962-12-01,16.993800
1963-01-01,17.330310
1963-02-01,17.835070
1963-03-01,17.919200
1963-04-01,18.592220
1963-05-01,18.844600
1963-06-01,18.676350
1963-07-01,19.349370
1963-08-01,19.854140
1963-09-01,19.854140
1963-10-01,20.443030
1963-11-01,20.779540
1963-12-01,20.863670
1964-01-01,21.116050
1964-02-01,21.620820
1964-03-01,21.368440
1964-04-01,21.704950
1964-05-01,21.957330
1964-06-01,22.377970
1964-07-01,22.377970
1964-08-01,22.377970
1964-09-01,23.050990
1964-10-01,22.966860
1964-11-01,22.714480
1964-12-01,23.303370
1965-01-01,23.050990
1965-02-01,22.882730
1965-03-01,23.050990
1965-04-01,22.882730
1965-05-01,22.546220
1965-06-01,22.966860
1965-07-01,22.966860
1965-08-01,23.050990
1965-09-01,23.135120
1965-10-01,23.135120
1965-11-01,23.555760
1965-12-01,23.555760
1966-01-01,23.892270
1966-02-01,23.976390
1966-03-01,24.649420
1966-04-01,25.154180
1966-05-01,25.406570
1966-06-01,25.827200
1966-07-01,26.247840
1966-08-01,26.668480
1966-09-01,27.089120
1966-10-01,27.593890
1966-11-01,28.182780
1966-12-01,28.771680
1967-01-01,28.939930
1967-02-01,28.687550
1967-03-01,29.444700
1967-04-01,29.697080
1967-05-01,30.370100
1967-06-01,30.874870
1967-07-01,31.211380
1967-08-01,31.716140
1967-09-01,32.641550
1967-10-01,32.978060
1967-11-01,33.651080
1967-12-01,33.987590
1968-01-01,33.903470
1968-02-01,34.408230
1968-03-01,34.576480
1968-04-01,34.828870
1968-05-01,35.922530
1968-06-01,35.333630
1968-07-01,35.754270
1968-08-01,36.679680
1968-09-01,36.511420
1968-10-01,37.436830
1968-11-01,38.446360
1968-12-01,38.278100
1969-01-01,38.782870
1969-02-01,39.371770
1969-03-01,39.455890
1969-04-01,40.549550
1969-05-01,41.474960
1969-06-01,41.138450
1969-07-01,41.727340
1969-08-01,42.063850
1969-09-01,42.989250
1969-10-01,44.167040
1969-11-01,44.167040
1969-12-01,45.008320
1970-01-01,45.597210
1970-02-01,46.101980
1970-03-01,46.438490
1970-04-01,46.859130
1970-05-01,47.448020
1970-06-01,48.121040
1970-07-01,48.121040
1970-08-01,47.952790
1970-09-01,48.121040
1970-10-01,48.289300
1970-11-01,47.784530
1970-12-01,48.794070
1971-01-01,48.709940
1971-02-01,48.457560
1971-03-01,48.962320
1971-04-01,48.709940
1971-05-01,47.448020
1971-06-01,48.457560
1971-07-01,48.625810
1971-08-01,48.794070
1971-09-01,49.467090
1971-10-01,48.794070
1971-11-01,49.382960
1971-12-01,49.046450
1972-01-01,49.382960
1972-02-01,49.887730
1972-03-01,50.897260
1972-04-01,50.560750
1972-05-01,51.317900
1972-06-01,51.570280
1972-07-01,51.486150
1972-08-01,52.832200
1972-09-01,53.421090
1972-10-01,54.009980
1972-11-01,55.019520
1972-12-01,56.365560
1973-01-01,57.795730
1973-02-01,58.300500
1973-03-01,59.225900
1973-04-01,59.057650
1973-05-01,59.646540
1973-06-01,60.235440
1973-07-01,59.562410
1973-08-01,61.329090
1973-09-01,60.487820
1973-10-01,61.329090
1973-11-01,61.917990
1973-12-01,61.917990
1974-01-01,62.254500
1974-02-01,62.086240
1974-03-01,60.656070
1974-04-01,59.394160
1974-05-01,59.562410
1974-06-01,57.963990
1974-07-01,57.375090
1974-08-01,56.533820
1974-09-01,55.944920
1974-10-01,54.767140
1974-11-01,53.841730
1974-12-01,52.832200
1975-01-01,50.813130
1975-02-01,50.308360
1975-03-01,49.635350
1975-04-01,50.813130
1975-05-01,50.813130
1975-06-01,51.317900
1975-07-01,51.822670
1975-08-01,51.822670
1975-09-01,52.243300
1975-10-01,52.411560
1975-11-01,51.570280
1975-12-01,52.663940
1976-01-01,53.589350
1976-02-01,54.935390
1976-03-01,55.776660
1976-04-01,56.533820
1976-05-01,56.365560
1976-06-01,57.375090
1976-07-01,57.879860
1976-08-01,58.048110
1976-09-01,57.963990
1976-10-01,57.963990
1976-11-01,58.805260
1976-12-01,59.057650
1977-01-01,59.562410
1977-02-01,58.721140
1977-03-01,59.562410
1977-04-01,59.225900
1977-05-01,58.973520
1977-06-01,59.478290
1977-07-01,58.300500
1977-08-01,59.562410
1977-09-01,59.562410
1977-10-01,59.057650
1977-11-01,60.235440
1977-12-01,60.656070
1978-01-01,61.244970
1978-02-01,60.824330
1978-03-01,62.170370
1978-04-01,62.170370
1978-05-01,62.338630
1978-06-01,62.675140
1978-07-01,63.095780
1978-08-01,63.937050
1978-09-01,64.441820
1978-10-01,64.525950
1978-11-01,64.862460
1978-12-01,65.451350
1979-01-01,65.367230
1979-02-01,65.283100
1979-03-01,65.871990
1979-04-01,66.124370
1979-05-01,67.554540
1979-06-01,67.806930
1979-07-01,68.311690
1979-08-01,69.321230
1979-09-01,68.059310
1979-10-01,69.489480
1979-11-01,70.330760
1979-12-01,70.078380
1980-01-01,70.583150
1980-02-01,73.191100
1980-03-01,71.256160
1980-04-01,72.518080
1980-05-01,72.013310
1980-06-01,71.256160
1980-07-01,71.172040
1980-08-01,69.068840
1980-09-01,70.162510
1980-10-01,70.583150
1980-11-01,69.657740
1980-12-01,70.667270
1981-01-01,70.751400
1981-02-01,70.499020
1981-03-01,70.751400
1981-04-01,70.751400
1981-05-01,69.657740
1981-06-01,71.424420
1981-07-01,72.013310
1981-08-01,71.760930
1981-09-01,72.938720
1981-10-01,73.359360
1981-11-01,73.359360
1981-12-01,73.106970
1982-01-01,72.686330
1982-02-01,72.181570
1982-03-01,72.938720
1982-04-01,71.929180
1982-05-01,71.256160
1982-06-01,72.181570
1982-07-01,72.013310
1982-08-01,72.097440
1982-09-01,72.433950
1982-10-01,70.330760
1982-11-01,72.097440
1982-12-01,71.340290
1983-01-01,71.929180
1983-02-01,71.676800
1983-03-01,72.686330
1983-04-01,72.686330
1983-05-01,73.022840
1983-06-01,73.779990
1983-07-01,73.527610
1983-08-01,75.210170
1983-09-01,76.219700
1983-10-01,75.883190
1983-11-01,76.640340
1983-12-01,77.649870
1984-01-01,78.238760
1984-02-01,80.173700
1984-03-01,79.500680
1984-04-01,79.248300
1984-05-01,80.678470
1984-06-01,81.183240
1984-07-01,81.183240
1984-08-01,82.361020
1984-09-01,81.183240
1984-10-01,83.538810
1984-11-01,83.538810
1984-12-01,83.034040
1985-01-01,83.875320
1985-02-01,83.622930
1985-03-01,82.949910
1985-04-01,84.295960
1985-05-01,85.137240
1985-06-01,83.791190
1985-07-01,85.053110
1985-08-01,84.295960
1985-09-01,83.622930
1985-10-01,84.464210
1985-11-01,84.295960
1985-12-01,84.295960
1986-01-01,84.127700
1986-02-01,84.127700
1986-03-01,84.043570
1986-04-01,84.043570
1986-05-01,84.043570
1986-06-01,84.295960
1986-07-01,84.295960
1986-08-01,82.276890
1986-09-01,85.053110
1986-10-01,83.959450
1986-11-01,82.781660
1986-12-01,84.716600
1987-01-01,84.464210
1987-02-01,84.043570
1987-03-01,85.305490
1987-04-01,84.632470
1987-05-01,83.286420
1987-06-01,86.399150
1987-07-01,87.156300
1987-08-01,87.156300
1987-09-01,88.502340
1987-10-01,89.932510
1987-11-01,90.269030
1987-12-01,91.278560
1988-01-01,91.572040
1988-02-01,94.512890
1988-03-01,92.687530
1988-04-01,94.918520
1988-05-01,93.904430
1988-06-01,94.208660
1988-07-01,94.614300
1988-08-01,95.121340
1988-09-01,96.642470
1988-10-01,95.324160
1988-11-01,97.352330
1988-12-01,98.062190
1989-01-01,98.873460
1989-02-01,98.265010
1989-03-01,101.814300
1989-04-01,100.191800
1989-05-01,100.293200
1989-06-01,101.510100
1989-07-01,99.380500
1989-08-01,101.104400
1989-09-01,100.800200
1989-10-01,100.191800
1989-11-01,100.901600
1989-12-01,101.510100
1990-01-01,100.901600
1990-02-01,101.408700
1990-03-01,103.234000
1990-04-01,103.436900
1990-05-01,104.146700
1990-06-01,104.450900
1990-07-01,105.363600
1990-08-01,106.276300
1990-09-01,105.363600
1990-10-01,107.493200
1990-11-01,106.783300
1990-12-01,106.884700
1991-01-01,107.594600
1991-02-01,108.000200
1991-03-01,106.986200
1991-04-01,107.391800
1991-05-01,108.507300
1991-06-01,105.363600
1991-07-01,107.696000
1991-08-01,105.972100
1991-09-01,106.073500
1991-10-01,105.363600
1991-11-01,106.073500
1991-12-01,104.653800
1992-01-01,103.943900
1992-02-01,103.639700
1992-03-01,102.118500
1992-04-01,101.611500
1992-05-01,99.279090
1992-06-01,101.307300
1992-07-01,101.104400
1992-08-01,98.163600
1992-09-01,101.915700
1992-10-01,98.772050
1992-11-01,97.555150
1992-12-01,97.149510
1993-01-01,99.177680
1993-02-01,99.380500
1993-03-01,96.034010
1993-04-01,97.859380
1993-05-01,99.177680
1993-06-01,97.352330
1993-07-01,97.250920
1993-08-01,96.338240
1993-09-01,96.642470
1993-10-01,95.831200
1993-11-01,95.628380
1993-12-01,94.918520
1994-01-01,94.512890
1994-02-01,95.324160
1994-03-01,96.338240
1994-04-01,97.250920
1994-05-01,97.149510
1994-06-01,98.366420
1994-07-01,99.380500
1994-08-01,100.191800
1994-09-01,99.177680
1994-10-01,100.191800
1994-11-01,100.800200
1994-12-01,101.510100
1995-01-01,99.481910
1995-02-01,100.901600
1995-03-01,101.915700
1995-04-01,103.132600
1995-05-01,101.408700
1995-06-01,101.307300
1995-07-01,99.887540
1995-08-01,101.408700
1995-09-01,99.786130
1995-10-01,101.307300
1995-11-01,102.118500
1995-12-01,103.436900
1996-01-01,101.915700
1996-02-01,101.814300
1996-03-01,101.712900
1996-04-01,102.017100
1996-05-01,102.625600
1996-06-01,102.828400
1996-07-01,103.436900
1996-08-01,103.538300
1996-09-01,104.653800
1996-10-01,105.262200
1996-11-01,105.769200
1996-12-01,106.783300
1997-01-01,108.405900
1997-02-01,108.405900
1997-03-01,108.811500
1997-04-01,106.073500
1997-05-01,109.217100
1997-06-01,108.608700
1997-07-01,108.912900
1997-08-01,108.405900
1997-09-01,107.696000
1997-10-01,106.986200
1997-11-01,105.667800
1997-12-01,104.653800
1998-01-01,106.192700
1998-02-01,103.428900
1998-03-01,101.196600
1998-04-01,100.984000
1998-05-01,100.239900
1998-06-01,100.239900
1998-07-01,100.027300
1998-08-01,98.220250
1998-09-01,99.495830
1998-10-01,98.964330
1998-11-01,98.432840
1998-12-01,98.326540
1999-01-01,99.602130
1999-02-01,99.602130
1999-03-01,100.877700
1999-04-01,99.176930
1999-05-01,100.771400
1999-06-01,100.027300
1999-07-01,100.558800
1999-08-01,101.515500
1999-09-01,102.259600
1999-10-01,102.153300
1999-11-01,103.216300
1999-12-01,103.110000
2000-01-01,103.003700
2000-02-01,102.897400
2000-03-01,104.385600
2000-04-01,105.980100
2000-05-01,105.342300
2000-06-01,106.724200
2000-07-01,106.511600
2000-08-01,107.999700
2000-09-01,105.767500
2000-10-01,107.362000
2000-11-01,107.787100
2000-12-01,108.850100
2001-01-01,104.810800
2001-02-01,105.767500
2001-03-01,103.960400
2001-04-01,103.216300
2001-05-01,101.196600
2001-06-01,100.133600
2001-07-01,98.751740
2001-08-01,97.369850
2001-09-01,95.562770
2001-10-01,95.562770
2001-11-01,94.074580
2001-12-01,95.031270
2002-01-01,94.499780
2002-02-01,95.669070
2002-03-01,96.094260
2002-04-01,95.987960
2002-05-01,99.814730
2002-06-01,98.645440
2002-07-01,99.389530
2002-08-01,99.814730
2002-09-01,100.452500
2002-10-01,100.452500
2002-11-01,100.346200
2002-12-01,100.239900
2003-01-01,101.621800
2003-02-01,101.187100
2003-03-01,101.947900
2003-04-01,100.534900
2003-05-01,101.839200
2003-06-01,100.969700
2003-07-01,101.404400
2003-08-01,100.426300
2003-09-01,103.469500
2003-10-01,104.665000
2003-11-01,104.882400
2003-12-01,104.556300
2004-01-01,106.404000
2004-02-01,106.077900
2004-03-01,105.534500
2004-04-01,107.382200
2004-05-01,107.490900
2004-06-01,107.816900
2004-07-01,109.338500
2004-08-01,107.816900
2004-09-01,108.143000
2004-10-01,106.077900
2004-11-01,107.382200
2004-12-01,105.969300
2005-01-01,108.469100
2005-02-01,108.469100
2005-03-01,108.795100
2005-04-01,109.229900
2005-05-01,108.360400
2005-06-01,108.795100
2005-07-01,108.143000
2005-08-01,108.143000
2005-09-01,109.012500
2005-10-01,108.034300
2005-11-01,110.208000
2005-12-01,110.642800
2006-01-01,110.968800
2006-02-01,110.751500
2006-03-01,111.512300
2006-04-01,113.577300
2006-05-01,111.838300
2006-06-01,113.359900
2006-07-01,113.794700
2006-08-01,114.120800
2006-09-01,114.012100
2006-10-01,114.446800
2006-11-01,115.533700
2006-12-01,115.642400
2007-01-01,114.446800
2007-02-01,115.098900
2007-03-01,115.098900
2007-04-01,114.772900
2007-05-01,116.077100
2007-06-01,116.077100
2007-07-01,116.185800
2007-08-01,119.120300
2007-09-01,117.381300
2007-10-01,118.903000
2007-11-01,117.707400
2007-12-01,118.359500
2008-01-01,119.163500
2008-02-01,119.471400
2008-03-01,118.239800
2008-04-01,117.726600
2008-05-01,118.342400
2008-06-01,115.160600
2008-07-01,115.160600
2008-08-01,110.952400
2008-09-01,112.389400
2008-10-01,109.926000
2008-11-01,102.844000
2008-12-01,94.530230
2009-01-01,86.934960
2009-02-01,79.647610
2009-03-01,80.366090
2009-04-01,83.855800
2009-05-01,86.934960
2009-06-01,88.371900
2009-07-01,89.398290
2009-08-01,90.732590
2009-09-01,93.503840
2009-10-01,96.069800
2009-11-01,98.019940
2009-12-01,98.841050
2010-01-01,101.099100
2010-02-01,101.407000
2010-03-01,101.714900
2010-04-01,102.946600
2010-05-01,102.536000
2010-06-01,101.920200
2010-07-01,103.151900
2010-08-01,103.665100
2010-09-01,104.999400
2010-10-01,102.022900
2010-11-01,103.767700
2010-12-01,104.075600
2011-01-01,104.794100
2011-02-01,105.204600
2011-03-01,88.577180
2011-04-01,90.219400
2011-05-01,96.172440
2011-06-01,100.072700
2011-07-01,100.996500
2011-08-01,102.536000
2011-09-01,101.920200
2011-10-01,103.562400
2011-11-01,101.509700
2011-12-01,103.562400
2012-01-01,103.870300
2012-02-01,103.665100
2012-03-01,103.459800
2012-04-01,102.946600
2012-05-01,101.099100
2012-06-01,100.380600
2012-07-01,99.867440
2012-08-01,98.635770
2012-09-01,96.480360
2012-10-01,96.788280
2012-11-01,96.069800
2012-12-01,97.404110
2013-01-01,95.390620
2013-02-01,96.990460
2013-03-01,97.890370
2013-04-01,98.090350
2013-05-01,99.590200
2013-06-01,98.590300
2013-07-01,100.090100
2013-08-01,100.390100
2013-09-01,101.190000
2013-10-01,101.490000
2013-11-01,101.890000
2013-12-01,101.890000
2014-01-01,103.589800
2014-02-01,102.889900
2014-03-01,104.289700
2014-04-01,99.790180
2014-05-01,101.890000
2014-06-01,100.590100
2014-07-01,100.390100
2014-08-01,99.490210
2014-09-01,100.590100
2014-10-01,100.590100
2014-11-01,100.590100
2014-12-01,100.190100
2015-01-01,102.689900
2015-02-01,99.790180
2015-03-01,99.290230
2015-04-01,99.690190
2015-05-01,99.690190
2015-06-01,100.490100
2015-07-01,100.390100
2015-08-01,98.790280
2015-09-01,100.490100
2015-10-01,100.590100
2015-11-01,99.990160
2015-12-01,98.090350
2016-01-01,100.290100
2016-02-01,99.490210
2016-03-01,99.890170
2016-04-01,99.190240
2016-05-01,98.690290
2016-06-01,99.190240
2016-07-01,99.690190
2016-08-01,100.590100
2016-09-01,100.990100
2016-10-01,101.090000
2016-11-01,102.090000
2016-12-01,101.490000
2017-01-01,100.690100
2017-02-01,101.390000
2017-03-01,101.490000
2017-04-01,103.789800
2017-05-01,102.189900
2017-06-01,102.989900
2017-07-01,102.489900
2017-08-01,103.789800
2017-09-01,102.589900
2017-10-01,103.189800
2017-11-01,103.989800
2017-12-01,105.489600
2018-01-01,102.154600
2018-02-01,104.159400
2018-03-01,105.161800
2018-04-01,103.886100
2018-05-01,104.159400
2018-06-01,103.703800
2018-07-01,103.521500
2018-08-01,103.886100
2018-09-01,102.154600
2018-10-01,105.890900
2018-11-01,104.341700
2018-12-01,104.432800
2019-01-01,101.972400
2019-02-01,103.521500
2019-03-01,102.701400
2019-04-01,102.519100
2019-05-01,103.612700
2019-06-01,102.336900
2019-07-01,102.245800
2019-08-01,101.243300
2019-09-01,102.428000
2019-10-01,98.782880
2019-11-01,98.053860
2019-12-01,98.418370
2020-01-01,98.509500
2020-02-01,96.049030
2020-03-01,96.140170
2020-04-01,87.118480
2020-05-01,79.737110
2020-06-01,81.924180
2020-07-01,86.571720
2020-08-01,89.123300
2020-09-01,91.036990
2020-10-01,95.228880
2020-11-01,94.499860
2020-12-01,94.408730
2021-01-01,96.960320
2021-02-01,96.140170
2021-03-01,96.778060
2021-04-01,98.782880
2021-05-01,94.682110
2021-06-01,98.874010
2021-07-01,97.415960
2021-08-01,94.317600
2021-09-01,89.578940
2021-10-01,93.497450
2021-11-01,97.598210
2021-12-01,96.322420
2022-01-01,95.684520
2022-02-01,96.686940
2022-03-01,96.049030
2022-04-01,95.684520
2022-05-01,91.128120
2022-06-01,96.140170
2022-07-01,96.595800
2022-08-01,97.962730
2022-09-01,97.142580
2022-10-01,96.869190
2022-11-01,96.140170
2022-12-01,95.866780
2023-01-01,92.130530
2023-02-01,95.137760
2023-03-01,95.137760
2023-04-01,95.502270
2023-05-01,93.132930
2023-06-01,95.502270
2023-07-01,94.317600
2023-08-01,94.044220
2023-09-01,94.135350
2023-10-01,95.228880
2023-11-01,94.682110
2023-12-01,95.593400
2024-01-01,89.214430
2024-02-01,88.758790
2024-03-01,92.312780
