observation_date,ULQEUL01ITQ661S
1981-01-01,25.4931057182216
1981-04-01,26.8849812187942
1981-07-01,28.0968992410814
1981-10-01,29.0671612942100
1982-01-01,29.8768178347912
1982-04-01,31.1312187175888
1982-07-01,32.2816802014269
1982-10-01,34.1211558908402
1983-01-01,34.7214425723323
1983-04-01,36.3301546016774
1983-07-01,37.2859534242804
1983-10-01,37.5308774465602
1984-01-01,38.6995593766434
1984-04-01,39.2366847239706
1984-07-01,39.6130662112218
1984-10-01,40.4244407554592
1985-01-01,41.4365931702580
1985-04-01,42.2302091203728
1985-07-01,43.0503125779704
1985-10-01,43.7598579762604
1986-01-01,44.2686634650371
1986-04-01,44.4506722724937
1986-07-01,44.9467294583391
1986-10-01,45.5194728633338
1987-01-01,46.1664890654778
1987-04-01,46.6756695839861
1987-07-01,47.5894456863935
1987-10-01,47.9316653973843
1988-01-01,48.6499813293890
1988-04-01,49.1809716343422
1988-07-01,49.6904731575525
1988-10-01,50.1182266225354
1989-01-01,51.1915952839384
1989-04-01,51.6116193221555
1989-07-01,52.3969199079909
1989-10-01,53.4427858225388
1990-01-01,54.6933819181210
1990-04-01,56.2689865963966
1990-07-01,58.0577282117452
1990-10-01,59.4233161790035
1991-01-01,60.3459718114245
1991-04-01,61.3437783386700
1991-07-01,61.9973903245846
1991-10-01,62.9072087734055
1992-01-01,64.0623642435735
1992-04-01,64.4319281291385
1992-07-01,64.8872905146203
1992-10-01,65.0417785497222
1993-01-01,65.3276207838591
1993-04-01,65.9866852845038
1993-07-01,66.3962223281458
1993-10-01,65.9302900626554
1994-01-01,65.5060023052749
1994-04-01,66.0264391318557
1994-07-01,66.0338351909321
1994-10-01,66.0060142688294
1995-01-01,65.5957370989310
1995-04-01,66.1853313968332
1995-07-01,66.8472182394255
1995-10-01,68.1114665303744
1996-01-01,68.9507590428052
1996-04-01,69.7160254441125
1996-07-01,70.8624646254153
1996-10-01,71.5134263819927
1997-01-01,72.8123857130028
1997-04-01,72.3758370446344
1997-07-01,72.6119735806816
1997-10-01,71.2473317281391
1998-01-01,70.2577159762844
1998-04-01,70.4972377949050
1998-07-01,70.6599118423644
1998-10-01,71.8789491852944
1999-01-01,71.4845192683102
1999-04-01,72.2492334295146
1999-07-01,72.2855840837170
1999-10-01,71.9560284779326
2000-01-01,71.7605515954110
2000-04-01,72.0613808556907
2000-07-01,72.5736705576230
2000-10-01,72.3342614310122
2001-01-01,72.8627639642400
2001-04-01,73.6733586336491
2001-07-01,75.5023990192491
2001-10-01,76.0838457995428
2002-01-01,76.7306837837292
2002-04-01,76.9005166360606
2002-07-01,77.7370335211963
2002-10-01,78.3474701499128
2003-01-01,79.2301705123769
2003-04-01,80.5145675749425
2003-07-01,82.5883135528612
2003-10-01,80.6755178960408
2004-01-01,81.3028994806233
2004-04-01,83.1868798909901
2004-07-01,83.0610556887688
2004-10-01,83.6865542542648
2005-01-01,84.3098994449089
2005-04-01,84.1211346938134
2005-07-01,83.6642774819394
2005-10-01,86.9194262719894
2006-01-01,86.5718994376874
2006-04-01,86.9147423759220
2006-07-01,87.3670835278009
2006-10-01,86.3225176636060
2007-01-01,86.9445627256850
2007-04-01,87.8844647958500
2007-07-01,88.3730139551602
2007-10-01,90.9393294200956
2008-01-01,90.3711321783975
2008-04-01,90.7836340236973
2008-07-01,92.6283981771692
2008-10-01,94.6685700713328
2009-01-01,96.0543962576186
2009-04-01,96.2702192952011
2009-07-01,95.8638895643007
2009-10-01,96.3293481403538
2010-01-01,95.7682436697938
2010-04-01,96.7695086724492
2010-07-01,96.1709374864758
2010-10-01,95.7420249274083
2011-01-01,96.3501090838424
2011-04-01,96.6726685943794
2011-07-01,96.3368344601836
2011-10-01,96.9829007778439
2012-01-01,97.7098209440612
2012-04-01,97.9921018985635
2012-07-01,98.0995563222346
2012-10-01,98.2045876336521
2013-01-01,98.9260658966173
2013-04-01,98.6255244021405
2013-07-01,98.7537151123726
2013-10-01,99.2835715994492
2014-01-01,98.7762305138279
2014-04-01,98.6824130496824
2014-07-01,98.9953134998298
2014-10-01,99.8825562305862
2015-01-01,99.8890859836783
2015-04-01,99.8190346562658
2015-07-01,100.2101840951940
2015-10-01,100.0816952648610
2016-01-01,99.9586636057580
2016-04-01,100.7335578200810
2016-07-01,100.0710567597330
2016-10-01,100.5264867009260
2017-01-01,100.5749109943120
2017-04-01,99.7010033492821
2017-07-01,100.2980755795480
2017-10-01,100.4876874387940
2018-01-01,100.6591554000620
2018-04-01,102.6467070129690
2018-07-01,102.9125157507590
2018-10-01,102.8827924766950
2019-01-01,103.5791956206050
2019-04-01,103.2297409486480
2019-07-01,103.3235606671690
2019-10-01,104.2705630234770
2020-01-01,106.6694718058650
2020-04-01,108.1746876433080
2020-07-01,106.1801442776120
2020-10-01,106.2986397380170
2021-01-01,105.7028217921890
2021-04-01,105.6221830053010
2021-07-01,106.1415145964100
2021-10-01,105.8929620190370
2022-01-01,107.0166808997220
2022-04-01,108.3839369736430
2022-07-01,108.2720581278580
2022-10-01,110.9427275505380
2023-01-01,111.2492748353710
2023-04-01,112.3835358179120
2023-07-01,113.7622447672180
