observation_date,DEUPIEAMP01GYM
2012-04-01,1.7391304296
2012-05-01,1.5444015432
2012-06-01,1.2536162053
2012-07-01,1.0587102969
2012-08-01,1.4450867060
2012-09-01,1.5399422509
2012-10-01,1.5414258278
2012-11-01,1.3474494632
2012-12-01,1.1549566857
2013-01-01,0.6704980806
2013-02-01,0.3816793915
2013-03-01,0.0951474767
2013-04-01,-0.2849002791
2013-05-01,-0.2851710968
2013-06-01,-0.1904761965
2013-07-01,-0.1904761965
2013-08-01,-0.4748338084
2013-09-01,-0.6635071153
2013-10-01,-0.6641366287
2013-11-01,-0.6647673278
2013-12-01,-0.5708848699
2014-01-01,-0.4757373932
2014-02-01,-0.4752851714
2014-03-01,-0.5703422036
2014-04-01,-0.3809523831
2014-05-01,-0.1906577754
2014-06-01,0.0000000000
2014-07-01,0.0954198554
2014-08-01,0.0000000000
2014-09-01,0.0000000000
2014-10-01,0.0000000000
2014-11-01,-0.0956022925
2014-12-01,-0.4784688998
2015-01-01,-0.4780114725
2015-02-01,-0.1733596332
2015-03-01,0.3221653197
2015-04-01,0.6222316167
2015-05-01,0.4261997684
2015-06-01,0.2305420267
2015-07-01,0.2347294101
2015-08-01,-0.0689516247
2015-09-01,-0.3684452762
2015-10-01,-0.4731393340
2015-11-01,-0.1825394939
2015-12-01,-0.1050444550
2016-01-01,-0.4020100503
2016-02-01,-1.1011011011
2016-03-01,-1.3958125623
2016-04-01,-1.6898608350
2016-05-01,-1.3930348259
2016-06-01,-1.0956175299
2016-07-01,-1.0945273632
2016-08-01,-0.7992007992
2016-09-01,-0.4008016032
2016-10-01,0.0000000000
2016-11-01,0.2006018054
2016-12-01,1.1077542800
2017-01-01,1.7154389506
2017-02-01,2.3279352227
2017-03-01,2.3255813953
2017-04-01,2.6289180991
2017-05-01,2.2199798184
2017-06-01,1.9133937563
2017-07-01,1.8108651911
2017-08-01,1.8126888218
2017-09-01,1.9114688129
2017-10-01,1.8072289157
2017-11-01,1.6016016016
2017-12-01,1.1952191235
2018-01-01,1.1904761905
2018-02-01,0.7912957468
2018-03-01,0.7905138340
2018-04-01,0.7881773399
2018-05-01,1.3820335637
2018-06-01,1.7786561265
2018-07-01,1.7786561265
2018-08-01,2.0771513353
2018-09-01,1.8756169793
2018-10-01,1.9723865878
2018-11-01,1.8719211823
2018-12-01,1.3779527559
2019-01-01,1.1764705882
2019-02-01,1.3738959764
2019-03-01,1.4705882353
2019-04-01,1.4662756598
2019-05-01,1.0710808179
2019-06-01,0.6796116505
2019-07-01,0.7766990291
2019-08-01,0.4844961240
2019-09-01,0.5813953488
2019-10-01,0.2901353965
2019-11-01,0.2901353965
2019-12-01,0.7766990291
2020-01-01,0.8720930233
2020-02-01,0.7744433688
2020-03-01,0.0000000000
2020-04-01,-0.6743737958
2020-05-01,-0.9633911368
2020-06-01,-0.8678881389
2020-07-01,-0.8670520231
2020-08-01,-0.8678881389
2020-09-01,-0.9633911368
2020-10-01,-0.8678881389
2020-11-01,-0.6750241080
2020-12-01,-0.6743737958
2021-01-01,-0.1921229587
2021-02-01,0.3842459174
2021-03-01,1.7391304348
2021-04-01,2.9097963143
2021-05-01,3.9883268482
2021-06-01,4.7665369650
2021-07-01,5.8309037901
2021-08-01,6.6147859922
2021-09-01,7.1984435798
2021-10-01,8.2684824903
2021-11-01,8.7378640777
2021-12-01,9.1173617847
2022-01-01,10.8758421559
2022-02-01,11.3875598086
2022-03-01,13.3903133903
2022-04-01,14.8916116871
2022-05-01,15.2478952292
2022-06-01,15.0417827298
2022-07-01,14.5087235996
2022-08-01,14.1423357664
2022-09-01,14.1560798548
2022-10-01,13.5669362084
2022-11-01,12.3214285714
2022-12-01,11.2888888889
