observation_date,ULQEUL01EZQ661S
1995-01-01,75.1589563755701
1995-04-01,75.6067769058345
1995-07-01,75.9748631665344
1995-10-01,76.5215595391921
1996-01-01,76.7648065200040
1996-04-01,76.6817920298189
1996-07-01,77.0809483981002
1996-10-01,77.2163261291706
1997-01-01,77.6799166653124
1997-04-01,77.2404894846572
1997-07-01,77.1819205836976
1997-10-01,76.8977663073807
1998-01-01,76.8489327046471
1998-04-01,77.3189774830434
1998-07-01,77.6795353055539
1998-10-01,78.3330867976374
1999-01-01,78.0889335836709
1999-04-01,78.7244103991512
1999-07-01,78.6177736430341
1999-10-01,78.7365600873478
2000-01-01,78.9219972695909
2000-04-01,79.0600739211060
2000-07-01,79.6326482043760
2000-10-01,80.0000542012727
2001-01-01,79.8924133430890
2001-04-01,80.4522308196879
2001-07-01,81.0428644904635
2001-10-01,81.7763099108615
2002-01-01,82.3539587904358
2002-04-01,82.5426602916640
2002-07-01,82.9115906589951
2002-10-01,83.3320761116457
2003-01-01,84.0010435485656
2003-04-01,84.4429630411394
2003-07-01,85.0597123236703
2003-10-01,84.7793993623784
2004-01-01,84.9848257863969
2004-04-01,85.2099076222700
2004-07-01,85.4761715039472
2004-10-01,85.8299901214946
2005-01-01,86.2074701673831
2005-04-01,86.3880703168610
2005-07-01,86.4370393069556
2005-10-01,87.0249202011824
2006-01-01,86.9956437175684
2006-04-01,87.0360012905224
2006-07-01,87.4015603363821
2006-10-01,87.3341854260349
2007-01-01,87.7192160259880
2007-04-01,88.0503785717459
2007-07-01,88.5750607919591
2007-10-01,89.3717982417184
2008-01-01,90.2895078972180
2008-04-01,91.1268539081860
2008-07-01,92.2888965865302
2008-10-01,93.9189206470328
2009-01-01,96.1244666903484
2009-04-01,95.9368491938826
2009-07-01,95.7995657689446
2009-10-01,95.7653737018250
2010-01-01,95.7005767030260
2010-04-01,95.4356423631235
2010-07-01,95.3507710773873
2010-10-01,95.3196228627257
2011-01-01,95.2760025307155
2011-04-01,95.8186478820222
2011-07-01,95.8094087313989
2011-10-01,96.5095874784630
2012-01-01,97.1324708288040
2012-04-01,97.6678860072636
2012-07-01,97.8735435807397
2012-10-01,98.2572988263019
2013-01-01,98.9091269789236
2013-04-01,98.7227765467412
2013-07-01,98.9686876144875
2013-10-01,98.9902983014653
2014-01-01,99.2147197259183
2014-04-01,99.4568135780652
2014-07-01,99.6395367496842
2014-10-01,99.8013844318158
2015-01-01,99.6321763680493
2015-04-01,99.9227853935631
2015-07-01,100.0927731201410
2015-10-01,100.3522651182470
2016-01-01,100.3912753250860
2016-04-01,100.7613594412660
2016-07-01,100.9894524484280
2016-10-01,101.0545004869180
2017-01-01,101.2692638160230
2017-04-01,101.2545392286630
2017-07-01,101.3197695410580
2017-10-01,101.6070499746110
2018-01-01,102.3910523890520
2018-04-01,102.9888168444160
2018-07-01,104.0423007649590
2018-10-01,104.1630208421250
2019-01-01,104.5991441455460
2019-04-01,105.1567539544000
2019-07-01,105.7245022882390
2019-10-01,106.0647431101180
2020-01-01,108.8626305439360
2020-04-01,114.0734667599830
2020-07-01,108.9065885273860
2020-10-01,110.0805791142060
2021-01-01,109.8839232240820
2021-04-01,109.2322851675440
2021-07-01,110.3850466496570
2021-10-01,111.2809199101280
2022-01-01,112.3355096088770
2022-04-01,112.4994716414300
2022-07-01,114.0594343212470
2022-10-01,116.4498975719950
2023-01-01,118.9405420285200
2023-04-01,119.5612800322860
2023-07-01,121.5157506447620
