observation_date,ULQECU01AUQ657S
1976-10-01,2.70688988194608982
1977-01-01,0.71360427370830004
1977-04-01,3.39597862234883019
1977-07-01,1.28247299809816995
1977-10-01,3.39897173958346999
1978-01-01,2.46038768910274985
1978-04-01,0.26733405878331601
1978-07-01,1.90031832212146989
1978-10-01,1.09457171864300995
1979-01-01,4.52911188544480936
1979-04-01,0.38846881224416102
1979-07-01,2.14080610232527002
1979-10-01,1.91313444353970996
1980-01-01,2.58987939535575995
1980-04-01,2.63036980882981020
1980-07-01,3.38940891593840021
1980-10-01,3.44067888024913016
1981-01-01,2.73404216330476002
1981-04-01,3.77655368561636973
1981-07-01,1.96469827242919992
1981-10-01,3.49201579972742016
1982-01-01,4.88950192871419009
1982-04-01,4.21615758343768032
1982-07-01,4.82108714966209995
1982-10-01,1.44129319256079991
1983-01-01,1.15059379779295989
1983-04-01,-1.96124494213076006
1983-07-01,2.59138939051342998
1983-10-01,1.40267948659623998
1984-01-01,3.00218489370355002
1984-04-01,2.02602480596243995
1984-07-01,1.61909057336932993
1984-10-01,-0.07012621935044180
1985-01-01,0.69047312625120405
1985-04-01,2.54526276452186995
1985-07-01,0.49198001530758700
1985-10-01,1.95981407675347996
1986-01-01,2.33185763402708002
1986-04-01,0.32646495793238201
1986-07-01,2.66913897081240981
1986-10-01,0.67246911317761104
1987-01-01,1.02542419580952004
1987-04-01,1.47137204650382003
1987-07-01,2.61534322071520009
1987-10-01,1.25491231215549992
1988-01-01,0.64515491999762598
1988-04-01,2.35951617134819980
1988-07-01,0.43999573139677001
1988-10-01,3.53195244306271983
1989-01-01,2.26600566271511017
1989-04-01,1.37215139986799994
1989-07-01,1.59106921424505998
1989-10-01,1.00043599135606009
1990-01-01,2.75357277892551000
1990-04-01,2.07987729136513000
1990-07-01,1.51827727561810000
1990-10-01,-0.03672243569290310
1991-01-01,0.89860359223205000
1991-04-01,0.14226939737973701
1991-07-01,1.35246421925531002
1991-10-01,1.85203163226697010
1992-01-01,-0.06370526346469900
1992-04-01,1.20401697322321999
1992-07-01,1.39672993277494006
1992-10-01,1.32858371115865004
1993-01-01,0.54296501429243804
1993-04-01,1.33753782650472997
1993-07-01,-0.61493810361896195
1993-10-01,0.22839026872046600
1994-01-01,1.85095643122700992
1994-04-01,1.52753369882418011
1994-07-01,-1.74341444506248000
1994-10-01,0.54470498562769298
1995-01-01,1.56905178288285008
1995-04-01,-0.19544977081963799
1995-07-01,1.73313128147391993
1995-10-01,1.89382315420610992
1996-01-01,0.81230702892703499
1996-04-01,1.28293951352850999
1996-07-01,1.33466950719998989
1996-10-01,1.32598099043989004
1997-01-01,0.56805703632675697
1997-04-01,2.79110653790473018
1997-07-01,-0.19986222425901901
1997-10-01,0.15783892420703299
1998-01-01,0.25811208919671602
1998-04-01,0.99603090355023804
1998-07-01,2.04272886456847980
1998-10-01,0.30640360169834202
1999-01-01,0.43684485137425400
1999-04-01,1.43622151649383989
1999-07-01,0.04119054069065710
1999-10-01,1.68995365945138998
2000-01-01,1.47243502136166993
2000-04-01,-0.52803778644847599
2000-07-01,1.11152134336775998
2000-10-01,1.82850225160185009
2001-01-01,1.63529869724329990
2001-04-01,0.72268061732821798
2001-07-01,0.67339200043510095
2001-10-01,0.75437799984782306
2002-01-01,0.87427366072582502
2002-04-01,1.66727086591499996
2002-07-01,0.84367045266434404
2002-10-01,-0.29420911700497099
2003-01-01,0.59283555694530399
2003-04-01,1.99096062798776008
2003-07-01,0.86025110208491995
2003-10-01,1.54892060876415005
2004-01-01,1.39109181667270998
2004-04-01,0.71694183036645498
2004-07-01,1.88430057710496990
2004-10-01,0.69497191906804601
2005-01-01,0.78120968793724999
2005-04-01,0.05835439342699740
2005-07-01,1.60076199932439001
2005-10-01,0.84662117379331403
2006-01-01,1.55567315616753010
2006-04-01,0.34666906902947298
2006-07-01,0.80066899744979902
2006-10-01,2.96181547038800019
2007-01-01,1.34397100555119997
2007-04-01,1.88240954324909993
2007-07-01,0.92487992492802995
2007-10-01,0.80602047096140705
2008-01-01,0.90420359578094400
2008-04-01,2.12504851857540000
2008-07-01,-0.08379973742860890
2008-10-01,-0.01447065984265640
2009-01-01,-0.01264505242021870
2009-04-01,-0.45272769835205801
2009-07-01,1.39990244013752996
2009-10-01,0.96438958590097701
2010-01-01,1.09509077911135000
2010-04-01,2.56743244868750020
2010-07-01,1.36623373869533005
2010-10-01,1.49276479099164994
2011-01-01,1.35487047599719990
2011-04-01,1.44763705843931989
2011-07-01,1.05160686832802996
2011-10-01,0.85370578483406800
2012-01-01,1.88661963457298998
2012-04-01,-0.03776372111628820
2012-07-01,-0.85789109678521802
2012-10-01,0.94550503655119900
2013-01-01,0.39665489151358502
2013-04-01,0.42776810660294901
2013-07-01,0.69599994628305395
2013-10-01,1.59789623710726003
2014-01-01,0.50293834571857599
2014-04-01,0.41610808552694001
2014-07-01,0.38503551257447199
2014-10-01,0.55735913413193405
2015-01-01,-0.39189390416832398
2015-04-01,0.40792547232650400
2015-07-01,0.57293030954256496
2015-10-01,0.00731163038775890
2016-01-01,0.70153507054109299
2016-04-01,-0.41994206599221601
2016-07-01,0.64836077732323305
2016-10-01,-0.58123585991857096
2017-01-01,0.68066585409827396
2017-04-01,0.16106660972211401
2017-07-01,0.60233945096747299
2017-10-01,0.53171821170204003
2018-01-01,0.91229472964965996
2018-04-01,-0.20242713723379799
2018-07-01,0.81913178958063204
2018-10-01,0.74381845166634997
2019-01-01,1.42917164476248004
2019-04-01,0.22801175706378199
2019-07-01,0.72076214461332599
2019-10-01,0.90560909293011804
2020-01-01,0.50075085641659500
2020-04-01,3.18293788188374993
2020-07-01,0.08781220387805870
2020-10-01,-0.10289225382057600
2021-01-01,1.34278535434563007
2021-04-01,-0.01998510783073520
2021-07-01,1.39866750212133995
2021-10-01,1.88075017626751007
2022-01-01,-0.04948592699885000
2022-04-01,0.89006340452913002
2022-07-01,1.97055701353090007
2022-10-01,0.95683171246635201
2023-01-01,1.98933689752571996
2023-04-01,0.29871114008905197
2023-07-01,1.82887435837085999
