observation_date,BSCICP03NZM665S
1988-08-01,99.40559
1988-09-01,99.88783
1988-10-01,100.32450
1988-11-01,100.68340
1988-12-01,100.90770
1989-01-01,100.93750
1989-02-01,100.86650
1989-03-01,100.80400
1989-04-01,100.83700
1989-05-01,100.98440
1989-06-01,101.28240
1989-07-01,101.75520
1989-08-01,102.23550
1989-09-01,102.48420
1989-10-01,102.30240
1989-11-01,101.87530
1989-12-01,101.42010
1990-01-01,101.07860
1990-02-01,100.83870
1990-03-01,100.66510
1990-04-01,100.52920
1990-05-01,100.37180
1990-06-01,100.11590
1990-07-01,99.70075
1990-08-01,99.21499
1990-09-01,98.77214
1990-10-01,98.45756
1990-11-01,98.23219
1990-12-01,98.05965
1991-01-01,97.94417
1991-02-01,97.91573
1991-03-01,98.05906
1991-04-01,98.45572
1991-05-01,98.95432
1991-06-01,99.36449
1991-07-01,99.54890
1991-08-01,99.60379
1991-09-01,99.66692
1991-10-01,99.85530
1991-11-01,100.19450
1991-12-01,100.73590
1992-01-01,101.52310
1992-02-01,102.35660
1992-03-01,102.96490
1992-04-01,103.13100
1992-05-01,103.04270
1992-06-01,102.92500
1992-07-01,102.92670
1992-08-01,103.03620
1992-09-01,103.22160
1992-10-01,103.46120
1992-11-01,103.70040
1992-12-01,103.87130
1993-01-01,103.91370
1993-02-01,103.86380
1993-03-01,103.75120
1993-04-01,103.58760
1993-05-01,103.41870
1993-06-01,103.29930
1993-07-01,103.27500
1993-08-01,103.31310
1993-09-01,103.38340
1993-10-01,103.47520
1993-11-01,103.58340
1993-12-01,103.71200
1994-01-01,103.86200
1994-02-01,103.99860
1994-03-01,104.06360
1994-04-01,104.00070
1994-05-01,103.85260
1994-06-01,103.65390
1994-07-01,103.40870
1994-08-01,103.11890
1994-09-01,102.75870
1994-10-01,102.29410
1994-11-01,101.77280
1994-12-01,101.25080
1995-01-01,100.77640
1995-02-01,100.37500
1995-03-01,100.10050
1995-04-01,100.01540
1995-05-01,100.04190
1995-06-01,100.10650
1995-07-01,100.17200
1995-08-01,100.23210
1995-09-01,100.29160
1995-10-01,100.35230
1995-11-01,100.39970
1995-12-01,100.40220
1996-01-01,100.32350
1996-02-01,100.18070
1996-03-01,99.98417
1996-04-01,99.74222
1996-05-01,99.51954
1996-06-01,99.41147
1996-07-01,99.49912
1996-08-01,99.68998
1996-09-01,99.87174
1996-10-01,99.96310
1996-11-01,99.97353
1996-12-01,99.91379
1997-01-01,99.78743
1997-02-01,99.65234
1997-03-01,99.58530
1997-04-01,99.65529
1997-05-01,99.82876
1997-06-01,100.07110
1997-07-01,100.34470
1997-08-01,100.53820
1997-09-01,100.47380
1997-10-01,99.99452
1997-11-01,99.31030
1997-12-01,98.67696
1998-01-01,98.28106
1998-02-01,98.07349
1998-03-01,98.00430
1998-04-01,98.06927
1998-05-01,98.21799
1998-06-01,98.43414
1998-07-01,98.73183
1998-08-01,99.08471
1998-09-01,99.48289
1998-10-01,99.93465
1998-11-01,100.42290
1998-12-01,100.93690
1999-01-01,101.46770
1999-02-01,101.97760
1999-03-01,102.40110
1999-04-01,102.66710
1999-05-01,102.80740
1999-06-01,102.82510
1999-07-01,102.68890
1999-08-01,102.44970
1999-09-01,102.13610
1999-10-01,101.75180
1999-11-01,101.34840
1999-12-01,100.97960
2000-01-01,100.67400
2000-02-01,100.37470
2000-03-01,99.99742
2000-04-01,99.48408
2000-05-01,98.93334
