observation_date,BSCICP03CHM665S
1988-02-01,99.92466
1988-03-01,100.02760
1988-04-01,100.22960
1988-05-01,100.49180
1988-06-01,100.74610
1988-07-01,100.90680
1988-08-01,101.01330
1988-09-01,101.09260
1988-10-01,101.20820
1988-11-01,101.34590
1988-12-01,101.49300
1989-01-01,101.53400
1989-02-01,101.46550
1989-03-01,101.29790
1989-04-01,101.18230
1989-05-01,101.22810
1989-06-01,101.32550
1989-07-01,101.36910
1989-08-01,101.41530
1989-09-01,101.50530
1989-10-01,101.59140
1989-11-01,101.70700
1989-12-01,101.80750
1990-01-01,101.80870
1990-02-01,101.74380
1990-03-01,101.65840
1990-04-01,101.51740
1990-05-01,101.35040
1990-06-01,101.14400
1990-07-01,100.90640
1990-08-01,100.65100
1990-09-01,100.33810
1990-10-01,99.99043
1990-11-01,99.64170
1990-12-01,99.29710
1991-01-01,98.99912
1991-02-01,98.71262
1991-03-01,98.49010
1991-04-01,98.25594
1991-05-01,98.10611
1991-06-01,97.94003
1991-07-01,97.84252
1991-08-01,97.80844
1991-09-01,97.74961
1991-10-01,97.71327
1991-11-01,97.71769
1991-12-01,97.76189
1992-01-01,97.84174
1992-02-01,97.92575
1992-03-01,97.98258
1992-04-01,98.00032
1992-05-01,97.92968
1992-06-01,97.82191
1992-07-01,97.74905
1992-08-01,97.61292
1992-09-01,97.45045
1992-10-01,97.33868
1992-11-01,97.18791
1992-12-01,97.03004
1993-01-01,96.95391
1993-02-01,96.90652
1993-03-01,96.86419
1993-04-01,96.84589
1993-05-01,96.89638
1993-06-01,96.99796
1993-07-01,97.19413
1993-08-01,97.45037
1993-09-01,97.70881
1993-10-01,97.92233
1993-11-01,98.16076
1993-12-01,98.39292
1994-01-01,98.55220
1994-02-01,98.70508
1994-03-01,98.94990
1994-04-01,99.26221
1994-05-01,99.53212
1994-06-01,99.68582
1994-07-01,99.75237
1994-08-01,99.78234
1994-09-01,99.79832
1994-10-01,99.80981
1994-11-01,99.89234
1994-12-01,100.03430
1995-01-01,100.12090
1995-02-01,100.09870
1995-03-01,99.98316
1995-04-01,99.79139
1995-05-01,99.57534
1995-06-01,99.39143
1995-07-01,99.24974
1995-08-01,99.04019
1995-09-01,98.83212
1995-10-01,98.67651
1995-11-01,98.55684
1995-12-01,98.44080
1996-01-01,98.30765
1996-02-01,98.20134
1996-03-01,98.08248
1996-04-01,97.96863
1996-05-01,97.88790
1996-06-01,97.84890
1996-07-01,97.84210
1996-08-01,97.83566
1996-09-01,97.82279
1996-10-01,97.85739
1996-11-01,97.93915
1996-12-01,98.00556
1997-01-01,98.06646
1997-02-01,98.19820
1997-03-01,98.40781
1997-04-01,98.61324
1997-05-01,98.82580
1997-06-01,99.02722
1997-07-01,99.27054
1997-08-01,99.55285
1997-09-01,99.93568
1997-10-01,100.23950
1997-11-01,100.35920
1997-12-01,100.33930
1998-01-01,100.21390
1998-02-01,99.97822
1998-03-01,99.77589
1998-04-01,99.74505
1998-05-01,99.78918
1998-06-01,99.79329
1998-07-01,99.65169
1998-08-01,99.40952
1998-09-01,99.11880
1998-10-01,98.85287
1998-11-01,98.78351
1998-12-01,98.88818
1999-01-01,99.08623
1999-02-01,99.28454
1999-03-01,99.33307
1999-04-01,99.42522
