observation_date,ULQELP01JPQ661S
1980-01-01,57.5940063038154
1980-04-01,57.0864881764006
1980-07-01,57.9908782604176
1980-10-01,59.3301548416794
1981-01-01,59.5080817095060
1981-04-01,60.2110899108117
1981-07-01,59.9051259943774
1981-10-01,60.1987330553900
1982-01-01,60.9326817718546
1982-04-01,61.2275034592381
1982-07-01,61.5169274311708
1982-10-01,61.7825227009582
1983-01-01,61.4035346685111
1983-04-01,61.7536797268490
1983-07-01,62.6011908215358
1983-10-01,63.0311795980267
1984-01-01,63.9723733084406
1984-04-01,64.5727875093824
1984-07-01,65.1018838393020
1984-10-01,65.0193015722398
1985-01-01,66.5361606503378
1985-04-01,67.9029673032053
1985-07-01,68.6810706531930
1985-10-01,69.6653545214605
1986-01-01,69.4995515018182
1986-04-01,69.4000553650372
1986-07-01,69.4891775398901
1986-10-01,70.0014410481555
1987-01-01,69.9115241929821
1987-04-01,71.1221892028892
1987-07-01,72.1773248325216
1987-10-01,73.5925170848878
1988-01-01,75.1768785880876
1988-04-01,74.6296925966178
1988-07-01,76.1129995367714
1988-10-01,76.6266202074935
1989-01-01,78.3440205623319
1989-04-01,76.7353477807232
1989-07-01,77.6505785550132
1989-10-01,79.7495101763177
1990-01-01,78.9353926452054
1990-04-01,81.0723890636157
1990-07-01,82.0676028083414
1990-10-01,81.5427788964610
1991-01-01,81.7465049861761
1991-04-01,82.3391260563735
1991-07-01,81.8265692426334
1991-10-01,82.1952829218428
1992-01-01,81.7906431055016
1992-04-01,82.2773648134773
1992-07-01,82.2545714135056
1992-10-01,81.2750167450305
1993-01-01,82.5484483650498
1993-04-01,81.9451590756228
1993-07-01,81.2308199931648
1993-10-01,81.5277744391952
1994-01-01,82.2833969215902
1994-04-01,81.6467665142536
1994-07-01,82.8784232584902
1994-10-01,82.4841060530133
1995-01-01,83.2885243723224
1995-04-01,84.1246566137786
1995-07-01,84.9269545957825
1995-10-01,85.3859364019012
1996-01-01,86.0451926876663
1996-04-01,86.8251948372366
1996-07-01,86.4407704451645
1996-10-01,87.4982558023970
1997-01-01,87.1137388927454
1997-04-01,86.2392279892467
1997-07-01,86.5146492541872
1997-10-01,86.6897032703220
1998-01-01,85.6501749851455
1998-04-01,85.5857327312792
1998-07-01,86.0218502263185
1998-10-01,86.9894772181436
1999-01-01,86.0359715309487
1999-04-01,86.4324621856747
1999-07-01,86.8136052971107
1999-10-01,86.8840780885754
2000-01-01,88.7767991614600
2000-04-01,89.0740666157828
2000-07-01,89.0640029018491
2000-10-01,89.5386885200852
2001-01-01,90.3888823390306
2001-04-01,90.2633161855938
2001-07-01,89.6886099263359
2001-10-01,89.4158635806731
2002-01-01,89.8989112842130
2002-04-01,91.2575575439074
2002-07-01,91.4767901796044
2002-10-01,91.7716868233602
2003-01-01,91.9695703137082
2003-04-01,92.4355163044806
2003-07-01,92.7729151625830
2003-10-01,93.7952704431535
2004-01-01,94.3384857933186
2004-04-01,94.2842025312637
2004-07-01,94.8159921507210
2004-10-01,94.7669340378909
2005-01-01,95.0607130940333
2005-04-01,95.5474746359668
2005-07-01,96.2064502279643
2005-10-01,96.6350719905896
2006-01-01,96.5251226522869
2006-04-01,96.7120515186759
2006-07-01,96.1523398652749
2006-10-01,97.2215257456557
2007-01-01,97.9456994373006
2007-04-01,97.4746577933599
2007-07-01,97.1525101536601
2007-10-01,97.3923777313544
2008-01-01,98.1003627978249
2008-04-01,97.3575868858173
2008-07-01,96.5569183363691
2008-10-01,94.1759434948502
2009-01-01,90.1052218220541
2009-04-01,92.7058553846042
2009-07-01,92.8234893929704
2009-10-01,94.1289086329764
2010-01-01,94.8930008047120
2010-04-01,96.3297383263703
2010-07-01,97.6909087835447
2010-10-01,97.0170392889816
2011-01-01,95.8047328534992
2011-04-01,95.3999229456821
2011-07-01,97.7334764835854
2011-10-01,97.4499249983862
2012-01-01,99.0434169967866
2012-04-01,98.2054462063937
2012-07-01,97.6962029878146
2012-10-01,97.5972460134095
2013-01-01,98.6322571658380
2013-04-01,99.2994256558990
2013-07-01,100.1526295323910
2013-10-01,99.5047774184534
2014-01-01,100.4027934505260
2014-04-01,98.3021841866304
2014-07-01,98.3155400796188
2014-10-01,98.6185537608301
2015-01-01,100.0374445747670
2015-04-01,100.1933823363950
2015-07-01,100.0885951839640
2015-10-01,99.6805779048737
2016-01-01,100.0915319032440
2016-04-01,99.7463869346489
2016-07-01,99.4042726782448
2016-10-01,99.3929953849498
2017-01-01,100.1651492929950
2017-04-01,100.0296705281530
2017-07-01,100.3329985978060
2017-10-01,100.4460543661340
2018-01-01,99.3178197117078
2018-04-01,99.1224718883547
2018-07-01,98.5984228112029
2018-10-01,98.0450359051107
2019-01-01,98.1049548869452
2019-04-01,98.2614415671749
2019-07-01,98.1717361127670
2019-10-01,95.0694518172613
2020-01-01,95.7949963300795
2020-04-01,89.6437496559034
2020-07-01,94.3812127340080
2020-10-01,95.5609729698582
2021-01-01,95.6937288433446
2021-04-01,96.4283485026262
2021-07-01,95.8531860327112
2021-10-01,97.2617593280583
2022-01-01,96.4892740890516
2022-04-01,97.2478991571518
2022-07-01,97.0871748005666
2022-10-01,97.4293372194143
2023-01-01,98.5519012696032
2023-04-01,99.1935625106927
2023-07-01,98.3929537359770
