observation_date,CSCICP03CHM665S
1980-03-01,100.86740
1980-04-01,100.84640
1980-05-01,100.82210
1980-06-01,100.80750
1980-07-01,100.79890
1980-08-01,100.78750
1980-09-01,100.76400
1980-10-01,100.72720
1980-11-01,100.66650
1980-12-01,100.55830
1981-01-01,100.38660
1981-02-01,100.10960
1981-03-01,99.69068
1981-04-01,99.23315
1981-05-01,98.87490
1981-06-01,98.72054
1981-07-01,98.67467
1981-08-01,98.62023
1981-09-01,98.48825
1981-10-01,98.33627
1981-11-01,98.26620
1981-12-01,98.36208
1982-01-01,98.54611
1982-02-01,98.71565
1982-03-01,98.79198
1982-04-01,98.78368
1982-05-01,98.69614
1982-06-01,98.52570
1982-07-01,98.33292
1982-08-01,98.19025
1982-09-01,98.15192
1982-10-01,98.17376
1982-11-01,98.20953
1982-12-01,98.24712
1983-01-01,98.33076
1983-02-01,98.54820
1983-03-01,98.97179
1983-04-01,99.46584
1983-05-01,99.84669
1983-06-01,99.97250
1983-07-01,99.94605
1983-08-01,99.89655
1983-09-01,99.91367
1983-10-01,100.00460
1983-11-01,100.17040
1983-12-01,100.40830
1984-01-01,100.63940
1984-02-01,100.75690
1984-03-01,100.68080
1984-04-01,100.52700
1984-05-01,100.44810
1984-06-01,100.55230
1984-07-01,100.74770
1984-08-01,100.90840
1984-09-01,100.94860
1984-10-01,100.93280
1984-11-01,100.95640
1984-12-01,101.08240
1985-01-01,101.23920
1985-02-01,101.31540
1985-03-01,101.22510
1985-04-01,101.05210
1985-05-01,100.91220
1985-06-01,100.89650
1985-07-01,100.98280
1985-08-01,101.15390
1985-09-01,101.41430
1985-10-01,101.72150
1985-11-01,102.03700
1985-12-01,102.32950
1986-01-01,102.57060
1986-02-01,102.70360
1986-03-01,102.66380
1986-04-01,102.50720
1986-05-01,102.28190
1986-06-01,102.01790
1986-07-01,101.78410
1986-08-01,101.67620
1986-09-01,101.77330
1986-10-01,101.96950
1986-11-01,102.13420
1986-12-01,102.17400
1987-01-01,102.12560
1987-02-01,102.03620
1987-03-01,101.93320
1987-04-01,101.83320
1987-05-01,101.74720
1987-06-01,101.68060
1987-07-01,101.62090
1987-08-01,101.55230
1987-09-01,101.46380
1987-10-01,101.36590
1987-11-01,101.27300
1987-12-01,101.19480
1988-01-01,101.12290
1988-02-01,101.04930
1988-03-01,100.97980
1988-04-01,100.94760
1988-05-01,101.01590
1988-06-01,101.24210
1988-07-01,101.54270
1988-08-01,101.81920
1988-09-01,102.01020
1988-10-01,102.16740
1988-11-01,102.36590
1988-12-01,102.64750
1989-01-01,102.92360
1989-02-01,103.04340
1989-03-01,102.86780
1989-04-01,102.49920
1989-05-01,102.04750
1989-06-01,101.58880
1989-07-01,101.20720
1989-08-01,101.01830
1989-09-01,101.11560
1989-10-01,101.32440
1989-11-01,101.41930
1989-12-01,101.23090
1990-01-01,100.86640
1990-02-01,100.46490
1990-03-01,100.12820
1990-04-01,99.89024
1990-05-01,99.78797
1990-06-01,99.83450
1990-07-01,99.85627
1990-08-01,99.59863
1990-09-01,98.85614
1990-10-01,97.88239
1990-11-01,97.01107
1990-12-01,96.50847
1991-01-01,96.32336
1991-02-01,96.42683
1991-03-01,96.83451
1991-04-01,97.34028
1991-05-01,97.70529
1991-06-01,97.74879
1991-07-01,97.57984
1991-08-01,97.31770
1991-09-01,97.02480
1991-10-01,96.73289
1991-11-01,96.45974
1991-12-01,96.22500
1992-01-01,96.04720
1992-02-01,95.97321
