observation_date,ULQELP01ESQ659S
1996-01-01,1.69651360385428007
1996-04-01,1.87572724434011007
1996-07-01,1.11751063007344009
1996-10-01,0.12118613329397800
1997-01-01,-0.38323586028761503
1997-04-01,-0.47554710409579598
1997-07-01,0.03180537556720110
1997-10-01,0.67135832052199096
1998-01-01,0.42088479507595000
1998-04-01,0.31417944465086900
1998-07-01,-0.32337922500574801
1998-10-01,-0.34361876995612700
1999-01-01,-0.17177833405608101
1999-04-01,-0.36451642958715302
1999-07-01,0.15289769503274600
1999-10-01,0.14306250148227101
2000-01-01,0.25044952970802398
2000-04-01,0.28659400766345300
2000-07-01,0.34115948287081899
2000-10-01,0.19159795598289001
2001-01-01,0.43713441577597301
2001-04-01,0.65409531845683000
2001-07-01,0.88616577266728103
2001-10-01,0.77521980573374505
2002-01-01,0.50089709505555202
2002-04-01,0.32264433189312702
2002-07-01,0.03116009329875710
2002-10-01,0.12968480690279899
2003-01-01,0.32403989930535299
2003-04-01,-0.24023996748360099
2003-07-01,-0.39573088485244501
2003-10-01,-0.53582493312578305
2004-01-01,-1.05516166643398002
2004-04-01,-0.32594717015488700
2004-07-01,-0.19812021114604800
2004-10-01,-0.51280531858885103
2005-01-01,0.08252467541183940
2005-04-01,-0.47651344399711298
2005-07-01,-1.15533339620862008
2005-10-01,-0.60311300388915201
2006-01-01,-0.56652733376263698
2006-04-01,-0.11510965246062600
2006-07-01,0.37042679877067702
2006-10-01,0.30730439499063100
2007-01-01,0.00567149331186540
2007-04-01,0.30077859387537897
2007-07-01,0.55972266090972600
2007-10-01,0.61479380626068303
2008-01-01,-0.04575256064897490
2008-04-01,0.63212283337609398
2008-07-01,1.30578937056347999
2008-10-01,1.25587286894404992
2009-01-01,2.14629426305427007
2009-04-01,2.61510053468794990
2009-07-01,2.94944782044286979
2009-10-01,3.29154406292146984
2010-01-01,3.15611064364480010
2010-04-01,2.25169910610717006
2010-07-01,1.23923808020068993
2010-10-01,1.11445184646592010
2011-01-01,1.98677424237132993
2011-04-01,1.46629262226336010
2011-07-01,1.90357776444417004
2011-10-01,1.72847290753861005
2012-01-01,1.19613981814964010
2012-04-01,1.02169079922470996
2012-07-01,1.03044280769625995
2012-10-01,1.14082619506196004
2013-01-01,1.09232019865239005
2013-04-01,1.42364593869779998
2013-07-01,0.88303487395134705
2013-10-01,0.84154367191200796
2014-01-01,0.84653206402342795
2014-04-01,0.12233279388210901
2014-07-01,0.28321778223930999
2014-10-01,0.16337987520690800
2015-01-01,0.39779029978119101
2015-04-01,1.02053291100552990
2015-07-01,1.12987966389910000
2015-10-01,1.49489430876289009
2016-01-01,1.18747158582115997
2016-04-01,0.94992065085551103
2016-07-01,0.90558127610803996
2016-10-01,0.50710949634358005
2017-01-01,0.29918739478235501
2017-04-01,0.61165537238437995
2017-07-01,0.18423249706361799
2017-10-01,0.25373524489150900
2018-01-01,0.37078162095979000
2018-04-01,0.00209866856404010
2018-07-01,-0.01769773489334750
2018-10-01,-0.03149271400822760
2019-01-01,-0.60513768589778005
2019-04-01,-0.62579629261054304
2019-07-01,-0.40400026042656700
2019-10-01,-0.92143513810687605
2020-01-01,-4.76947903513736993
2020-04-01,-15.32828217456880004
2020-07-01,-4.38596789888235961
2020-10-01,-5.07218629356168993
2021-01-01,-1.01844430061251989
2021-04-01,14.31650612917450083
2021-07-01,1.16185244032455004
2021-10-01,3.17686472609769011
2022-01-01,3.03711370266599001
2022-04-01,3.69448125733276944
2022-07-01,3.17835673317840017
2022-10-01,2.18292351739155022
2023-01-01,1.56646861949305993
2023-04-01,-1.12628296756626001
2023-07-01,-1.53575537084521008
