observation_date,ULQELP01USQ659S
1960-01-01,2.8745642142234802
1960-04-01,0.0671929280862058
1960-07-01,0.7045904836326580
1960-10-01,-0.5128629999021890
1961-01-01,-1.4603184251275800
1961-04-01,2.2717334181662800
1961-07-01,3.5710401838785999
1961-10-01,6.1926609354775692
1962-01-01,6.5293258744343401
1962-04-01,5.1730997387228301
1962-07-01,4.0826739067562601
1962-10-01,2.7481273122683798
1963-01-01,2.4141458936170701
1963-04-01,2.1994747933545198
1963-07-01,3.1003783523708801
1963-10-01,3.1744558671798702
1964-01-01,3.9499583367287401
1964-04-01,3.4798704126768900
1964-07-01,3.2669905848213201
1964-10-01,2.9669775696618701
1965-01-01,3.1128867398976898
1965-04-01,3.4312509622598402
1965-07-01,3.5321929635720801
1965-10-01,5.2659957975407101
1966-01-01,5.4925586383527198
1966-04-01,4.9770946616049399
1966-07-01,3.5485200968629300
1966-10-01,1.9084591396036701
1967-01-01,0.9683709635852700
1967-04-01,0.6858110740274240
1967-07-01,0.5032852952614520
1967-10-01,0.5419781480505370
1968-01-01,1.7283506427611000
1968-04-01,2.8074572618226901
1968-07-01,3.4155272641842700
1968-10-01,3.1984574543739401
1969-01-01,1.6756069245036800
1969-04-01,0.8668261142048500
1969-07-01,0.2441634395242260
1969-10-01,-0.6527094044164000
1970-01-01,-1.7325564369177000
1970-04-01,-1.1516774270030099
1970-07-01,-0.1700764337394670
1970-10-01,-0.2532555120224950
1971-01-01,2.7793506243341302
1971-04-01,2.6816288677262099
1971-07-01,1.8458182123493601
1971-10-01,2.3028326429619499
1972-01-01,0.2923954242648480
1972-04-01,1.5053927657939099
1972-07-01,1.6216563775453201
1972-10-01,3.3202505203430799
1973-01-01,4.1892652453541999
1973-04-01,2.6555136817861400
1973-07-01,1.2351918566197200
1973-10-01,0.1229722653460250
1974-01-01,-2.6893450222221000
1974-04-01,-2.5484819069203302
1974-07-01,-2.6245498102757598
1974-10-01,-2.3447485122981799
1975-01-01,-0.7515012434584269
1975-04-01,-0.1069486027111020
1975-07-01,1.9025292150344200
1975-10-01,2.6630801405935198
1976-01-01,3.3347619064403999
1976-04-01,2.2677633206013801
1976-07-01,1.3946343164027200
1976-10-01,0.7323876165014320
1977-01-01,0.1724401964680810
1977-04-01,0.9660864874952050
1977-07-01,2.0546688811631300
1977-10-01,0.4500284228252330
1978-01-01,-0.5032709910157290
1978-04-01,1.4578281949126399
1978-07-01,0.8929020337492470
1978-10-01,2.5417201912055001
1979-01-01,2.4998316008468802
1979-04-01,0.0105546862096976
1979-07-01,-0.3436048619561930
1979-10-01,-0.9902269094962620
1980-01-01,-0.2145683243008850
1980-04-01,-1.3589970753155500
1980-07-01,-1.4828245503071300
1980-10-01,0.0999211720644546
1981-01-01,1.2182169474479001
1981-04-01,1.0815984474964799
1981-07-01,2.6821645368277198
1981-10-01,0.7147605866891720
1982-01-01,-1.6702864400627000
1982-04-01,0.0369261745673710
1982-07-01,-1.6371683179558900
1982-10-01,-0.4916180824709720
1983-01-01,2.0102002470794300
1983-04-01,3.0618290447280900
1983-07-01,3.5856746837060598
1983-10-01,4.2517554221248401
1984-01-01,3.8427335091171200
1984-04-01,2.7581243753632201
1984-07-01,3.0939612707855000
1984-10-01,2.2309937962267901
1985-01-01,1.6605313509252499
1985-04-01,1.9839318952339300
1985-07-01,2.4885105635336200
1985-10-01,2.1773808346941199
1986-01-01,2.1162025046594199
1986-04-01,1.4090272731603000
1986-07-01,0.5089235281246260
1986-10-01,0.6080323408076020
1987-01-01,0.4290261550727040
1987-04-01,0.6330284680368040
1987-07-01,0.6118156698530950
1987-10-01,1.6818568301871999
