observation_date,CPGRLE01JPM657N
1960-01-01,0.92972917316661896
1960-02-01,0.11063936990156099
1960-03-01,-0.26848005010084902
1960-04-01,0.78803619248099699
1960-05-01,0.75395432382553895
1960-06-01,-0.52828247139186302
1960-07-01,-0.04709278393108790
1960-08-01,0.81432137748283595
1960-09-01,0.50035781222030495
1960-10-01,0.60652682365558197
1960-11-01,-1.39639650175684005
1960-12-01,0.86416509806184505
1961-01-01,1.05394313904253001
1961-02-01,0.48955593689037202
1961-03-01,-0.24311857835833900
1961-04-01,1.36833732839509992
1961-05-01,-0.22842628259904699
1961-06-01,0.14917785191522601
1961-07-01,1.59619682105958005
1961-08-01,0.56570564019448699
1961-09-01,0.63439481991706204
1961-10-01,1.82640276605949992
1961-11-01,0.29101479624041998
1961-12-01,1.09581370289659996
1962-01-01,0.47748750128173501
1962-02-01,-0.42344774942948199
1962-03-01,0.32402002973705801
1962-04-01,0.99353659429717101
1962-05-01,0.76599152351911404
1962-06-01,-0.30642049017641099
1962-07-01,1.00232722862153989
1962-08-01,0.19059866009146401
1962-09-01,-0.26220386467509099
1962-10-01,0.71095963483421598
1962-11-01,-0.09147201777468721
1962-12-01,1.85358618473098002
1963-01-01,1.12306229710071004
1963-02-01,0.27925651892764802
1963-03-01,0.27847884858911498
1963-04-01,0.85373684939440997
1963-05-01,1.00489544017124999
1963-06-01,0.64740468740795998
1963-07-01,-0.55355332912788102
1963-08-01,-0.23320894634842401
1963-09-01,2.05899369049461001
1963-10-01,-0.54063162460981595
1963-11-01,-0.42697707100365401
1963-12-01,0.51895036589100196
1964-01-01,0.25439523205910097
1964-02-01,-0.16017199745131899
1964-03-01,0.25588499913653900
1964-04-01,1.61050745003436990
1964-05-01,0.42487167142049997
1964-06-01,-0.15008674640755801
1964-07-01,-0.39995150257398898
1964-08-01,0.82783314110862805
1964-09-01,1.45225728237976992
1964-10-01,1.37354155997224003
1964-11-01,-0.56850271119617102
1964-12-01,0.04880937936819000
1965-01-01,1.70252093273576000
1965-02-01,-0.18132624356739199
1965-03-01,0.46472993479786701
1965-04-01,2.07654974802162018
1965-05-01,-0.18370431255509301
1965-06-01,0.26603257598921498
1965-07-01,-0.37359986926404998
1965-08-01,0.35192083835670002
1965-09-01,1.24841975802739991
1965-10-01,1.47239919841618994
1965-11-01,-0.71239209472143805
1965-12-01,0.56119622468622299
1966-01-01,0.68079334071710995
1966-02-01,0.57653329145938603
1966-03-01,0.75061524631867704
1966-04-01,1.30205743798863005
1966-05-01,-0.20956726475335299
1966-06-01,0.28756599476352601
1966-07-01,0.32001984723465599
1966-08-01,-0.66425443656107597
1966-09-01,1.07963421802239989
1966-10-01,0.50076314175202497
1966-11-01,-0.55436981103899796
1966-12-01,0.90492040840812404
1967-01-01,0.82659714777765603
1967-02-01,0.24696649134077100
1967-03-01,0.23922648137497399
1967-04-01,0.68168405207899696
1967-05-01,-0.29697979403423302
1967-06-01,-0.25427355858341799
1967-07-01,-0.11630257088488501
1967-08-01,0.48201081638874899
1967-09-01,1.48630991581766003
1967-10-01,1.30696150686528001
1967-11-01,0.01051954191086000
1967-12-01,0.78297891443421996
1968-01-01,0.53270244590728399
1968-02-01,0.24566494980369399
1968-03-01,0.24368363107321400
1968-04-01,0.63708260464414002
1968-05-01,0.43053494907886503
1968-06-01,-0.51784123643015600
1968-07-01,0.00452566006026330
1968-08-01,0.66688679619106195
1968-09-01,1.94945308958884000
1968-10-01,0.10555078341579099
1968-11-01,0.42426078571398601
1968-12-01,-0.15857572443352400
1969-01-01,0.19586708543513301
1969-02-01,-0.08750666739931889
1969-03-01,0.71644925548352101
1969-04-01,1.30967433429364011
1969-05-01,0.38265321199014002
1969-06-01,0.05786962680352960
1969-07-01,1.03198734355547006
1969-08-01,0.73778230663865696
1969-09-01,0.74948007613072798
1969-10-01,0.64932918431324205
1969-11-01,-0.07710092019192839
1969-12-01,0.70172065998976296
1970-01-01,0.83401839396151400
1970-02-01,0.16733060579960901
1970-03-01,0.89661195333317201
1970-04-01,0.98452196531536096
1970-05-01,-0.14988681567439299
1970-06-01,0.40543395960628398
1970-07-01,0.15082096586799901
1970-08-01,-0.19262002635394501
1970-09-01,1.66455399163997009
1970-10-01,1.34133503606805005
1970-11-01,0.18859650990023999
1970-12-01,0.66373185572971505
1971-01-01,0.75855431451504696
1971-02-01,-0.09216782923812640
1971-03-01,0.53548589998953200
1971-04-01,1.37809069371683002
1971-05-01,0.75743861496941001
1971-06-01,0.29277614670656199
1971-07-01,0.25365003623571702
1971-08-01,-0.08853259258357379
1971-09-01,1.24705815404504006
1971-10-01,0.51347521147228403
1971-11-01,-0.13779826334248799
1971-12-01,0.04959583394998030
1972-01-01,0.07635571368605761
1972-02-01,0.71184328262812602
1972-03-01,0.68261686987843595
1972-04-01,1.18342729052665008
1972-05-01,0.54780546871046998
1972-06-01,0.65363020329137300
1972-07-01,0.21543598858190299
1972-08-01,-0.08790854440343600
1972-09-01,0.55173685686732998
1972-10-01,0.49024665176438897
1972-11-01,0.58139534883720101
1972-12-01,0.44949851994390499
1973-01-01,0.96572903886249695
1973-02-01,0.62436631478502203
1973-03-01,1.94519664971271000
1973-04-01,1.71258512053140999
1973-05-01,1.94811922361034995
1973-06-01,1.11086191670986989
1973-07-01,0.77391225990696699
1973-08-01,0.35389160393030800
1973-09-01,2.27144991706534016
1973-10-01,0.86554700694315201
1973-11-01,0.96376496227663100
1973-12-01,2.36453137133606983
1974-01-01,3.17717474461091998
1974-02-01,2.97403560368621989
1974-03-01,0.81385920538302503
1974-04-01,1.94439609380156009
1974-05-01,1.58466615443945003
1974-06-01,0.09244340377193820
1974-07-01,1.84368621433431001
1974-08-01,0.35563717616691898
1974-09-01,0.74642932008360796
1974-10-01,2.74962111520064978
1974-11-01,0.72134592860974400
1974-12-01,0.46785341679708398
1975-01-01,1.16391642733904010
1975-02-01,-0.11654949343741600
1975-03-01,0.55077692196523997
1975-04-01,2.20754194702328022
1975-05-01,0.82967453633535404
1975-06-01,0.42640343808758602
1975-07-01,0.11984271286867200
1975-08-01,-0.39916878366542602
1975-09-01,1.91744787301263009
1975-10-01,0.79860320352232494
1975-11-01,-0.00903736952297250
1975-12-01,0.29650272400895000
1976-01-01,1.97000683369589003
1976-02-01,0.46420742290008998
1976-03-01,0.45399900305921298
1976-04-01,2.41152003113524005
1976-05-01,0.93628866762938201
1976-06-01,0.55016165999161104
1976-07-01,0.12847995806264900
1976-08-01,-0.44477893108147598
1976-09-01,1.57412841882853005
1976-10-01,0.66773757381746301
1976-11-01,0.68856418639676698
1976-12-01,1.57521611335720002
1977-01-01,0.48602427651975000
1977-02-01,0.04624499571060160
1977-03-01,0.33562367274571903
1977-04-01,2.25871638854640011
1977-05-01,1.12976766962293995
1977-06-01,-0.07058833656866879
1977-07-01,0.01184481993725270
1977-08-01,-0.35637918745545899
1977-09-01,1.23676897077827008
1977-10-01,0.94159385733284495
1977-11-01,-0.37071342773520799
1977-12-01,-0.00912720565295940
1978-01-01,0.15432753950536099
1978-02-01,0.36031987927162901
1978-03-01,0.84730191783367803
1978-04-01,1.23849512580757004
1978-05-01,0.91781833526742895
1978-06-01,-0.03033619887428640
1978-07-01,0.24542871085340001
1978-08-01,-0.18367200842681000
1978-09-01,0.96902362007881004
1978-10-01,0.77484139901693205
1978-11-01,-0.28213885823377399
1978-12-01,0.13349139576257199
1979-01-01,-0.11253993352478600
1979-02-01,-0.20473846377500701
1979-03-01,0.71926871312606100
1979-04-01,0.89813923870097301
1979-05-01,0.80095086784611902
1979-06-01,0.07169648094711301
1979-07-01,0.39000205264236898
1979-08-01,-1.09664988990248990
1979-09-01,1.36682953592202994
1979-10-01,0.82735548243117396
1979-11-01,-0.06009837462097980
1979-12-01,0.26797807912069899
1980-01-01,0.64243776990631596
1980-02-01,0.11031077940739700
1980-03-01,0.57521859655136898
1980-04-01,1.01093100271408010
1980-05-01,1.43902489898003005
1980-06-01,0.77332884701661098
1980-07-01,0.06510887651015830
1980-08-01,-0.57558837923213102
1980-09-01,1.55982272538282007
1980-10-01,0.39727634388270600
1980-11-01,0.36388704507261799
1980-12-01,-0.18091946442007201
1981-01-01,0.40192016354243099
1981-02-01,-0.29759740543055402
1981-03-01,0.30231476838641402
1981-04-01,1.02219079319313999
1981-05-01,1.31002166574292001
1981-06-01,0.18810080355814701
1981-07-01,-0.23224685535986000
1981-08-01,-0.80835902584653896
1981-09-01,1.56486252140828008
1981-10-01,0.44449853685898000
1981-11-01,0.13153019311580499
1981-12-01,0.06103121711681010
1982-01-01,-0.27342134228845699
1982-02-01,-0.19156818772982101
1982-03-01,0.08857224360714440
1982-04-01,0.85643762062347495
1982-05-01,0.90603189776527104
1982-06-01,0.20519894963030699
1982-07-01,-0.40455447252653398
1982-08-01,-0.29412528905864899
1982-09-01,1.44907897228496996
1982-10-01,0.56152260132746801
1982-11-01,-0.34671430298675998
1982-12-01,0.05382857904514410
1983-01-01,-0.33919379135311301
1983-02-01,-0.53605703317794495
1983-03-01,0.51103392190105201
1983-04-01,0.72528361657852003
1983-05-01,1.23947180767507992
1983-06-01,-0.05765946287603350
1983-07-01,-0.45565481246498701
1983-08-01,-0.71170288263324999
1983-09-01,1.51019046711410998
1983-10-01,0.71385222018437899
1983-11-01,-0.02846489329827670
1983-12-01,-0.08009071397292990
1984-01-01,-0.25762888109740900
1984-02-01,-0.03525232982816120
1984-03-01,0.20356625346170801
1984-04-01,0.61029206953893300
1984-05-01,1.38343655919682007
1984-06-01,-0.32065904345166202
1984-07-01,0.02608301946218320
1984-08-01,-0.95333996992213599
1984-09-01,1.35394692832708996
1984-10-01,0.87744949886867196
1984-11-01,-0.13052927515767099
1984-12-01,0.15567230978788901
1985-01-01,0.05456252833365760
1985-02-01,-0.43723310090827600
1985-03-01,0.47052131160861999
1985-04-01,0.69285148098418803
1985-05-01,0.32709296926837300
1985-06-01,0.07590205752224020
