observation_date,CSCICP03AUM665S
2002-05-01,101.18520
2002-06-01,101.02990
2002-07-01,100.85150
2002-08-01,100.66190
2002-09-01,100.52920
2002-10-01,100.43520
2002-11-01,100.51860
2002-12-01,100.61540
2003-01-01,100.61820
2003-02-01,100.37990
2003-03-01,100.37520
2003-04-01,100.72060
2003-05-01,101.06800
2003-06-01,101.36710
2003-07-01,101.51860
2003-08-01,101.51800
2003-09-01,101.52560
2003-10-01,101.53480
2003-11-01,101.47530
2003-12-01,101.53650
2004-01-01,101.78350
2004-02-01,101.87420
2004-03-01,101.80990
2004-04-01,101.73350
2004-05-01,101.66130
2004-06-01,101.67060
2004-07-01,101.86090
2004-08-01,102.01230
2004-09-01,102.05980
2004-10-01,102.05260
2004-11-01,102.10710
2004-12-01,102.19210
2005-01-01,102.29570
2005-02-01,101.89770
2005-03-01,101.19530
2005-04-01,100.94700
2005-05-01,101.07000
2005-06-01,101.11000
2005-07-01,101.00430
2005-08-01,100.82100
2005-09-01,100.30970
2005-10-01,100.08290
2005-11-01,100.24280
2005-12-01,100.49810
2006-01-01,100.89030
2006-02-01,101.09470
2006-03-01,101.13710
2006-04-01,100.96670
2006-05-01,100.63650
2006-06-01,100.36190
2006-07-01,100.07580
2006-08-01,99.70290
2006-09-01,99.77854
2006-10-01,99.93781
2006-11-01,100.05870
2006-12-01,100.54610
2007-01-01,101.10300
2007-02-01,101.46150
2007-03-01,101.71280
2007-04-01,101.94840
2007-05-01,102.23070
2007-06-01,102.24630
2007-07-01,102.02090
2007-08-01,101.68210
2007-09-01,101.57430
2007-10-01,101.48940
2007-11-01,101.32820
2007-12-01,101.07490
2008-01-01,100.51530
2008-02-01,99.71082
2008-03-01,99.00521
2008-04-01,98.60944
2008-05-01,98.42121
2008-06-01,98.19904
2008-07-01,98.08292
2008-08-01,98.26250
2008-09-01,98.42837
2008-10-01,98.36809
2008-11-01,98.46513
2008-12-01,98.65118
2009-01-01,98.64146
2009-02-01,98.52431
2009-03-01,98.54926
2009-04-01,98.80106
2009-05-01,99.17466
2009-06-01,99.89902
2009-07-01,100.72030
2009-08-01,101.39650
2009-09-01,101.87280
2009-10-01,102.04940
2009-11-01,101.96930
2009-12-01,101.86360
2010-01-01,101.89910
2010-02-01,101.84110
2010-03-01,101.68230
2010-04-01,101.36870
2010-05-01,100.95820
2010-06-01,100.82350
2010-07-01,101.17630
2010-08-01,101.53710
2010-09-01,101.60110
2010-10-01,101.54230
2010-11-01,101.28490
2010-12-01,101.00490
2011-01-01,100.72300
2011-02-01,100.58460
2011-03-01,100.47670
2011-04-01,100.38790
2011-05-01,100.18400
2011-06-01,99.80777
2011-07-01,99.37168
2011-08-01,99.20200
2011-09-01,99.38837
2011-10-01,99.62115
2011-11-01,99.78056
2011-12-01,99.70399
2012-01-01,99.69137
2012-02-01,99.69532
2012-03-01,99.55537
2012-04-01,99.43723
2012-05-01,99.41872
2012-06-01,99.49712
2012-07-01,99.60764
2012-08-01,99.65589
2012-09-01,99.73975
2012-10-01,99.87944
2012-11-01,100.04460
2012-12-01,100.12520
2013-01-01,100.32060
2013-02-01,100.61570
2013-03-01,100.69630
2013-04-01,100.42980
2013-05-01,100.11640
2013-06-01,100.09160
2013-07-01,100.26340
2013-08-01,100.58050
2013-09-01,100.86040
2013-10-01,100.91570
2013-11-01,100.82810
2013-12-01,100.56050
2014-01-01,100.26680
2014-02-01,100.00460
2014-03-01,99.80804
2014-04-01,99.61749
2014-05-01,99.36501
2014-06-01,99.27589
2014-07-01,99.34550
2014-08-01,99.42841
2014-09-01,99.39036
2014-10-01,99.35777
2014-11-01,99.31260
2014-12-01,99.23570
2015-01-01,99.37363
2015-02-01,99.65068
2015-03-01,99.75266
2015-04-01,99.73615
2015-05-01,99.70496
2015-06-01,99.49422
2015-07-01,99.36641
2015-08-01,99.44645
2015-09-01,99.51714
2015-10-01,99.71473
2015-11-01,99.90419
2015-12-01,99.92487
2016-01-01,99.84422
2016-02-01,99.82626
2016-03-01,99.76911
2016-04-01,99.76615
2016-05-01,99.94147
2016-06-01,100.00980
2016-07-01,99.98727
2016-08-01,100.01280
2016-09-01,100.03780
2016-10-01,100.02230
2016-11-01,99.91005
2016-12-01,99.75493
2017-01-01,99.72215
2017-02-01,99.80030
2017-03-01,99.83413
2017-04-01,99.77876
2017-05-01,99.66586
2017-06-01,99.54825
2017-07-01,99.50196
2017-08-01,99.52227
2017-09-01,99.68078
2017-10-01,99.88349
2017-11-01,100.04470
2017-12-01,100.21690
2018-01-01,100.31810
2018-02-01,100.29290
2018-03-01,100.23250
2018-04-01,100.17800
2018-05-01,100.18130
2018-06-01,100.24840
2018-07-01,100.33640
2018-08-01,100.28610
2018-09-01,100.17760
2018-10-01,100.15860
2018-11-01,100.22090
2018-12-01,100.21910
2019-01-01,100.14060
2019-02-01,100.10780
2019-03-01,100.01310
2019-04-01,99.99491
2019-05-01,99.97832
2019-06-01,99.91508
2019-07-01,99.80012
2019-08-01,99.73470
2019-09-01,99.59831
2019-10-01,99.44639
2019-11-01,99.42518
2019-12-01,99.36959
2020-01-01,99.26766
2020-02-01,99.09453
2020-03-01,98.69274
2020-04-01,98.27782
2020-05-01,98.39682
2020-06-01,98.57047
2020-07-01,98.50377
2020-08-01,98.57712
2020-09-01,99.24825
2020-10-01,100.09240
2020-11-01,100.68250
2020-12-01,100.96390
2021-01-01,100.99610
2021-02-01,101.11540
2021-03-01,101.34820
2021-04-01,101.51340
2021-05-01,101.32200
2021-06-01,100.98780
2021-07-01,100.75330
2021-08-01,100.55970
2021-09-01,100.50250
2021-10-01,100.47180
2021-11-01,100.43050
2021-12-01,100.33430
2022-01-01,100.17300
2022-02-01,99.95624
2022-03-01,99.65270
2022-04-01,99.29642
2022-05-01,98.84701
2022-06-01,98.43509
2022-07-01,98.14702
2022-08-01,97.99352
2022-09-01,97.97617
2022-10-01,97.90852
2022-11-01,97.76584
2022-12-01,97.75276
2023-01-01,97.78116
2023-02-01,97.70483
2023-03-01,97.73429
2023-04-01,97.84834
2023-05-01,97.76451
2023-06-01,97.71156
2023-07-01,97.73755
2023-08-01,97.76289
2023-09-01,97.77592
2023-10-01,97.80756
2023-11-01,97.80751
2023-12-01,97.83418
2024-01-01,97.83317
