observation_date,ULQEUL01ESQ661S
1995-01-01,70.9810730939480
1995-04-01,71.3178332342480
1995-07-01,71.5759236780876
1995-10-01,71.6974481630994
1996-01-01,72.2450189837506
1996-04-01,72.7716576465066
1996-07-01,73.4278473761656
1996-10-01,74.2322485666298
1997-01-01,74.6514643371502
1997-04-01,75.1754763170908
1997-07-01,75.5901409082751
1997-10-01,75.8292995845261
1998-01-01,76.3500209283261
1998-04-01,76.8203888878548
1998-07-01,77.4209710151446
1998-10-01,77.5993843296010
1999-01-01,78.0488424884523
1999-04-01,78.2911796338264
1999-07-01,78.7055528994949
1999-10-01,79.3946089088204
2000-01-01,80.2099414674474
2000-04-01,80.6359836118589
2000-07-01,81.2175204757156
2000-10-01,81.3427301552046
2001-01-01,82.0895991129392
2001-04-01,82.1901409862534
2001-07-01,82.7106023034445
2001-10-01,83.3110189670510
2002-01-01,84.3113104105345
2002-04-01,85.0532892896578
2002-07-01,85.5501224877039
2002-10-01,86.0744707099175
2003-01-01,86.0876480508043
2003-04-01,86.6740556876779
2003-07-01,87.4146756205000
2003-10-01,88.2279900488551
2004-01-01,89.2360727134524
2004-04-01,89.4974914767021
2004-07-01,89.9525932850212
2004-10-01,91.0571635248306
2005-01-01,91.1424988645873
2005-04-01,92.4336771346415
2005-07-01,93.1332069273341
2005-10-01,94.0405985085806
2006-01-01,94.6222308024993
2006-04-01,95.6032782746289
2006-07-01,96.2731806679141
2006-10-01,97.1675356639166
2007-01-01,97.8578295242486
2007-04-01,98.8052906272588
2007-07-01,99.8368479624780
2007-10-01,101.1294556614950
2008-01-01,104.2900663380730
2008-04-01,104.8447366320060
2008-07-01,105.8984440538310
2008-10-01,106.3307815508730
2009-01-01,107.5334813446460
2009-04-01,106.4079545410900
2009-07-01,106.2270708784180
2009-10-01,106.0538865002570
2010-01-01,106.1828162177140
2010-04-01,105.9849228844580
2010-07-01,105.2964192418680
2010-10-01,105.1344498653280
2011-01-01,104.3734937440130
2011-04-01,104.1007160259190
2011-07-01,103.4703436986700
2011-10-01,103.4367260476400
2012-01-01,102.8734486101920
2012-04-01,102.1856827109760
2012-07-01,101.4712256620900
2012-10-01,98.2334757082819
2013-01-01,101.1123421066050
2013-04-01,100.0399081096260
2013-07-01,100.0809157595360
2013-10-01,99.7706680718306
2014-01-01,99.6911984537666
2014-04-01,100.2639867403420
2014-07-01,100.2474513112580
2014-10-01,99.9442368015267
2015-01-01,100.3093285851090
2015-04-01,100.2374962675210
2015-07-01,99.6928569876976
2015-10-01,99.7603181596721
2016-01-01,98.8660105850207
2016-04-01,99.2055540694282
2016-07-01,98.8709962679492
2016-10-01,99.2994959696891
2017-01-01,99.4268268146877
2017-04-01,99.2217612810902
2017-07-01,99.3928981188009
2017-10-01,99.6954269757816
2018-01-01,99.9871155186924
2018-04-01,100.4615524821460
2018-07-01,101.5739452664540
2018-10-01,102.0860223511420
2019-01-01,103.6989580850760
2019-04-01,104.8599881579410
2019-07-01,105.1804761775460
2019-10-01,105.6775401942130
2020-01-01,111.4540023836480
2020-04-01,119.0260402470840
2020-07-01,113.8341201771800
2020-10-01,114.4873944418220
2021-01-01,116.6102123250130
2021-04-01,112.5413717263990
2021-07-01,116.1088286818440
2021-10-01,114.6928943420110
2022-01-01,116.4439095409080
2022-04-01,113.2345773255200
2022-07-01,117.3769201842230
2022-10-01,117.6421081872330
2023-01-01,121.4994845832620
2023-04-01,120.6195216784600
2023-07-01,124.4681905820200
