observation_date,MABMM301NZM657S
1991-05-01,0.5789586204
1991-06-01,1.5434049338
1991-07-01,0.3450137255
1991-08-01,-0.7549535467
1991-09-01,0.1976694463
1991-10-01,1.1831819976
1991-11-01,0.5240651962
1991-12-01,0.4489350833
1992-01-01,1.7814837986
1992-02-01,1.5935795916
1992-03-01,1.7227401127
1992-04-01,0.6742978980
1992-05-01,-0.6096021137
1992-06-01,-0.7386534262
1992-07-01,-0.1110334444
1992-08-01,0.4495311436
1992-09-01,0.3457778464
1992-10-01,0.4788814609
1992-11-01,0.8917369224
1992-12-01,-0.0142708270
1993-01-01,-0.6048093691
1993-02-01,0.3485550926
1993-03-01,-0.0217686999
1993-04-01,0.4197007114
1993-05-01,1.2243212073
1993-06-01,0.9574196087
1993-07-01,2.3764905240
1993-08-01,1.4504984261
1993-09-01,-0.6008737253
1993-10-01,0.1019873046
1993-11-01,0.6523029665
1993-12-01,0.6666508004
1994-01-01,-1.0320484897
1994-02-01,0.0161944401
1994-03-01,2.9709932370
1994-04-01,1.0442124292
1994-05-01,-0.1511110444
1994-06-01,0.6660971777
1994-07-01,0.5073940642
1994-08-01,0.4632041164
1994-09-01,0.4805386952
1994-10-01,0.4868639461
1994-11-01,0.6187693071
1994-12-01,1.4638423399
1995-01-01,1.6525914691
1995-02-01,1.5401183755
1995-03-01,1.0997236784
1995-04-01,0.5158429276
1995-05-01,0.5346534712
1995-06-01,0.5977534585
1995-07-01,0.3322831589
1995-08-01,0.4540930853
1995-09-01,1.3108985651
1995-10-01,1.4222322377
1995-11-01,1.4755391591
1995-12-01,1.0873049034
1996-01-01,0.3548209961
1996-02-01,0.5572187438
1996-03-01,1.1866422149
1996-04-01,1.3067746337
1996-05-01,2.3477687646
1996-06-01,2.0363585560
1996-07-01,0.1238312387
1996-08-01,-0.0460675510
1996-09-01,0.6018441659
1996-10-01,2.4390114298
1996-11-01,0.9353894246
1996-12-01,-1.0752085518
1997-01-01,0.3802350161
1997-02-01,0.4319512339
1997-03-01,0.1154855132
1997-04-01,1.0298210275
1997-05-01,0.7235752406
1997-06-01,0.0599097627
1997-07-01,0.7139600032
1997-08-01,1.5617146617
1997-09-01,1.8617348972
1997-10-01,0.1083933720
1997-11-01,-0.5057905182
1997-12-01,0.4051157482
1998-01-01,1.2309753325
1998-02-01,0.5693507790
1998-03-01,-0.2032801130
1998-04-01,0.2059876258
1998-05-01,0.2424921385
1998-06-01,0.4198536469
1998-07-01,0.0234839134
1998-08-01,-0.6519424399
1998-09-01,-0.9248385623
1998-10-01,0.0808061208
1998-11-01,1.2116490202
1998-12-01,-0.1863510558
1999-01-01,0.1396410137
1999-02-01,2.2409912474
1999-03-01,0.4943024414
1999-04-01,-1.1464106982
1999-05-01,-1.3726921104
1999-06-01,0.0400270861
1999-07-01,1.8855497997
1999-08-01,1.2238851058
1999-09-01,0.4981751912
1999-10-01,0.0884783265
1999-11-01,-0.2676226418
1999-12-01,0.4193350663
2000-01-01,0.1401854021
2000-02-01,-0.0245321016
2000-03-01,-0.1277148072
2000-04-01,-0.0524347613
2000-05-01,0.6993970753
2000-06-01,-0.2417127350
2000-07-01,0.0954827009
2000-08-01,0.8385445143
2000-09-01,0.7671749656
2000-10-01,0.3655687771
2000-11-01,-0.2538356136
2000-12-01,0.2218826990
2001-01-01,0.5851659229
2001-02-01,0.4709222433
2001-03-01,1.1095745442
2001-04-01,1.0437287949
2001-05-01,0.6123329981
2001-06-01,0.6640740663
2001-07-01,0.6230868518
2001-08-01,0.4721122978
2001-09-01,1.1397971249
2001-10-01,1.0561446679
2001-11-01,-0.5903620664
2001-12-01,-0.5150133914
2002-01-01,0.4400654200
2002-02-01,0.5828818690
