observation_date,EA19PIEAMP01GYM
2001-01-01,3.2727272727272751
2001-02-01,3.0156815440289528
2001-03-01,2.5210084033613600
2001-04-01,2.6378896882493894
2001-05-01,2.2646007151370564
2001-06-01,2.1403091557669591
2001-07-01,1.4218009478672866
2001-08-01,0.9456264775413852
2001-09-01,-0.1170960187353760
2001-10-01,-0.8168028004667580
2001-11-01,-1.1668611435239216
2001-12-01,-0.8206330597889808
2002-01-01,-0.4694835680751307
2002-02-01,-0.7025761124121915
2002-03-01,-0.3512880562061022
2002-04-01,-0.1168224299065421
2002-05-01,-0.4662004662004537
2002-06-01,-0.8149010477299191
2002-07-01,-0.3504672897196265
2002-08-01,-0.1170960187353760
2002-09-01,0.3516998827667060
2002-10-01,0.8235294117647197
2002-11-01,0.7083825265643322
2002-12-01,1.0638297872340434
2003-01-01,0.9433962264150952
2003-02-01,1.1792452830188691
2003-03-01,0.9400705052879104
2003-04-01,-0.1169590643274725
2003-05-01,-0.5854800936768154
2003-06-01,-0.5868544600938972
2003-07-01,-0.5861664712778435
2003-08-01,-0.4689331770222617
2003-09-01,-0.7009345794392530
2003-10-01,-0.8168028004667580
2003-11-01,-0.2344665885111373
2003-12-01,-0.7017543859648999
2004-01-01,-0.7009345794392530
2004-02-01,-0.8158508158508165
2004-03-01,-0.1164144353900013
2004-04-01,1.0538641686182548
2004-05-01,2.2379269729092939
2004-06-01,2.4793388429751952
2004-07-01,2.7122641509433993
2004-08-01,3.0624263839811441
2004-09-01,3.2941176470588265
2004-10-01,4.0000000000000169
2004-11-01,3.4077555816686278
2004-12-01,3.2979976442873866
2005-01-01,3.5294117647058858
2005-02-01,3.6427732079906026
2005-03-01,3.2634032634032661
2005-04-01,3.0127462340672233
2005-05-01,2.1889400921659008
2005-06-01,2.6497695852534582
2005-07-01,2.5258323765786481
2005-08-01,2.5142857142857165
2005-09-01,2.7334851936218705
2005-10-01,2.2624434389140164
2005-11-01,2.3863636363636260
2005-12-01,2.7366020524515293
2006-01-01,2.7272727272727297
2006-02-01,2.9478458049886647
2006-03-01,2.8216704288938952
2006-04-01,3.1496062992125884
2006-05-01,3.7204058624577265
2006-06-01,3.4792368125701487
2006-07-01,3.8073908174692082
2006-08-01,3.3444816053511737
2006-09-01,2.1064301552106324
2006-10-01,1.9911504424778776
2006-11-01,2.1087680355161078
2006-12-01,2.1087680355161078
2007-01-01,1.8805309734513167
2007-02-01,1.7621145374449354
2007-03-01,1.8660812294182241
2007-04-01,1.8538713195201759
2007-05-01,1.9565217391304244
2007-06-01,1.9522776572668128
2007-07-01,1.6181229773462795
2007-08-01,1.7259978425026865
2007-09-01,2.6058631921824249
2007-10-01,2.8199566160520511
2007-11-01,3.6956521739130470
2007-12-01,3.5869565217391206
2008-01-01,3.9087947882736320
2008-02-01,4.1125541125541156
2008-03-01,4.0948275862069003
2008-04-01,3.8543897216273999
2008-05-01,4.5842217484008572
2008-06-01,5.2127659574468126
2008-07-01,5.7324840764331135
2008-08-01,5.1961823966065914
2008-09-01,4.7619047619047539
2008-10-01,3.2700421940928419
2008-11-01,0.4192872117400306
2008-12-01,-1.4690451206715531
2009-01-01,-2.5078369905956248
2009-02-01,-3.2224532224532365
2009-03-01,-4.1407867494824044
2009-04-01,-4.5360824742268084
2009-05-01,-5.5045871559632964
2009-06-01,-5.8645096056623025
2009-07-01,-6.7269076305220832
2009-08-01,-5.7459677419354884
2009-09-01,-5.8585858585858519
2009-10-01,-4.8008171603677274
2009-11-01,-2.4008350730688841
2009-12-01,-0.4259850905218321
2010-01-01,0.9646302250803986
2010-02-01,1.3963480128893797
2010-03-01,2.5917926565874878
2010-04-01,3.4557235421166341
2010-05-01,3.8834951456310591
2010-06-01,3.7593984962406046
2010-07-01,3.8751345532830914
2010-08-01,3.4224598930481318
2010-09-01,4.0772532188841124
2010-10-01,4.0772532188841124
2010-11-01,4.0641711229946438
2010-12-01,4.9197860962566766
2011-01-01,5.2016985138004168
2011-02-01,5.6144067796610093
2011-03-01,5.7894736842105319
2011-04-01,5.4279749478079395
2011-05-01,4.8805815160955399
2011-06-01,4.4513457556935965
2011-07-01,4.8704663212435282
2011-08-01,4.4467425025853071
2011-09-01,4.3298969072164990
2011-10-01,4.2268041237113323
2011-11-01,4.0082219938335086
2011-12-01,3.1600407747196768
2012-01-01,2.7245206861755822
2012-02-01,2.5075225677031114
2012-03-01,2.1890547263681608
2012-04-01,1.7821782178217838
2012-05-01,1.4851485148514754
2012-06-01,1.0901883052527153
2012-07-01,1.0869565217391204
2012-08-01,1.9801980198019820
2012-09-01,1.8774703557312160
2012-10-01,1.7804154302670860
2012-11-01,1.4822134387351902
2012-12-01,1.1857707509881434
2013-01-01,0.6876227897838797
2013-02-01,0.5870841487279849
2013-03-01,0.0000000000000000
2013-04-01,-0.5836575875486386
2013-05-01,-0.3902439024390248
2013-06-01,-0.0980392156862637
2013-07-01,-0.1955034213098731
2013-08-01,-0.7766990291262142
2013-09-01,-0.9699321047526682
2013-10-01,-1.0689990281827133
2013-11-01,-1.0710808179162723
2013-12-01,-0.7812500000000007
2014-01-01,-0.9756097560975404
2014-02-01,-1.2645914396887064
2014-03-01,-1.3631937682570821
2014-04-01,-0.7827788649706465
2014-05-01,-0.5876591576885195
2014-06-01,-0.1962708537782140
2014-07-01,-0.3917727717923390
2014-08-01,-0.5870841487279849
2014-09-01,-0.5876591576885195
2014-10-01,-0.5893909626719062
2014-11-01,-0.7874015748031503
2014-12-01,-1.8700787401574817
2015-01-01,-2.2660098522167504
2015-02-01,-1.4778325123152829
2015-03-01,-0.6910167818361200
2015-04-01,-0.3944773175542410
2015-05-01,-0.3940886699507611
2015-06-01,-0.6882989183874254
2015-07-01,-0.8849557522124010
2015-08-01,-1.6732283464566835
2015-09-01,-1.9704433497537073
2015-10-01,-2.0750988142292512
2015-11-01,-1.4880952380952397
2015-12-01,-1.2036108324974937
2016-01-01,-1.3104838709677429
2016-02-01,-2.5000000000000022
2016-03-01,-2.7833001988071602
2016-04-01,-3.0693069306930609
2016-05-01,-2.6706231454005742
2016-06-01,-2.1782178217821802
2016-07-01,-1.9841269841269860
2016-08-01,-1.2012012012012021
2016-09-01,-0.7035175879396991
2016-10-01,0.2018163471241172
2016-11-01,0.2014098690835852
2016-12-01,1.9289340101522860
2017-01-01,3.0643513789581234
2017-02-01,3.7948717948717983
2017-03-01,3.5787321063394604
2017-04-01,3.7793667007150074
2017-05-01,2.9471544715446951
2017-06-01,2.0242914979757103
2017-07-01,2.0242914979757103
2017-08-01,2.2289766970618050
2017-09-01,2.4291497975708523
2017-10-01,1.8126888217522563
2017-11-01,2.1105527638190966
2017-12-01,1.3944223107569731
2018-01-01,1.2884043607532110
2018-02-01,0.7905138339920955
2018-03-01,0.7897334649555783
2018-04-01,0.8858267716535332
