observation_date,BSCICP03USM665S
1950-01-01,101.11950
1950-02-01,101.66620
1950-03-01,102.39500
1950-04-01,103.43340
1950-05-01,104.48010
1950-06-01,105.09590
1950-07-01,105.11920
1950-08-01,104.47060
1950-09-01,103.32980
1950-10-01,102.40690
1950-11-01,102.37740
1950-12-01,102.83400
1951-01-01,103.17970
1951-02-01,103.05710
1951-03-01,102.15810
1951-04-01,100.67920
1951-05-01,99.37759
1951-06-01,98.39269
1951-07-01,97.92680
1951-08-01,98.07825
1951-09-01,98.55399
1951-10-01,98.85043
1951-11-01,98.77472
1951-12-01,98.48049
1952-01-01,98.01196
1952-02-01,97.44305
1952-03-01,96.94714
1952-04-01,96.72358
1952-05-01,97.09476
1952-06-01,97.99860
1952-07-01,99.23777
1952-08-01,100.41750
1952-09-01,100.81450
1952-10-01,100.87700
1952-11-01,100.87630
1952-12-01,100.86540
1953-01-01,100.81310
1953-02-01,100.39360
1953-03-01,99.83566
1953-04-01,99.45649
1953-05-01,99.13395
1953-06-01,98.81871
1953-07-01,98.36937
1953-08-01,97.77909
1953-09-01,97.13757
1953-10-01,96.60098
1953-11-01,96.30245
1953-12-01,96.26838
1954-01-01,96.60612
1954-02-01,97.25007
1954-03-01,98.02277
1954-04-01,98.72192
1954-05-01,99.23396
1954-06-01,99.49937
1954-07-01,99.53249
1954-08-01,99.59905
1954-09-01,100.09450
1954-10-01,100.79070
1954-11-01,101.42600
1954-12-01,102.05000
1955-01-01,102.52160
1955-02-01,102.99260
1955-03-01,103.25870
1955-04-01,103.35170
1955-05-01,103.20750
1955-06-01,102.83850
1955-07-01,102.65550
1955-08-01,102.46230
1955-09-01,102.28230
1955-10-01,102.24030
1955-11-01,102.21200
1955-12-01,102.15320
1956-01-01,101.75150
1956-02-01,101.28330
1956-03-01,100.81840
1956-04-01,100.24550
1956-05-01,99.51582
1956-06-01,98.92751
1956-07-01,98.81439
1956-08-01,99.35882
1956-09-01,99.92942
1956-10-01,100.15390
1956-11-01,100.23460
1956-12-01,100.10370
1957-01-01,99.85197
1957-02-01,99.35035
1957-03-01,98.70083
1957-04-01,98.16222
1957-05-01,98.02422
1957-06-01,98.17133
1957-07-01,98.28722
1957-08-01,98.26156
1957-09-01,98.02972
1957-10-01,97.50990
1957-11-01,96.94570
1957-12-01,96.38471
1958-01-01,96.08763
1958-02-01,96.29176
1958-03-01,96.75482
1958-04-01,97.39264
1958-05-01,98.39217
1958-06-01,99.41850
1958-07-01,100.27700
1958-08-01,100.95010
1958-09-01,101.47020
1958-10-01,101.82250
1958-11-01,101.97860
1958-12-01,102.09780
1959-01-01,102.46040
1959-02-01,102.86010
1959-03-01,103.10620
1959-04-01,103.17760
1959-05-01,103.02070
1959-06-01,102.43380
1959-07-01,101.51220
1959-08-01,100.39300
1959-09-01,99.53425
1959-10-01,99.41673
1959-11-01,99.89576
