observation_date,BSCICP03USM665S
1959-12-01,100.62910
1960-01-01,100.79730
1960-02-01,100.05390
1960-03-01,99.08851
1960-04-01,98.33201
1960-05-01,97.92493
1960-06-01,97.92017
1960-07-01,98.09187
1960-08-01,98.33900
1960-09-01,98.35855
1960-10-01,98.26241
1960-11-01,98.07040
1960-12-01,97.93943
1961-01-01,97.97878
1961-02-01,98.38114
1961-03-01,99.29460
1961-04-01,100.35390
1961-05-01,100.98530
1961-06-01,101.23050
1961-07-01,101.40330
1961-08-01,101.66660
1961-09-01,101.88270
1961-10-01,101.90310
1961-11-01,101.86220
1961-12-01,101.97950
1962-01-01,101.89180
1962-02-01,101.68770
1962-03-01,101.26480
1962-04-01,100.57700
1962-05-01,99.94791
1962-06-01,99.53913
1962-07-01,99.33749
1962-08-01,99.25349
1962-09-01,99.36724
1962-10-01,99.68017
1962-11-01,100.11210
1962-12-01,100.45400
1963-01-01,100.51230
1963-02-01,100.52010
1963-03-01,100.63590
1963-04-01,100.91310
1963-05-01,101.09650
1963-06-01,100.98670
1963-07-01,100.74460
1963-08-01,100.64660
1963-09-01,100.72870
1963-10-01,100.79530
1963-11-01,100.73680
1963-12-01,100.63920
1964-01-01,100.79910
1964-02-01,101.04560
1964-03-01,101.26740
1964-04-01,101.34300
1964-05-01,101.42900
1964-06-01,101.66250
1964-07-01,101.96500
1964-08-01,102.11800
1964-09-01,102.08200
1964-10-01,101.93120
1964-11-01,101.88990
1964-12-01,101.90730
1965-01-01,101.94230
1965-02-01,102.07920
1965-03-01,102.18260
1965-04-01,102.00420
1965-05-01,101.69930
1965-06-01,101.36330
1965-07-01,101.18120
1965-08-01,101.18740
1965-09-01,101.31540
1965-10-01,101.39120
1965-11-01,101.64800
1965-12-01,102.11830
1966-01-01,102.55490
1966-02-01,102.71350
1966-03-01,102.58090
1966-04-01,102.14970
1966-05-01,101.59540
1966-06-01,101.37540
1966-07-01,101.34300
1966-08-01,101.25550
1966-09-01,101.09480
1966-10-01,100.75580
1966-11-01,100.25170
1966-12-01,99.72044
1967-01-01,99.15365
1967-02-01,98.63972
1967-03-01,98.19964
1967-04-01,97.96851
1967-05-01,98.12620
1967-06-01,98.57456
1967-07-01,99.15639
1967-08-01,99.71658
1967-09-01,100.11840
1967-10-01,100.28160
1967-11-01,100.37860
1967-12-01,100.49390
1968-01-01,100.54960
1968-02-01,100.50010
1968-03-01,100.49800
1968-04-01,100.58890
1968-05-01,100.44800
1968-06-01,100.21940
1968-07-01,100.05900
1968-08-01,99.96404
1968-09-01,100.06680
1968-10-01,100.41920
1968-11-01,100.69070
1968-12-01,100.70210
1969-01-01,100.66380
1969-02-01,100.72060
1969-03-01,100.72510
1969-04-01,100.64520
1969-05-01,100.58260
1969-06-01,100.43090
1969-07-01,100.27150
1969-08-01,100.25850
1969-09-01,100.24710
1969-10-01,100.18300
1969-11-01,99.95834
1969-12-01,99.58727
1970-01-01,99.11998
1970-02-01,98.74805
1970-03-01,98.54070
1970-04-01,98.52864
1970-05-01,98.80074
1970-06-01,99.09510
1970-07-01,99.01438
1970-08-01,98.59541
1970-09-01,98.03547
1970-10-01,97.62383
1970-11-01,97.59280
1970-12-01,98.15282
1971-01-01,98.92522
1971-02-01,99.64503
1971-03-01,99.94241
1971-04-01,100.15150
1971-05-01,100.21540
1971-06-01,100.20830
1971-07-01,100.20490
1971-08-01,100.19910
1971-09-01,100.24040
1971-10-01,100.26220
1971-11-01,100.37300
1971-12-01,100.81250
1972-01-01,101.24230
1972-02-01,101.48110
1972-03-01,101.51730
1972-04-01,101.49230
1972-05-01,101.48680
1972-06-01,101.43530
1972-07-01,101.59630
1972-08-01,101.98400
1972-09-01,102.53940
1972-10-01,103.09700
1972-11-01,103.58270
1972-12-01,103.87720
1973-01-01,103.97260
1973-02-01,103.81090
1973-03-01,103.54300
1973-04-01,103.13660
1973-05-01,102.64400
1973-06-01,102.18780
1973-07-01,101.81090
1973-08-01,101.97730
1973-09-01,102.35340
1973-10-01,102.72750
1973-11-01,102.81070
1973-12-01,102.46110
1974-01-01,102.02180
1974-02-01,101.67280
1974-03-01,101.53900
1974-04-01,101.26290
1974-05-01,100.84790
1974-06-01,100.51330
1974-07-01,100.17880
1974-08-01,99.57733
1974-09-01,98.61237
1974-10-01,97.53791
1974-11-01,96.43935
1974-12-01,95.53254
1975-01-01,95.19895
1975-02-01,95.34173
1975-03-01,95.67497
1975-04-01,96.40067
1975-05-01,97.25512
1975-06-01,98.09031
1975-07-01,98.83916
1975-08-01,99.54433
1975-09-01,100.07460
1975-10-01,100.35020
1975-11-01,100.47710
1975-12-01,100.71480
1976-01-01,101.12870
1976-02-01,101.44010
1976-03-01,101.47700
1976-04-01,101.46050
1976-05-01,101.28130
1976-06-01,101.00330
1976-07-01,100.64430
1976-08-01,100.32090
1976-09-01,100.09800
1976-10-01,100.00210
1976-11-01,100.04500
1976-12-01,100.29720
1977-01-01,100.44640
1977-02-01,100.63090
1977-03-01,100.89180
1977-04-01,101.03220
1977-05-01,101.11020
1977-06-01,100.96570
1977-07-01,100.76320
1977-08-01,100.49330
1977-09-01,100.37490
1977-10-01,100.50490
1977-11-01,100.75470
1977-12-01,100.97250
1978-01-01,100.88920
1978-02-01,100.71930
1978-03-01,100.71350
1978-04-01,100.99570
1978-05-01,101.36970
1978-06-01,101.63470
1978-07-01,101.76590
1978-08-01,101.71520
1978-09-01,101.65720
1978-10-01,101.61830
1978-11-01,101.58000
1978-12-01,101.42820
1979-01-01,101.25780
1979-02-01,101.10370
1979-03-01,100.91160
1979-04-01,100.62570
1979-05-01,100.27000
1979-06-01,99.90220
1979-07-01,99.57000
1979-08-01,99.30282
1979-09-01,99.13361
1979-10-01,98.96733
1979-11-01,98.77229
1979-12-01,98.61350
1980-01-01,98.62623
1980-02-01,98.46581
1980-03-01,97.60511
1980-04-01,96.38105
1980-05-01,95.39320
1980-06-01,95.35428
1980-07-01,96.30575
1980-08-01,97.85607
1980-09-01,99.27047
1980-10-01,100.24680
1980-11-01,100.52010
1980-12-01,100.08270
1981-01-01,99.50925
1981-02-01,99.24152
1981-03-01,99.32060
1981-04-01,99.56576
1981-05-01,99.67261
1981-06-01,99.41108
1981-07-01,98.93945
1981-08-01,98.44556
1981-09-01,97.73235
1981-10-01,97.06617
1981-11-01,96.60503
1981-12-01,96.51103
1982-01-01,96.54741
1982-02-01,96.54921
1982-03-01,96.47549
1982-04-01,96.42971
1982-05-01,96.40112
1982-06-01,96.53210
1982-07-01,96.63718
1982-08-01,96.69238
1982-09-01,96.75227
1982-10-01,96.87266
1982-11-01,97.16144
1982-12-01,97.79113
1983-01-01,98.66582
1983-02-01,99.58894
1983-03-01,100.09760
1983-04-01,100.40020
1983-05-01,100.75720
1983-06-01,101.24510
1983-07-01,101.82010
1983-08-01,102.14010
1983-09-01,102.34170
1983-10-01,102.60910
1983-11-01,102.83950
1983-12-01,102.79680
1984-01-01,102.23530
1984-02-01,101.80700
1984-03-01,101.54020
1984-04-01,101.44540
1984-05-01,101.24970
1984-06-01,100.95790
1984-07-01,100.51550
1984-08-01,99.99012
1984-09-01,99.57101
1984-10-01,99.40740
1984-11-01,99.36313
1984-12-01,99.35741
1985-01-01,99.29842
1985-02-01,99.15537
1985-03-01,98.95116
1985-04-01,98.81668
1985-05-01,98.72993
1985-06-01,98.73898
1985-07-01,98.80515
1985-08-01,98.94897
1985-09-01,99.20615
1985-10-01,99.43951
1985-11-01,99.56913
1985-12-01,99.56055
1986-01-01,99.53886
1986-02-01,99.50923
1986-03-01,99.48940
1986-04-01,99.49501
1986-05-01,99.55941
1986-06-01,99.44007
1986-07-01,99.37386
1986-08-01,99.55391
1986-09-01,99.64204
1986-10-01,99.60774
1986-11-01,99.59570
1986-12-01,99.69433
1987-01-01,99.94775
1987-02-01,100.10210
1987-03-01,100.32690
1987-04-01,100.55120
1987-05-01,100.77020
1987-06-01,100.93230
1987-07-01,101.09600
1987-08-01,101.31250
1987-09-01,101.48430
1987-10-01,101.54730
1987-11-01,101.47600
1987-12-01,101.35380
1988-01-01,101.02320
1988-02-01,100.69530
1988-03-01,100.50520
1988-04-01,100.55190
1988-05-01,100.73370
1988-06-01,100.96750
1988-07-01,100.94070
1988-08-01,100.71900
1988-09-01,100.52960
1988-10-01,100.49560
1988-11-01,100.51510
1988-12-01,100.49460
1989-01-01,100.35170
1989-02-01,100.12410
1989-03-01,99.82473
1989-04-01,99.53631
1989-05-01,99.13468
1989-06-01,98.73237
1989-07-01,98.43771
1989-08-01,98.31413
1989-09-01,98.36460
1989-10-01,98.47801
1989-11-01,98.57809
1989-12-01,98.68725
1990-01-01,98.82642
1990-02-01,99.03892
1990-03-01,99.20686
1990-04-01,99.25970
1990-05-01,99.18343
1990-06-01,98.98992
1990-07-01,98.68245
1990-08-01,98.38270
1990-09-01,98.06229
1990-10-01,97.73170
1990-11-01,97.40628
1990-12-01,97.14877
1991-01-01,96.97387
1991-02-01,96.99493
1991-03-01,97.24443
1991-04-01,97.69718
1991-05-01,98.30886
1991-06-01,99.02848
1991-07-01,99.56333
1991-08-01,99.94424
1991-09-01,100.05720
1991-10-01,99.77213
1991-11-01,99.27264
1991-12-01,98.94275
1992-01-01,99.06855
1992-02-01,99.57008
1992-03-01,99.98627
1992-04-01,100.16960
1992-05-01,100.29120
1992-06-01,100.21380
1992-07-01,100.05750
1992-08-01,99.81163
1992-09-01,99.55763
1992-10-01,99.60410
1992-11-01,99.92116
1992-12-01,100.22680
1993-01-01,100.40110
1993-02-01,100.31330
1993-03-01,100.00180
1993-04-01,99.62968
1993-05-01,99.41878
1993-06-01,99.29132
1993-07-01,99.30216
1993-08-01,99.41178
1993-09-01,99.60840
1993-10-01,99.90913
1993-11-01,100.18550
1993-12-01,100.43860
1994-01-01,100.61180
1994-02-01,100.73560
1994-03-01,100.84400
1994-04-01,100.96060
1994-05-01,101.07930
1994-06-01,101.15830
1994-07-01,101.17900
1994-08-01,101.19940
1994-09-01,101.26710
1994-10-01,101.28810
1994-11-01,101.18090
1994-12-01,100.94390
1995-01-01,100.71820
1995-02-01,100.33810
1995-03-01,99.84444
1995-04-01,99.35561
1995-05-01,98.89627
1995-06-01,98.75338
1995-07-01,98.87215
1995-08-01,98.82167
1995-09-01,98.73958
1995-10-01,98.58495
1995-11-01,98.44193
1995-12-01,98.36424
1996-01-01,98.34098
1996-02-01,98.44072
1996-03-01,98.67973
1996-04-01,99.01083
1996-05-01,99.30595
1996-06-01,99.55668
1996-07-01,99.53486
1996-08-01,99.53878
1996-09-01,99.55099
1996-10-01,99.65530
1996-11-01,99.91382
1996-12-01,100.12970
1997-01-01,100.14240
1997-02-01,100.09950
1997-03-01,100.13330
1997-04-01,100.24920
1997-05-01,100.44660
1997-06-01,100.58100
1997-07-01,100.69830
1997-08-01,100.63450
1997-09-01,100.51850
1997-10-01,100.52640
1997-11-01,100.46500
1997-12-01,100.31820
1998-01-01,100.15340
1998-02-01,100.00240
1998-03-01,99.87062
1998-04-01,99.68953
1998-05-01,99.44782
1998-06-01,99.21769
1998-07-01,99.10845
1998-08-01,99.05366
1998-09-01,98.98673
1998-10-01,98.91798
1998-11-01,98.86853
1998-12-01,98.93916
1999-01-01,99.24890
1999-02-01,99.55432
1999-03-01,99.78156
1999-04-01,99.96465
1999-05-01,100.17340
1999-06-01,100.30790
1999-07-01,100.33330
1999-08-01,100.47720
1999-09-01,100.71730
1999-10-01,100.90270
1999-11-01,101.00200
1999-12-01,100.96140
2000-01-01,100.80530
2000-02-01,100.61020
2000-03-01,100.41700
2000-04-01,100.22720
2000-05-01,99.99604
2000-06-01,99.77863
2000-07-01,99.62845
2000-08-01,99.41608
2000-09-01,99.22309
2000-10-01,98.97842
2000-11-01,98.60701
2000-12-01,98.05298
2001-01-01,97.60673
2001-02-01,97.43987
2001-03-01,97.49767
2001-04-01,97.59940
2001-05-01,97.71287
2001-06-01,97.96347
2001-07-01,98.25486
2001-08-01,98.46142
2001-09-01,98.31409
2001-10-01,97.99140
2001-11-01,98.13379
2001-12-01,98.57130
2002-01-01,99.17805
2002-02-01,99.81140
2002-03-01,100.23680
2002-04-01,100.40300
2002-05-01,100.41490
2002-06-01,100.23480
2002-07-01,99.84805
2002-08-01,99.57523
2002-09-01,99.44056
2002-10-01,99.37789
2002-11-01,99.45414
2002-12-01,99.64391
2003-01-01,99.57600
2003-02-01,99.20768
2003-03-01,98.82608
2003-04-01,98.77409
2003-05-01,99.05656
2003-06-01,99.41449
2003-07-01,99.81785
2003-08-01,100.21850
2003-09-01,100.54560
2003-10-01,101.01370
2003-11-01,101.55240
2003-12-01,101.95810
2004-01-01,102.10860
2004-02-01,102.11150
2004-03-01,102.10880
2004-04-01,102.11980
2004-05-01,102.06530
2004-06-01,101.91190
2004-07-01,101.70410
2004-08-01,101.40800
2004-09-01,101.11890
2004-10-01,100.93610
2004-11-01,100.89820
2004-12-01,100.89970
2005-01-01,100.75080
2005-02-01,100.55310
2005-03-01,100.33840
2005-04-01,100.11200
2005-05-01,100.00000
2005-06-01,100.14440
2005-07-01,100.37130
2005-08-01,100.53400
2005-09-01,100.81820
2005-10-01,100.93650
2005-11-01,100.84110
2005-12-01,100.62770
2006-01-01,100.45390
2006-02-01,100.37560
2006-03-01,100.34380
2006-04-01,100.32710
2006-05-01,100.18840
2006-06-01,100.05630
2006-07-01,99.99863
2006-08-01,99.91028
2006-09-01,99.72649
2006-10-01,99.53320
2006-11-01,99.39630
2006-12-01,99.37780
2007-01-01,99.36252
2007-02-01,99.47536
2007-03-01,99.60925
2007-04-01,99.79961
2007-05-01,99.91326
2007-06-01,99.92334
2007-07-01,99.79557
2007-08-01,99.61118
2007-09-01,99.45094
2007-10-01,99.33586
2007-11-01,99.23241
2007-12-01,99.14535
2008-01-01,99.13264
2008-02-01,99.03803
2008-03-01,99.01328
2008-04-01,99.08108
2008-05-01,99.22625
2008-06-01,99.32801
2008-07-01,99.23627
2008-08-01,98.80284
2008-09-01,97.92882
2008-10-01,96.97589
2008-11-01,96.22255
2008-12-01,95.79787
2009-01-01,95.83675
2009-02-01,96.06279
2009-03-01,96.45823
2009-04-01,97.06013
2009-05-01,97.71999
2009-06-01,98.38803
2009-07-01,99.07358
2009-08-01,99.64230
2009-09-01,99.97250
2009-10-01,100.20610
2009-11-01,100.32960
2009-12-01,100.56140
2010-01-01,100.89520
2010-02-01,101.13440
2010-03-01,101.33400
2010-04-01,101.27290
2010-05-01,100.98570
2010-06-01,100.64630
2010-07-01,100.45640
2010-08-01,100.43130
2010-09-01,100.54510
2010-10-01,100.77840
2010-11-01,101.02630
2010-12-01,101.21970
2011-01-01,101.36550
2011-02-01,101.41950
2011-03-01,101.31790
2011-04-01,101.05610
2011-05-01,100.63530
2011-06-01,100.36880
2011-07-01,100.08380
2011-08-01,99.89833
2011-09-01,99.77426
2011-10-01,99.68117
2011-11-01,99.69808
2011-12-01,99.81861
2012-01-01,99.95617
2012-02-01,100.06710
2012-03-01,100.12410
2012-04-01,100.09340
2012-05-01,99.90049
2012-06-01,99.61568
2012-07-01,99.44756
2012-08-01,99.42970
2012-09-01,99.43368
2012-10-01,99.34209
2012-11-01,99.28816
2012-12-01,99.45940
2013-01-01,99.77489
2013-02-01,99.93560
2013-03-01,99.79563
2013-04-01,99.57814
2013-05-01,99.55011
2013-06-01,99.77454
2013-07-01,100.09420
2013-08-01,100.37260
2013-09-01,100.50620
2013-10-01,100.54520
2013-11-01,100.51540
2013-12-01,100.37940
2014-01-01,100.19900
2014-02-01,100.24950
2014-03-01,100.35780
2014-04-01,100.45060
2014-05-01,100.51180
2014-06-01,100.55690
2014-07-01,100.66010
2014-08-01,100.79840
2014-09-01,100.81460
2014-10-01,100.83340
2014-11-01,100.73550
2014-12-01,100.47090
2015-01-01,100.20090
2015-02-01,99.98762
2015-03-01,99.84135
2015-04-01,99.80164
2015-05-01,99.86176
2015-06-01,99.85343
2015-07-01,99.71892
2015-08-01,99.51942
2015-09-01,99.30373
2015-10-01,99.10832
2015-11-01,98.95155
2015-12-01,98.89609
2016-01-01,98.98419
2016-02-01,99.20454
2016-03-01,99.44843
2016-04-01,99.57745
2016-05-01,99.68911
2016-06-01,99.76630
2016-07-01,99.67638
2016-08-01,99.51491
2016-09-01,99.56263
2016-10-01,99.73806
2016-11-01,100.01500
2016-12-01,100.33560
2017-01-01,100.62170
2017-02-01,100.78610
2017-03-01,100.73500
2017-04-01,100.57960
2017-05-01,100.57680
2017-06-01,100.75310
2017-07-01,100.92910
2017-08-01,101.18610
2017-09-01,101.35730
2017-10-01,101.32520
2017-11-01,101.29300
2017-12-01,101.35160
2018-01-01,101.40130
2018-02-01,101.42520
2018-03-01,101.30660
2018-04-01,101.18190
2018-05-01,101.22660
2018-06-01,101.33740
2018-07-01,101.39690
2018-08-01,101.49610
2018-09-01,101.40860
2018-10-01,101.20120
2018-11-01,100.98870
2018-12-01,100.67610
2019-01-01,100.52580
2019-02-01,100.36200
2019-03-01,100.23090
2019-04-01,100.01090
2019-05-01,99.80872
2019-06-01,99.62655
2019-07-01,99.40843
2019-08-01,99.13414
2019-09-01,98.92642
2019-10-01,98.86010
2019-11-01,98.88178
2019-12-01,98.98692
2020-01-01,99.15387
2020-02-01,99.03934
2020-03-01,98.63115
2020-04-01,98.18549
2020-05-01,98.41359
2020-06-01,99.24374
2020-07-01,99.94762
2020-08-01,100.41470
2020-09-01,100.71430
2020-10-01,100.98290
2020-11-01,101.14680
2020-12-01,101.36190
2021-01-01,101.54070
2021-02-01,101.77880
2021-03-01,101.97680
2021-04-01,101.93500
2021-05-01,101.85280
2021-06-01,101.71710
2021-07-01,101.58410
2021-08-01,101.53730
2021-09-01,101.57730
2021-10-01,101.57940
2021-11-01,101.49800
2021-12-01,101.29740
2022-01-01,101.12220
2022-02-01,101.01050
2022-03-01,100.84730
2022-04-01,100.65360
2022-05-01,100.43970
2022-06-01,100.15480
2022-07-01,99.94544
2022-08-01,99.77550
2022-09-01,99.54729
2022-10-01,99.31562
2022-11-01,99.09515
2022-12-01,98.91479
2023-01-01,98.77238
2023-02-01,98.68208
2023-03-01,98.59528
2023-04-01,98.55729
2023-05-01,98.52840
2023-06-01,98.53253
2023-07-01,98.59760
2023-08-01,98.70704
2023-09-01,98.75687
2023-10-01,98.68998
2023-11-01,98.66783
2023-12-01,98.76071
2024-01-01,98.96989
