observation_date,ULQEUL01CHQ661S
1995-01-01,90.1146258812623
1995-04-01,90.9177655119844
1995-07-01,91.1353020841968
1995-10-01,92.2292886767499
1996-01-01,91.5493229101247
1996-04-01,91.9775411766939
1996-07-01,92.0562818029262
1996-10-01,92.5730330237533
1997-01-01,92.1113421989793
1997-04-01,91.9640158749151
1997-07-01,91.1518897818588
1997-10-01,90.7445028362940
1998-01-01,90.2405592758703
1998-04-01,89.8804235881672
1998-07-01,90.1807060943627
1998-10-01,90.9108624578299
1999-01-01,90.8650004690564
1999-04-01,91.2943198250400
1999-07-01,90.8789222147644
1999-10-01,89.5732119742129
2000-01-01,89.4783860344955
2000-04-01,89.7726799417138
2000-07-01,89.8416942637249
2000-10-01,89.9349647128436
2001-01-01,91.4673835914207
2001-04-01,92.3376803716910
2001-07-01,94.1045094252089
2001-10-01,94.9535772622786
2002-01-01,95.4254983411675
2002-04-01,95.5472273633619
2002-07-01,94.8160673833038
2002-10-01,95.3277519261582
2003-01-01,95.5589964013456
2003-04-01,95.6664710354829
2003-07-01,94.5953818975867
2003-10-01,93.5672283753620
2004-01-01,93.2584298483538
2004-04-01,92.6393832264260
2004-07-01,93.4621641851580
2004-10-01,94.1109692483750
2005-01-01,93.8494302994933
2005-04-01,93.5692271399133
2005-07-01,92.9655377731096
2005-10-01,92.5244459474470
2006-01-01,92.7437411788359
2006-04-01,92.4852284456460
2006-07-01,93.2273827488368
2006-10-01,93.3005669294710
2007-01-01,94.4175192839365
2007-04-01,94.2594978801902
2007-07-01,94.6097510834903
2007-10-01,94.7840379602136
2008-01-01,95.3680424807402
2008-04-01,94.7252481434284
2008-07-01,94.7178657497672
2008-10-01,98.7273055127418
2009-01-01,100.7727760483870
2009-04-01,100.7403437800780
2009-07-01,99.3973210211008
2009-10-01,98.9463186304536
2010-01-01,98.0529681167898
2010-04-01,98.1584037744945
2010-07-01,98.5303133786293
2010-10-01,98.1138592821192
2011-01-01,98.6241021391163
2011-04-01,99.3453505140870
2011-07-01,100.0206405271330
2011-10-01,100.7561049321630
2012-01-01,100.6307193268180
2012-04-01,100.9776012301340
2012-07-01,100.5406362754600
2012-10-01,100.8616681473580
2013-01-01,100.8810019323240
2013-04-01,101.1459836334080
2013-07-01,101.0967578079790
2013-10-01,101.4177715773900
2014-01-01,100.9392295872650
2014-04-01,100.3443074340010
2014-07-01,100.1460936389910
2014-10-01,100.1340742596630
2015-01-01,100.8897871611460
2015-04-01,100.0214991256470
2015-07-01,99.6366984888914
2015-10-01,99.4520152243157
2016-01-01,99.7777511192934
2016-04-01,98.9387627881245
2016-07-01,98.5873496572649
2016-10-01,98.2669218987338
2017-01-01,98.6877370707885
2017-04-01,99.0581906860400
2017-07-01,99.1396294549949
2017-10-01,98.6709667056417
2018-01-01,98.1862129069682
2018-04-01,97.6796095277651
2018-07-01,98.2856679432263
2018-10-01,98.3258504173150
2019-01-01,98.8760597091124
2019-04-01,99.4616387741867
2019-07-01,99.3302227161493
2019-10-01,99.7321898593164
2020-01-01,99.2927233398661
2020-04-01,101.5317390562530
2020-07-01,100.5962889444280
2020-10-01,100.2931574566170
2021-01-01,98.2316392829505
2021-04-01,98.1775898509486
2021-07-01,100.1759648130340
2021-10-01,100.7411262625870
2022-01-01,101.7424107126760
2022-04-01,101.2023027557460
2022-07-01,102.2962476505630
2022-10-01,103.2343453571130
2023-01-01,103.9906106720400
2023-04-01,105.2207143201980
2023-07-01,105.3539928124140
