observation_date,ULQECU01EZQ657S
1995-04-01,1.0049474335188500
1995-07-01,0.7194244604316600
1995-10-01,0.8358662613981690
1996-01-01,0.4220045214770200
1996-04-01,0.3752063634999170
1996-07-01,0.7625598086124560
1996-10-01,0.5193648909333650
1997-01-01,0.6347800413345260
1997-04-01,0.3520610239107890
1997-07-01,0.4092968864201180
1997-10-01,0.3930703159120740
1998-01-01,0.0145011600928058
1998-04-01,0.5219660722053140
1998-07-01,0.4327131112072540
1998-10-01,0.5601034037053020
1999-01-01,0.2570694087403790
1999-04-01,0.9259259259259029
1999-07-01,0.5081157374735420
1999-10-01,0.8144923465805560
2000-01-01,0.7521938988716880
2000-04-01,0.4700677450573860
2000-07-01,0.8118893628732650
2000-10-01,0.6688506688506710
2001-01-01,0.6237288135593140
2001-04-01,0.7007141894623490
2001-07-01,0.6690753378830460
2001-10-01,0.7310913199521401
2002-01-01,0.5542359461599340
2002-04-01,0.6299212598425230
2002-07-01,0.7172665623369930
2002-10-01,0.6474168069403090
2003-01-01,0.4245465071400960
2003-04-01,0.4611837048424210
2003-07-01,1.1859219586840100
2003-10-01,0.1512287334593550
2004-01-01,0.6165848747955220
2004-04-01,0.6378189094547260
2004-07-01,0.3231017770597800
2004-10-01,0.5202526941657490
2005-01-01,0.4929143561306090
2005-04-01,0.5272838749233700
2005-07-01,0.5733105635520770
2005-10-01,0.8489993935718760
2006-01-01,0.3848466626578320
2006-04-01,0.5990176111177670
2006-07-01,0.6073597713469220
2006-10-01,0.6155303030302880
2007-01-01,0.5647058823529441
2007-04-01,0.5732335049134319
2007-07-01,0.6164941258578540
2007-10-01,1.0751445086705300
2008-01-01,1.1094589957680501
2008-04-01,0.5769230769230640
2008-07-01,0.9222809582724210
2008-10-01,0.3009027081243650
2009-01-01,-0.0333333333333297
2009-04-01,0.4445926419917750
2009-07-01,0.6307402899192130
2009-10-01,0.6487794149989020
2010-01-01,0.3714629083360720
2010-04-01,0.7619462283661580
2010-07-01,0.3024738036080830
2010-10-01,0.3984921917070580
2011-01-01,0.7616391332332230
2011-04-01,0.4471414883423690
2011-07-01,0.2543720190779090
2011-10-01,0.4757373929590930
2012-01-01,0.4103535353535250
2012-04-01,0.3772398616787220
2012-07-01,0.2923060862302860
2012-10-01,0.1977724575830250
2013-01-01,0.5298150841470890
2013-04-01,0.4236850263511530
2013-07-01,0.4527680592714510
2013-10-01,0.1536570374923120
2014-01-01,0.4398077119770970
2014-04-01,0.1731160896130270
2014-07-01,0.3862966351529960
2014-10-01,0.3645569620253100
2015-01-01,0.3632327716678490
2015-04-01,0.4624509902483210
2015-07-01,0.1701190833583320
2015-10-01,0.3996003996004220
2016-01-01,0.2786069651741210
2016-04-01,0.1686842627505490
2016-07-01,0.3764239722634990
2016-10-01,0.5131747754860230
2017-01-01,0.4909180166912020
2017-04-01,0.3712750366390080
2017-07-01,0.3504331743405090
2017-10-01,0.7566204287515580
2018-01-01,0.2984499855588820
2018-04-01,0.6431176809368330
2018-07-01,0.7153075822603780
2018-10-01,0.5303030303030140
2019-01-01,0.5369253956292630
2019-04-01,0.5527967769136880
2019-07-01,0.5497577338799871
2019-10-01,0.2038735983690090
2020-01-01,-0.6843614168130820
2020-04-01,-4.1996461495483901
2020-07-01,5.8125972006220898
2020-10-01,0.4409333088370510
2021-01-01,0.3841229193341850
2021-04-01,0.7106413994169120
2021-07-01,1.9540437850551700
2021-10-01,0.6832298136646000
2022-01-01,1.1456772715254999
2022-04-01,0.5576370131567450
2022-07-01,1.5249978338098999
2022-10-01,1.6386447042758501
2023-01-01,1.6794021328407100
2023-04-01,0.5120158559748930
2023-07-01,1.2653027688768299
