observation_date,CPALTT01JPQ659N
1956-01-01,-0.75268819999999991843
1956-04-01,0.46678639999999999022
1956-07-01,0.39539900000000000047
1956-10-01,1.48228500000000007475
1957-01-01,2.56410299999999979903
1957-04-01,2.75196599999999991226
1957-07-01,4.51127799999999989922
1957-10-01,2.56501599999999996271
1958-01-01,0.28169020000000000170
1958-04-01,-0.76521740000000004756
1958-07-01,-1.43884900000000004461
1958-10-01,0.03473427999999999932
1959-01-01,0.63202250000000004260
1959-04-01,0.80616899999999991344
1959-07-01,1.04275300000000004097
1959-10-01,1.84027800000000008041
1960-01-01,3.38450800000000029399
1960-04-01,3.96383900000000011232
1960-07-01,3.61197100000000004272
1960-10-01,3.34128900000000017556
1961-01-01,4.04994899999999979912
1961-04-01,3.81270899999999990371
1961-07-01,5.31208499999999972374
1961-10-01,8.24810300000000040654
1962-01-01,7.71975299999999986511
1962-04-01,8.40850499999999989598
1962-07-01,6.93568699999999971340
1962-10-01,4.41938399999999997902
1963-01-01,6.62301199999999923307
1963-04-01,7.00634699999999988052
1963-07-01,6.74237500000000000711
1963-10-01,6.45899199999999940047
1964-01-01,3.34084100000000017161
1964-04-01,3.32225899999999985113
1964-07-01,3.37738599999999999923
1964-10-01,5.13848400000000005150
1965-01-01,6.86523800000000061772
1965-04-01,7.21686300000000002797
1965-07-01,6.53409100000000009345
1965-10-01,6.03119599999999955742
1966-01-01,5.81237300000000001177
1966-04-01,5.06497799999999998022
1966-07-01,5.16666700000000034265
1966-10-01,4.15168300000000023431
1967-01-01,4.27240600000000014802
1967-04-01,2.88614000000000014978
1967-07-01,3.23296399999999994890
1967-10-01,5.55555500000000002103
1968-01-01,5.26802200000000020452
1968-04-01,5.57953200000000038017
1968-07-01,5.95640199999999975233
1968-10-01,4.57924499999999934374
1969-01-01,3.42405600000000021055
1969-04-01,5.05109500000000011255
1969-07-01,6.60678099999999979275
1969-10-01,5.88569800000000054041
1970-01-01,7.73980599999999974159
1970-04-01,7.33181399999999960926
1970-07-01,5.19566499999999997783
1970-10-01,6.83932299999999937512
1971-01-01,6.03070199999999978502
1971-04-01,6.37837799999999965905
1971-07-01,7.33549100000000020572
1971-10-01,5.77124900000000007338
1972-01-01,4.65356799999999992679
1972-04-01,5.08130099999999984561
1972-07-01,4.82412099999999988142
1972-10-01,4.86111100000000018184
1973-01-01,7.31225300000000011380
1973-04-01,10.34816000000000002501
1973-07-01,12.65579999999999927240
1973-10-01,15.89404000000000038995
1974-01-01,23.29650000000000176215
1974-04-01,22.61174000000000106070
1974-07-01,23.48936000000000134946
1974-10-01,23.42857000000000056161
1975-01-01,15.16057000000000165585
1975-04-01,13.22372999999999798604
1975-07-01,10.33769999999999988916
1975-10-01,8.66402099999999997237
1976-01-01,9.01426700000000025170
1976-04-01,9.40656599999999976092
1976-07-01,9.68144900000000063756
1976-10-01,9.43396199999999929275
1977-01-01,9.33967900000000028626
1977-04-01,8.94402799999999942315
1977-07-01,7.97266499999999833648
1977-10-01,6.45161300000000004218
1978-01-01,4.67899900000000013023
1978-04-01,4.02542400000000011318
1978-07-01,4.37763700000000000045
1978-10-01,3.70950900000000016732
1979-01-01,3.01455299999999981608
1979-04-01,3.30957200000000018036
1979-07-01,3.58767099999999983240
1979-10-01,4.98740600000000000591
1980-01-01,7.21493399999999862615
1980-04-01,8.08279900000000139926
1980-07-01,8.09756100000000067496
1980-10-01,7.67754299999999823001
1981-01-01,6.58823500000000095156
1981-04-01,4.92476100000000016621
1981-07-01,4.19675099999999989819
1981-10-01,4.09982200000000052142
1982-01-01,3.13465800000000038850
1982-04-01,2.60756200000000015748
1982-07-01,2.77176299999999997681
1982-10-01,2.48287699999999977862
1983-01-01,2.14041099999999984149
1983-04-01,2.24481200000000002959
1983-07-01,1.47492599999999995930
1983-10-01,1.67084399999999977382
1984-01-01,2.43084699999999997999
1984-04-01,2.02982599999999990814
1984-07-01,2.24252500000000010161
1984-10-01,2.30073999999999978527
1985-01-01,2.00491000000000019199
1985-04-01,2.15184700000000006526
1985-07-01,2.35580800000000012417
1985-10-01,1.64658600000000010510
1986-01-01,1.56438000000000010381
1986-04-01,0.87440380000000006433
1986-07-01,0.23809520000000000683
1986-10-01,-0.23706050000000000733
1987-01-01,-0.82938389999999995172
1987-04-01,0.15760439999999989458
1987-07-01,0.43547109999999988883
1987-10-01,0.75247530000000006911
1988-01-01,0.75667069999999991836
1988-04-01,0.19669549999999999534
1988-07-01,0.59124949999999998340
1988-10-01,1.06132099999999995887
1989-01-01,1.06719399999999997597
1989-04-01,2.74833100000000030150
1989-07-01,2.74294700000000002404
1989-10-01,2.60599000000000025068
1990-01-01,3.55885800000000029897
1990-04-01,2.56018400000000001526
1990-07-01,2.55530100000000004457
1990-10-01,3.60121299999999999741
1991-01-01,3.73867100000000007753
1991-04-01,3.39046200000000030883
1991-07-01,3.19821500000000025210
1991-10-01,2.78082699999999993778
1992-01-01,1.89297399999999993447
1992-04-01,2.27027000000000001023
1992-07-01,1.80180199999999990368
1992-10-01,0.96119619999999994508
1993-01-01,1.32190099999999999270
1993-04-01,0.84566600000000002879
1993-07-01,1.76991199999999992976
1993-10-01,1.09308899999999997732
1994-01-01,1.19887199999999993771
1994-04-01,0.76869319999999996540
1994-07-01,0.00000000000001150000
1994-10-01,0.80223230000000000928
1995-01-01,0.20905920000000000059
1995-04-01,-0.03467405999999999960
1995-07-01,0.03478260999999999853
1995-10-01,-0.55363319999999993648
1996-01-01,-0.34770519999999999206
1996-04-01,0.13874439999999998996
1996-07-01,0.20862310000000000576
1996-10-01,0.55671540000000008241
1997-01-01,0.59316119999999994405
