observation_date,ULQEUL01CAQ661S
1981-01-01,39.3961840642143
1981-04-01,40.5691811020963
1981-07-01,42.1560464356747
1981-10-01,43.5841990270776
1982-01-01,45.0888942374827
1982-04-01,46.0953621316264
1982-07-01,46.2927570434626
1982-10-01,47.3084755898754
1983-01-01,46.8741414631769
1983-04-01,47.3454262566341
1983-07-01,47.7172507901653
1983-10-01,47.8065234281441
1984-01-01,47.6636943111786
1984-04-01,47.7412943943610
1984-07-01,48.4872040903306
1984-10-01,48.8121765828794
1985-01-01,49.1806881271728
1985-04-01,49.8255436536632
1985-07-01,50.1270106895980
1985-10-01,50.1629568388168
1986-01-01,50.7413868783946
1986-04-01,51.1653691994327
1986-07-01,51.7386574158260
1986-10-01,53.2585799626515
1987-01-01,53.2831646153225
1987-04-01,53.8834362080735
1987-07-01,54.0633235552053
1987-10-01,54.7788407355915
1988-01-01,55.5924188525927
1988-04-01,56.3254678475066
1988-07-01,57.4018599120080
1988-10-01,58.1319972668905
1989-01-01,58.6702682758275
1989-04-01,59.6148670926896
1989-07-01,60.0384908597560
1989-10-01,61.1374579288867
1990-01-01,61.4806160600002
1990-04-01,62.7111187705238
1990-07-01,63.6960267412814
1990-10-01,64.8189995928913
1991-01-01,66.1820337536706
1991-04-01,66.6137897078695
1991-07-01,67.1671316272558
1991-10-01,67.6808268389896
1992-01-01,67.8973211780955
1992-04-01,68.3416945868744
1992-07-01,68.3521379136063
1992-10-01,68.3133880506994
1993-01-01,68.4814890039693
1993-04-01,68.2249506022650
1993-07-01,67.9667774199552
1993-10-01,67.6736479671330
1994-01-01,66.9230172262900
1994-04-01,67.0059528855156
1994-07-01,66.7030606726234
1994-10-01,66.6380240826335
1995-01-01,66.6401918696919
1995-04-01,67.0623443765877
1995-07-01,67.7149413424772
1995-10-01,67.8948243837718
1996-01-01,68.0389224114716
1996-04-01,67.9614329823202
1996-07-01,68.3004732430349
1996-10-01,69.1447601098611
1997-01-01,69.1489602605720
1997-04-01,69.8670130869897
1997-07-01,70.7947861408033
1997-10-01,70.3319242003315
1998-01-01,70.2896209645142
1998-04-01,71.2614424827249
1998-07-01,71.4276855025490
1998-10-01,71.5242472992655
1999-01-01,70.6459876799262
1999-04-01,71.2751485338799
1999-07-01,71.0610716392834
1999-10-01,71.4242070405771
2000-01-01,72.1246613965869
2000-04-01,72.9022043746481
2000-07-01,72.9880304429183
2000-10-01,73.4303017851452
2001-01-01,73.6181325041605
2001-04-01,73.6991148073757
2001-07-01,73.9306956141396
2001-10-01,73.9089120286469
2002-01-01,73.6076165160594
2002-04-01,74.0661209232995
2002-07-01,74.4016703347372
2002-10-01,75.3452286771406
2003-01-01,75.4639593852708
2003-04-01,75.7689013339288
2003-07-01,76.4003601821576
2003-10-01,77.0269417264692
2004-01-01,77.6324317652107
2004-04-01,78.1431569059004
2004-07-01,78.3244913878220
2004-10-01,78.4080270633779
2005-01-01,79.1542882670296
2005-04-01,79.9497260052818
2005-07-01,80.3592578811259
2005-10-01,80.9455397231659
2006-01-01,81.4452616367200
2006-04-01,82.4440271354890
2006-07-01,83.2459844145803
2006-10-01,84.1191319884300
2007-01-01,85.3499260451464
2007-04-01,86.1027858987877
2007-07-01,86.2213891470719
2007-10-01,87.1144118711209
2008-01-01,88.5117566053414
2008-04-01,89.2961271686531
2008-07-01,89.0772996366884
2008-10-01,90.1697178167652
2009-01-01,91.3401588264965
2009-04-01,91.9756804445250
2009-07-01,91.8283241642529
2009-10-01,91.5063726401670
2010-01-01,90.6867380395670
2010-04-01,91.0535731347898
2010-07-01,91.6477707062283
2010-10-01,91.8034267585065
2011-01-01,92.9235593455459
2011-04-01,93.3318826807498
2011-07-01,92.8491938402352
2011-10-01,93.2995006609411
2012-01-01,94.2235169347917
2012-04-01,95.0524352423114
2012-07-01,96.0887054401516
2012-10-01,96.6548313109456
2013-01-01,97.0756635640166
2013-04-01,97.1887385955329
2013-07-01,97.2137975457864
2013-10-01,97.1443772858670
2014-01-01,97.7282698328449
2014-04-01,97.9031444713069
2014-07-01,98.0242565605341
2014-10-01,97.8582925995384
2015-01-01,99.5490186082672
2015-04-01,100.3083479837030
2015-07-01,100.0021246651030
2015-10-01,100.1405087429270
2016-01-01,98.7189399552259
2016-04-01,99.4180837148065
2016-07-01,98.7018053830922
2016-10-01,98.8124472060601
2017-01-01,98.5393542644978
2017-04-01,98.7040245956166
2017-07-01,100.7442508559380
2017-10-01,101.8902096026010
2018-01-01,102.4472981126700
2018-04-01,102.3483906837580
2018-07-01,102.5941640664010
2018-10-01,103.5173902972110
2019-01-01,103.7621456917450
2019-04-01,103.9619220607210
2019-07-01,105.0957435206780
2019-10-01,106.2063268086330
2020-01-01,107.2902860175760
2020-04-01,112.5533222412240
2020-07-01,109.1853521425170
2020-10-01,109.3371222768560
2021-01-01,110.2830907255950
2021-04-01,112.3134070403130
2021-07-01,113.0964747780920
2021-10-01,113.0448249903800
2022-01-01,116.0006042070400
2022-04-01,116.9427470618160
2022-07-01,117.6598592398590
2022-10-01,119.2536537920450
2023-01-01,120.5915150377770
2023-04-01,122.6285060552540
