observation_date,CANB6BLTT02STSAQ
1981-01-01,-4.14054300000000008
1981-04-01,-4.62618699999999983
1981-07-01,-4.67035000000000000
1981-10-01,-3.29662200000000016
1982-01-01,-0.44594830000000002
1982-04-01,0.38911720000000000
1982-07-01,1.64082599999999990
1982-10-01,0.34244140000000001
1983-01-01,-0.46424430000000000
1983-04-01,0.08850323000000000
1983-07-01,-1.21316700000000011
1983-10-01,-1.69600100000000009
1984-01-01,-1.25937800000000011
1984-04-01,-0.69981199999999999
1984-07-01,-0.34395290000000001
1984-10-01,0.42324750000000000
1985-01-01,-0.40156679999999989
1985-04-01,-1.59967099999999984
1985-07-01,-2.38711399999999996
1985-10-01,-2.19041599999999992
1986-01-01,-3.19082499999999980
1986-04-01,-2.93522499999999997
1986-07-01,-3.24469099999999999
1986-10-01,-2.87199999999999989
1987-01-01,-2.54197400000000018
1987-04-01,-2.83740400000000026
1987-07-01,-3.16462699999999986
1987-10-01,-4.27688999999999986
1988-01-01,-3.14527599999999996
1988-04-01,-2.66916500000000001
1988-07-01,-3.65414800000000017
1988-10-01,-2.77548300000000037
1989-01-01,-3.17849300000000001
1989-04-01,-4.39001900000000056
1989-07-01,-3.96034899999999990
1989-10-01,-4.27343399999999995
1990-01-01,-4.27905800000000003
1990-04-01,-3.10742599999999980
1990-07-01,-2.91994700000000007
1990-10-01,-3.42840100000000003
1991-01-01,-3.71407800000000021
1991-04-01,-3.45908900000000008
1991-07-01,-4.04996600000000040
1991-10-01,-3.69313799999999981
1992-01-01,-4.09291200000000011
1992-04-01,-3.69810699999999981
1992-07-01,-3.82507000000000019
1992-10-01,-2.82786900000000019
1993-01-01,-3.30375800000000019
1993-04-01,-3.66641599999999990
1993-07-01,-4.13722499999999993
1993-10-01,-4.22368900000000025
1994-01-01,-2.77018500000000012
1994-04-01,-3.26417100000000016
1994-07-01,-1.78375200000000000
1994-10-01,-1.72622199999999992
1995-01-01,-0.82818349999999996
1995-04-01,-2.09927900000000012
1995-07-01,-0.88069769999999992
1995-10-01,0.49769229999999998
1996-01-01,0.01042397000000000
1996-04-01,1.20294900000000005
1996-07-01,0.46822370000000002
1996-10-01,-0.01276091000000000
1997-01-01,-0.32610109999999998
1997-04-01,-1.02911700000000006
1997-07-01,-2.44760899999999992
1997-10-01,-1.51691599999999993
1998-01-01,-1.66957000000000000
1998-04-01,-1.60091999999999990
1998-07-01,-1.14989100000000000
1998-10-01,-0.94179729999999995
1999-01-01,-0.14683570000000001
1999-04-01,-0.25227020000000000
1999-07-01,0.72416940000000007
1999-10-01,0.36004259999999999
2000-01-01,2.08636199999999983
2000-04-01,2.24512700000000009
2000-07-01,2.75279700000000016
2000-10-01,3.08417500000000011
2001-01-01,3.71502800000000022
2001-04-01,2.54393400000000014
2001-07-01,1.44010700000000003
2001-10-01,1.13075700000000001
2002-01-01,2.44666199999999989
2002-04-01,1.86357599999999990
2002-07-01,1.40381900000000015
2002-10-01,1.26449699999999998
