observation_date,ULQEUL01GBQ661S
1992-04-01,65.0920043830134
1992-07-01,64.6382660025132
1992-10-01,64.4481402164727
1993-01-01,64.0818017435006
1993-04-01,64.4047568165373
1993-07-01,64.4620721758176
1993-10-01,64.7875121174289
1994-01-01,62.5233875215524
1994-04-01,61.6421342784831
1994-07-01,61.9864042598288
1994-10-01,62.2030045139546
1995-01-01,62.4241185495346
1995-04-01,62.9945419269433
1995-07-01,62.8086614020788
1995-10-01,63.4783102293792
1996-01-01,63.5262322831910
1996-04-01,64.1314075235209
1996-07-01,64.4987769478134
1996-10-01,64.1025311372262
1997-01-01,64.9758140139232
1997-04-01,65.8104471610865
1997-07-01,66.4815224244623
1997-10-01,65.9190401483297
1998-01-01,65.4815596793477
1998-04-01,66.1349187029194
1998-07-01,66.9511757219634
1998-10-01,66.9093136431707
1999-01-01,68.4500648480988
1999-04-01,69.6431111362601
1999-07-01,69.6984965351459
1999-10-01,69.6244297277872
2000-01-01,69.6347209158493
2000-04-01,70.5042493451439
2000-07-01,71.6258749312015
2000-10-01,72.8995690167706
2001-01-01,74.1612446452918
2001-04-01,73.4980663753464
2001-07-01,73.7172067883584
2001-10-01,74.0865442407090
2002-01-01,74.3764123702366
2002-04-01,74.1506519749302
2002-07-01,74.2847999781509
2002-10-01,74.6892157939806
2003-01-01,75.4461075194744
2003-04-01,75.7401460406806
2003-07-01,77.3209938775534
2003-10-01,77.8485172186164
2004-01-01,79.1018408815073
2004-04-01,79.1220105226777
2004-07-01,80.2096612730522
2004-10-01,81.4489550114660
2005-01-01,82.4469653324058
2005-04-01,81.7771989424021
2005-07-01,82.6917336459411
2005-10-01,82.3004865494854
2006-01-01,84.5940600208280
2006-04-01,84.0274832943510
2006-07-01,85.3675212543248
2006-10-01,87.2316370854282
2007-01-01,88.4941741089173
2007-04-01,88.2436353692184
2007-07-01,89.6646009343214
2007-10-01,89.0171769227928
2008-01-01,90.4900615469954
2008-04-01,89.8471585169844
2008-07-01,90.6995489107086
2008-10-01,92.2262507561054
2009-01-01,92.9411513890271
2009-04-01,94.7318349330254
2009-07-01,94.4471463862775
2009-10-01,95.6113340164660
2010-01-01,95.5496432366046
2010-04-01,94.5425264652319
2010-07-01,95.2640944121071
2010-10-01,95.0953854934271
2011-01-01,97.0119063841616
2011-04-01,96.1342980547564
2011-07-01,95.9639137456326
2011-10-01,96.0211715928987
2012-01-01,96.7058843513724
2012-04-01,97.5659630943595
2012-07-01,96.7647947384471
2012-10-01,97.4623964005110
2013-01-01,97.2656534615914
2013-04-01,99.8626442538466
2013-07-01,99.3489900665761
2013-10-01,100.0598701287980
2014-01-01,100.7585009182600
2014-04-01,99.4919760239694
2014-07-01,98.2367021163818
2014-10-01,98.4641165920848
2015-01-01,99.5111589099556
2015-04-01,99.5591868260336
2015-07-01,100.3224515978830
2015-10-01,100.6072026661280
2016-01-01,101.3835715867620
2016-04-01,102.8568841017800
2016-07-01,103.3446025712390
2016-10-01,102.8196130643010
2017-01-01,103.3803394626640
2017-04-01,104.1216271229330
2017-07-01,103.8636131242300
2017-10-01,103.7486532421890
2018-01-01,105.6418726148170
2018-04-01,105.3260737692670
2018-07-01,106.6193473414250
2018-10-01,108.0228720546400
2019-01-01,108.7965785581350
2019-04-01,110.5288036798950
2019-07-01,109.9330199453040
2019-10-01,110.1043903620680
2020-01-01,113.2714304182230
2020-04-01,136.7896966534920
2020-07-01,119.6173837086140
2020-10-01,120.5860689541220
2021-01-01,121.4319736606440
2021-04-01,116.2852128080710
2021-07-01,115.5981958358280
2021-10-01,114.7360461817130
2022-01-01,117.1544992490370
2022-04-01,118.9554159968890
2022-07-01,121.1300960224440
2022-10-01,123.3822897417890
2023-01-01,125.1358468488210
2023-04-01,127.1674251478480
