observation_date,GGNLBAUSA188N
2001-01-01,-0.544
2002-01-01,-3.821
2003-01-01,-4.771
2004-01-01,-4.244
2005-01-01,-3.075
2006-01-01,-2.036
2007-01-01,-2.913
2008-01-01,-6.612
2009-01-01,-13.177
2010-01-01,-10.993
2011-01-01,-9.716
2012-01-01,-8.114
2013-01-01,-4.561
2014-01-01,-4.026
2015-01-01,-3.530
2016-01-01,-4.356
2017-01-01,-4.794
2018-01-01,-5.335
2019-01-01,-5.805
2020-01-01,-14.147
2021-01-01,-11.391
2022-01-01,-3.698
2023-01-01,-7.163
2024-01-01,-7.262
