observation_date,ULQELP01AUQ657S
1967-04-01,-0.63392580909400897
1967-07-01,1.08708203718267993
1967-10-01,0.26197636321486900
1968-01-01,-1.38505298025783996
1968-04-01,3.18746072521867996
1968-07-01,0.60304390901721205
1968-10-01,3.45229740796711004
1969-01-01,-1.75839179314828997
1969-04-01,1.54875421464939000
1969-07-01,0.93026383132238999
1969-10-01,1.14817250715637997
1970-01-01,0.87694830813705604
1970-04-01,1.02191612650646002
1970-07-01,-0.93921877333486803
1970-10-01,-0.24238441263118199
1971-01-01,0.62276052752377997
1971-04-01,-0.36331931167375697
1971-07-01,3.00055349267534988
1971-10-01,-0.23251188450306501
1972-01-01,-1.37455273671095002
1972-04-01,1.72040261737929989
1972-07-01,-1.64131708247142005
1972-10-01,0.24584772764525900
1973-01-01,2.04884867119183989
1973-04-01,0.00536526496037490
1973-07-01,-0.56090694262370200
1973-10-01,1.94850991493071990
1974-01-01,-1.07028393775411002
1974-04-01,-2.20019347631694018
1974-07-01,1.73854523771215996
1974-10-01,0.16405436862591199
1975-01-01,1.20407959284608990
1975-04-01,2.93018541500752017
1975-07-01,-1.51579740289834008
1975-10-01,-2.58743314671745006
1976-01-01,4.05548837618978020
1976-04-01,0.02127366821032690
1976-07-01,1.59860526004728998
1976-10-01,0.52231166950522900
1977-01-01,-1.31833163467784997
1977-04-01,1.09741889557355998
1977-07-01,-0.60482925324279802
1977-10-01,0.25917279648231301
1978-01-01,0.45916886654657502
1978-04-01,0.26417597371240997
1978-07-01,1.51977772117554011
1978-10-01,0.71963374432846305
1979-01-01,2.43932310273187003
1979-04-01,-1.94743421966434993
1979-07-01,0.41073534980416199
1979-10-01,0.89582665509265402
1980-01-01,-0.31767082138699099
1980-04-01,-0.44213822594939001
1980-07-01,-0.26013276480139502
1980-10-01,1.46543245071656991
1981-01-01,-0.23835361255725601
1981-04-01,0.88844018286723603
1981-07-01,1.58923451006682992
1981-10-01,-0.22662685075373001
1982-01-01,-1.24177281658139993
1982-04-01,1.15839399557611999
1982-07-01,-0.28452450394022499
1982-10-01,-0.59423494749257799
1983-01-01,0.08438735712890980
1983-04-01,0.18827342967769700
1983-07-01,2.21422486247714012
1983-10-01,0.72923302888128605
1984-01-01,1.60651003660670000
1984-04-01,0.01434428412310030
1984-07-01,0.27998318209468398
1984-10-01,0.23402671384460100
1985-01-01,0.67507850179161699
1985-04-01,1.53946092018830005
1985-07-01,-0.00651379053302420
1985-10-01,-1.51166563610718008
1986-01-01,-0.46005055987442400
1986-04-01,-1.49791450544777005
1986-07-01,0.22976079878202901
1986-10-01,1.19210529357903994
1987-01-01,0.48304314408065402
1987-04-01,0.88582389697139297
1987-07-01,1.05599709214569004
1987-10-01,1.54261591012743993
1988-01-01,-1.17220594057780003
1988-04-01,-0.63467324033409700
1988-07-01,0.03726314323446490
1988-10-01,0.49160259595862399
1989-01-01,-0.33659864777324200
1989-04-01,0.83243954065708003
1989-07-01,-0.13268204637650999
1989-10-01,-0.99572499654061297
1990-01-01,0.48135792709930803
1990-04-01,-0.38310020440543502
1990-07-01,-0.33336321888039899
1990-10-01,1.26428295303779992
1991-01-01,-0.23760949762896799
1991-04-01,0.52116686604319995
1991-07-01,1.04302620830859993
1991-10-01,0.41313150343476202
1992-01-01,0.41564736612774200
1992-04-01,0.85592650020138406
1992-07-01,0.65490645421679505
1992-10-01,2.72849254105106009
1993-01-01,0.46169508955671601
1993-04-01,0.63886911279362801
1993-07-01,-0.29609314495132499
1993-10-01,0.75432508163431200
1994-01-01,0.89903376166498605
1994-04-01,0.44292895169978302
1994-07-01,-0.58427702071533805
1994-10-01,0.45459489202994102
1995-01-01,-1.01525697407767002
1995-04-01,-0.69903384501384702
1995-07-01,1.65650200061490005
1995-10-01,-0.45672964293330498
1996-01-01,1.36745395153051996
1996-04-01,0.40955986399682798
1996-07-01,0.80283641100560199
1996-10-01,0.83038999447530004
1997-01-01,0.31798884803617899
1997-04-01,3.03501079199536017
1997-07-01,-0.16704924693461201
1997-10-01,0.70156550208181201
1998-01-01,0.32298058962459197
1998-04-01,0.45204042582127701
1998-07-01,1.32391255094554006
1998-10-01,1.12656677372192005
1999-01-01,0.47797205036647800
1999-04-01,-0.01871756064985670
1999-07-01,0.46326606750511801
1999-10-01,0.89179105460503605
2000-01-01,0.08225759457735229
2000-04-01,-0.16840868727296601
2000-07-01,-0.92188679705687604
2000-10-01,0.22762999489487001
2001-01-01,0.77666586777270497
2001-04-01,0.28215102041507700
2001-07-01,0.85141343202459296
2001-10-01,0.89987242585743099
2002-01-01,0.17256151299700700
2002-04-01,1.49693099250605011
2002-07-01,-0.48198517596552398
2002-10-01,-0.01106690573041470
2003-01-01,-0.88477949832134195
2003-04-01,0.66477698326879398
2003-07-01,1.43137610819910011
2003-10-01,1.14398310178431006
2004-01-01,0.36480448894738998
2004-04-01,0.22121498545881499
2004-07-01,0.34597361998707798
2004-10-01,-0.46494665845395300
2005-01-01,-0.32249918745106798
2005-04-01,-0.32676456233327100
2005-07-01,0.40298452703734999
2005-10-01,0.59395395414725405
2006-01-01,-0.36841613315130101
2006-04-01,-0.54981456165319798
2006-07-01,0.33053734665546503
2006-10-01,0.77070763513029705
2007-01-01,0.72031659162675099
2007-04-01,-0.23121261556072401
2007-07-01,0.31484004944224703
2007-10-01,-0.20963892272223600
2008-01-01,0.14070375463078200
2008-04-01,-0.30211083071100697
2008-07-01,0.07118914933899020
2008-10-01,-0.52475360122074899
2009-01-01,0.94698767559580599
2009-04-01,0.80241735122430002
2009-07-01,0.10388920629796899
2009-10-01,0.31567638589692598
2010-01-01,-0.22257404865239000
2010-04-01,0.32384339851605498
2010-07-01,-0.20941070778020801
2010-10-01,0.05854591694042880
2011-01-01,-0.73488859253095795
2011-04-01,1.30321854466171994
2011-07-01,1.05053706377295009
2011-10-01,0.88320603983662005
2012-01-01,0.49379943291360101
2012-04-01,0.36887052975304901
2012-07-01,0.36113704377688399
2012-10-01,0.25449590032682201
2013-01-01,-0.07769278966136380
2013-04-01,0.31838971262617100
2013-07-01,0.80799270020308600
2013-10-01,0.96388735319425001
2014-01-01,0.41113352351994897
2014-04-01,0.16971698677072400
2014-07-01,0.22109914431777300
2014-10-01,0.27622491293962698
2015-01-01,0.12533979925138400
2015-04-01,-0.38118798529374198
2015-07-01,0.51525074867521203
2015-10-01,-0.36545642081032598
2016-01-01,0.60783273602620203
2016-04-01,0.45956705973801498
2016-07-01,-0.20371935906743299
2016-10-01,0.82015891457371504
2017-01-01,-0.16962707335531299
2017-04-01,-0.34903276298678099
2017-07-01,-0.04294780684636980
2017-10-01,-0.31368993134337197
2018-01-01,0.40311349933134100
2018-04-01,0.43959492051019100
2018-07-01,-0.29105160591508000
2018-10-01,-0.36482905707191898
2019-01-01,0.06176970769544520
2019-04-01,-0.25803493489849100
2019-07-01,-0.16196343274191799
2019-10-01,0.33735632703564000
2020-01-01,-0.56400129308395697
2020-04-01,-1.59853243427805003
2020-07-01,1.44341922834316994
2020-10-01,1.46150628594830989
2021-01-01,0.92258375663640801
2021-04-01,-0.01899750892280120
2021-07-01,-1.44557119431841996
2021-10-01,3.47423196810836021
2022-01-01,-1.76068558311971990
2022-04-01,-0.36367871175687100
2022-07-01,-0.76199389473919898
2022-10-01,0.11913699840858399
2023-01-01,-0.12461463928215000
2023-04-01,-0.38797710164468802
2023-07-01,-0.43197035730033301
