observation_date,ULQEUL01NZQ661S
1989-01-01,63.2180399085602
1989-04-01,63.4020445569534
1989-07-01,66.2899971608302
1989-10-01,65.0903664636377
1990-01-01,65.0912257947531
1990-04-01,65.5890393538799
1990-07-01,67.1898606790657
1990-10-01,66.1716954424963
1991-01-01,69.3004288321704
1991-04-01,69.4310665827484
1991-07-01,68.5294347562426
1991-10-01,68.4658859332684
1992-01-01,68.9995559430676
1992-04-01,68.1873113073846
1992-07-01,69.7811278771719
1992-10-01,70.0912487555336
1993-01-01,68.4550360474806
1993-04-01,68.1480754877814
1993-07-01,67.1103132529565
1993-10-01,67.1538341637880
1994-01-01,66.7358682927258
1994-04-01,68.0312648802898
1994-07-01,67.8834339434902
1994-10-01,68.9055955014592
1995-01-01,68.6593510309347
1995-04-01,68.4825380015226
1995-07-01,69.9898082252231
1995-10-01,70.4084880166124
1996-01-01,71.4472078141088
1996-04-01,71.0175499700319
1996-07-01,71.7127385760728
1996-10-01,72.0534741798076
1997-01-01,72.0209051234623
1997-04-01,71.6638483229425
1997-07-01,70.8635166446444
1997-10-01,72.3731532177414
1998-01-01,72.5870433320604
1998-04-01,74.1473117355229
1998-07-01,74.0060572756634
1998-10-01,72.7011879565123
1999-01-01,74.0094372264965
1999-04-01,73.1616558878627
1999-07-01,72.2887588885972
1999-10-01,72.4278058128116
2000-01-01,71.4718423649392
2000-04-01,73.2860827431484
2000-07-01,74.5692973560548
2000-10-01,73.9844658202037
2001-01-01,74.9005197799670
2001-04-01,74.5255428485426
2001-07-01,75.4625529792812
2001-10-01,75.4188178489506
2002-01-01,76.3632393971778
2002-04-01,76.9566596555171
2002-07-01,76.6954997979426
2002-10-01,76.1781771667560
2003-01-01,77.3595152784970
2003-04-01,77.8334941525234
2003-07-01,77.1491707543006
2003-10-01,78.1308128962563
2004-01-01,76.9786638404439
2004-04-01,78.9454833121041
2004-07-01,79.0545254313316
2004-10-01,80.5747825710664
2005-01-01,81.1546679629824
2005-04-01,80.1114149926751
2005-07-01,81.1936235057979
2005-10-01,81.6660166385659
2006-01-01,82.8863454790837
2006-04-01,83.5723571012967
2006-07-01,84.5969896152816
2006-10-01,84.6350355559930
2007-01-01,84.4402493938772
2007-04-01,84.8414921003959
2007-07-01,84.9582501070304
2007-10-01,86.7750330839726
2008-01-01,91.0516684519379
2008-04-01,91.0152210451517
2008-07-01,91.0904480266554
2008-10-01,90.7644450361635
2009-01-01,92.1237847913277
2009-04-01,89.4647189792929
2009-07-01,88.9187991298329
2009-10-01,88.6579382524654
2010-01-01,87.7939425279154
2010-04-01,89.2636167183016
2010-07-01,91.5917190502599
2010-10-01,93.7330395499888
2011-01-01,94.1562135070779
2011-04-01,94.5708652816834
2011-07-01,93.5648534456696
2011-10-01,94.7629438377274
2012-01-01,95.4312882484422
2012-04-01,96.1582982982235
2012-07-01,96.1213809537485
2012-10-01,98.0012938418035
2013-01-01,96.1352956434753
2013-04-01,97.7371366821318
2013-07-01,98.8364066405494
2013-10-01,98.8974226368019
2014-01-01,99.5224366961450
2014-04-01,98.9786471592494
2014-07-01,100.0788766496970
2014-10-01,100.0323378732950
2015-01-01,99.9685176003392
2015-04-01,99.1879982519853
2015-07-01,100.4003678291790
2015-10-01,100.4431163184970
2016-01-01,101.6052185337920
2016-04-01,106.3874387708750
2016-07-01,106.4126000539360
2016-10-01,107.0925510203770
2017-01-01,107.7295066901040
2017-04-01,107.5280626572020
2017-07-01,108.4184967722650
2017-10-01,109.7708152903380
2018-01-01,110.1043064160960
2018-04-01,109.0035996299010
2018-07-01,111.5483712957240
2018-10-01,112.0643027536340
2019-01-01,112.2162216650670
2019-04-01,113.1896727816840
2019-07-01,113.6965348676640
2019-10-01,114.7243407649470
2020-01-01,117.9982633583120
2020-04-01,127.4837487231320
2020-07-01,115.5322286576180
2020-10-01,118.8379404461780
2021-01-01,118.9055529170460
2021-04-01,120.8255012434620
2021-07-01,127.7729901920700
2021-10-01,128.1196783922700
2022-01-01,131.2924260884180
2022-04-01,128.7842510062780
2022-07-01,132.1641891455310
2022-10-01,136.7748219024920
2023-01-01,140.0980278565530
2023-04-01,143.1923548419060
