observation_date,ULQELP01NZQ657S
1987-07-01,0.1000078122351280
1987-10-01,0.6823735924808541
1988-01-01,1.3923091906109299
1988-04-01,0.9628215528131440
1988-07-01,3.3002569553044099
1988-10-01,0.7725562072943890
1989-01-01,2.7431239626805199
1989-04-01,1.5530034868538600
1989-07-01,-4.2472370620821902
1989-10-01,1.8711093893346700
1990-01-01,0.5063922943598510
1990-04-01,-1.0970429971203599
1990-07-01,0.5907062019737120
1990-10-01,2.9970575266793098
1991-01-01,-3.3863079527151898
1991-04-01,-0.4840111705832480
1991-07-01,1.8696400380956000
1991-10-01,0.2160799539712480
1992-01-01,0.1193390238815260
1992-04-01,0.3309891319874740
1992-07-01,-1.4716486707009599
1992-10-01,0.4997446693371980
1993-01-01,1.6138851627853601
1993-04-01,0.3086596129482830
1993-07-01,1.7340878260869601
1993-10-01,0.7741436581972230
1994-01-01,2.0747911263013101
1994-04-01,-0.4817944593485520
1994-07-01,-1.1352315525853800
1994-10-01,-0.4682033305784400
1995-01-01,0.2129250253953570
1995-04-01,0.7747355898952210
1995-07-01,-0.6931387184934980
1995-10-01,0.3720663545173020
1996-01-01,-0.2287130270633760
1996-04-01,0.2552766916079210
1996-07-01,0.3999575607700780
1996-10-01,0.9885022548463460
1997-01-01,-0.6705432476471430
1997-04-01,1.9735375255383500
1997-07-01,2.0139267887190302
1997-10-01,-1.5088009839811201
1998-01-01,0.1753797579244180
1998-04-01,-0.0663141272080118
1998-07-01,0.6974787191365760
1998-10-01,2.5557877234442201
1999-01-01,-0.0720795672657219
1999-04-01,0.5187020310669690
1999-07-01,0.9553414669235299
1999-10-01,-0.0293910074955674
2000-01-01,2.6181862427680000
2000-04-01,-0.8539504931124871
2000-07-01,-0.8497408985444620
2000-10-01,-0.1044288795140680
2001-01-01,-0.9628240110747660
2001-04-01,2.3236544912501600
2001-07-01,-0.3977420815780010
2001-10-01,0.0811076517567218
2002-01-01,-0.1353403197416830
2002-04-01,0.1597280669713630
2002-07-01,2.0454692132736199
2002-10-01,1.3684718608566999
2003-01-01,-0.1368773671864690
2003-04-01,-0.4114141305323050
2003-07-01,-0.2871693038236020
2003-10-01,1.4560396356662200
2004-01-01,1.5612113233362499
2004-04-01,-0.6981283254653410
2004-07-01,-1.1081864007828099
2004-10-01,-1.4017008302446099
2005-01-01,0.3269711937372500
2005-04-01,2.0093999534688098
2005-07-01,-1.1084549948412501
2005-10-01,0.0557580453906154
2006-01-01,-0.0914698324571016
2006-04-01,-1.3382408419234799
2006-07-01,2.2027717721422002
2006-10-01,0.7538659700744250
2007-01-01,-0.3788897493331190
2007-04-01,0.8332854947988180
2007-07-01,1.2259530836337600
2007-10-01,-0.1602383503304640
2008-01-01,-0.6732250510326940
2008-04-01,-1.3768482680830700
2008-07-01,0.0904124823950661
2008-10-01,-0.6383301648231040
2009-01-01,1.0054093843965799
2009-04-01,1.1997424518039399
2009-07-01,1.5055565634245600
2009-10-01,1.1898673493758500
2010-01-01,0.8049773313947050
2010-04-01,0.3557518778881690
2010-07-01,-2.2478673477579401
2010-10-01,-0.7065335604198409
2011-01-01,0.7844469804540490
2011-04-01,0.4748677710664680
2011-07-01,1.0900731347354999
2011-10-01,0.7643002670139820
2012-01-01,0.0724957958895758
2012-04-01,0.4677792991646610
2012-07-01,1.0288601788108700
2012-10-01,0.9343426278686040
2013-01-01,0.3483211354861080
2013-04-01,-0.8586737597888600
2013-07-01,-0.6401321296053401
2013-10-01,-0.2746703755376400
2014-01-01,0.0925154595679925
2014-04-01,0.1202132985613910
2014-07-01,0.1370651248241110
2014-10-01,0.0250368441455617
2015-01-01,-0.0889901879483298
2015-04-01,0.7970603437120090
2015-07-01,1.7732905511726500
2015-10-01,-0.2168556010243500
2016-01-01,-0.2325203528253780
2016-04-01,-1.3042182681849399
2016-07-01,-0.3635513428694030
2016-10-01,-0.6717550751686751
2017-01-01,0.0725592796543181
2017-04-01,1.4513169434151201
2017-07-01,-0.8947807930909600
2017-10-01,0.6994585089168150
2018-01-01,0.4996896568454400
2018-04-01,0.6242610474552320
2018-07-01,-1.0606767367419601
2018-10-01,1.4766261643788501
2019-01-01,1.1679748683481099
2019-04-01,-0.2672319915736080
2019-07-01,0.2758674820967570
2019-10-01,0.1356869763386870
2020-01-01,-1.8864512179344799
2020-04-01,-9.6505109259441202
2020-07-01,14.8276378432108000
2020-10-01,-0.4814270034160380
2021-01-01,1.6625575663246299
2021-04-01,0.8128846304728951
2021-07-01,-6.0359760897252004
2021-10-01,2.9111099955975801
2022-01-01,0.2371495091318590
2022-04-01,1.9140299565124299
2022-07-01,0.0984248056529926
2022-10-01,-1.2244129169623701
2023-01-01,-1.2534358753618600
2023-04-01,0.3413392575683650
