observation_date,EA19PRMNTO01IXOBSAM
1980-01-01,66.3472108795000
1980-02-01,65.8823475996002
1980-03-01,65.7541094534209
1980-04-01,65.4575587403814
1980-05-01,64.7442340522592
1980-06-01,65.2571866369763
1980-07-01,64.5598917171265
1980-08-01,65.8182285265106
1980-09-01,63.9187009862301
1980-10-01,63.6301651573268
1980-11-01,64.1351028579076
1980-12-01,64.4316535709472
1981-01-01,63.2294209505166
1981-02-01,64.2312814675421
1981-03-01,63.7423735352336
1981-04-01,63.5740609683733
1981-05-01,64.3274600771765
1981-06-01,63.8305372607319
1981-07-01,64.1190730896352
1981-08-01,63.0450786153838
1981-09-01,63.9347307545025
1981-10-01,64.4717279916282
1981-11-01,64.0389242482732
1981-12-01,63.1412572250183
1982-01-01,63.6221502731906
1982-02-01,63.3897186332406
1982-03-01,63.0530934995200
1982-04-01,63.7824479559146
1982-05-01,63.1011828043373
1982-06-01,61.4901910929602
1982-07-01,62.1233669397203
1982-08-01,61.4982059770964
1982-09-01,61.8909352997704
1982-10-01,61.2256999164654
1982-11-01,60.9371640875621
1982-12-01,60.1196459056692
1983-01-01,61.5543101660498
1983-02-01,61.2898189895551
1983-03-01,61.9390246045876
1983-04-01,61.6264441232757
1983-05-01,61.8829204156342
1983-06-01,62.3237390431254
1983-07-01,61.9310097204514
1983-08-01,62.3157241589892
1983-09-01,63.0450786153838
1983-10-01,62.9569148898856
1983-11-01,63.2374358346528
1983-12-01,64.0870135530904
1984-01-01,63.9667902910474
1984-02-01,63.4458228221940
1984-03-01,63.3255995601510
1984-04-01,63.3175846760148
1984-05-01,64.1992219309973
1984-06-01,60.4723008076622
1984-07-01,64.6961447474420
1984-08-01,65.9384517885536
1984-09-01,65.6338861913779
1984-10-01,65.3293205942021
1984-11-01,65.3693950148831
1984-12-01,66.1869131967760
1985-01-01,65.7889885807504
1985-02-01,66.1094966208343
1985-03-01,66.4771381962246
1985-04-01,65.8738289443020
1985-05-01,66.5996853880214
