observation_date,USAPIEAMP01GYM
1948-01-01,9.6116392278
1948-02-01,8.5603110526
1948-03-01,7.3076915867
1948-04-01,8.1081076483
1948-05-01,8.8803087498
1948-06-01,9.2664093379
1948-07-01,9.9616861888
1948-08-01,9.8484851585
1948-09-01,7.8066908778
1948-10-01,7.0370402922
1948-11-01,5.1282074659
1948-12-01,2.8880879706
1949-01-01,0.7117440774
1949-02-01,0.3584230592
1949-03-01,0.0000000000
1949-04-01,-0.7142860219
1949-05-01,-2.1276604843
1949-06-01,-2.8268563955
1949-07-01,-4.1811864916
1949-08-01,-5.1724160403
1949-09-01,-4.8275882777
1949-10-01,-4.8442927439
1949-11-01,-4.5296186600
1949-12-01,-4.5614054711
1950-01-01,-3.8869274841
1950-02-01,-2.8571440876
1950-03-01,-2.5089616916
1950-04-01,-2.1582743175
1950-05-01,-1.0869570316
1950-06-01,-0.3636364881
1950-07-01,1.8181826512
1950-08-01,4.3636383488
1950-09-01,5.4347850882
1950-10-01,6.1818210000
1950-11-01,7.6642332469
1950-12-01,10.2941185163
1951-01-01,12.1323546609
1951-02-01,13.2352963618
1951-03-01,13.2352963618
1951-04-01,13.2352963618
1951-05-01,13.1868154060
1951-06-01,12.4087609882
1951-07-01,10.0000007868
1951-08-01,7.3170727750
1951-09-01,5.8419233272
1951-10-01,6.1643826619
1951-11-01,5.0847481143
1951-12-01,3.0000013385
1952-01-01,0.9836070100
1952-02-01,-0.3246754935
1952-03-01,0.0000000000
1952-04-01,-0.6493509871
1952-05-01,-0.9708742278
1952-06-01,-0.9740264179
1952-07-01,0.0000000000
1952-08-01,0.0000000000
1952-09-01,0.0000000000
1952-10-01,-1.2903231859
1952-11-01,-1.6129039356
1952-12-01,-2.2653731566
1953-01-01,-1.6233773423
1953-02-01,-1.6286652191
1953-03-01,-1.9480528358
1953-04-01,-1.6339876572
1953-05-01,-1.3071901005
1953-06-01,-0.9836070100
1953-07-01,-0.9740264179
1953-08-01,-0.9740264179
1953-09-01,-0.6493509871
1953-10-01,-0.3267974936
1953-11-01,-0.3278690245
1953-12-01,0.3311260030
1954-01-01,0.6600662910
1954-02-01,0.6622519421
1954-03-01,0.3311260030
1954-04-01,1.3289042958
1954-05-01,0.9933779451
1954-06-01,0.3311260030
1954-07-01,0.0000000000
1954-08-01,0.0000000000
1954-09-01,-0.6535950503
1954-10-01,-0.6557379856
1954-11-01,0.0000000000
1954-12-01,0.0000000000
1955-01-01,-0.3278690245
1955-02-01,0.3289475416
1955-03-01,0.0000000000
1955-04-01,-0.3278690245
1955-05-01,-0.6557379856
1955-06-01,0.3300331136
1955-07-01,-0.3278690245
1955-08-01,0.0000000000
1955-09-01,0.6578950195
1955-10-01,0.9900994046
1955-11-01,0.6578950195
1955-12-01,0.9900994046
1956-01-01,0.9868425611
1956-02-01,0.9836070100
1956-03-01,1.9801988729
1956-04-01,1.9736851222
1956-05-01,2.9702983412
1956-06-01,2.9605276197
1956-07-01,2.9605276197
1956-08-01,2.9508209667
1956-09-01,3.5947694610
