observation_date,CHEPIEAMP01GYM
2002-06-01,-0.8297342031
2002-07-01,-0.7429521722
2002-08-01,-0.6707206427
2002-09-01,-0.7735726712
2002-10-01,-0.4934025286
2002-11-01,-0.4587273021
2002-12-01,-0.5934300343
2003-01-01,-0.4052587264
2003-02-01,-0.0038471091
2003-03-01,0.0176542931
2003-04-01,0.1026167580
2003-05-01,-0.1922350465
2003-06-01,-0.0747294098
2003-07-01,-0.0529148118
2003-08-01,0.0788352664
2003-09-01,0.0550977776
2003-10-01,0.1709169417
2003-11-01,0.5021841730
2003-12-01,0.5055537297
2004-01-01,0.4265289245
2004-02-01,0.3200982187
2004-03-01,0.5850372150
2004-04-01,0.9669423249
2004-05-01,1.4439698401
2004-06-01,1.4162433840
2004-07-01,1.3076923837
2004-08-01,1.3348737370
2004-09-01,1.3345973176
2004-10-01,1.5516589372
2004-11-01,1.5816949380
2004-12-01,1.4433961520
2005-01-01,1.2278738706
2005-02-01,1.6672588031
2005-03-01,1.3922676489
2005-04-01,1.2696516401
2005-05-01,0.7766744425
2005-06-01,0.8205224110
2005-07-01,1.0241882338
2005-08-01,1.0701575930
2005-09-01,1.5777711227
2005-10-01,1.3853157310
2005-11-01,1.2394407761
2005-12-01,1.4213034155
2006-01-01,1.6806419883
2006-02-01,1.5923523599
2006-03-01,1.5831129447
2006-04-01,1.7932821427
2006-05-01,2.2231479164
2006-06-01,2.3445372225
2006-07-01,2.3280073029
2006-08-01,2.5188741875
2006-09-01,1.9653487834
2006-10-01,1.9111963558
2006-11-01,1.8789732575
2006-12-01,1.8236604319
2007-01-01,1.6468291786
2007-02-01,1.9832253306
2007-03-01,2.0985109651
2007-04-01,2.1721441293
2007-05-01,2.7943736226
2007-06-01,2.7166530578
2007-07-01,2.5443716116
2007-08-01,2.6813749482
2007-09-01,2.6458998113
2007-10-01,2.6371086659
2007-11-01,2.9069012316
2007-12-01,2.8635460042
2008-01-01,3.3826740076
2008-02-01,3.2049948751
2008-03-01,3.3466175692
2008-04-01,3.3171330288
2008-05-01,3.3376992244
2008-06-01,3.7725133118
2008-07-01,4.1577156520
2008-08-01,3.2123109866
2008-09-01,3.0160141451
2008-10-01,2.5195676550
2008-11-01,2.1308002985
2008-12-01,1.7379376985
2009-01-01,1.0339421780
2009-02-01,0.0833377211
2009-03-01,-0.4975443981
2009-04-01,-1.1204914638
2009-05-01,-2.3054657571
2009-06-01,-2.7454338708
2009-07-01,-3.1528035663
2009-08-01,-2.6589471141
2009-09-01,-2.3112639939
2009-10-01,-2.2056298427
2009-11-01,-2.0825833490
2009-12-01,-1.5877284501
2010-01-01,-1.0982369031
2010-02-01,-0.8627977432
2010-03-01,-0.3437210440
2010-04-01,-0.0190803108
2010-05-01,0.4006005820
2010-06-01,0.0237665307
2010-07-01,-0.1698419731
2010-08-01,0.0632280232
2010-09-01,-0.1255504800
2010-10-01,-0.0042065950
2010-11-01,-0.4467576461
2010-12-01,-0.3057978207
2011-01-01,-0.4868971934
2011-02-01,-0.2893092810
2011-03-01,-0.3659841836
2011-04-01,-0.6503083876
2011-05-01,-1.2343931347
2011-06-01,-1.1055638703
2011-07-01,-1.1731089030
2011-08-01,-2.2060204645
2011-09-01,-2.1074628010
2011-10-01,-2.0592148883
2011-11-01,-2.4246037615
2011-12-01,-2.3997081151
2012-01-01,-2.3776526317
2012-02-01,-1.4497341680
2012-03-01,-1.5032904799
2012-04-01,-1.7793815659
2012-05-01,-1.2216141919
2012-06-01,-1.1940532081
2012-07-01,-0.8652800378
2012-08-01,0.3487075444
2012-09-01,0.5013484932
2012-10-01,0.5941409467
2012-11-01,1.5574924964
2012-12-01,1.3709489567
2013-01-01,1.2777779864
2013-02-01,0.3771926476
2013-03-01,0.2024131516
2013-04-01,0.6099877816
2013-05-01,0.2069574923
2013-06-01,0.4318340416
2013-07-01,0.4273747261
2013-08-01,0.1176282575
2013-09-01,0.0411066695
2013-10-01,-0.1789624448
2013-11-01,-0.3443036473
2013-12-01,-0.3660841688
2014-01-01,-0.3223440914
2014-02-01,-0.5680690291
2014-03-01,-0.5265843927
2014-04-01,-1.0117166601
2014-05-01,-0.6755621563
2014-06-01,-0.7127325217
2014-07-01,-0.7759320001
2014-08-01,-0.9943036812
2014-09-01,-1.0903168180
2014-10-01,-0.7825976178
2014-11-01,-1.4256012875
2014-12-01,-1.6904908264
2015-01-01,-1.8493578773
2015-02-01,-2.1893547430
2015-03-01,-2.0796156806
2015-04-01,-3.5313798611
2015-05-01,-4.3813028774
2015-06-01,-4.4452811925
2015-07-01,-4.5970549664
2015-08-01,-4.9728914985
2015-09-01,-4.9493047454
2015-10-01,-4.6657050714
2015-11-01,-3.6969405281
2015-12-01,-3.7571502491
2016-01-01,-3.7204586374
2016-02-01,-3.5791066016
2016-03-01,-3.7132370102
2016-04-01,-1.9117973493
2016-05-01,-1.0476316137
2016-06-01,-0.8564550447
2016-07-01,-0.6588823120
2016-08-01,-0.2396988672
2016-09-01,-0.1634776844
2016-10-01,-0.4602853927
2016-11-01,-0.8662547710
2016-12-01,-0.6030982502
2017-01-01,-0.2968392914
2017-02-01,0.0181023047
2017-03-01,-0.0059361743
2017-04-01,-0.2342073120
2017-05-01,-0.7129269117
2017-06-01,-0.9186888835
2017-07-01,-0.9351660944
2017-08-01,-0.9072104194
2017-09-01,-0.7276144661
2017-10-01,-0.4764383272
2017-11-01,0.0313351027
2017-12-01,0.1359667035
2018-01-01,0.1290199028
2018-02-01,0.9209735101
2018-03-01,0.8780122926
2018-04-01,1.3030506541
2018-05-01,1.4299243555
2018-06-01,1.6491643690
2018-07-01,1.9314266813
2018-08-01,2.3074996483
2018-09-01,2.0615703771
2018-10-01,1.8161357324
2018-11-01,1.0783013591
2018-12-01,0.8958655096
2019-01-01,0.3998702591
2019-02-01,-0.2498000815
2019-03-01,-0.0182430564
2019-04-01,-0.2081726082
2019-05-01,0.1745779235
2019-06-01,-0.1997653736
2019-07-01,-0.3878408758
2019-08-01,-0.6598120340
2019-09-01,-0.7181424854
2019-10-01,-0.8568309633
2019-11-01,-0.9803749044
2019-12-01,-0.8334931939
2020-01-01,-0.4252812050
2020-02-01,-0.8540408521
2020-03-01,-1.1606074280
2020-04-01,-1.7281349821
2020-05-01,-2.2151359628
2020-06-01,-1.8379878292
2020-07-01,-1.7893658525
2020-08-01,-2.0287140154
2020-09-01,-1.9486777461
2020-10-01,-1.6973079997
2020-11-01,-1.4544165648
2020-12-01,-1.3035822852
2021-01-01,-1.3555491128
2021-02-01,-1.2052430998
2021-03-01,-0.7650248276
2021-04-01,0.3291313664
2021-05-01,1.2772876686
2021-06-01,1.2379726237
2021-07-01,1.5302289149
2021-08-01,2.4350011625
2021-09-01,2.6041870181
2021-10-01,2.8882906272
2021-11-01,3.2086483020
2021-12-01,3.0097000000
2022-01-01,3.2792899787
2022-02-01,3.6568302657
2022-03-01,3.8160067451
2022-04-01,4.1621117741
2022-05-01,4.1666254743
2022-06-01,4.3778158018
2022-07-01,4.1517911617
2022-08-01,3.7922560220
2022-09-01,3.6464054949
2022-10-01,3.1077501786
2022-11-01,2.4850967004
2022-12-01,2.2872603260
