start,end,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,ann_sharpe,strategy,window,role,gates_pass,clears_1pct_bar
2011-09-18,2026-09-15,180,-0.00037565156091453304,0.4777777777777778,0.12123615905179844,-0.5885881007893317,-0.5762066254287564,-0.08964741737032907,high_reserves_xs,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.00037736433493472767,0.36363636363636365,0.9980523069972886,0.1360838337408492,0.16258714452624393,0.23458823135759757,high_reserves_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.003227229914773654,0.2727272727272727,1.0,-1.8881816169340726,-1.3749604076869735,-1.0960300169331572,high_reserves_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-0.0006290560414098645,0.5,0.9300558777302447,-0.3031174869319929,-0.4369859260084738,-0.6734655949911341,high_reserves_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.002353420258793889,0.3333333333333333,0.9300558777302447,-1.4606476077883555,-1.239845004886349,-1.2940627443954824,high_reserves_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.0003643783734246848,0.5166666666666667,0.12534986994507138,0.5703445147485925,0.5579869364435073,0.08809395977711947,low_reserves_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.00036988888079713224,0.6363636363636364,0.6807243666120343,-0.1352781031177453,-0.1610486208650783,-0.23458823135759757,low_reserves_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0031917071865884146,0.7272727272727273,0.5999632415241555,1.8575942704532684,1.3611171670676634,1.0960300169331572,low_reserves_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0006205776875963381,0.5,0.812159175753508,0.2990997823171904,0.4327428707872028,0.6734655949911341,low_reserves_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.002345537162628225,0.6666666666666666,0.543526367203798,1.4547431049406814,1.237926794796257,1.2940627443954824,low_reserves_xs,holdout_365d,confirm_only,True,False
