time,mom_gpr_cool
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,-0.005347243363215126
2012-03-31 00:00:00+00:00,-0.007957247817023338
2012-04-30 00:00:00+00:00,-0.005751074679149815
2012-05-31 00:00:00+00:00,-0.008751257637002019
2012-06-30 00:00:00+00:00,-0.014986694057468442
2012-07-31 00:00:00+00:00,-0.00723984269055733
2012-08-31 00:00:00+00:00,-0.01528307742558388
2012-09-30 00:00:00+00:00,0.0015588813587152917
2012-10-31 00:00:00+00:00,-0.008292376512365474
2012-11-30 00:00:00+00:00,-0.00011837694597249815
2012-12-31 00:00:00+00:00,0.005116862742723827
2013-01-31 00:00:00+00:00,0.01001246155288582
2013-02-28 00:00:00+00:00,0.0017517479772515276
2013-03-31 00:00:00+00:00,-0.0008431000006425826
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,-0.011007254569769476
2013-06-30 00:00:00+00:00,-0.011325985775901826
2013-07-31 00:00:00+00:00,0.004430508993765958
2013-08-31 00:00:00+00:00,0.0040480806177589646
2013-09-30 00:00:00+00:00,-0.009986797274671333
2013-10-31 00:00:00+00:00,-0.002895765870703504
2013-11-30 00:00:00+00:00,0.009353219548027258
2013-12-31 00:00:00+00:00,-0.006822801620149477
2014-01-31 00:00:00+00:00,0.012768338857347183
2014-02-28 00:00:00+00:00,0.00011656527809922324
2014-03-31 00:00:00+00:00,-0.006754281941661722
2014-04-30 00:00:00+00:00,0.0033240806321297445
2014-05-31 00:00:00+00:00,-0.0016014257510322816
2014-06-30 00:00:00+00:00,0.0034283601718028134
2014-07-31 00:00:00+00:00,-0.0007788910577672947
2014-08-31 00:00:00+00:00,0.0027045466464692414
2014-09-30 00:00:00+00:00,-0.004099237518072729
2014-10-31 00:00:00+00:00,0.0016779002795241915
2014-11-30 00:00:00+00:00,-0.006948633807542959
2014-12-31 00:00:00+00:00,-0.0014748171814517042
2015-01-31 00:00:00+00:00,-0.003499434988591288
2015-02-28 00:00:00+00:00,0.010464391733935097
2015-03-31 00:00:00+00:00,-0.002749940346462809
2015-04-30 00:00:00+00:00,-0.004380981214542556
2015-05-31 00:00:00+00:00,0.009375996467007486
2015-06-30 00:00:00+00:00,-0.017541304773655453
2015-07-31 00:00:00+00:00,0.004825184155830442
2015-08-31 00:00:00+00:00,0.006979457223208696
2015-09-30 00:00:00+00:00,-0.0003127203566117842
2015-10-31 00:00:00+00:00,-0.016644074804841646
2015-11-30 00:00:00+00:00,-0.00984857711175402
2015-12-31 00:00:00+00:00,-0.00040970200762024955
2016-01-31 00:00:00+00:00,-0.012426496016112565
2016-02-29 00:00:00+00:00,-0.002691668714663642
2016-03-31 00:00:00+00:00,0.011702326661867657
2016-04-30 00:00:00+00:00,-0.012322428963875032
2016-05-31 00:00:00+00:00,-0.01081118340314613
2016-06-30 00:00:00+00:00,0.025035978407867754
2016-07-31 00:00:00+00:00,-0.004861867650011953
2016-08-31 00:00:00+00:00,0.0030170871166605995
2016-09-30 00:00:00+00:00,0.00397471036616337
2016-10-31 00:00:00+00:00,0.0164756134084747
2016-11-30 00:00:00+00:00,-0.014207655418030818
2016-12-31 00:00:00+00:00,-0.004356057556837989
2017-01-31 00:00:00+00:00,0.010314259173240137
2017-02-28 00:00:00+00:00,-0.0019162191434081155
2017-03-31 00:00:00+00:00,-0.005628806920856322
2017-04-30 00:00:00+00:00,-0.008035030681348254
2017-05-31 00:00:00+00:00,-0.00570072220072948
2017-06-30 00:00:00+00:00,-0.0054400769298414975
2017-07-31 00:00:00+00:00,-0.012633448360714117
2017-08-31 00:00:00+00:00,0.00119813109803113
