factor,n_months,mean_mo,tstat_ols,tstat_nw,nw_lags,pct_pos_mo,top3,ann_sharpe_daily
carry_raw,180,-1.9157772170294265e-05,-0.024810414868454197,-0.028710871099954648,4,0.5111111111111111,0.1027131606595631,-0.03816222050560348
fxrv_usd_tilt_21d,180,0.00020602164598891118,0.5595177782235733,0.5245971354618163,4,0.25555555555555554,0.2779589811356789,0.1332863962380034
fxrv_innov_usd_21d,180,0.0003160077016705478,0.7890227361607269,0.7569656589572786,4,0.36666666666666664,0.1770469748712702,0.19496228939635904
fxrv_highvol_usd_21d,180,0.00023897372626362982,0.7220005450842846,0.6480378458974566,4,0.12777777777777777,0.3186098213402341,0.17112797468531993
carry_fxrv_cool_21d,180,0.00018227584439930875,0.2733789840386878,0.3354172654951803,4,0.49444444444444446,0.1168246125858024,0.02205853825845981
carry_fxrv_lowvol_only_21d,180,0.00012445585189917082,0.21688297348997176,0.2537123678455431,4,0.4,0.13252061805571813,0.05287526859049589
fxrv_usd_tilt_63d,180,0.00026486039478091733,0.6257671124531271,0.5694132032506052,4,0.20555555555555555,0.2830881422883906,0.15667633533662836
fxrv_innov_usd_63d,180,0.0001210986252669287,0.29116024489758136,0.27038959349032904,4,0.29444444444444445,0.2795540777542232,0.07253743721509352
fxrv_highvol_usd_63d,180,0.00033038587817804725,0.7887812833820619,0.7259293560709766,4,0.12222222222222222,0.30898869978081206,0.2042667230489577
carry_fxrv_cool_63d,180,0.00022819895172780503,0.3411057973862904,0.40909776509878054,4,0.5111111111111111,0.11837721987618717,0.0378871522624978
carry_fxrv_lowvol_only_63d,180,0.00011992106700254055,0.1980099939853543,0.2385983236448076,4,0.39444444444444443,0.12978103572274136,0.04897365657539622
fxrv_ew_21d,180,0.00026130044631878885,0.7116462492094932,0.6663233728495791,4,0.38333333333333336,0.21677274100474409,0.17355066563213825
