factor,n_months,mean_mo,tstat_ols,tstat_nw,nw_lags,pct_pos_mo,top3,ann_sharpe_daily
tot_country_ts,180,-0.001806809110260156,-0.918795723090883,-1.0624101741392449,4,0.4666666666666667,0.11628554034061274,-0.2898546444143336
tot_xs,180,-5.037387323385422e-05,-0.06656477530723874,-0.06200470514471402,4,0.4777777777777778,0.09550667587465399,-0.021679566376010317
tot_vs_g10,180,-0.0005203246812158101,-0.8530730564179878,-1.065817044871182,4,0.35,0.15470504552832046,-0.2673318153897947
tot_ew,180,-0.000795607750300338,-0.8462713146000307,-0.9372456455545027,4,0.48333333333333334,0.12866310761363464,-0.2632876398191579
crr_country_ts_baseline,180,-0.0003683856421700413,-0.23319950390965213,-0.2961050914644326,4,0.37777777777777777,0.11286688013942808,-0.05659096367834033
crr_xs_basket_baseline,180,6.639806923231579e-06,0.01394670979291692,0.014809096212451864,4,0.37777777777777777,0.2013930315241453,-0.000425157497589613
